NAME	DESCRIPTION	IBUA-M9-_1	IBUA-M9-_2	IBUA-M9-_3	IBUA-Isobut-acid-_1	IBUA-Isobut-acid-_2	IBUA-Isobut-acid-_3	MG1655-Isobut-acid-_1	MG1655-Isobut-acid-_2	MG1655-Isobut-acid-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
yegD	b2069	43.8902	56.7409	44.5469	35.1425	39.5767	31.8275	32.4385	27.1479	37.784	36.8503	42.2301	42.7991
yegJ	b2071	13.6905	6.0033	7.43953	2.24263	6.23287	2.98811	11.0368	9.517539999999999	10.470999999999998	7.90855	5.81819	8.101980000000001
mdtA	b2074	19.6944	19.5979	18.9954	18.6164	14.8594	17.0941	23.3668	20.3233	24.9609	17.0747	28.6746	19.9808
mdtB	b2075	8.43396	12.7676	9.463	11.5056	10.7395	10.8239	12.739	12.9264	13.8227	11.5772	11.8676	9.00404
mdtC	b2076	6.82637	7.110010000000001	6.48827	8.14306	7.99768	7.77227	9.41669	10.3307	10.9442	7.35686	6.19672	7.147810000000001
mdtD	b2077	6.55806	5.3909400000000005	5.36817	9.260819999999999	7.47969	7.40141	10.2933	12.308	11.9697	6.57525	9.52127	6.14309
yaeR	b0187	78.8909	63.9552	64.7742	100.337	101.62200000000001	110.993	99.9244	93.3278	119.514	94.3267	93.79799999999999	77.1177
baeS	b2078	6.838830000000001	9.29123	7.29723	11.8189	11.3835	10.4677	15.1867	15.3816	12.8125	9.18118	8.728589999999999	11.482999999999999
baeR	b2079	136.285	70.5682	154.239	72.187	72.0982	76.9638	151.497	119.44	82.9504	93.7421	97.8495	64.265
yegP	b2080	38.3908	13.9641	20.2941	62.7464	88.5642	58.7746	474.211	495.249	563.563	500.44199999999995	409.45599999999996	266.252
yegQ	b2081	176.375	174.804	163.589	230.58	260.265	231.83700000000002	165.763	152.436	165.385	116.598	116.81200000000001	142.535
yegS	b2086	12.6941	6.58829	14.2147	21.1665	24.6069	17.1214	70.91	63.3162	97.3558	100.167	109.538	65.95
yegV	b2100	27.1202	23.8544	29.0486	34.2437	30.0768	33.0084	18.0088	22.5177	19.4505	17.4294	18.6698	20.3283
yegU	b2099	14.4479	20.8114	16.711	33.036	28.2664	30.6406	12.4859	21.9442	19.8822	17.8754	11.3576	12.4888
yegT	b2098	29.4262	22.6492	36.3796	14.485999999999999	14.7685	14.3762	13.163	13.4548	8.00152	17.172	20.4451	14.4212
tilS	b0188	67.9084	85.7044	58.0282	98.2781	92.1221	86.7985	84.9333	82.8509	75.0646	65.9863	57.9858	59.3418
rcnA	b2106	15.1207	13.1789	13.1351	17.2441	18.7389	15.7072	23.049	15.4788	11.7798	12.7113	7.44672	10.5729
rcnB	b2107	391.25	140.923	371.42	99.6465	121.00299999999999	132.468	203.90099999999998	218.649	169.058	199.47099999999998	332.356	214.99
metG	b2114	394.375	417.088	380.582	466.348	461.477	445.651	344.767	400.75	356.836	350.041	303.311	386.54699999999997
yehH	b4499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehI	b2118	3.82962	3.50389	3.24337	4.51684	4.9514	5.21594	6.16326	5.55162	5.24872	3.66971	2.57462	3.11891
yehK	b4541	0.0	0.0	0.0	0.0	0.8814420000000001	0.0	0.0	0.0	1.68907	1.38097	1.42892	0.0
yehL	b2119	2.68408	1.03975	2.09262	0.795712	0.961831	1.33486	1.14805	0.61651	1.8863400000000001	0.72007	0.509685	2.0110200000000003
yehM	b2120	1.13285	0.820152	1.34006	1.17024	1.4359899999999999	1.56907	2.12371	2.06805	2.01438	2.09155	1.66399	1.09711
yehP	b2121	1.44197	0.5216689999999999	1.7344700000000002	1.9617799999999999	1.2640200000000001	2.0359700000000003	2.21087	1.9703400000000002	2.4087400000000003	1.56971	0.0	1.45179
yehQ	b2122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yaeQ	b0190	77.6969	93.9851	62.8783	149.392	156.934	135.347	100.525	95.0239	107.73200000000001	73.90899999999999	88.1617	82.7508
yehR	b2123	4.898969999999999	6.00885	4.94195	4.30737	4.00748	2.75982	3.98173	6.35648	4.8579	2.7785599999999997	4.99458	3.53935
mlrA	b2127	14.2285	6.954269999999999	12.325999999999999	16.464000000000002	18.2155	8.74517	76.7779	56.9269	68.5096	54.9069	45.031000000000006	42.4603
yohO	b4542	94.6476	58.8363	0.0	0.0	30.1992	40.783	152.69799999999998	71.3104	0.0	0.0	0.0	0.0
dld	b2133	213.36	184.051	213.68	246.704	260.452	235.234	271.9	260.974	341.099	257.0	257.423	285.476
yohD	b2136	45.293	42.1387	70.3671	73.044	82.6206	80.6161	131.85399999999998	108.20700000000001	104.95700000000001	87.189	89.7501	77.8752
yohP	b4679	0.0	0.0	0.0	0.0	0.0	384.93699999999995	812.678	0.0	1055.28	0.0	0.0	0.0
yohK	b2142	9.30339	9.42494	8.73661	23.7348	20.2498	12.7436	25.7019	31.0941	35.21	20.6053	19.0162	18.4418
yohJ	b2141	8.92711	13.3379	32.0474	10.3876	11.6575	16.5389	25.373	19.1499	25.8564	13.4959	18.3835	16.9141
cdd	b2143	46.5874	42.852	68.7279	159.655	144.719	145.028	94.4612	107.704	107.34	51.4412	40.6313	44.9886
sanA	b2144	45.8312	39.8127	34.1691	28.9108	24.6116	23.8029	33.8606	33.5433	25.9418	25.2457	20.546	25.066
arfB	b0191	87.2689	55.2401	68.4749	109.831	124.632	100.2	111.184	93.04799999999999	98.0705	75.9417	84.8802	74.964
yeiS	b2145	94.6769	161.959	172.93099999999998	71.1995	56.7291	77.3619	162.197	140.821	65.5573	113.501	99.3958	68.9481
preA	b2147	9.67757	7.250489999999999	9.82426	5.77187	7.1679699999999995	6.7774399999999995	6.16339	11.1514	6.30757	7.00709	6.76318	7.29098
preT	b2146	3.9993800000000004	3.7775199999999995	2.8086900000000004	5.3834800000000005	4.94078	6.26377	4.45814	6.26431	5.997669999999999	3.3999099999999998	2.8566700000000003	3.5237800000000004
yeiG	b2154	176.658	161.141	182.183	292.04	319.513	248.226	236.80200000000002	221.581	204.893	275.052	240.63	307.106
yeiH	b2158	34.5345	34.1813	30.6042	15.122	15.5403	14.9189	22.9135	24.1799	19.340999999999998	47.0945	53.7195	48.4603
nfo	b2159	114.77799999999999	109.976	115.16799999999999	151.549	155.795	141.658	141.467	135.20600000000002	162.263	111.669	101.34100000000001	98.6293
yeiI	b2160	56.7077	51.0984	53.5541	63.394	72.4283	62.1497	48.9046	45.8246	61.2509	41.6297	47.6318	37.007
yeiL	b2163	3.64215	3.6347	5.0615	3.2602700000000002	2.4279599999999997	2.03892	4.46835	2.13806	2.81678	5.49817	9.90208	3.01009
setB	b2170	4.18845	6.19815	6.025440000000001	8.75357	6.9943800000000005	4.20643	4.48683	6.74432	6.27367	4.65209	8.75457	4.75195
yeiP	b2171	574.059	423.83099999999996	499.27	201.457	201.235	224.815	263.18	220.71099999999998	167.938	251.75799999999998	241.96	278.16900000000004
nhaA	b0019	104.20200000000001	82.1577	110.59200000000001	52.4497	53.6859	52.6731	241.965	236.998	202.209	163.817	190.416	134.76
nlpE	b0192	60.6787	49.1357	59.5558	79.8123	93.7824	90.865	72.7491	77.5153	99.0868	73.5172	70.3158	75.4447
yeiQ	b2172	14.6978	18.4953	14.5402	9.4398	9.27904	10.6215	8.110710000000001	7.3693100000000005	6.3711199999999995	17.6959	14.2695	13.5056
yeiR	b2173	28.3206	23.5368	31.6321	67.3606	66.2094	64.2679	122.36399999999999	86.9056	78.1234	63.1806	61.2488	49.8622
lpxT	b2174	41.5504	53.6021	44.9242	67.9599	63.7545	73.5524	57.5602	65.1573	44.5668	49.3139	57.1504	43.7889
mepS	b2175	1818.06	1688.38	1639.82	957.337	854.1139999999999	1117.07	984.544	1133.85	842.328	1423.05	1569.58	1635.89
rtn	b2176	28.1769	23.4889	25.4046	16.3352	14.7517	17.8215	45.56399999999999	36.3367	26.7439	36.3295	41.7734	35.5093
yejA	b2177	22.8259	18.5884	18.1202	17.9021	16.519000000000002	16.5992	26.0962	27.3745	24.8416	18.2555	20.1947	20.975
yejE	b2179	27.6074	28.7748	31.675	19.1277	20.2063	20.0717	37.4886	36.7196	25.4876	27.5547	36.5681	30.396
yejB	b2178	19.8223	16.6493	12.8163	11.6181	13.3537	17.5027	23.3849	23.6009	17.5115	21.9425	22.8068	23.0043
yejF	b2180	29.7057	32.7427	34.8858	35.8688	33.6068	35.9923	49.1523	47.8908	40.6984	34.6811	45.2427	43.6209
yejH	b2184	13.3809	18.053	16.2782	29.276999999999997	28.7664	24.7638	26.1424	20.4031	21.6147	17.2369	17.5104	18.8651
gmhB	b0200	208.27	194.072	227.248	216.09799999999998	228.63299999999998	229.57	222.25400000000002	198.13400000000001	178.375	190.905	190.94299999999998	218.47099999999998
rplY	b2185	8873.76	6973.14	8203.69	3610.12	3660.12	4048.26	4464.55	4168.02	2112.16	4688.25	4450.91	4989.57
yejL	b2187	862.7280000000001	671.818	756.252	684.442	780.373	753.83	987.8760000000001	826.285	467.37	674.242	511.621	523.969
yejM	b2188	135.722	151.005	122.10799999999999	184.138	166.82299999999998	177.493	132.596	134.195	129.741	109.08	106.42299999999999	102.78200000000001
narP	b2193	88.7466	84.0722	104.34200000000001	36.466	38.5614	42.7956	50.3144	67.8985	57.7971	87.8641	67.2741	86.9228
eco	b2209	37.0873	23.8915	38.8402	88.4453	95.51899999999999	91.4795	154.67700000000002	146.355	143.806	55.4579	33.8971	54.8611
rcsD	b2216	143.707	134.684	130.469	180.975	174.887	176.041	151.093	177.13099999999997	154.734	123.02799999999999	118.205	128.688
rcsB	b2217	732.8760000000001	698.8839999999999	620.812	677.1519999999999	670.207	697.242	574.707	696.755	685.7719999999999	624.819	593.4630000000001	771.753
atoC	b2220	12.0698	8.23277	11.8985	12.8724	10.6067	11.567	12.9519	13.2617	12.3041	12.0255	12.9754	11.5345
atoS	b2219	4.460030000000001	3.5960099999999997	5.25681	6.10877	7.1608600000000004	5.79629	6.9359399999999996	5.69629	4.99615	4.83153	4.8066	4.63724
atoE	b2223	0.9654889999999999	1.7207700000000001	1.2619799999999999	3.18052	1.29549	0.967367	1.8778700000000002	1.79014	1.7516	1.62321	0.398775	0.9259629999999999
dkgB	b0207	61.5426	58.29	63.9738	22.1359	17.5125	20.3622	31.0735	27.5309	30.6285	43.8119	36.1591	44.4548
atoA	b2222	0.0	0.0	0.556145	1.13094	0.724392	0.364789	0.0	0.388189	0.297664	0.480332	0.5317810000000001	0.494544
atoD	b2221	0.435151	0.31653400000000004	0.0	0.579539	0.276737	0.559499	0.0	1.6203	0.47647	0.766725	0.888639	0.392676
atoB	b2224	2.0958	1.94767	3.9516199999999997	3.7774	3.64965	4.81367	2.28258	3.9464900000000003	4.62913	4.44418	2.51341	3.6324199999999998
ubiG	b2232	216.433	237.708	256.789	285.574	277.147	241.03099999999998	211.33599999999998	217.202	222.55900000000003	187.889	216.329	214.171
nrdA	b2234	440.38300000000004	385.606	422.793	270.374	284.224	263.933	198.81900000000002	282.414	366.10699999999997	319.077	318.13599999999997	286.276
yfaE	b2236	2539.23	853.8330000000001	2662.54	490.788	382.337	558.894	758.518	924.54	468.966	743.1360000000001	969.7130000000001	555.974
nrdB	b2235	286.658	287.755	280.658	282.83799999999997	294.518	270.29200000000003	181.12400000000002	273.97	370.153	233.835	211.93	232.743
yfaH	b2238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glpB	b2242	4.383319999999999	4.4763	4.54321	2.41318	2.35481	2.9950099999999997	4.30538	2.6941200000000003	3.02368	3.0194799999999997	2.66359	2.67564
glpC	b2243	2.77572	1.0442200000000001	2.06188	2.9882	3.5519	3.95601	2.50408	2.9474	1.8328400000000002	2.6884200000000003	3.7997400000000003	3.18356
yafD	b0209	118.92200000000001	125.609	118.13600000000001	473.834	500.44199999999995	508.67	405.156	429.351	525.845	181.845	167.588	218.13299999999998
glpA	b2241	0.991392	1.57345	0.266192	1.08789	1.68892	1.1383	0.234542	1.38626	0.6939960000000001	0.757321	0.526733	0.536335
yfaD	b2244	35.3057	28.7455	34.5072	22.6178	30.4222	21.6118	23.3137	24.3975	20.1188	18.5046	23.8118	24.4959
ypaA	b4543	152.208	169.05700000000002	99.5776	159.631	149.181	133.82299999999998	89.6626	119.189	178.861	92.2994	104.758	138.106
nudI	b2251	27.9177	25.7785	33.9394	50.5119	56.9181	54.8555	33.0786	62.2821	79.3994	22.8813	19.0461	32.1461
arnB	b2253	10.2714	9.83646	8.33221	10.0145	10.3444	10.0856	29.3196	41.8069	62.2099	38.2753	47.3935	31.3702
arnT	b2257	3.44985	3.17265	2.8236	6.692760000000001	8.15602	7.37323	12.2671	9.40207	13.5488	6.2782800000000005	8.291889999999999	9.48789
arnD	b2256	5.051480000000001	4.3542	6.03089	11.8985	9.84715	10.4647	18.1781	25.9768	36.6093	22.3411	19.2675	15.1025
arnA	b2255	15.7617	13.4993	13.3976	21.2565	22.3842	22.5742	37.0738	44.4	66.0701	36.3687	54.381	29.7485
arnC	b2254	9.42297	6.922619999999999	8.072289999999999	10.0008	7.52915	8.419839999999999	21.3196	23.4451	46.1837	30.8885	35.9438	19.9762
arnE	b4544	4.59143	4.6443	4.85672	15.7216	6.9820899999999995	14.2274	16.8928	24.331999999999997	22.7118	20.3627	20.4793	25.2838
yafE	b0210	25.2836	19.1628	14.54	120.36	114.315	119.51899999999999	88.3291	82.5602	120.84299999999999	31.1118	28.0867	30.041999999999998
arnF	b2258	1.21126	0.930969	1.29364	5.08319	1.5565799999999999	5.71086	10.5173	5.67975	6.80461	7.60353	0.0	3.35322
rbn	b2268	44.6657	53.3382	40.5234	40.1131	41.0763	36.125	40.5081	40.5203	41.7805	37.634	42.4607	39.73
elaD	b2269	1.9196099999999998	2.9134700000000002	2.01435	3.9931	3.78548	5.73514	2.9680400000000002	2.4167099999999997	4.46404	4.6349	3.63761	4.978269999999999
yfbL	b2271	0.0	0.572293	0.0	0.5300189999999999	0.861712	0.8308530000000001	0.21204	0.748113	0.60075	0.22310100000000002	0.470347	0.231276
yfbM	b2272	3.1590599999999998	2.77481	3.34272	4.60709	3.07812	2.41595	3.16502	5.5355	6.7419199999999995	3.3298099999999997	3.64151	5.105519999999999
yfbO	b2274	3.14332	8.204839999999999	5.206930000000001	5.583559999999999	7.4155	7.40147	4.11684	12.7331	5.58298	12.3605	4.94067	8.9215
yfbP	b2275	9.21465	6.473669999999999	5.9722800000000005	7.48557	7.56664	5.2556199999999995	8.07736	7.71943	8.41231	4.47696	2.86415	5.78063
alaA	b2290	142.714	159.757	136.184	156.382	153.828	159.001	127.804	141.303	126.374	198.727	188.308	259.26599999999996
yfbR	b2291	52.7695	53.3009	59.1914	64.7747	58.4128	63.5865	64.7094	64.1837	61.1344	59.8767	53.5554	50.0476
ackA	b2296	501.191	548.4169999999999	476.85699999999997	193.18099999999998	186.452	203.61900000000003	316.291	271.155	262.264	272.10900000000004	266.509	301.459
yafS	b0213	45.7743	57.1244	61.0353	60.9916	61.5471	64.85	60.6954	75.9235	52.0934	74.0854	72.5925	72.0504
pta	b2297	358.939	398.905	353.901	348.246	348.784	342.565	324.439	310.246	295.319	244.851	211.298	271.079
yfcC	b2298	2.17027	2.83655	4.61391	4.1180900000000005	5.14479	5.4534199999999995	5.40137	6.23974	5.1622900000000005	3.9286	2.96462	2.59025
yfcG	b2302	8.59636	4.73255	8.969339999999999	17.1372	20.4291	9.887039999999999	58.4802	45.3731	94.0177	67.071	64.2716	46.3237
folX	b2303	458.686	526.911	435.897	477.86800000000005	515.9159999999999	502.54	321.347	384.103	465.539	419.12699999999995	454.245	522.919
yfcH	b2304	267.966	268.357	302.289	295.407	263.454	265.98	264.949	296.846	255.24400000000003	273.494	225.195	290.621
flk	b2321	52.4852	63.8529	56.3061	60.7378	66.9779	57.2183	61.3284	49.8077	42.5705	47.5227	58.1785	57.0101
mnmC	b2324	31.2926	37.7847	32.9984	73.3608	76.3311	68.1095	36.4707	34.8103	43.7759	34.2753	29.3529	33.2907
smrB	b2331	137.789	133.672	128.196	182.49200000000002	167.138	158.578	145.405	163.505	135.94	109.794	114.68299999999999	129.268
fadL	b2344	337.347	314.735	297.677	54.0956	56.4991	55.1464	63.2132	49.1213	57.6319	159.505	191.155	182.50599999999997
yfdF	b2345	7.203460000000001	4.49947	8.4857	5.36533	4.24718	6.472580000000001	3.83945	4.12702	3.53485	4.48246	5.51374	7.15105
dnaQ	b0215	139.97299999999998	142.36700000000002	154.976	185.696	163.322	164.75	191.35	176.706	165.797	162.52200000000002	151.36700000000002	165.378
yfdC	b2347	10.0548	7.988110000000001	4.901669999999999	13.2234	17.3211	10.0897	38.0389	35.3597	62.7472	55.9408	69.4742	40.8909
intS	b2349	54.8276	47.4716	49.9382	28.9411	27.4517	25.8585	19.86	29.9231	21.2931	27.5249	19.8406	36.2387
gtrS	b2352	78.2492	177.208	84.0328	102.412	119.053	92.0638	12.6272	16.8123	55.7963	51.7478	43.5475	94.3092
gtrB	b2351	1020.37	1229.87	1120.79	453.092	451.39300000000003	524.2769999999999	314.555	316.134	254.606	540.345	632.28	589.446
gtrA	b2350	369.342	570.545	275.126	374.941	363.72900000000004	395.39099999999996	182.833	264.962	279.399	259.749	299.151	297.95799999999997
tfaS	b2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yfdP	b2359	1.09817	3.37523	11.6127	3.5693699999999997	5.02007	2.84347	14.249	9.465119999999999	5.285069999999999	5.55746	5.0305800000000005	10.2613
yfdQ	b2360	7.0517199999999995	6.3551	6.03944	7.8259300000000005	6.23316	8.627989999999999	7.2707	8.292530000000001	4.30904	3.93299	7.803489999999999	3.7913699999999997
yfdT	b2363	1.71925	2.3250599999999997	3.5267800000000005	5.08741	2.84498	5.81412	5.519819999999999	2.3972900000000004	1.84968	1.47294	9.388689999999999	2.9927799999999998
yfdS	b2362	3.0798099999999997	2.22529	3.48905	0.0	0.6335109999999999	0.6607270000000001	0.822358	5.18628	0.0	4.43225	2.88701	4.5507
yafT	b0217	3.78807	5.87549	3.3570900000000004	2.80157	2.33616	3.7060000000000004	3.37894	3.7280300000000004	2.3732599999999997	4.535830000000001	5.03911	3.65392
yfdR	b2361	0.611991	1.35331	1.26367	0.0	0.0	0.78213	0.510104	0.0	0.71027	1.07808	1.1466	0.552751
ypdJ	b4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
torI	b4501	16.1274	9.677719999999999	11.5351	8.22663	11.9849	12.9106	13.0705	29.6865	20.6915	23.8121	25.1635	0.0
dsdX	b2365	1.9013400000000003	1.8449799999999998	1.4377	1.6038299999999999	2.1145099999999997	3.5929	2.95814	3.6028800000000003	3.1562099999999997	3.24122	2.3721099999999997	2.6141099999999997
dsdA	b2366	42.3617	33.3172	35.2445	26.5401	29.0548	31.0637	22.5255	26.0048	32.0607	24.2806	29.3891	25.0272
evgA	b2369	239.571	329.07099999999997	255.91099999999997	348.022	329.67400000000004	362.454	289.705	450.671	411.721	357.70300000000003	384.468	376.116
evgS	b2370	68.6108	73.9167	63.1494	52.8987	47.4091	51.5283	53.8397	54.7377	40.0681	57.9014	74.0805	65.2339
ypdI	b2376	5.2834900000000005	3.41299	0.0	1.4270399999999999	2.5259	1.36658	6.273619999999999	3.58923	2.69908	2.27513	2.40321	2.28963
