NAME	DESCRIPTION	IBUA-M9-_1	IBUA-M9-_2	IBUA-M9-_3	IBUA-Isobut-acid-_1	IBUA-Isobut-acid-_2	IBUA-Isobut-acid-_3	MG1655-Isobut-acid-_1	MG1655-Isobut-acid-_2	MG1655-Isobut-acid-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
thrL	b0001	7039.44	8862.97	14293.2	21802.1	26849.4	6415.16	10339.8	47643.7	22090.3	0.0	10219.4	7489.16
rnhB	b0183	188.328	192.998	162.374	188.608	177.597	199.65099999999998	172.41	177.205	125.92	166.24900000000002	200.34099999999998	123.38799999999999
yedL	b1932	0.767335	0.0	2.42748	0.0	0.485396	0.0	35.7544	23.4111	24.0821	89.3724	102.08	438.186
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	0.0	0.0	0.0	0.0	0.273932	0.0	13.5356	4.27096	10.7719	5.8783	6.6168	5.75456
fliF	b1938	0.124895	0.0	0.13264	0.0	0.20728000000000002	0.0	15.1258	3.88249	5.2030400000000006	6.64105	6.13112	6.85763
fliG	b1939	0.26558899999999996	0.0	0.0	0.0	0.0	0.0	17.4468	6.38008	12.2852	8.5236	4.50579	8.95384
fliI	b1941	0.0	0.0	0.0	0.0	0.0	0.0	11.8927	4.1107	4.483280000000001	6.58413	6.43076	5.49737
fliK	b1943	0.15387699999999999	0.0	0.0	0.0	0.0	0.0	14.1349	4.15126	5.76079	6.53014	5.70279	8.37012
fliJ	b1942	0.0	0.0	0.8538110000000001	0.0	0.0	0.0	8.33	3.95658	7.67037	6.42101	1.61445	6.05692
fliL	b1944	0.8733190000000001	0.0	0.955282	0.0	0.0	0.0	41.931999999999995	7.25327	15.6972	12.1558	15.2687	17.4424
fliN	b1946	0.0	0.0	0.0	0.0	0.5004270000000001	0.51523	18.2401	4.78412	6.862239999999999	4.37531	3.26052	7.41927
lpxB	b0182	207.33	238.785	201.078	285.383	267.695	262.69	201.387	232.315	204.674	199.96	188.07	150.309
fliM	b1945	0.545049	0.0	0.0	0.0	0.0	0.0	33.8887	10.6161	9.06805	13.427999999999999	13.6297	7.8498399999999995
fliP	b1948	0.0	0.0	0.0	0.0	0.277538	0.0	6.80112	2.26153	1.36084	0.680187	2.51151	2.10645
fliO	b1947	0.0	0.0	0.0	0.0	0.0	0.0	11.9708	3.09345	6.842410000000001	3.7494699999999996	4.10992	5.08474
fliQ	b1949	0.0	0.0	0.0	0.0	0.0	1.35932	25.5485	1.54887	4.713769999999999	14.4402	2.38754	4.18201
fliR	b1950	0.0	0.0	0.0	0.0	0.0	0.0	4.99829	2.47877	2.09606	1.82571	2.4969	1.48761
rcsA	b1951	0.0	0.303792	0.4721	0.0	0.776395	0.492062	15.8702	10.8108	22.1532	24.0326	10.6286	26.2108
yodD	b1953	3.05442	2.07845	3.3408599999999997	7.24927	3.2401	1.7206099999999998	106.346	103.382	351.31699999999995	160.097	92.2799	92.8179
yedP	b1955	2.3721099999999997	1.32382	0.9631959999999999	1.06784	1.66553	1.00683	131.715	94.4047	176.69099999999997	115.406	111.897	86.838
yedA	b1959	0.0	0.0	0.0	0.0	0.0	0.0	14.7069	16.9476	14.0354	4.11369	2.61131	4.25661
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	697.1619999999999	810.0930000000001	677.155	662.5189999999999	649.058	639.4630000000001	521.914	616.9	562.977	591.693	598.817	638.4019999999999
hchA	b1967	611.008	660.0139999999999	591.774	314.881	296.634	327.137	177.115	370.56199999999995	533.186	564.855	502.01	247.19799999999998
hiuH	b1970	105.023	61.6098	129.765	2.65258	8.01849	4.978680000000001	7.89945	11.3676	8.38669	52.5937	62.5254	38.1315
yedY	b1971	12.4933	12.7299	13.8056	12.4285	12.795	12.5177	28.0028	28.3803	35.632	35.3323	26.8664	35.8524
yedZ	b1972	8.78508	4.848330000000001	8.0741	7.081060000000001	9.01218	6.702030000000001	17.0019	12.9314	17.5658	14.2152	16.0938	14.8873
zinT	b1973	36.6402	24.1365	23.6053	12.0163	12.6408	15.9411	31.5732	11.7202	10.4209	19.4048	17.8512	20.2573
yodB	b1974	6.0812800000000005	5.61569	5.52473	2.31023	0.442172	3.4846699999999995	10.8547	5.5393	1.99639	3.12368	8.33238	11.2724
mtfA	b1976	48.088	39.5179	43.1432	64.3037	65.3988	47.3336	63.9922	75.9908	71.8398	70.7243	64.5896	77.9692
yeeJ	b1978	7.20247	7.217910000000001	6.845839999999999	12.6319	12.3326	11.9442	13.677999999999999	13.1272	13.0907	9.19478	9.14702	9.18832
shiA	b1981	181.53400000000002	245.166	174.85	140.048	147.69799999999998	150.0	252.479	117.25299999999999	146.497	220.955	208.237	239.168
amn	b1982	350.564	228.12099999999998	382.76099999999997	363.202	385.68699999999995	371.457	408.931	392.59	380.98900000000003	407.75199999999995	431.35400000000004	397.37300000000005
dnaE	b0184	115.249	135.412	123.76100000000001	146.961	141.46200000000002	137.60399999999998	114.229	114.11	101.589	109.7	125.64299999999999	104.04299999999999
yeeN	b1983	947.6419999999999	696.971	948.427	699.648	681.313	683.873	377.75199999999995	367.51300000000003	314.561	364.361	444.11699999999996	393.856
yeeP	b1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flu	b2000	37.7103	43.7014	43.7299	55.047	55.0368	55.9938	36.9521	34.6487	28.9282	49.0878	42.9352	42.178000000000004
yeeR	b2001	5.72428	9.31933	8.7072	9.82061	11.887	14.2258	9.19475	9.82932	8.65725	9.21584	7.413360000000001	9.39058
yeeS	b2002	2.28586	2.51747	3.8259800000000004	2.86227	4.41573	4.11789	4.09935	5.15528	5.0359	5.21495	0.0	3.6415
yeeT	b2003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cbeA	b2004	0.0	0.0	0.0	0.734967	0.0	0.7187060000000001	0.9323809999999999	0.794474	0.5972529999999999	0.0	0.0	0.0
yeeW	b2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accA	b0185	357.529	656.712	316.751	653.268	633.305	602.359	317.068	419.949	564.276	376.208	294.454	448.13800000000003
cbtA	b2005	0.0	1.466	1.1271	2.69049	1.28901	0.6431859999999999	0.0	1.5524200000000001	1.1514	0.0	1.0188	0.0
yoeF	b4538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sbcB	b2011	82.3238	73.1032	91.4793	120.15899999999999	119.21	114.59700000000001	99.1894	98.1323	100.045	65.1248	78.3912	71.5563
hisL	b2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hisG	b2019	742.227	770.38	768.8660000000001	969.243	801.316	1077.24	572.729	379.23	177.907	521.62	464.64300000000003	563.784
hisC	b2021	590.475	530.477	557.811	644.8530000000001	600.564	751.1610000000001	357.89099999999996	268.372	142.244	427.70099999999996	450.712	502.44
hisD	b2020	561.727	473.728	539.656	673.482	573.107	681.01	386.351	247.968	138.028	376.043	371.276	400.3
hisB	b2022	673.4939999999999	730.995	676.7669999999999	720.612	654.854	855.067	394.43300000000005	324.752	188.17	521.571	559.581	621.428
hisH	b2023	315.54900000000004	370.656	285.579	387.311	380.95099999999996	436.704	191.41099999999997	154.46	110.99	283.202	226.713	299.605
hisA	b2024	326.876	430.274	277.41900000000004	458.79400000000004	460.046	509.082	186.169	166.646	122.09	276.469	244.399	306.732
ldcC	b0186	20.4537	19.2548	19.9223	23.6064	24.0664	18.8642	45.9772	43.9985	78.1846	62.5225	65.7829	54.5044
hisF	b2025	336.329	377.083	294.362	385.11	393.844	467.086	167.245	128.765	121.404	230.528	216.204	303.55400000000003
hisI	b2026	795.279	774.9	821.0060000000001	580.911	560.605	780.27	396.088	278.047	187.238	547.997	562.081	609.9630000000001
yegH	b2063	44.7499	43.7346	47.1684	41.8381	47.6657	43.9982	59.7387	58.2517	56.6552	52.5398	48.9139	46.4493
yegE	b2067	22.8365	19.3333	22.7974	31.8765	33.1414	34.1276	47.2536	40.6493	30.2308	28.4032	28.4956	26.9857
