NAME	DESCRIPTION	old_COUM4-2-coum-_1	old_COUM4-2-coum-_2	old_COUM4-2-coum-_3	old_COUM4-2-M9-_1	old_COUM4-2-M9-_2	old_COUM4-2-M9-_3	old_MG1655-coum-_1	old_MG1655-coum-_2	old_MG1655-coum-_3	old_MG1655-M9-_1	old_MG1655-M9-_2	old_MG1655-M9-_3
yeeR	b2001	14.2877	118.41799999999999	12.4687	14.7292	131.08700000000002	16.4202	7.16419	12.2193	7.53989	10.5329	7.377389999999999	12.3915
yeeS	b2002	7.5952399999999995	44.9828	7.7050399999999994	10.2074	39.7284	5.51457	6.23128	7.672619999999999	4.58172	0.0	8.00228	9.21043
yeeT	b2003	0.0	11.8762	0.0	0.0	29.9127	13.6965	0.0	13.9965	16.9956	52.3987	0.0	0.0
cbeA	b2004	13.7391	8.98414	1.94303	0.0	23.2143	8.33388	9.57617	6.11843	12.1437	10.8516	12.3007	5.70716
yeeW	b2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accA	b0185	925.944	913.189	1017.72	987.174	1017.39	1010.14	623.2919999999999	554.11	606.01	595.446	531.9490000000001	615.4019999999999
cbtA	b2005	4.66105	9.494589999999999	2.02825	10.4396	9.60105	8.63095	2.4716299999999998	4.45987	10.9616	0.0	3.1299	11.5088
yoeF	b4538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sbcB	b2011	70.9457	77.476	71.2118	87.4437	85.4826	118.68	84.2616	78.0988	87.9573	78.8198	80.2565	86.7178
hisL	b2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hisG	b2019	242.463	263.238	252.655	1358.16	2588.67	1751.88	377.67	548.2090000000001	424.661	307.844	1053.78	678.466
hisC	b2021	186.986	205.517	184.234	409.668	752.7460000000001	511.38199999999995	292.922	368.159	349.545	326.051	356.776	287.42
hisD	b2020	194.294	195.207	210.69799999999998	622.337	1341.66	871.84	324.72700000000003	340.42699999999996	328.164	301.85	492.228	329.11699999999996
hisB	b2022	257.744	278.432	248.33	442.12	594.32	433.235	367.339	476.98	364.401	361.04699999999997	423.389	399.75
hisH	b2023	179.23	170.298	195.812	292.29	267.12	301.414	253.752	308.855	248.176	219.963	281.048	281.656
hisA	b2024	210.84900000000002	241.166	210.84	312.175	301.18	351.64	309.279	397.49	271.496	345.871	315.69	329.958
ldcC	b0186	46.1345	58.0576	54.7557	49.9629	45.918	50.4616	70.6195	72.1596	71.4251	56.4021	79.0575	62.3446
hisF	b2025	193.123	173.49900000000002	188.31099999999998	322.095	345.50300000000004	291.097	231.832	291.403	267.755	255.868	289.774	269.722
hisI	b2026	266.449	261.428	258.33299999999997	418.99699999999996	437.843	456.30300000000005	302.938	442.32199999999995	379.42400000000004	402.62	439.795	384.30400000000003
yegH	b2063	30.6067	33.5866	31.6918	51.9783	75.8795	59.2771	43.5591	51.6299	49.7972	46.6531	59.4172	51.8746
yegE	b2067	24.2717	25.7753	20.6139	16.1774	9.987910000000001	15.5819	36.6169	34.4026	38.7089	37.4858	27.7887	26.0798
yegD	b2069	26.2062	16.1785	22.6284	34.3627	15.7495	24.3701	27.039	31.3305	19.3511	43.3429	33.961999999999996	29.1442
yegJ	b2071	1.7131900000000002	1.3740700000000001	5.98792	0.0	0.0	0.0	5.37182	7.991510000000001	2.70894	0.0	4.55203	2.0886
mdtA	b2074	28.3526	24.9157	19.2881	4.608619999999999	5.052	11.2644	19.7866	29.486	29.9921	18.3344	16.5576	12.1972
mdtB	b2075	16.3479	12.8577	15.3385	7.0511800000000004	7.4208300000000005	6.35878	18.8867	20.9974	22.1736	14.0425	13.9082	11.7446
mdtC	b2076	12.4653	12.7387	12.0756	4.21737	5.125319999999999	5.99913	13.7902	13.2358	17.9449	5.8882699999999994	8.58595	8.312610000000001
mdtD	b2077	18.9159	12.2112	14.7982	7.075480000000001	8.27086	4.08525	23.9381	12.8589	17.2861	10.5999	6.00684	8.021939999999999
yaeR	b0187	114.425	90.6373	94.8934	116.315	76.3361	88.2104	108.671	98.8867	107.111	115.965	109.523	100.792
baeS	b2078	18.484	17.256	15.0536	8.42601	9.39465	9.88593	18.1921	14.530999999999999	21.6006	11.6887	11.1349	14.22
baeR	b2079	61.2843	71.1632	61.8113	71.26100000000001	130.59	96.9383	64.6735	78.2797	71.1816	71.4715	57.2094	52.99
yegP	b2080	130.342	152.60299999999998	108.331	115.295	105.84100000000001	129.444	403.602	343.781	339.319	348.24800000000005	282.008	345.708
yegQ	b2081	90.3798	91.5595	91.6832	77.0358	42.6881	54.2996	140.97	146.753	147.52700000000002	107.054	62.0493	87.3284
yegS	b2086	26.5119	36.7059	27.4634	22.0127	7.1456100000000005	12.9066	80.0741	72.2784	55.7656	77.8132	64.0866	47.9512
yegV	b2100	25.1122	21.337	28.3432	27.9088	16.7365	21.7375	15.6496	13.4896	23.372	20.5753	17.4415	17.971
yegU	b2099	22.3072	16.1807	17.9505	12.4318	11.3049	17.9661	13.9641	10.8081	11.1056	15.7847	11.4267	14.6494
yegT	b2098	8.88955	12.152999999999999	9.552810000000001	3.89598	9.43251	6.33593	8.900039999999999	8.42874	5.64405	12.1474	6.927010000000001	4.419169999999999
tilS	b0188	76.6763	63.2518	69.8806	37.9256	31.213	35.4824	67.134	76.5706	58.6837	57.1365	40.9422	56.7678
rcnA	b2106	7.34285	10.2811	14.548	13.0324	7.39878	6.58332	10.6454	10.9229	11.3485	5.15285	8.81332	15.129000000000001
rcnB	b2107	347.923	272.47900000000004	329.644	226.873	178.78099999999998	209.921	240.215	194.90200000000002	231.805	163.004	165.095	157.558
metG	b2114	360.621	345.4	370.92699999999996	402.296	253.079	310.66200000000003	351.86699999999996	406.11699999999996	418.37699999999995	396.085	348.227	349.211
yehH	b4499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehI	b2118	6.16908	5.6218699999999995	5.1230199999999995	3.91756	2.76852	2.7065799999999998	4.06292	4.2767800000000005	7.796289999999999	5.36534	4.87717	4.53143
yehK	b4541	0.0	0.0	0.0	0.0	6.57188	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehL	b2119	5.10612	2.75221	0.976389	2.61674	1.20274	2.13576	1.84153	1.61984	1.79588	4.138240000000001	1.56425	2.2290900000000002
yehM	b2120	1.77178	4.57515	3.0545299999999997	4.56492	2.7702	1.25033	3.29585	2.60577	2.0672900000000003	2.65725	3.61636	0.5724779999999999
yehP	b2121	2.57876	2.46845	3.98894	0.0	2.1564799999999997	2.87184	2.74004	2.39417	2.4222099999999998	1.24061	2.11479	1.97532
yehQ	b2122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yaeQ	b0190	88.1251	88.0133	74.2065	105.25399999999999	112.337	125.661	114.552	111.412	88.67399999999999	102.932	100.051	86.9098
yehR	b2123	5.6608	9.35112	10.0541	8.183689999999999	11.5392	0.0	1.9645700000000001	3.6449300000000004	5.9884900000000005	4.30666	9.92356	2.26665
mlrA	b2127	52.4991	55.089	47.6268	12.6396	13.2246	22.1544	62.488	66.6123	64.8965	45.0852	45.0043	51.4774
yohO	b4542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.506	0.0
dld	b2133	138.055	147.516	137.57399999999998	198.118	245.47799999999998	213.657	254.25400000000002	249.798	262.177	290.995	334.11800000000005	289.432
yohD	b2136	45.8884	54.6545	44.9151	45.7702	50.2402	62.8287	112.486	82.3328	90.0969	77.8285	98.3503	54.9638
yohP	b4679	0.0	0.0	0.0	0.0	0.0	0.0	11651.9	0.0	0.0	0.0	0.0	0.0
yohK	b2142	10.4924	16.218	10.8494	169.731	478.398	383.25	15.8255	20.4216	23.7657	20.4121	20.1222	37.3862
yohJ	b2141	14.3547	17.3589	14.5309	370.709	682.0060000000001	568.734	17.5675	6.760839999999999	7.496519999999999	5.68741	15.6507	14.6505
cdd	b2143	58.3989	55.5296	52.8714	87.6987	229.576	202.628	87.759	97.9274	87.1582	51.4055	75.0112	76.7343
sanA	b2144	53.6233	38.6444	47.428000000000004	23.5702	34.8231	34.7929	33.4965	26.877	20.8323	45.1467	44.0164	32.5646
arfB	b0191	64.8652	46.5071	71.7866	59.698	47.163000000000004	42.3155	58.3862	85.0342	60.7573	44.7802	35.7708	45.4201
yeiS	b2145	19.2716	40.6836	21.8743	13.4352	25.0567	34.8705	13.0325	35.8239	33.7036	29.2603	16.1084	30.2568
preA	b2147	5.14846	3.8038800000000004	4.06194	1.9607700000000001	8.1256	1.61037	4.96635	4.01337	2.67616	4.14853	4.68548	4.93931
preT	b2146	6.96092	4.88826	6.413880000000001	6.29284	8.69307	6.91114	4.44118	3.06418	4.36192	2.20211	4.3608	8.2479
yeiG	b2154	263.449	241.19	266.92	312.976	324.592	321.02099999999996	286.74	313.628	273.824	283.064	371.225	312.327
yeiH	b2158	60.5483	55.9829	56.6099	62.0907	49.0227	45.8136	54.1665	54.9375	48.1917	33.9505	47.5631	53.4483
nfo	b2159	142.047	135.886	136.72899999999998	110.667	112.654	125.993	151.92600000000002	172.61700000000002	148.342	86.11	136.85	116.258
yeiI	b2160	60.7738	50.9086	57.2853	43.1915	38.3935	41.0777	73.2843	73.2748	58.4987	42.903	36.7448	53.2859
yeiL	b2163	1.27485	1.0512700000000001	5.58205	0.0	0.0	2.36275	2.7162599999999997	1.25483	1.02329	0.0	1.72845	1.57407
setB	b2170	7.58799	11.8457	14.8953	12.5857	12.7067	13.4109	6.37215	11.4904	12.3157	7.91851	5.24158	7.8211
yeiP	b2171	139.933	125.21799999999999	105.36	199.305	134.40200000000002	175.36700000000002	223.97	223.794	209.643	285.89099999999996	198.83599999999998	212.766
nhaA	b0019	160.366	135.417	149.14700000000002	114.51700000000001	112.905	130.911	175.585	150.90200000000002	156.695	100.848	168.613	140.692
nlpE	b0192	90.9317	86.9223	76.0264	79.4684	80.36399999999999	66.1469	101.762	90.3788	86.6229	71.7381	86.3957	73.7441
yeiQ	b2172	16.9466	12.7757	11.6971	14.2403	34.2282	24.1058	9.88514	12.7045	14.0664	24.0121	17.4119	21.625999999999998
yeiR	b2173	116.686	110.985	105.896	21.8037	26.3023	24.4169	221.87900000000002	220.545	210.97	32.7075	30.6922	55.646
lpxT	b2174	89.7268	75.0188	95.6471	19.1697	22.0307	5.99447	158.352	133.915	153.238	53.6364	31.5508	41.7688
mepS	b2175	1288.77	1021.69	1227.18	242.697	271.844	292.671	1169.45	1153.71	1237.47	1381.3	857.118	1002.14
rtn	b2176	35.2815	40.0488	37.0803	19.173	15.2637	13.6148	38.6043	44.2996	46.9784	36.4247	28.7411	41.7824
yejA	b2177	36.2145	38.3004	33.3374	26.6699	32.6363	28.8975	27.6172	25.1146	37.8471	29.5741	29.1217	33.0181
yejE	b2179	33.3284	38.2887	35.6637	14.4167	10.5883	17.7537	39.3566	33.7993	31.471	24.7766	27.7463	34.5841
yejB	b2178	30.9476	28.0517	32.7485	19.7864	18.1853	15.052999999999999	20.9361	20.3871	33.0849	22.3796	21.8807	29.5653
yejF	b2180	67.1829	86.0469	74.1203	42.7594	55.4806	66.8659	74.4366	62.0405	71.9505	65.3508	63.2571	64.2543
yejH	b2184	21.8871	23.8547	20.5117	14.7319	23.5878	25.6816	27.9942	32.0344	31.7483	29.7358	22.0664	23.8429
gmhB	b0200	122.06	135.542	128.039	267.084	294.003	323.332	152.27700000000002	166.81799999999998	141.821	126.132	160.86	157.27100000000002
rplY	b2185	4297.71	3231.32	3963.76	4285.29	3687.63	4126.57	4944.31	5104.35	4407.08	5502.35	3559.48	4210.69
yejL	b2187	330.715	372.70599999999996	325.601	198.83900000000003	228.352	234.274	522.605	788.216	545.793	548.525	247.88	265.305
yejM	b2188	100.705	100.65	106.552	51.9428	54.7609	51.5554	134.90200000000002	135.559	142.934	148.548	97.4642	97.1804
narP	b2193	71.264	59.7561	54.5397	62.2004	72.5479	65.6727	82.2941	66.8243	51.196999999999996	62.5734	54.0504	75.2448
eco	b2209	64.1545	74.8258	55.4528	53.1612	88.2981	67.366	60.5928	78.6345	46.5429	60.3812	80.3686	45.019
rcsD	b2216	131.53799999999998	138.607	139.097	105.839	97.3541	103.314	140.39700000000002	142.488	155.165	131.541	127.22200000000001	117.209
rcsB	b2217	675.89	716.959	690.296	604.0409999999999	595.953	657.5310000000001	754.041	740.196	695.4580000000001	730.8510000000001	738.9060000000001	690.648
atoC	b2220	10.8095	15.0965	16.1171	5.201969999999999	6.39435	9.947560000000001	11.3531	12.8251	10.3285	20.0288	11.9571	12.5144
atoS	b2219	9.75905	7.78775	8.24731	5.43711	4.9961199999999995	6.66333	7.61735	5.8284	7.64802	9.36773	9.85678	9.77103
atoE	b2223	4.96555	3.94435	2.70529	4.163069999999999	3.7777800000000004	3.3668400000000003	2.8685400000000003	1.6573799999999999	2.8195799999999998	3.30185	2.49115	4.6563300000000005
dkgB	b0207	47.501999999999995	43.2546	45.2222	106.945	114.301	131.928	18.887999999999998	18.7805	20.5101	46.6303	41.4118	30.0714
atoA	b2222	1.07018	2.5481700000000003	1.79862	0.0	0.0	1.97784	2.28117	0.991401	0.8314819999999999	2.5929900000000004	1.46097	0.0
atoD	b2221	4.79044	4.60768	5.82624	2.1544	1.94982	1.7294599999999998	2.0081900000000004	4.4028	0.7384850000000001	0.0	0.0	5.97883
atoB	b2224	4.5423599999999995	4.738	2.74284	1.03785	0.9505170000000001	5.9275	0.962992	3.7748800000000005	1.7851099999999998	2.19405	2.47664	1.74613
ubiG	b2232	125.803	127.569	128.763	93.5099	70.9725	78.6966	184.748	208.31900000000002	176.74200000000002	217.505	152.164	194.357
nrdA	b2234	2058.03	2169.36	2302.37	2112.9	1288.44	1673.73	245.497	239.701	247.093	276.276	198.993	209.305
yfaE	b2236	2353.64	2311.82	2470.05	2311.16	1763.64	1802.2	319.922	456.95	401.425	232.773	226.468	249.128
nrdB	b2235	1626.16	1656.03	1773.26	2095.28	1748.36	2080.97	237.217	226.845	221.685	244.77599999999998	240.429	243.618
yfaH	b2238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glpB	b2242	3.4141	3.5467800000000005	3.77547	3.3922199999999996	0.0	2.75224	4.197019999999999	1.84388	1.52084	3.5124199999999997	2.67564	1.27924
glpC	b2243	9.27767	8.16173	7.996	6.6383	11.1583	6.3234	5.67132	2.67881	5.71375	3.4750199999999998	3.9559	7.41418
yafD	b0209	169.55900000000003	186.59	154.787	145.565	196.833	207.519	258.85200000000003	230.597	263.415	225.66	229.549	179.774
glpA	b2241	2.53352	1.25253	1.8920599999999999	6.60336	15.9542	6.55008	2.02685	1.13926	0.738758	0.0	2.61393	1.65458
yfaD	b2244	17.7153	13.7834	14.9685	27.0626	24.9451	20.8019	16.4189	19.3085	12.319	16.602	19.961	29.9063
ypaA	b4543	61.4808	103.176	61.568999999999996	100.60799999999999	91.8452	85.5269	105.62200000000001	44.411	52.4864	136.491	209.787	92.9913
nudI	b2251	57.2737	53.4384	55.1443	52.598	24.4549	53.8101	69.5667	70.9603	60.1406	31.8567	45.2456	51.6438
arnB	b2253	13.2834	18.235	16.0948	8.37014	6.5965300000000004	6.851030000000001	40.0914	29.2285	31.9794	28.6474	34.915	34.4033
arnT	b2257	5.44377	7.754760000000001	8.89487	1.6759700000000002	6.16207	2.05996	9.73673	9.537469999999999	6.0439099999999994	8.760489999999999	11.4456	5.655069999999999
arnD	b2256	12.4634	11.6863	16.8733	17.1182	5.27674	15.2217	27.2004	22.7774	27.5624	19.5487	24.8588	13.4774
arnA	b2255	18.0177	21.3152	22.229	17.7014	21.1533	14.5715	47.5574	41.1759	45.0642	30.994	41.103	39.8456
arnC	b2254	8.6295	9.79776	8.499369999999999	5.58624	2.53752	3.4244800000000004	30.3392	23.6598	30.1622	24.9078	21.5717	20.2129
arnE	b4544	21.4899	34.8493	13.1994	14.0362	6.388330000000001	22.7474	13.0001	14.7091	31.4197	22.307	16.8481	11.6829
yafE	b0210	42.7626	42.7642	50.4676	64.1884	101.44200000000001	83.8919	41.2479	46.4738	87.3197	28.750999999999998	72.8364	57.7425
arnF	b2258	25.1068	33.586999999999996	54.9489	0.0	47.8369	33.2926	37.4619	27.3357	31.8041	18.4436	27.4061	38.6235
rbn	b2268	39.3304	27.2118	37.0208	42.2041	20.7256	46.3946	39.7431	45.6557	39.0559	44.6009	56.3234	36.4904
elaD	b2269	3.0434799999999997	6.01673	3.79694	3.90805	1.22786	2.16415	5.0107800000000005	1.7254099999999999	3.4291	4.18076	1.5931600000000001	2.1476
yfbL	b2271	0.6068979999999999	1.9491	2.10338	4.08547	0.0	0.0	2.5314099999999997	2.28386	0.0	4.36656	1.63839	0.0
yfbM	b2272	0.0	1.16202	1.25434	6.44943	5.9302	5.25159	0.0	0.0	2.25907	0.0	3.8673599999999997	1.7779200000000002
yfbO	b2274	9.436819999999999	9.73634	6.2832300000000005	10.0455	4.67713	0.0	9.81652	4.57075	9.43718	10.9736	15.3956	2.75756
yfbP	b2275	33.9972	31.0741	31.7657	9.00757	6.75555	14.7702	22.3588	18.4824	17.038	13.220999999999998	9.71895	4.9305699999999995
alaA	b2290	284.276	293.61400000000003	300.46299999999997	281.889	194.03599999999997	216.826	230.463	234.201	237.72799999999998	232.297	147.322	185.88099999999997
yfbR	b2291	61.5276	58.2882	61.3593	93.1817	127.35600000000001	110.51899999999999	50.2026	58.8621	48.8637	58.6053	64.5768	63.0059
ackA	b2296	334.952	347.529	343.25699999999995	456.716	735.081	607.3380000000001	444.506	450.505	492.727	340.125	589.048	352.81699999999995
yafS	b0213	100.272	76.0063	61.2157	82.9058	110.052	80.8708	63.9111	64.9141	63.4391	72.5696	82.6328	59.9976
pta	b2297	628.86	578.235	625.938	608.064	601.14	600.745	474.654	494.923	498.219	348.7	302.086	297.513
yfcC	b2298	7.75385	6.0239199999999995	7.799289999999999	9.31149	16.3133	13.6971	5.24078	4.72656	7.449260000000001	0.997986	8.40219	4.16521
yfcG	b2302	43.4782	32.5009	28.0706	13.6662	18.9748	18.6793	66.1038	48.9158	70.9169	70.6124	54.3318	68.5509
folX	b2303	360.605	341.895	358.967	581.519	462.426	496.901	350.55	301.67	311.217	429.42699999999996	402.648	476.53
yfcH	b2304	201.821	197.142	212.792	214.83	232.60299999999998	221.601	234.545	240.498	212.40099999999998	281.39799999999997	228.41099999999997	206.203
flk	b2321	48.2851	39.9365	35.2083	25.9071	25.7777	35.6012	58.9358	73.7035	73.2494	48.2558	31.5259	56.3235
mnmC	b2324	39.4554	45.1639	35.7322	37.7464	34.5614	33.2159	39.3181	43.3996	37.7664	35.3549	32.7212	34.5263
smrB	b2331	78.1719	74.1608	85.3251	159.866	130.957	157.02	124.85	90.2735	94.0169	68.3108	113.04799999999999	116.11399999999999
fadL	b2344	38.4115	40.2597	36.7971	80.6906	58.2256	82.1645	75.5185	77.1852	71.9632	153.17	103.363	123.309
yfdF	b2345	7.999619999999999	2.52149	6.057580000000001	2.6049900000000004	2.4555700000000003	2.14415	2.53094	1.7404700000000002	5.95529	6.946160000000001	5.56094	3.47194
dnaQ	b0215	164.99599999999998	133.692	144.064	149.046	143.566	166.37	176.49599999999998	137.724	150.72799999999998	183.898	121.441	139.895
yfdC	b2347	25.5992	30.4851	17.5009	27.1348	19.305	26.8923	49.5123	43.1132	36.4864	42.7712	60.15	56.3798
intS	b2349	54.4833	62.0001	53.6135	21.5928	26.7018	19.4807	28.8579	26.1356	19.3232	34.7009	24.7899	22.3685
gtrS	b2352	80.6495	38.5361	79.5108	135.295	55.9314	125.428	77.2167	32.7572	72.4365	109.446	87.2714	106.537
gtrB	b2351	294.819	282.678	295.225	347.335	216.53799999999998	284.693	334.955	278.652	217.977	352.523	240.99200000000002	324.185
gtrA	b2350	230.25	210.68	220.701	110.415	166.947	87.2033	189.93400000000003	124.387	122.59299999999999	174.64700000000002	87.8543	164.083
tfaS	b2353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yfdP	b2359	9.53553	9.737789999999999	12.5762	0.0	4.9075	8.6651	10.0696	4.58125	9.50223	0.0	0.0	2.91423
yfdQ	b2360	3.8465199999999995	4.96765	4.7041	11.8484	11.107999999999999	2.7881400000000003	4.80152	7.944839999999999	2.45464	1.79735	5.1709	12.2054
yfdT	b2363	14.9464	17.2695	15.6752	7.7869399999999995	14.387	25.7398	18.8473	16.8518	19.5941	0.0	23.3986	12.7531
yfdS	b2362	2.29195	7.4146600000000005	2.00888	0.0	0.0	0.0	2.40883	0.0	3.62659	0.0	3.16952	0.0
yafT	b0217	3.04489	5.64131	4.04614	1.68241	3.14745	4.14837	3.93959	4.27888	4.23031	8.899610000000001	4.04614	2.74349
yfdR	b2361	1.44706	0.0	2.49456	0.0	0.0	0.0	1.45791	2.56949	0.0	0.0	0.0	0.0
ypdJ	b4545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
torI	b4501	10.8672	8.64436	28.0502	0.0	20.6868	0.0	42.4419	20.472	23.9111	0.0	0.0	47.4367
dsdX	b2365	9.415189999999999	8.95023	7.8071	5.62726	6.2264800000000005	8.29537	5.77078	6.715089999999999	7.08091	8.433539999999999	8.832880000000001	9.41718
dsdA	b2366	22.8057	25.8502	32.486	21.003	34.0634	31.1271	25.7545	24.4409	22.3622	22.3276	28.0927	16.789
evgA	b2369	219.245	206.107	217.72099999999998	158.201	189.046	208.175	366.881	309.46	334.577	313.649	253.604	258.28700000000003
evgS	b2370	20.4553	22.6197	24.116999999999997	9.0261	8.73954	11.2912	83.7205	79.199	82.5884	62.036	37.4673	53.9527
ypdI	b2376	110.698	33.5641	41.269	0.0	30.1205	9.14003	5.30397	9.86675	3.9659699999999996	0.0	12.9814	11.8461
lpxP	b2378	56.5193	71.3595	64.0197	49.3779	114.833	68.5245	22.2076	26.9661	36.0072	34.999	28.8574	31.116
ypdK	b4680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yafF	b4503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
