NAME	DESCRIPTION	old_COUM4-2-coum-_1	old_COUM4-2-coum-_2	old_COUM4-2-coum-_3	old_COUM4-2-M9-_1	old_COUM4-2-M9-_2	old_COUM4-2-M9-_3	old_MG1655-coum-_1	old_MG1655-coum-_2	old_MG1655-coum-_3	old_MG1655-M9-_1	old_MG1655-M9-_2	old_MG1655-M9-_3
thrL	b0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98979.7	0.0	0.0	0.0
rnhB	b0183	324.85400000000004	336.00699999999995	332.228	177.127	250.774	205.662	123.31700000000001	156.181	146.096	126.027	68.6303	80.5611
yedL	b1932	11.8234	19.0722	8.85004	22.391	10.3282	9.15155	35.6096	34.5761	27.7768	175.638	117.979	126.208
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	9.07274	11.0889	11.3584	7.44389	8.45447	10.5593	14.821	19.3908	16.6348	11.7411	5.54898	7.24025
fliF	b1938	6.6656699999999995	10.1813	10.0827	3.6062800000000004	3.9834	4.71563	8.814969999999999	12.3963	11.7177	9.89887	6.03487	5.296
fliG	b1939	12.4519	12.4456	10.9537	5.08573	13.0071	10.3668	12.379000000000001	19.9779	19.1211	6.56088	11.35	17.9025
fliI	b1941	8.34073	6.0509699999999995	5.10382	2.8134200000000003	1.70882	1.52857	8.19478	9.20845	8.09178	6.8096	4.986190000000001	6.49301
fliK	b1943	4.51391	5.541930000000001	6.96069	3.95371	3.59679	4.0315199999999995	6.451309999999999	9.68079	10.3454	7.13369	4.111680000000001	4.83289
fliJ	b1942	3.49855	8.07455	1.48066	0.0	0.0	3.1083	5.45948	6.11498	4.00885	0.0	0.0	6.25685
fliL	b1944	21.301	9.8207	18.072	20.1632	3.6846099999999997	26.061	15.0493	34.580999999999996	13.7737	12.6509	19.3336	15.7231
fliN	b1946	3.4702300000000004	5.6068	8.924719999999999	7.64328	0.0	0.0	9.130189999999999	14.9061	14.5495	8.049539999999999	6.80545	6.38283
lpxB	b0182	524.972	492.00199999999995	504.084	289.904	295.298	273.41200000000003	235.713	266.353	246.34099999999998	230.513	123.559	147.54
fliM	b1945	7.22628	12.0373	11.3594	2.70087	12.2677	12.3807	15.3062	18.5676	21.166999999999998	17.0039	10.3114	15.9122
fliP	b1948	2.59592	4.81027	5.18535	1.9655	0.0	1.60427	5.49198	4.67971	10.8085	0.0	3.5201	3.3081
fliO	b1947	10.2435	2.1110900000000004	4.48709	0.0	5.45145	9.7352	19.1121	12.4943	12.0637	0.0	0.0	10.0252
fliQ	b1949	0.0	11.2652	8.03171	30.9459	0.0	8.49273	0.0	4.38618	21.6377	10.9199	0.0	5.67023
fliR	b1950	18.5412	16.8824	17.0129	6.33465	5.85858	5.227	7.94769	11.089	6.62453	4.53555	2.55018	3.53779
rcsA	b1951	243.293	215.046	297.189	125.059	144.091	146.415	94.2883	59.5183	96.4897	26.6037	19.9696	28.1639
yodD	b1953	157.52100000000002	111.007	72.5701	133.45600000000002	122.087	168.35299999999998	188.91	153.067	207.52700000000002	155.67600000000002	341.405	229.80700000000002
yedP	b1955	42.1795	59.1731	48.5907	44.4109	31.9291	41.3479	106.228	106.91	110.756	110.65700000000001	114.459	110.979
yedA	b1959	23.2599	33.8497	28.6778	3.62678	3.3151900000000003	4.45527	24.6976	24.5966	32.9259	7.75542	7.59345	4.165780000000001
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	1134.63	1076.59	1099.09	1084.59	992.617	1062.71	521.535	603.585	595.081	667.705	651.112	597.813
hchA	b1967	214.989	234.718	186.207	114.531	86.803	85.0237	488.335	459.494	405.67400000000004	364.32	328.01199999999994	329.874
hiuH	b1970	16.6676	15.784	8.91083	143.753	174.41	185.868	39.8324	29.0136	22.4734	26.081	37.086999999999996	20.371
yedY	b1971	32.7752	34.6763	28.3797	67.5007	59.5024	68.8198	36.1926	36.9053	42.683	39.6562	44.43899999999999	47.361999999999995
yedZ	b1972	27.5552	15.9819	24.8437	22.3592	34.1597	30.5096	20.971999999999998	19.5193	18.1587	23.8917	24.0354	21.0064
zinT	b1973	13.2566	12.1651	12.0154	7.19238	11.4786	14.0374	8.145760000000001	8.81759	7.27233	12.8613	11.7331	14.4398
yodB	b1974	18.3114	9.81921	7.45055	0.0	7.01081	9.30049	0.0	1.6729599999999998	0.0	4.00007	9.066410000000001	8.35547
mtfA	b1976	62.3483	61.4063	63.6273	66.5843	48.9329	34.7532	60.4358	50.8752	67.1033	95.6513	86.8126	98.1852
yeeJ	b1978	12.2878	12.0682	11.4176	14.1083	12.2509	12.4855	11.4956	11.4659	13.5476	13.9649	13.677999999999999	10.1189
shiA	b1981	145.393	143.68200000000002	128.77700000000002	114.443	149.20600000000002	137.737	176.389	193.06900000000002	152.811	134.498	196.467	198.668
amn	b1982	215.22	218.455	198.37400000000002	196.729	209.986	233.65599999999998	266.883	272.045	267.601	337.514	329.305	320.519
dnaE	b0184	269.21299999999997	261.731	268.07599999999996	240.507	220.813	243.06	111.3	127.943	122.76899999999999	93.0101	96.6611	100.64
yeeN	b1983	220.252	204.335	244.446	369.63800000000003	353.276	434.281	343.56800000000004	318.418	309.471	329.335	378.851	369.92900000000003
yeeP	b1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flu	b2000	22.921	449.894	29.2934	35.7972	523.515	30.1274	39.9928	36.454	26.8372	31.1433	26.5185	30.9898
