NAME	DESCRIPTION	HMDA-HMDA-_1	HMDA-HMDA-_2	HMDA-HMDA-_3	HMDA-M9-_1	HMDA-M9-_2	HMDA-M9-_3	MG1655-HMDA-_1	MG1655-HMDA-_2	MG1655-HMDA-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
tadA	b2559	88.0337	104.512	85.6089	52.483000000000004	81.0122	63.6358	71.7169	60.0536	63.6018	86.6395	75.5171	71.1079
pgpC	b2560	117.26299999999999	113.92200000000001	122.476	115.708	58.9785	121.575	156.624	159.39	162.77700000000002	93.2268	98.0384	107.93700000000001
shoB	b4687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acpS	b2563	250.359	175.43900000000002	230.94099999999997	261.361	134.166	200.623	261.006	109.06700000000001	135.78	240.27	265.41200000000003	255.518
pdxJ	b2564	134.97899999999998	154.72	114.166	315.33	226.081	378.00300000000004	128.85	198.69299999999998	177.043	187.72099999999998	148.07	207.132
pagP	b0622	20.7725	19.5857	20.3169	21.8848	8.93668	10.1292	6.42715	19.9549	7.3038300000000005	10.4258	15.5096	16.8814
recO	b2565	108.085	144.957	142.22299999999998	43.2619	62.1988	48.0276	111.92399999999999	83.4387	93.6818	114.47399999999999	132.268	104.118
rnc	b2567	284.383	377.467	405.43300000000005	165.579	342.077	234.85299999999998	303.658	249.18900000000002	226.092	342.921	400.41	329.459
era	b2566	357.04	430.455	450.899	291.188	409.176	254.063	430.69	406.07300000000004	446.93	361.845	417.86199999999997	362.034
lepB	b2568	413.236	407.398	518.001	214.665	291.332	201.52900000000002	661.721	379.36300000000006	421.407	417.07300000000004	494.38300000000004	366.64099999999996
lepA	b2569	267.98400000000004	310.593	279.957	140.07	298.055	198.821	321.009	345.038	348.645	246.541	253.885	263.778
rseB	b2571	326.238	300.825	365.342	162.541	170.018	195.1	475.316	284.04	313.414	303.27299999999997	312.685	278.427
rseC	b2570	139.766	181.907	140.616	68.4885	94.9445	73.778	134.292	144.055	134.602	141.982	119.39399999999999	131.214
rseA	b2572	788.3989999999999	575.7909999999999	743.951	712.326	422.05199999999996	772.9069999999999	1341.62	793.655	975.299	800.962	722.929	624.649
rpoE	b2573	250.812	248.907	194.08599999999998	201.59099999999998	226.39700000000002	309.22	304.783	464.858	498.07800000000003	272.847	236.925	285.84
trmN	b2575	48.3584	52.7777	59.2055	14.4853	65.1721	20.7145	33.5263	27.8323	21.631	42.611999999999995	26.54	36.2573
cspE	b0623	11177.4	24065.2	11865.3	10406.8	19429.4	12314.9	15134.0	17753.7	14724.1	17605.3	17681.1	22596.3
yfiE	b2577	34.5422	36.1828	33.104	22.9609	28.3654	32.4621	33.9447	26.4907	25.5153	33.5154	40.7538	31.3018
