NAME	DESCRIPTION	OCTA-Octa-acid-_1	OCTA-Octa-acid-_2	OCTA-Octa-acid-_3	OCTA-M9-_1	OCTA-M9-_2	OCTA-M9-_3	MG1655-Octa-acid-_1	MG1655-Octa-acid-_2	MG1655-Octa-acid-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
thrL	b0001	14830.8	16110.7	21820.8	31581.5	20606.2	0.0	0.0	3998.03	4005.5	0.0	10219.4	7489.16
rnhB	b0183	331.73199999999997	533.194	318.154	276.117	238.565	309.413	160.97	121.315	125.37899999999999	166.24900000000002	200.34099999999998	123.38799999999999
yedL	b1932	12.6542	14.8449	8.792110000000001	40.5482	21.8918	18.6674	15.4791	19.7499	15.5723	89.3724	102.08	438.186
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	2.39998	3.4557900000000004	1.43175	2.2460400000000003	1.53806	0.42097700000000005	5.48997	5.30401	2.02068	5.8783	6.6168	5.75456
fliF	b1938	0.651303	1.3032	0.90776	1.10314	0.820433	0.6769649999999999	4.45516	4.76511	4.82165	6.64105	6.13112	6.85763
fliG	b1939	2.26231	2.57155	2.33059	1.4278	3.16052	3.1827400000000003	8.13136	6.73997	5.7367099999999995	8.5236	4.50579	8.95384
fliI	b1941	1.88809	3.3506699999999996	1.63037	1.3999	1.3792799999999998	1.8849599999999997	6.9809399999999995	4.23912	5.68594	6.58413	6.43076	5.49737
fliK	b1943	2.91838	3.19063	2.3727400000000003	1.29607	0.9810629999999999	1.33721	8.32666	7.289339999999999	5.99472	6.53014	5.70279	8.37012
fliJ	b1942	0.530523	1.38201	1.3252700000000002	0.692775	0.714885	4.1947	5.3834	3.4720699999999995	7.9420399999999995	6.42101	1.61445	6.05692
fliL	b1944	4.16223	2.7044900000000003	3.6677199999999996	3.3102300000000002	2.50774	0.0	13.0156	4.72361	6.85106	12.1558	15.2687	17.4424
fliN	b1946	0.0	0.890076	2.97411	2.72047	0.718583	0.868592	3.98757	5.60578	1.50829	4.37531	3.26052	7.41927
lpxB	b0182	446.675	702.428	522.099	370.106	262.993	321.629	199.984	154.74200000000002	192.359	199.96	188.07	150.309
fliM	b1945	3.1931	4.2201699999999995	2.62175	0.775606	2.38215	1.2416399999999999	14.7032	11.3735	11.9166	13.427999999999999	13.6297	7.8498399999999995
fliP	b1948	0.771938	0.988194	3.1414400000000002	1.43107	1.0860100000000001	0.795675	2.55155	1.56596	2.1181900000000002	0.680187	2.51151	2.10645
fliO	b1947	0.0	3.17504	2.24912	1.1901700000000002	2.4901299999999997	0.0	12.4439	0.0	4.99945	3.7494699999999996	4.10992	5.08474
fliQ	b1949	3.00222	6.01047	1.0925200000000002	0.0	1.9573099999999999	0.0	9.38896	5.86649	6.57913	14.4402	2.38754	4.18201
fliR	b1950	1.34569	2.18591	1.41215	1.08976	1.11992	0.447038	1.24695	1.46995	1.8362900000000002	1.82571	2.4969	1.48761
rcsA	b1951	68.7876	58.294	60.3644	66.3521	46.3008	14.1656	9.852360000000001	13.9855	22.1982	24.0326	10.6286	26.2108
yodD	b1953	45.0627	43.2868	52.0651	30.3355	17.8425	12.225	136.707	108.917	236.31799999999998	160.097	92.2799	92.8179
yedP	b1955	26.0501	22.1394	22.6438	14.6837	13.700999999999999	13.8131	156.781	173.389	207.85	115.406	111.897	86.838
yedA	b1959	12.9365	12.4594	14.3043	2.1838599999999997	0.732187	1.97872	8.73707	11.9567	9.33441	4.11369	2.61131	4.25661
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	1132.23	1210.66	1205.18	1219.7	1254.34	1027.72	530.1569999999999	507.314	537.236	591.693	598.817	638.4019999999999
hchA	b1967	77.7328	43.43899999999999	81.2607	31.3948	34.8055	23.6908	876.518	953.159	977.551	564.855	502.01	247.19799999999998
hiuH	b1970	12.5363	8.70395	16.0309	30.5113	24.2126	46.2299	83.2626	87.156	62.251999999999995	52.5937	62.5254	38.1315
yedY	b1971	23.2318	13.9832	25.9607	19.421	24.0783	17.5744	41.4942	36.2716	44.5512	35.3323	26.8664	35.8524
yedZ	b1972	18.6082	14.0027	16.0259	12.8498	12.5672	10.4533	16.3439	17.8746	24.0252	14.2152	16.0938	14.8873
zinT	b1973	47.1974	116.689	104.51899999999999	181.644	20.3891	29.9048	14.575999999999999	51.6219	44.0214	19.4048	17.8512	20.2573
yodB	b1974	2.44778	2.57597	2.37445	3.02529	1.9135400000000002	9.693589999999999	3.64921	5.38457	3.6262800000000004	3.12368	8.33238	11.2724
mtfA	b1976	69.6991	63.2909	74.2333	94.2892	69.5473	65.3731	88.0652	68.2042	74.6653	70.7243	64.5896	77.9692
yeeJ	b1978	8.45018	8.290280000000001	7.17851	6.57163	6.07655	6.861210000000001	9.48685	9.79866	9.936580000000001	9.19478	9.14702	9.18832
shiA	b1981	92.1031	73.381	85.6883	232.59799999999998	192.52700000000002	186.72400000000002	93.8696	86.7244	102.359	220.955	208.237	239.168
amn	b1982	252.889	160.496	211.601	179.965	173.1	257.676	481.375	378.233	419.879	407.75199999999995	431.35400000000004	397.37300000000005
dnaE	b0184	223.21400000000003	400.57599999999996	237.859	185.30200000000002	182.71	177.24400000000003	103.181	87.6459	85.5776	109.7	125.64299999999999	104.04299999999999
yeeN	b1983	356.565	281.225	404.405	595.077	434.624	689.3910000000001	425.85400000000004	452.67800000000005	357.05400000000003	364.361	444.11699999999996	393.856
yeeP	b1999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
flu	b2000	26.9985	24.8135	22.6749	28.7461	21.3432	69.9053	42.3898	29.7639	43.369	49.0878	42.9352	42.178000000000004
yeeR	b2001	8.7801	9.810260000000001	6.82493	8.4641	7.5426899999999995	14.4593	8.28467	6.30371	7.075660000000001	9.21584	7.413360000000001	9.39058
yeeS	b2002	5.03609	5.1126	1.9046299999999998	5.85245	2.4773400000000003	5.19629	1.8396	1.57152	2.27616	5.21495	0.0	3.6415
yeeT	b2003	0.0	1.70478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cbeA	b2004	0.0	0.631954	1.20875	0.0	0.0	0.0	0.0	1.00332	0.0	0.0	0.0	0.0
yeeW	b2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accA	b0185	627.303	921.2460000000001	803.762	739.096	709.7919999999999	390.343	247.747	261.671	282.322	376.208	294.454	448.13800000000003
cbtA	b2005	1.42398	0.0	0.5705319999999999	0.0	0.9016799999999999	1.08444	0.0	0.0	1.94612	0.0	1.0188	0.0
yoeF	b4538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sbcB	b2011	86.4497	66.0891	87.2985	78.934	85.5802	93.5061	76.7718	76.7476	69.04899999999999	65.1248	78.3912	71.5563
hisL	b2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hisG	b2019	547.065	541.619	394.376	561.696	859.203	552.4780000000001	347.976	360.898	288.70099999999996	521.62	464.64300000000003	563.784
hisC	b2021	378.82599999999996	412.95	342.8	454.17199999999997	517.062	472.296	288.211	291.781	238.775	427.70099999999996	450.712	502.44
hisD	b2020	364.353	419.191	343.212	413.471	468.905	372.015	266.77099999999996	258.315	213.065	376.043	371.276	400.3
hisB	b2022	516.817	581.63	435.81199999999995	603.797	656.554	543.613	371.532	384.00800000000004	336.423	521.571	559.581	621.428
hisH	b2023	269.882	346.522	242.483	303.235	343.124	220.209	172.81599999999997	145.72899999999998	147.046	283.202	226.713	299.605
hisA	b2024	289.806	397.897	288.72	412.356	395.031	244.826	152.243	143.065	167.921	276.469	244.399	306.732
ldcC	b0186	28.776999999999997	33.647	24.5305	23.5504	20.1177	21.5887	85.1985	79.2025	98.0577	62.5225	65.7829	54.5044
hisF	b2025	249.81599999999997	348.157	279.842	368.10699999999997	345.06	266.416	134.343	150.262	156.464	230.528	216.204	303.55400000000003
hisI	b2026	546.22	572.21	430.97900000000004	564.283	706.097	730.922	444.452	399.68800000000005	350.215	547.997	562.081	609.9630000000001
yegH	b2063	37.6933	34.6484	42.1431	35.303000000000004	36.9549	31.1566	39.4047	43.3534	41.0151	52.5398	48.9139	46.4493
yegE	b2067	19.6071	22.5665	16.1061	16.6584	17.2835	18.3609	33.0184	34.2888	30.6978	28.4032	28.4956	26.9857
yegD	b2069	24.6782	26.9568	20.831999999999997	23.3603	28.0311	20.0169	30.6652	27.0746	32.8803	36.8503	42.2301	42.7991
yegJ	b2071	4.28969	3.2065	3.04934	6.24147	1.7743	7.3644300000000005	6.2118	4.1950400000000005	4.3545300000000005	7.90855	5.81819	8.101980000000001
mdtA	b2074	14.369000000000002	14.7217	14.3914	16.3407	20.9488	22.3198	26.2595	29.9409	27.5812	17.0747	28.6746	19.9808
mdtB	b2075	9.48157	15.2927	9.6866	11.9605	9.43635	8.224160000000001	13.9348	12.6179	14.3182	11.5772	11.8676	9.00404
mdtC	b2076	8.987860000000001	13.6342	10.2424	8.19631	8.582989999999999	5.60064	8.92355	9.884360000000001	9.871830000000001	7.35686	6.19672	7.147810000000001
mdtD	b2077	28.2607	37.8748	26.6231	5.0993	4.61771	7.713189999999999	18.5322	23.206	19.7988	6.57525	9.52127	6.14309
yaeR	b0187	53.2742	80.7894	60.7432	71.1378	58.4314	40.2476	83.8957	104.286	100.65700000000001	94.3267	93.79799999999999	77.1177
baeS	b2078	22.5509	32.4795	23.3286	6.19974	10.4203	7.4375100000000005	24.4132	21.796	25.6559	9.18118	8.728589999999999	11.482999999999999
baeR	b2079	103.28	81.7393	81.5766	49.5809	69.6755	117.01799999999999	187.795	141.349	108.191	93.7421	97.8495	64.265
yegP	b2080	71.2257	47.7031	75.8949	17.8246	14.1969	28.1068	789.238	897.075	950.638	500.44199999999995	409.45599999999996	266.252
yegQ	b2081	101.80799999999999	126.509	104.65	124.88	109.234	97.7216	113.764	116.354	108.54899999999999	116.598	116.81200000000001	142.535
yegS	b2086	24.6545	20.2835	28.3238	10.4629	11.0961	14.5366	177.88299999999998	165.615	178.106	100.167	109.538	65.95
yegV	b2100	29.3986	28.1229	24.1473	28.7836	32.2854	34.6287	16.1784	11.2909	18.5075	17.4294	18.6698	20.3283
yegU	b2099	24.2318	21.9239	23.1575	25.9786	30.4673	18.1515	12.7681	13.8443	16.9845	17.8754	11.3576	12.4888
yegT	b2098	15.2118	14.8026	8.08836	19.8039	18.7963	36.1936	16.972	14.677	13.2077	17.172	20.4451	14.4212
tilS	b0188	60.464	74.1855	65.73100000000001	61.4469	60.3166	38.5174	65.1184	59.1691	64.3052	65.9863	57.9858	59.3418
rcnA	b2106	19.9882	10.8976	14.7755	12.7734	16.1384	16.5801	12.022	12.0838	11.8173	12.7113	7.44672	10.5729
rcnB	b2107	462.806	341.704	454.18	316.774	340.892	568.512	561.061	546.149	295.17	199.47099999999998	332.356	214.99
metG	b2114	516.309	472.881	547.052	487.81800000000004	498.51	412.31699999999995	295.214	317.755	290.317	350.041	303.311	386.54699999999997
yehH	b4499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yehI	b2118	2.8223	2.8145	2.5320400000000003	2.0465299999999997	3.13047	1.69658	4.211880000000001	3.05343	3.5148900000000003	3.66971	2.57462	3.11891
yehK	b4541	3.3208300000000004	0.858419	2.36625	1.20507	0.0	0.0	1.66061	0.0	0.0	1.38097	1.42892	0.0
yehL	b2119	2.96901	2.9318400000000002	3.47091	3.8337800000000004	3.13024	2.6796900000000003	0.0	0.863483	0.48616499999999996	0.72007	0.509685	2.0110200000000003
yehM	b2120	2.04588	1.48326	1.7853400000000001	0.302346	1.31657	1.07663	0.957465	1.38091	1.53735	2.09155	1.66399	1.09711
yehP	b2121	1.8070599999999999	1.85369	1.23776	1.48884	0.638586	0.693674	0.823528	2.0211099999999997	0.554255	1.56971	0.0	1.45179
yehQ	b2122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yaeQ	b0190	75.7291	77.7938	90.4861	89.3471	92.4455	53.1576	67.3005	59.4116	87.5375	73.90899999999999	88.1617	82.7508
yehR	b2123	8.25256	6.20685	4.94231	9.91221	8.66522	6.796989999999999	3.9455699999999996	5.43164	4.615480000000001	2.7785599999999997	4.99458	3.53935
mlrA	b2127	15.769	8.51417	12.6242	4.13325	3.31549	3.37514	93.4177	71.7345	97.7003	54.9069	45.031000000000006	42.4603
yohO	b4542	0.0	33.9864	0.0	40.2928	68.0343	0.0	0.0	0.0	48.8752	0.0	0.0	0.0
dld	b2133	184.44099999999997	161.543	204.136	219.99099999999999	210.74200000000002	223.25599999999997	285.61400000000003	267.888	261.539	257.0	257.423	285.476
yohD	b2136	42.423	39.3727	35.7734	32.2775	40.1354	39.0813	102.506	135.293	124.322	87.189	89.7501	77.8752
yohP	b4679	0.0	0.0	0.0	295.334	0.0	0.0	0.0	702.587	757.17	0.0	0.0	0.0
yohK	b2142	17.6196	17.8608	18.2288	23.4263	24.8637	18.7389	18.4226	13.548	20.2355	20.6053	19.0162	18.4418
yohJ	b2141	23.2518	19.6894	20.9461	20.4349	35.6237	44.8541	19.4844	26.256	17.4225	13.4959	18.3835	16.9141
cdd	b2143	102.955	113.176	87.0528	41.6849	59.8724	47.3173	45.0975	70.4249	54.5763	51.4412	40.6313	44.9886
sanA	b2144	29.8882	31.4105	34.1326	38.2843	29.3208	40.5511	27.4043	21.513	30.3273	25.2457	20.546	25.066
arfB	b0191	73.4634	64.4599	66.6422	52.5991	69.7712	76.1458	107.00399999999999	80.8147	92.8391	75.9417	84.8802	74.964
yeiS	b2145	77.4163	53.9482	50.2516	94.1957	42.6332	58.5292	69.9044	79.1286	71.2879	113.501	99.3958	68.9481
preA	b2147	7.2953	8.36726	5.06926	4.9528099999999995	6.194780000000001	9.04315	8.47771	7.03325	9.63979	7.00709	6.76318	7.29098
preT	b2146	4.310219999999999	6.664619999999999	3.4627	2.61694	4.17094	2.46723	4.52789	2.89132	4.73997	3.3999099999999998	2.8566700000000003	3.5237800000000004
yeiG	b2154	153.447	125.459	167.262	121.103	129.579	104.199	244.44	226.657	255.11599999999999	275.052	240.63	307.106
yeiH	b2158	25.3737	20.7368	16.9841	27.0842	27.412	25.0353	39.5068	34.0794	44.6501	47.0945	53.7195	48.4603
nfo	b2159	152.032	125.755	147.739	81.3152	87.5876	82.5966	187.329	179.43200000000002	203.37099999999998	111.669	101.34100000000001	98.6293
yeiI	b2160	62.5272	65.7844	67.9724	41.3545	37.5192	38.1859	68.6849	64.3794	70.3496	41.6297	47.6318	37.007
yeiL	b2163	2.7889999999999997	3.31434	3.4908300000000003	5.04624	2.4818599999999997	6.62714	4.12512	4.08075	3.8471900000000003	5.49817	9.90208	3.01009
setB	b2170	8.044780000000001	7.3185899999999995	9.87423	3.69771	6.53011	9.07343	10.715	7.901160000000001	7.72606	4.65209	8.75457	4.75195
yeiP	b2171	293.65	283.343	305.913	445.33	403.13300000000004	493.846	309.93	313.613	242.95	251.75799999999998	241.96	278.16900000000004
nhaA	b0019	98.33	95.5027	87.88799999999999	116.679	131.496	157.688	454.538	457.845	461.665	163.817	190.416	134.76
nlpE	b0192	70.9432	67.0775	70.2566	54.0204	65.0173	44.5518	80.9302	94.2701	95.9547	73.5172	70.3158	75.4447
yeiQ	b2172	29.6477	28.0049	31.8829	36.1056	38.0937	22.4777	8.12014	13.7862	11.9383	17.6959	14.2695	13.5056
yeiR	b2173	142.615	149.393	145.66299999999998	50.7725	52.3111	60.2853	125.179	111.91799999999999	103.146	63.1806	61.2488	49.8622
lpxT	b2174	121.40100000000001	121.012	130.029	47.8778	41.2906	39.1867	65.2503	67.4158	62.7659	49.3139	57.1504	43.7889
mepS	b2175	2010.52	1623.39	1776.01	1961.61	1772.12	2396.77	1467.15	1614.16	1432.4	1423.05	1569.58	1635.89
rtn	b2176	42.1203	28.8966	31.9853	25.8526	27.1953	55.1896	41.867	39.9327	35.0075	36.3295	41.7734	35.5093
yejA	b2177	28.2893	34.544000000000004	24.1843	14.8558	17.8642	19.6269	28.9135	31.6841	32.829	18.2555	20.1947	20.975
yejE	b2179	28.1044	40.9112	21.0471	15.5482	16.6317	30.4209	40.9084	43.816	38.488	27.5547	36.5681	30.396
yejB	b2178	23.4726	37.8712	20.7531	12.9811	15.8808	13.1306	26.5875	27.5871	25.7793	21.9425	22.8068	23.0043
yejF	b2180	34.177	49.205	29.5884	26.369	19.8999	21.3248	44.6747	41.7485	43.9596	34.6811	45.2427	43.6209
yejH	b2184	21.2186	24.0406	24.9167	13.870999999999999	14.9761	12.3794	17.364	22.4571	19.6719	17.2369	17.5104	18.8651
gmhB	b0200	156.859	123.92299999999999	138.476	178.774	182.042	216.953	177.562	167.202	147.58100000000002	190.905	190.94299999999998	218.47099999999998
rplY	b2185	5521.02	3982.59	4083.16	6282.2	6395.92	8096.33	5575.12	4498.69	3686.52	4688.25	4450.91	4989.57
yejL	b2187	826.814	404.051	544.105	481.444	488.602	616.695	624.02	399.148	499.199	674.242	511.621	523.969
yejM	b2188	118.57799999999999	144.97	126.76299999999999	112.73700000000001	95.3417	82.15299999999999	100.14	98.0574	100.24	109.08	106.42299999999999	102.78200000000001
narP	b2193	85.991	78.2159	59.3082	64.8941	74.8671	61.5852	71.9891	70.2705	66.6603	87.8641	67.2741	86.9228
eco	b2209	42.7127	36.0433	43.1128	36.17	56.7316	44.1827	77.4644	74.0783	76.4552	55.4579	33.8971	54.8611
rcsD	b2216	156.705	154.452	159.425	150.159	138.339	135.622	143.579	153.36	143.54	123.02799999999999	118.205	128.688
rcsB	b2217	745.518	604.969	736.467	848.46	849.095	786.6260000000001	613.513	709.5889999999999	695.3389999999999	624.819	593.4630000000001	771.753
atoC	b2220	11.3656	10.2796	11.5534	9.943610000000001	7.8475	8.12075	17.4218	13.3721	15.8863	12.0255	12.9754	11.5345
atoS	b2219	6.42255	4.64343	4.46539	4.46626	3.8881	3.91825	6.578539999999999	6.55987	5.83788	4.83153	4.8066	4.63724
atoE	b2223	2.68012	1.01232	1.23034	2.0906	1.72183	2.43089	0.99915	1.74521	2.4495	1.62321	0.398775	0.9259629999999999
dkgB	b0207	51.3489	39.3908	44.3743	63.3331	62.8059	45.6276	49.5586	51.4825	51.1685	43.8119	36.1591	44.4548
atoA	b2222	0.0	0.962189	0.31048600000000004	0.0	0.9948299999999999	0.571876	0.0	0.44872399999999996	0.658247	0.480332	0.5317810000000001	0.494544
atoD	b2221	0.812375	0.4955	0.240788	0.376205	0.381538	0.46856400000000004	0.842878	0.769003	0.533512	0.766725	0.888639	0.392676
atoB	b2224	2.54862	1.7738	1.46597	2.21373	2.21912	2.98887	3.2882800000000003	1.9779900000000001	3.58351	4.44418	2.51341	3.6324199999999998
ubiG	b2232	234.326	184.239	233.06599999999997	241.389	264.8	227.63099999999997	202.49400000000003	207.21599999999998	191.727	187.889	216.329	214.171
nrdA	b2234	294.11400000000003	329.227	292.642	471.791	442.161	420.691	357.93300000000005	362.686	348.575	319.077	318.13599999999997	286.276
yfaE	b2236	834.431	514.431	483.19800000000004	717.977	846.18	2257.94	1752.34	1394.42	954.59	743.1360000000001	969.7130000000001	555.974
nrdB	b2235	283.327	306.04	313.548	401.39099999999996	387.462	316.449	253.68900000000002	283.592	279.486	233.835	211.93	232.743
yfaH	b2238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
glpB	b2242	5.9539800000000005	3.73299	2.17755	3.18525	3.44644	3.8908099999999997	4.378909999999999	3.05055	4.4591199999999995	3.0194799999999997	2.66359	2.67564
glpC	b2243	4.43864	2.1941	1.58841	2.01192	1.9166400000000001	2.16624	2.52909	3.57424	3.21563	2.6884200000000003	3.7997400000000003	3.18356
