NAME	DESCRIPTION	PUTR-Putrescine-_1	PUTR-Putrescine-_2	PUTR-Putrescine-_3	PUTR-M9-_1	PUTR-M9-_2	PUTR-M9-_3	MG1655-Putrescine-_1	MG1655-Putrescine-_2	MG1655-Putrescine-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
thrL	b0001	3493.64	17745.9	4322.38	8593.53	12474.5	19079.0	2605.67	9171.5	1811.14	0.0	10219.4	7489.16
rnhB	b0183	238.622	271.318	265.776	90.3674	107.00299999999999	114.601	214.09099999999998	211.52700000000002	197.12	166.24900000000002	200.34099999999998	123.38799999999999
yedL	b1932	17.3718	14.1372	7.1760399999999995	51.5481	53.3168	56.6536	16.0294	20.5005	14.2835	89.3724	102.08	438.186
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	1.81787	1.70104	0.6181300000000001	3.88394	3.45059	4.40375	4.2255	3.11577	2.36754	5.8783	6.6168	5.75456
fliF	b1938	0.6922149999999999	0.309717	0.331836	2.7179900000000004	1.42029	2.38052	1.5121799999999999	1.2393399999999999	1.75463	6.64105	6.13112	6.85763
fliG	b1939	2.41457	3.28819	2.75196	4.5454300000000005	4.81283	4.64461	5.706230000000001	4.07911	4.01314	8.5236	4.50579	8.95384
fliI	b1941	0.322804	0.749688	1.7752299999999999	3.2766900000000003	2.60632	3.51856	2.48331	1.50855	2.1467099999999997	6.58413	6.43076	5.49737
fliK	b1943	0.569585	0.7268439999999999	1.7394599999999998	2.98155	2.27453	4.08443	1.22821	2.4775	1.85162	6.53014	5.70279	8.37012
fliJ	b1942	0.0	0.0	0.577555	1.5308700000000002	2.41552	2.79892	0.565048	1.63487	2.42552	6.42101	1.61445	6.05692
fliL	b1944	0.649626	3.70439	1.36671	3.9960400000000003	6.28406	5.55406	1.9647400000000002	2.40754	2.75755	12.1558	15.2687	17.4424
fliN	b1946	0.547836	1.09608	0.0	3.65931	5.80165	1.4785	1.71965	2.48558	1.58674	4.37531	3.26052	7.41927
lpxB	b0182	407.539	409.58099999999996	369.561	163.312	159.13299999999998	151.334	335.65	425.12300000000005	377.75199999999995	199.96	188.07	150.309
fliM	b1945	1.27334	1.99543	2.16227	5.67696	5.3722	6.44524	2.08929	3.5583199999999997	1.90093	13.427999999999999	13.6297	7.8498399999999995
fliP	b1948	1.2108	0.27543	0.6050369999999999	1.2321600000000001	0.793337	0.999172	0.5877140000000001	0.899392	0.21663400000000002	0.680187	2.51151	2.10645
fliO	b1947	0.0	0.956699	0.0	1.98436	1.77826	3.5216199999999995	0.98101	3.6505900000000002	2.8081400000000003	3.7494699999999996	4.10992	5.08474
fliQ	b1949	2.98779	2.8380400000000003	3.22369	0.988836	6.40115	3.9306699999999997	3.18606	2.25356	3.2725400000000002	14.4402	2.38754	4.18201
