NAME	DESCRIPTION	HEXA-Hexa-acid-_1	HEXA-Hexa-acid-_2	HEXA-Hexa-acid-_3	HEXA-M9-_1	HEXA-M9-_2	HEXA-M9-_3	MG1655-Hexa-acid-_1	MG1655-Hexa-acid-_2	MG1655-Hexa-acid-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
thrL	b0001	11656.1	21715.2	0.0	22641.8	12520.4	21025.8	11295.6	9888.97	3902.98	0.0	10219.4	7489.16
rnhB	b0183	280.29400000000004	306.574	318.25	252.72799999999998	277.382	265.746	145.72799999999998	136.49200000000002	122.943	166.24900000000002	200.34099999999998	123.38799999999999
yedL	b1932	12.085	12.3959	5.30379	56.4511	38.8148	49.4481	20.646	19.0367	17.936	89.3724	102.08	438.186
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	5.16435	3.2446200000000003	3.04992	2.60757	1.1887299999999998	1.9809599999999998	4.06902	3.45526	3.6013699999999997	5.8783	6.6168	5.75456
fliF	b1938	2.56576	1.6498700000000002	2.01653	0.960727	0.876424	0.842261	2.0232900000000003	4.19168	2.37239	6.64105	6.13112	6.85763
fliG	b1939	7.8151399999999995	4.75217	5.19937	3.31241	2.4272299999999998	2.8813	4.44571	7.872380000000001	6.18583	8.5236	4.50579	8.95384
fliI	b1941	3.5223199999999997	2.3546400000000003	1.60113	1.38179	1.90545	1.6673900000000001	3.6226300000000005	4.48243	2.4878	6.58413	6.43076	5.49737
fliK	b1943	2.43078	3.40725	2.24267	1.0232700000000001	1.16642	1.00173	2.99685	3.0828599999999997	4.30947	6.53014	5.70279	8.37012
fliJ	b1942	4.96415	1.61426	0.0	0.0	1.15773	1.5903399999999999	2.97841	3.2368200000000003	1.8119	6.42101	1.61445	6.05692
fliL	b1944	2.25256	5.10355	5.1026	3.39954	1.89641	1.2307700000000001	2.78693	5.87424	5.73457	12.1558	15.2687	17.4424
fliN	b1946	1.00305	2.21904	1.51175	1.9058400000000002	0.534393	1.01889	2.4654599999999998	2.55295	5.50554	4.37531	3.26052	7.41927
lpxB	b0182	264.616	298.691	286.472	327.079	323.448	335.05800000000005	184.13	114.76700000000001	185.438	199.96	188.07	150.309
fliM	b1945	3.5327599999999997	3.01268	3.3692699999999998	1.6169799999999999	1.22832	1.96433	4.26673	4.599480000000001	5.72841	13.427999999999999	13.6297	7.8498399999999995
fliP	b1948	1.45118	0.8588959999999999	0.728271	0.755811	0.8427479999999999	1.08589	0.878592	0.811125	0.630447	0.680187	2.51151	2.10645
fliO	b1947	5.144769999999999	0.948459	1.2932700000000001	0.842799	0.0	1.7816599999999998	3.20533	1.47165	3.2096400000000003	3.7494699999999996	4.10992	5.08474
