name	slope	intercept	baseline	phase1_start	phase1_end	phase1_slope	phase1_intercept	phase1_baseline	phase1_exclude	phase1_SNR	phase2_start	phase2_end	phase2_slope	phase2_intercept	phase2_baseline	phase2_exclude	phase2_SNR	phase3_start	phase3_end	phase3_slope	phase3_intercept	phase3_baseline	phase3_exclude	phase3_SNR	phase4_start	phase4_end	phase4_slope	phase4_intercept	phase4_baseline	phase4_exclude	phase4_SNR
A01			
A02	0.51009048602	7.46053279666	-0.0723162866563	2.83854	11.33905	0.51009048602	7.46053279666	-0.0723162866563	False	127.658781153	16.17283	22.83982	0.343123006448	13.9345213142	13.5454268274	False	38.1486585143	48.3415	66.67594	0.0512864401459	33.5386241883	50.4879756292	False	25.0305316812
A03	0.369562264853	5.61586314517	0.060407692482	0.01871	10.5057	0.369562264853	5.61586314517	0.060407692482	False	352.642770787	13.17258	17.33949	0.864441267126	14.7229660361	11.0406491478	False	169.012972985	28.17356	32.50714	0.12190475105	10.2817570383	24.4498798219	True	74.726994544	62.34228	65.84267	0.142178700129	65.6504216978	63.1567304641	True	1.16191567914
A04	0.44390870468	6.80390663631	0.259210175183	0.01871	13.17258	0.44390870468	6.80390663631	0.259210175183	False	918.483630594	24.17338	29.00694	0.0668248381011	-5.20689770503	23.480339235	True	49.3307004521	76.6767	81.01032	0.281222403106	79.2266213602	47.1934669218	True	14.8976635204
A05	0.501622448036	4.74400636879	-0.0463924267413	0.01871	10.67236	0.501622448036	4.74400636879	-0.0463924267413	False	355.259933591	15.67266	18.33963	0.942811371079	16.5690983207	31.9724345647	True	9.98513344872	23.83993	28.50692	0.156847591968	16.9752364013	38.321601512	True	5.15680873364	44.67464	53.34182	0.0436360598395	3.4796520017	44.9605813422	True	11.643759275
A06	0.12735218604	5.57963963849	-0.409986929319	2.00526	20.17307	0.12735218604	5.57963963849	-0.409986929319	False	149.968579578	42.17455	54.84185	0.159855542668	48.3170678267	11.1869963408	False	14.4692623505
A07	0.0217196337536	-51.8245286371	-1.42038035962	17.83955	32.67385	0.0675521698994	10.4628251719	0.272091052515	False	66.7176851111	45.17459	70.17622	0.0217196337536	-51.8245286371	-1.42038035962	False	88.5579206711
A08	0.206178201092	7.22732548766	-0.164129550041	3.17198	18.00625	0.206178201092	7.22732548766	-0.164129550041	False	252.822811301	34.67393	47.17487	0.100145940061	24.7782298428	18.2940760674	False	61.9376667925	60.67552	67.50941	0.104270921164	52.4696648682	31.7058848666	True	24.5424604743	78.34346	81.01032	1.7433079848	81.5984034931	39.9619700135	True	1.38446029134
B01			
B02	0.468650425313	6.47659575401	-0.321425477416	3.33864	11.50582	0.468650425313	6.47659575401	-0.321425477416	False	150.975163453	16.3395	21.67304	0.302155463837	11.6269582976	14.4345536988	False	63.4563286564	41.34112	55.8419	0.0443113889992	20.5798815707	49.9354840561	False	37.526203555	60.00901	65.00919	0.0327380921034	7.22565780747	49.786040651	True	12.9339107786
B03	0.393113236016	5.42799759943	0.190611983149	0.01871	10.00569	0.393113236016	5.42799759943	0.190611983149	False	217.599991852	12.50584	15.83952	1.69252693746	15.1843163388	12.7424185698	True	8.4455528863	21.67304	30.84034	0.0823341945975	-4.69860708235	18.6766383687	False	73.1488938896
B04	0.45152922617	6.67681518694	-0.00412109092518	0.6717	12.83932	0.45152922617	6.67681518694	-0.00412109092518	False	596.654163073	23.33989	28.67348	0.188065971164	21.1023520869	28.1116663502	True	46.7414274743	42.84116	48.00811	0.0806888677699	30.949234282	35.0504501453	True	27.6815883683	77.84344	81.01032	0.589049766177	81.3318508144	45.7202253886	True	7.74799251691
B05	0.531099485905	4.79015419249	0.0456907502458	1.33843	10.17234	0.531099485905	4.79015419249	0.0456907502458	False	488.699864176	15.67266	18.33963	0.139249412196	-1.19484336402	23.197288484	True	3.38578658414	24.67328	29.67362	0.06553588786	-6.84170468047	35.4035048907	True	5.2497519253	47.17487	57.50872	0.0248737589943	-40.8958341413	42.8941268788	False	10.582555766
B06	0.164731805061	8.99124336515	-0.0090552921076	0.33851	17.67291	0.164731805061	8.99124336515	-0.0090552921076	False	133.465188118	39.50758	53.67521	0.0935876644941	35.0530433799	10.5229943496	False	34.3303459108
B07	0.0360509225156	-2.74534464387	-0.808078545167	6.67212	34.34053	0.0360509225156	-2.74534464387	-0.808078545167	False	51.3463712268	50.17501	59.00892	0.0805413524471	56.6814079855	3.67801338659	True	1.89017223229	67.17599	81.01032	0.0729190673003	68.0996240645	4.64026935692	True	6.69792221501
B08	0.20882578782	8.17353830033	0.0833365176605	0.50505	18.50625	0.20882578782	8.17353830033	0.0833365176605	False	156.09733363	37.67421	45.84142	0.16890009344	35.2367438852	19.6365087434	True	23.5720510423
C01			
