compound	experiment	growth_rate	repl	strain	well
HMDA	ALE_HDMA_duplicates_080114	0.6696912174519188	1	HMDA3-5	A06
HMDA	ALE_HDMA_duplicates_080114	0.05379945232459793	2	MG1655	D01
HMDA	ALE_HDMA_duplicates_080114	0.39113949560330885	1	HMDA7-7	C01
HMDA	ALE_HDMA_duplicates_080114	0.38492666002858245	2	HMDA7-1	E08
HMDA	ALE_HDMA_duplicates_080114	0.6016648071492222	3	HMDA3-5	F07
HMDA	ALE_HDMA_duplicates_080114	0.3578008902295458	3	HMDA1-10	C06
HMDA	ALE_HDMA_duplicates_080114	0.04863920848160985	1	MG1655	A01
HMDA	ALE_HDMA_duplicates_080114	0.4103127737319291	2	HMDA6-7	E07
HMDA	ALE_HDMA_duplicates_080114	0.4238630551109447	2	HMDA6-3	E06
HMDA	ALE_HDMA_duplicates_080114	0.46743587458882097	1	HMDA5-5	B04
HMDA	ALE_HDMA_duplicates_080114	0.40248690818578736	1	HMDA6-3	B06
HMDA	ALE_HDMA_duplicates_080114	0.3405615187664695	1	HMDA2-8	A04
HMDA	ALE_HDMA_duplicates_080114	0.27988041801427366	1	HMDA8-10	C05
HMDA	ALE_HDMA_duplicates_080114	0.37281232493599037	1	HMDA4-2	A08
HMDA	ALE_HDMA_duplicates_080114	0.33427440301116557	1	HMDA1-10	A02
HMDA	ALE_HDMA_duplicates_080114	0.3669513923612733	1	HMDA7-10	C02
HMDA	ALE_HDMA_duplicates_080114	0.3941097783156687	1	HMDA3-4	A05
HMDA	ALE_HDMA_duplicates_080114	0.4659854795855885	1	HMDA3-6	A07
HMDA	ALE_HDMA_duplicates_080114	0.3132402358858672	2	HMDA7-7	F01
HMDA	ALE_HDMA_duplicates_080114	0.36822403426595596	2	HMDA4-2	D08
HMDA	ALE_HDMA_duplicates_080114	0.32854164548288006	2	HMDA4-9	E02
HMDA	ALE_HDMA_duplicates_080114	0.15220382383496833	2	HMDA8-10	F05
HMDA	ALE_HDMA_duplicates_080114	0.3110020371853297	2	HMDA5-5	E04
HMDA	ALE_HDMA_duplicates_080114	0.2712377436754057	1	HMDA5-10	B05
HMDA	ALE_HDMA_duplicates_080114	0.33250524404334425	3	HMDA2-1	C07
HMDA	ALE_HDMA_duplicates_080114	0.07334899711721436	2	HMDA8-9	F04
HMDA	ALE_HDMA_duplicates_080114	0.30423075252426196	2	HMDA3-4	D05
HMDA	ALE_HDMA_duplicates_080114	0.3375594580100128	2	HMDA4-6	E01
HMDA	ALE_HDMA_duplicates_080114	0.34925639561619554	1	HMDA8-9	C04
HMDA	ALE_HDMA_duplicates_080114	0.305577929644033	3	HMDA3-4	F06
HMDA	ALE_HDMA_duplicates_080114	0.33773889438599447	2	HMDA1-10	D02
HMDA	ALE_HDMA_duplicates_080114	0.23325540994114627	2	HMDA5-10	E05
HMDA	ALE_HDMA_duplicates_080114	0.40079694024655466	1	HMDA7-1	B08
HMDA	ALE_HDMA_duplicates_080114	0.3586242987472265	3	HMDA2-8	C08
HMDA	ALE_HDMA_duplicates_080114	0.3642688751973929	1	HMDA4-6	B01
HMDA	ALE_HDMA_duplicates_080114	0.6757029322695038	2	HMDA3-5	D06
HMDA	ALE_HDMA_duplicates_080114	0.3294763039564006	2	HMDA2-1	D03
HMDA	ALE_HDMA_duplicates_080114	0.31502795101389697	2	HMDA2-8	D04
HMDA	ALE_HDMA_duplicates_080114	0.3570820077600535	1	HMDA8-5	C03
HMDA	ALE_HDMA_duplicates_080114	0.36240554688349924	1	HMDA6-7	B07
HMDA	ALE_HDMA_duplicates_080114	0.32920719582851693	2	HMDA3-6	D07
HMDA	ALE_HDMA_duplicates_080114	0.3115018224914681	1	HMDA2-1	A03
HMDA	ALE_HDMA_duplicates_080114	0.3399733384223619	2	HMDA5-4	E03
HMDA	ALE_HDMA_duplicates_080114	0.3461070706965289	2	HMDA7-10	F02
HMDA	ALE_HDMA_duplicates_080114	0.46383811572434586	1	HMDA5-4	B03
HMDA	ALE_HDMA_duplicates_080114	0.34876930744553003	3	HMDA3-6	F08
HMDA	ALE_HDMA_duplicates_080114	0.10929337507284186	2	HMDA8-5	F03
HMDA	ALE_HDMA_duplicates_080114	0.2966262068978321	1	HMDA4-9	B02
hexanoate	ALE_hexanoate_duplicates_101314	0.444814716609754	1	HEXA2-9	A06
hexanoate	ALE_hexanoate_duplicates_101314	0.19836379643438462	2	MG1655	D01
hexanoate	ALE_hexanoate_duplicates_101314	0.5904657089582797	1	HEXA6-9	C01
hexanoate	ALE_hexanoate_duplicates_101314	0.454920482872768	2	HEXA6-7	E08
hexanoate	ALE_hexanoate_duplicates_101314	0.5395182368051237	3	HEXA2-9	F07
hexanoate	ALE_hexanoate_duplicates_101314	0.7938667738524238	3	HEXA1-1	C06
hexanoate	ALE_hexanoate_duplicates_101314	0.2012578951979364	1	MG1655	A01
hexanoate	ALE_hexanoate_duplicates_101314	0.4605114012258863	2	HEXA6-6	E07
hexanoate	ALE_hexanoate_duplicates_101314	0.4348693469511457	2	HEXA6-5	E06
hexanoate	ALE_hexanoate_duplicates_101314	0.0	1	HEXA4-7	B04
hexanoate	ALE_hexanoate_duplicates_101314	0.4326473893303141	1	HEXA6-5	B06
hexanoate	ALE_hexanoate_duplicates_101314	0.4861931877296289	1	HEXA1-5	A04
hexanoate	ALE_hexanoate_duplicates_101314	0.5064693106803161	1	HEXA8-5	C05
hexanoate	ALE_hexanoate_duplicates_101314	0.6070889052948926	1	HEXA3-1	A08
hexanoate	ALE_hexanoate_duplicates_101314	0.7428440279800442	1	HEXA1-1	A02
hexanoate	ALE_hexanoate_duplicates_101314	0.2992036690032385	1	HEXA7-2	C02
hexanoate	ALE_hexanoate_duplicates_101314	0.6718958097616119	1	HEXA2-3	A05
hexanoate	ALE_hexanoate_duplicates_101314	0.5148796676685102	1	HEXA2-10	A07
