GENE	MEDIUM	STRAIN	STRAIN:MEDIUM	medium_direction	strain_direction	interaction_direction
thrL	0.8549290575281436	2.893475330908883	0.26758685895268947	-1.0	1.0	-1.0
rnhB	58.416646114923395	0.10284475313775317	17.985586306110296	1.0	-1.0	1.0
yedL	4.188846016486616	1.9623409376226344	1.769116506076148	-1.0	-1.0	1.0
fliH	49.44466834143954	27.705135149580766	0.16753100730863335	-1.0	-1.0	1.0
fliF	195.00278792800063	125.36218829115556	46.70133964402154	-1.0	-1.0	1.0
fliG	8.791024738921555	8.27545835938907	0.32404362541368514	-1.0	-1.0	1.0
fliI	87.05912681410716	37.374651356702266	8.230921166244197	-1.0	-1.0	1.0
fliK	43.544799829955345	18.149973633699275	7.298922374530522	-1.0	-1.0	1.0
fliJ	9.510169152939	5.051663106774731	0.42347050630852395	-1.0	-1.0	1.0
fliL	68.53630625609584	27.738921641815626	22.840696699061326	-1.0	-1.0	1.0
fliN	11.664895637310972	2.3127858722991714	3.5583792010171044e-05	-1.0	-1.0	-1.0
lpxB	178.4484037842654	0.02784995667619837	1.3149103367431103	1.0	-1.0	1.0
fliM	42.76746190878723	10.496903097292961	6.43818638089341	-1.0	-1.0	1.0
fliP	5.194895041380611	0.9012834377273008	1.794287211607468	-1.0	-1.0	1.0
fliO	13.136753301444488	13.836423365481574	0.06358223763037649	-1.0	-1.0	-1.0
fliQ	1.415409076215935	0.5832075208941903	0.6703993069502133	-1.0	-1.0	1.0
fliR	5.572196926998446	6.91433865049177	1.5994378016636583	-1.0	-1.0	1.0
rcsA	43.88730515260855	24.100886258850828	33.59934402796721	1.0	1.0	1.0
yodD	30.910060578804497	21.642165771125757	1.0937040213923837	1.0	1.0	1.0
yedP	0.6185939403316943	44.328852109582556	0.0007955937729122266	1.0	1.0	1.0
yedA	1.8061358295037473	4.967318536629697	23.565746240919932	-1.0	-1.0	1.0
lpxA	73.85155299049767	10.409915331294263	5.047681502262504	1.0	-1.0	1.0
hchA	49.07757429946035	88.3486672099218	44.34825609169414	-1.0	1.0	-1.0
hiuH	28.60838792802305	4.467161888848127	1.1205285199705073	-1.0	-1.0	1.0
