,isobutyrate,Butyrate,Valerate,2-methylbutyrate,Isovalerate,4-methylvalerate,2-methylhexanoate
IBUA1-5,0.561689064976104,0.08475993804300001,0.0,0.3023946443713333,0.3844914724233333,0.38338693233033333,0.25543043366833335
IBUA1-7,0.6764909022216239,0.23015986377166667,0.20553326384466666,0.27319908966399997,0.3147781864893333,0.3282154913726667,0.24473072391200001
IBUA1-9,0.6742378751006851,0.09967436338306668,0.13974842385466668,0.240498534201,0.32566661707433336,0.316691614245,0.20947807493033332
IBUA2-1,0.4034925790761233,0.0,0.14430248343666666,0.35389761959466665,0.3515830505226667,0.31056795710266666,0.30796895861466667
IBUA2-6,0.8129848792263519,0.0,0.0,0.13702919098666666,0.31470300998266665,0.3811944075496667,0.20551478648266666
IBUA2-9,0.6089477416859478,0.08418183276306668,0.21946239944533333,0.441669958497,0.3605409893616667,0.31171434087,0.2864543841203333
IBUA3-10,,0.26536141169033334,0.31927859604900005,0.3447680501536667,0.2790085908316667,0.301786961725,0.26248804113533336
IBUA3-2,0.703370927978217,0.24389882931066667,0.18266979307099998,0.3336447765333333,0.37866231715200005,0.41297237532700004,0.2300510428763333
IBUA3-4,0.576160876585991,0.3428649768843333,0.248175856562,0.3382898637216667,0.4129137096356667,0.4876475072306667,0.3594307384233333
IBUA4-1,0.4359815949149222,0.261206104535,0.2605938775896667,0.320870551657,0.31548476280233334,0.3924404714723333,0.32441787023466667
IBUA4-8,0.5021571582077063,0.04405421830533333,0.2533444221926667,0.3616598235946667,0.372562357562,0.43112799339033336,0.456540882209
IBUA4-9,0.5749541066586386,0.27453805193666664,0.28023517219099997,0.3175365159826667,0.33421004478666666,0.06475501378123333,0.27070321755733334
IBUA5-2,0.5575460516248244,0.31872520573566665,0.3672668599846666,0.3546929244186667,0.38034800578200006,0.42374018655266665,0.3516902564253333
IBUA5-5,0.5603811209643287,0.311165581365,0.3366840092146666,0.33996584128966667,0.38686333940666673,0.388088783647,0.3505881687406667
IBUA5-6,0.5110633466125517,0.2945139041673333,0.3252909298033333,0.3479164498266667,0.39212584901700004,0.41520387430333333,0.18558351316966668
IBUA6-10,0.6100234697057533,0.0,0.0,0.0,0.39033782110233334,0.45496896523766667,0.15341653630833332
IBUA6-7,0.5862359892953377,0.33517967508066665,0.34797735938366664,0.30328771648766667,0.38981743100866667,0.41757237051733337,0.417909157065
IBUA6-9,0.5671329341928123,0.0,0.0,0.0,0.35094676772300004,0.3839090738343333,0.230221696817
IBUA7-6,0.5840278053440597,0.25481897170533335,0.0,0.310184544749,0.3102382661186667,0.332314524765,0.152359638554
IBUA7-7,,0.3037075197833333,0.0,0.29127764377633336,0.32229509186199995,0.30707409372433336,0.20196510577333335
IBUA7-9,0.5036892909697666,0.2930964725556667,0.0,0.3340054091733333,0.3155225629066667,0.39076816511033335,0.1887367432796667
IBUA8-10,0.6230820967699916,0.31381633107833334,0.13092454036896667,0.306672335247,0.42368824475999994,0.429106674361,0.26850036813166667
IBUA8-3,0.5931436709547904,0.3369978779293333,0.362838470029,0.30235644104666665,0.4120373151353333,0.434668610093,0.30101444420566664
IBUA8-4,0.5706382380027164,0.34453425771500007,0.2914478611776667,0.3081961056263333,0.410674051805,0.42349281270266664,0.296438506105
MG1655,0.3508879080871598,0.175414410111,0.196706670821,0.24818759745599997,0.24721193309533337,0.289819401286,0.24127287614533333
