evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
"1,2-propanediol",M9,12PD6-6,3,0.7526000815392414,0.08847743284629705,1.133224537697109,12PD
"1,2-propanediol",M9,12PD7-6,1,0.6726574105166911,0.008534761823746795,1.012851183197176,12PD
"1,2-propanediol",M9,12PD8-6,2,0.8760637642939607,0.21194111560101636,1.319129480101509,12PD
"1,2-propanediol",M9,12PD8-10,3,0.8913402535680425,0.22721760487509812,1.3421319922190331,12PD
"1,2-propanediol",M9,12PD1-2,2,0.929691983467366,0.2655693347744217,1.3998799548503382,12PD
"1,2-propanediol",M9,12PD2-5,1,0.9061348087219462,0.24201216002900183,1.36440883397864,12PD
"1,2-propanediol",M9,12PD2-9,2,0.7483276641424935,0.08420501544954917,1.1267913624317323,12PD
"1,2-propanediol",M9,12PD3-8,3,0.7208545915681337,0.056731942875189345,1.0854238941961145,12PD
"1,2-propanediol",M9,12PD4-8,1,0.6673475141172532,0.003224865424308887,1.0048558281074373,12PD
"1,2-propanediol",M9,12PD5-1,2,0.7078225010616541,0.04369985236870977,1.0658008764717106,12PD
"1,2-propanediol",M9,12PD5-9,3,0.6943980161694792,0.03027536747653481,1.0455870124834916,12PD
"1,2-propanediol",M9,12PD6-9,1,0.6273820766296065,-0.036740572063337806,0.9446780317827638,12PD
"1,2-propanediol",M9,12PD7-6,2,0.6505000934061738,-0.013622555286770588,0.9794878923138955,12PD
"1,2-propanediol",M9,12PD8-6,3,0.8451316319318187,0.18100898323887438,1.2725535465401112,12PD
"1,2-propanediol",M9,12PD1-2,3,0.8366540117894377,0.1725313630964933,1.2597884041992111,12PD
"1,2-propanediol",M9,12PD2-5,2,0.7833485218725545,0.1192258731796102,1.1795238777268895,12PD
"1,2-propanediol",M9,12PD2-9,3,0.6498013402525556,-0.014321308440388703,0.9784357475707621,12PD
"1,2-propanediol",M9,12PD3-10,1,0.5879869337929491,-0.07613571489999527,0.8853589543289369,12PD
"1,2-propanediol",M9,12PD4-8,2,0.732098703759163,0.06797605506621862,1.102354670782576,12PD
"1,2-propanediol",M9,12PD5-1,3,0.6959700628881597,0.03184741419521531,1.0479541154904053,12PD
"1,2-propanediol",M9,12PD6-3,1,0.7021868474321479,0.038064198739203525,1.0573150137465082,12PD
"1,2-propanediol",M9,12PD6-9,2,0.6928131406500655,0.028690491957121145,1.04320059256161,12PD
"1,2-propanediol",M9,12PD7-6,3,0.6287848407160734,-0.035337807976870916,0.9467902381489036,12PD
"1,2-propanediol",M9,12PD8-7,1,0.7020577913754138,0.03793514268246945,1.0571206881095372,12PD
NA,M9,MG1655,1,0.5590983749398931,-0.06694385860606011,0.8930681429799316,23BD
"2,3-butanediol",M9,23BD1-8,1,0.5446058935974438,-0.0814363399485094,0.8699187761067693,23BD
NA,M9,MG1655,2,0.6009953031785767,-0.025046930367376485,0.9599916283195326,23BD
