	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	bioAB-1	opgH-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	bioAB-2	opgH-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	bioAB-3	opgH-3	proQ-3	proP-1	ompR_proQ-1	ompR_proP-1	bioAB_ompR-1	bioAB_ompR_proQ-1	bioAB_ompR_proQ-1dup	proP-2	ompR_proQ-2	ompR_proP-2	bioAB_ompR_proQ-2	bioAB_ompR-2	bioAB_ompR_proQ-2dup	proP-3	ompR_proQ-3	ompR_proP-3	bioAB_ompR-3	bioAB_ompR_proQ-3	bioAB_ompR_proQ-3dup
0.01397	63.995	40.575	48.023999999999994	46.873000000000005	46.956	47.253	30.863000000000003	37.537	57.891000000000005	51.848	59.945	29.666	3.895	20.383	45.909	49.446000000000005	76.185	62.586999999999996	41.371	2.27	0.643	0.82	63.265	62.645	82.589	79.282	50.348	5.672999999999999	-21.108	1.197	85.176	79.817	62.836999999999996	64.717	5.559	8.839	73.118	85.024	62.495	43.981	73.005	85.145
0.17159	88.914	94.869	78.77600000000001	77.183	83.286	64.40899999999999	64.303	30.845	70.668	68.652	84.7	69.452	21.464000000000002	59.93	90.27799999999999	75.45	94.323	103.67	119.661	18.54	78.494	22.756999999999998	77.583	113.88799999999999	84.76	129.39	104.501	37.964	-9.373	81.639	44.852	81.95100000000001	73.339	100.64299999999999	5.707999999999999	-4.293	17.913	20.912	58.155	58.428000000000004	28.753	105.834
0.33833	0.0	0.0	0.064	0.769	0.579	2.802	2.208	0.0	0.0	1.67	27.978	9.264	0.013999999999999999	1.07	10.619000000000002	2.359	0.0	0.0	36.791	0.0	0.081	-5.497999999999999	61.012	0.0	0.02	0.0	7.739	0.62	-10.032	0.37200000000000005	0.011000000000000001	0.0	0.033	27.951	16.362000000000002	0.502	0.158	0.0	0.258	0.063	0.0	0.0
0.50505	0.147	0.295	0.0	0.7859999999999999	0.5870000000000001	2.426	1.8559999999999999	0.061	0.14	0.077	0.055999999999999994	0.0	0.179	0.29100000000000004	0.35200000000000004	2.492	0.16399999999999998	0.326	0.0	1.879	0.19899999999999998	0.34600000000000003	0.0	0.9359999999999999	0.036000000000000004	0.36	0.0	0.026000000000000002	1.26	0.159	0.065	0.239	0.025	0.0	16.218	0.402	0.312	0.301	0.222	0.121	6.871	0.07400000000000001
0.67159	0.12	0.359	0.154	1.186	0.48	2.138	1.435	0.152	0.282	0.111	0.0	0.151	0.324	0.44299999999999995	0.285	2.759	0.27899999999999997	0.3	0.152	2.202	0.021	0.305	0.027999999999999997	1.115	0.0	0.331	0.183	0.205	1.181	0.162	0.145	0.271	0.0	0.575	0.20199999999999999	0.364	0.402	0.272	0.13699999999999998	0.003	6.796	0.039
0.83842	0.111	0.41100000000000003	0.055	0.988	0.225	1.7519999999999998	1.205	0.322	0.12	0.132	0.11199999999999999	0.171	0.011000000000000001	0.28300000000000003	0.183	1.507	0.297	0.47100000000000003	0.11199999999999999	2.309	0.012	0.321	0.018000000000000002	1.285	0.168	0.502	0.264	0.07400000000000001	1.064	0.063	0.252	0.262	0.142	0.596	0.193	0.292	0.18100000000000002	0.35200000000000004	0.128	0.084	6.691	0.027000000000000003
1.00501	0.18899999999999997	0.33899999999999997	0.043	0.636	0.414	1.058	0.998	0.27899999999999997	0.28300000000000003	0.0	0.10099999999999999	0.39799999999999996	0.086	0.18	0.107	1.96	0.282	0.5489999999999999	0.369	2.3819999999999997	0.0	0.09300000000000001	0.09300000000000001	1.27	0.152	0.669	0.402	0.0	0.429	0.021	0.444	0.27899999999999997	0.221	0.584	0.06	0.245	0.10800000000000001	0.429	0.177	0.042	6.761	0.102
1.1718	0.162	0.252	0.136	0.491	0.42	1.0659999999999998	0.615	0.192	0.017	0.09300000000000001	0.254	0.43200000000000005	0.0	0.33299999999999996	0.111	1.306	0.28600000000000003	0.462	0.402	2.536	0.183	0.158	0.307	1.1840000000000002	0.066	0.8220000000000001	0.435	0.004	0.527	0.054000000000000006	0.23800000000000002	0.282	0.16399999999999998	0.677	0.063	0.18899999999999997	0.172	0.522	0.0	0.075	6.766	0.106
1.33838	0.267	0.687	0.151	0.33899999999999997	0.295	1.1079999999999999	0.49700000000000005	0.209	0.308	0.198	0.298	0.5379999999999999	0.41	0.259	0.131	1.851	0.305	0.5670000000000001	0.299	2.5580000000000003	0.168	0.33	0.145	1.382	0.17600000000000002	0.8690000000000001	0.451	0.23199999999999998	0.361	0.039	0.381	0.298	0.358	0.662	0.349	0.18	0.218	0.539	0.19399999999999998	0.06	6.791	0.275
1.50519	0.18899999999999997	0.6990000000000001	0.163	0.306	0.054000000000000006	1.178	0.818	0.45899999999999996	0.193	0.09	0.161	0.578	0.266	0.42	0.077	1.84	0.37200000000000005	0.45899999999999996	0.5489999999999999	2.6519999999999997	0.24	0.003	0.363	1.39	0.122	0.909	0.43200000000000005	0.09	0.429	0.141	0.264	0.429	0.311	0.674	0.0	0.095	0.10800000000000001	0.639	0.11699999999999999	0.042	6.7010000000000005	0.192
