	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
0.00483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054000000000000006	0.0	0.053	0.053	0.062	0.0	0.0	0.0	0.0	0.0	0.209	0.0	0.026000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.057	0.0	0.0	0.0
0.17142	0.7959999999999999	0.34600000000000003	0.10400000000000001	0.185	0.239	0.212	0.264	0.188	0.106	0.0	0.024	0.0	0.0	0.037000000000000005	0.106	0.29	0.214	0.027000000000000003	0.027999999999999997	0.0	0.026000000000000002	0.0	0.614	0.37200000000000005	0.163	0.188	0.161	0.054000000000000006	0.18600000000000003	0.213	0.0	0.26899999999999996	2.015	0.083	0.08199999999999999	0.24100000000000002	0.055	0.084	0.239	0.191	0.027999999999999997	0.006	0.239	0.161	1.199	0.134	0.18899999999999997	0.322
0.33811	0.284	0.311	0.326	0.32899999999999996	0.305	0.597	0.247	0.33899999999999997	0.121	0.145	0.085	0.092	0.223	0.0	0.27699999999999997	0.382	0.125	0.068	0.363	0.044000000000000004	0.25	0.147	0.6779999999999999	0.361	0.079	0.502	0.153	0.17300000000000001	0.22899999999999998	0.20199999999999999	0.201	0.344	0.047	0.183	0.33799999999999997	0.39399999999999996	0.045	0.18600000000000003	0.309	0.299	0.018000000000000002	0.0	0.256	0.179	0.0	0.17800000000000002	0.317	0.39899999999999997
0.50468	0.27	0.377	0.223	0.5760000000000001	0.501	0.47200000000000003	0.253	0.326	0.158	0.23199999999999998	0.142	0.313	0.28300000000000003	0.225	0.33899999999999997	0.603	0.11	0.239	0.24100000000000002	0.297	0.285	0.371	0.946	0.5329999999999999	0.095	0.491	0.38	0.316	0.4	0.48100000000000004	0.265	0.414	0.06	0.386	0.325	0.302	0.19	0.149	0.401	0.268	0.16399999999999998	0.015	0.375	0.21899999999999997	0.22899999999999998	0.191	0.413	0.285
0.67151	0.424	0.344	0.292	0.701	0.41200000000000003	0.46299999999999997	0.618	0.213	0.312	0.35600000000000004	0.264	0.519	0.461	0.433	0.384	0.568	0.39799999999999996	0.419	0.287	0.48	0.35600000000000004	0.41700000000000004	2.226	0.473	0.307	0.8909999999999999	0.429	0.361	0.528	0.528	0.392	0.519	0.295	0.544	0.373	0.45799999999999996	0.292	0.281	0.449	0.43	0.077	0.14400000000000002	0.449	0.294	0.14400000000000002	0.48	0.46399999999999997	0.41700000000000004
0.83808	0.521	0.46799999999999997	0.303	0.795	0.452	0.396	0.496	0.22899999999999998	0.192	0.369	0.221	0.56	0.501	0.341	0.424	0.5	0.36	0.299	0.275	0.524	0.47600000000000003	0.27	2.048	0.569	0.272	1.072	0.419	0.348	0.544	0.32799999999999996	0.461	0.40299999999999997	0.662	0.48200000000000004	0.49700000000000005	0.47600000000000003	0.28	0.569	0.41100000000000003	0.317	0.065	0.027000000000000003	0.41100000000000003	0.256	0.26899999999999996	0.41600000000000004	0.429	0.302
1.00488	0.502	0.611	0.252	0.909	0.40399999999999997	0.59	0.5539999999999999	0.37200000000000005	0.306	0.34700000000000003	0.17	0.485	0.39799999999999996	0.348	0.51	0.5589999999999999	0.287	0.33299999999999996	0.282	0.6409999999999999	0.48200000000000004	0.384	2.311	0.441	0.228	0.975	0.34700000000000003	0.354	0.578	0.551	0.387	0.386	0.158	0.465	0.424	0.539	0.315	0.31	0.526	0.276	0.153	0.306	0.526	0.345	0.11599999999999999	0.37	0.52	0.475
1.17163	0.784	0.541	0.231	0.7829999999999999	0.467	0.5720000000000001	0.534	0.221	0.316	0.301	0.311	0.629	0.514	0.304	0.49200000000000005	0.54	0.35200000000000004	0.37	0.4	0.626	0.46299999999999997	0.366	2.4459999999999997	0.64	0.187	0.664	0.386	0.41700000000000004	0.643	0.426	0.505	0.589	0.27699999999999997	0.478	0.462	0.47	0.488	0.35100000000000003	0.537	0.48200000000000004	0.136	0.237	0.401	0.32899999999999996	0.317	0.489	0.588	0.354
1.33823	0.32799999999999996	0.6829999999999999	0.364	0.7020000000000001	0.5770000000000001	0.41	0.589	0.19899999999999998	0.455	0.41	0.281	0.604	0.461	0.309	0.466	0.7040000000000001	0.384	0.428	0.377	0.688	0.601	0.505	2.4930000000000003	0.564	0.332	0.51	0.392	0.365	0.675	0.5660000000000001	0.48200000000000004	0.462	0.12	0.623	0.604	0.532	0.5479999999999999	0.496	0.623	0.387	0.168	0.327	0.515	0.281	0.21600000000000003	0.46799999999999997	0.57	0.419
1.5048	0.5920000000000001	0.539	0.381	0.72	0.622	0.618	0.606	0.245	0.31	0.42700000000000005	0.298	0.7859999999999999	0.505	0.409	0.484	0.667	0.267	0.446	0.47700000000000004	0.708	0.591	0.524	2.234	0.718	0.243	0.612	0.41100000000000003	0.465	0.721	0.503	0.528	0.428	0.575	0.589	0.569	0.633	0.649	0.408	0.6970000000000001	0.545	0.268	0.23800000000000002	0.534	0.327	0.48100000000000004	0.48700000000000004	0.59	0.521
