	rpsG1-1	proV_rpsG1-1	proV_mreB-1	proV_spoT-1	proV_argG-1	proV_rpsG1_mreB-1	proV_rpsG1_spoT-1	proV_rpsG1_argG-1	rpsG1-2	proV_rpsG1-2	proV_mreB-2	proV_spoT-2	proV_argG-2	proV_rpsG1_mreB-2	proV_rpsG1_spoT-2	proV_rpsG1_argG-2	rpsG1-3	proV_rpsG1-3	proV_mreB-3	proV_spoT-3	proV_argG-3	proV_rpsG1_mreB-3	proV_rpsG1_spoT-3	proV_rpsG1_argG-3	MG1655-1	proV-1	PUTR3-1_1	proV_ygaC-1	proV_edd/zwf-1	proV_ygaC_edd/zwf-1	PUTR8-10_1	MG1655-2	proV-2	PUTR3-1_2	proV_ygaC-2	proV_edd/zwf-2	proV_ygaC_edd/zwf-2	PUTR8-10_2	MG1655-3	proV-3	PUTR3-1_3	proV_ygaC-3	proV_edd/zwf-3	proV_ygaC_edd/zwf-3	PUTR8-10_3
1.83849	0.128	0.174	0.799	0.436	0.47	0.804	0.406	0.47	0.187	0.207	0.635	0.475	0.733	1.1320000000000001	0.425	0.467	0.099	0.37200000000000005	0.7759999999999999	0.701	0.8320000000000001	0.782	0.449	0.319	0.514	0.7120000000000001	0.43799999999999994	0.5660000000000001	0.6940000000000001	0.9259999999999999	0.384	0.348	0.44799999999999995	0.515	1.012	0.946	1.112	0.384	0.513	0.613	0.547	0.977	0.9179999999999999	1.807	0.48
2.00529	0.132	0.212	0.8370000000000001	0.541	0.508	0.8420000000000001	0.245	0.508	0.092	0.245	0.8059999999999999	0.513	0.672	1.104	0.397	0.406	0.10400000000000001	0.377	0.78	0.541	0.904	0.82	0.321	0.258	0.452	0.7829999999999999	0.475	0.5710000000000001	0.701	0.965	0.29	0.253	0.519	0.619	1.051	0.852	1.1179999999999999	0.32299999999999995	0.517	0.617	0.584	1.015	0.991	1.912	0.419
2.17183	0.295	0.21	0.735	0.5379999999999999	0.605	0.9390000000000001	0.408	0.605	0.12300000000000001	0.209	0.77	0.5770000000000001	0.636	1.002	0.42700000000000005	0.47	0.168	0.308	0.8440000000000001	0.67	0.736	0.818	0.418	0.355	0.41700000000000004	0.682	0.5720000000000001	0.502	0.6970000000000001	1.028	0.32	0.251	0.45	0.551	0.9490000000000001	0.915	1.148	0.42	0.449	0.615	0.5489999999999999	1.079	0.988	1.975	0.483
2.33851	0.302	0.21600000000000003	0.644	0.513	0.612	0.946	0.349	0.513	0.031	0.21600000000000003	0.579	0.486	0.777	1.109	0.535	0.478	0.075	0.315	0.752	0.579	0.9420000000000001	0.7929999999999999	0.359	0.231	0.424	0.722	0.547	0.5770000000000001	0.773	1.038	0.32799999999999996	0.258	0.457	0.525	0.9570000000000001	0.857	1.3219999999999998	0.32799999999999996	0.42200000000000004	0.589	0.655	1.0859999999999999	0.998	1.8519999999999999	0.622
2.50524	0.32799999999999996	0.17600000000000002	0.802	0.406	0.605	1.005	0.309	0.7040000000000001	0.12300000000000001	0.242	0.6709999999999999	0.41100000000000003	0.769	1.2009999999999998	0.39399999999999996	0.569	0.068	0.374	0.745	0.47200000000000003	1.0	0.884	0.451	0.322	0.318	0.7809999999999999	0.44	0.602	0.763	1.028	0.32	0.152	0.45	0.617	0.9490000000000001	0.915	1.247	0.386	0.515	0.5820000000000001	0.648	1.013	0.855	2.008	0.41600000000000004
2.67183	0.231	0.179	0.804	0.508	0.574	0.9079999999999999	0.344	0.607	0.125	0.212	0.74	0.48	0.639	1.038	0.43	0.6709999999999999	0.10400000000000001	0.377	0.847	0.541	0.705	0.8859999999999999	0.354	0.523	0.353	0.816	0.475	0.5710000000000001	0.767	1.031	0.32299999999999995	0.253	0.519	0.619	1.018	0.951	1.151	0.42200000000000004	0.418	0.518	0.684	1.18	0.925	1.9780000000000002	0.485
2.83861	0.385	0.16699999999999998	0.6920000000000001	0.528	0.562	1.0290000000000001	0.3	0.595	0.08	0.233	0.727	0.5660000000000001	0.758	1.3230000000000002	0.45	0.69	0.059000000000000004	0.46399999999999997	0.768	0.462	0.825	0.872	0.342	0.542	0.309	0.705	0.529	0.59	0.784	1.114	0.31	0.242	0.507	0.607	1.037	0.905	1.203	0.409	0.44	0.507	0.738	1.168	1.073	1.996	0.573
3.00525	0.326	0.174	0.733	0.536	0.47	1.036	0.307	0.503	0.087	0.24	0.6679999999999999	0.475	0.568	1.198	0.45799999999999996	0.765	0.0	0.37200000000000005	0.9740000000000001	0.436	0.8320000000000001	0.8809999999999999	0.217	0.451	0.21600000000000003	0.778	0.537	0.5660000000000001	0.76	1.025	0.318	0.21600000000000003	0.44799999999999995	0.647	1.012	0.847	1.2109999999999999	0.41700000000000004	0.447	0.48	0.6459999999999999	1.109	0.9840000000000001	1.906	0.579
3.17202	0.309	0.289	0.7509999999999999	0.42100000000000004	0.5870000000000001	0.9520000000000001	0.35600000000000004	0.5870000000000001	0.10400000000000001	0.19	0.6859999999999999	0.494	0.6859999999999999	1.217	0.311	0.585	0.083	0.38799999999999996	0.991	0.5870000000000001	0.851	0.934	0.23399999999999999	0.47100000000000003	0.265	0.8290000000000001	0.5870000000000001	0.585	0.7829999999999999	1.213	0.335	0.231	0.53	0.632	1.131	1.031	1.165	0.501	0.363	0.49700000000000005	0.596	1.127	0.9420000000000001	2.0269999999999997	0.596
3.33855	0.309	0.289	0.7509999999999999	0.42100000000000004	0.62	0.9520000000000001	0.257	0.6859999999999999	0.10400000000000001	0.223	0.785	0.494	0.586	1.217	0.5429999999999999	0.784	0.11599999999999999	0.322	0.7929999999999999	0.62	0.851	0.9009999999999999	0.33299999999999996	0.43700000000000006	0.265	0.795	0.5870000000000001	0.618	0.7829999999999999	1.18	0.335	0.165	0.53	0.5660000000000001	1.1640000000000001	0.9309999999999999	1.331	0.435	0.429	0.43	0.662	1.226	1.1079999999999999	1.9269999999999998	0.596
3.50526	0.304	0.318	0.912	0.449	0.615	1.113	0.35100000000000003	0.516	0.0	0.185	0.6809999999999999	0.42200000000000004	0.581	1.046	0.33899999999999997	0.7120000000000001	0.012	0.317	0.8540000000000001	0.6809999999999999	0.746	0.895	0.527	0.564	0.161	0.7240000000000001	0.483	0.513	0.809	1.041	0.297	0.161	0.5589999999999999	0.561	1.0590000000000002	0.86	1.16	0.43	0.325	0.49200000000000005	0.691	1.122	1.002	1.9869999999999999	0.624
3.67186	0.475	0.257	0.6920000000000001	0.5579999999999999	0.624	1.087	0.29100000000000004	0.625	0.07400000000000001	0.257	0.7909999999999999	0.568	0.627	1.256	0.45	0.76	0.018000000000000002	0.35700000000000004	0.929	0.5920000000000001	0.858	1.043	0.37	0.579	0.166	0.8320000000000001	0.425	0.627	0.765	1.13	0.374	0.098	0.499	0.603	1.173	1.005	1.208	0.541	0.396	0.465	0.631	1.264	0.894	1.973	0.564
3.83873	0.349	0.264	0.8	0.5	0.632	1.16	0.39799999999999996	0.5660000000000001	0.081	0.297	0.8320000000000001	0.47600000000000003	0.701	1.3969999999999998	0.392	0.635	0.059000000000000004	0.331	0.9359999999999999	0.6	0.799	1.051	0.47700000000000004	0.5870000000000001	0.273	0.773	0.598	0.669	0.8740000000000001	1.04	0.381	0.205	0.506	0.711	1.215	1.08	1.117	0.5489999999999999	0.369	0.5379999999999999	0.705	1.339	0.905	2.049	0.67
4.00527	0.37799999999999995	0.359	0.9940000000000001	0.461	0.56	1.089	0.39299999999999996	0.8270000000000001	0.043	0.226	0.594	0.537	0.696	1.192	0.45299999999999996	0.8290000000000001	0.054000000000000006	0.226	0.8320000000000001	0.528	0.86	1.079	0.33899999999999997	0.48200000000000004	0.16899999999999998	0.867	0.527	0.63	0.8340000000000001	1.2	0.34299999999999997	0.16699999999999998	0.501	0.606	1.11	0.8079999999999999	1.278	0.5429999999999999	0.365	0.4	0.634	1.234	0.9309999999999999	2.242	0.6659999999999999
4.17191	0.584	0.33299999999999996	0.8690000000000001	0.502	0.534	1.196	0.467	0.569	0.084	0.266	0.8009999999999999	0.479	0.737	1.367	0.461	0.738	0.128	0.267	0.9390000000000001	0.636	0.968	1.087	0.34600000000000003	0.59	0.209	0.742	0.634	0.639	0.7440000000000001	1.143	0.451	0.27399999999999997	0.475	0.614	1.085	0.9159999999999999	1.32	0.551	0.371	0.40700000000000003	0.6409999999999999	1.175	1.008	2.052	0.7390000000000001
4.33862	0.491	0.373	0.9109999999999999	0.47600000000000003	0.542	1.2690000000000001	0.374	0.843	0.057999999999999996	0.273	0.642	0.45399999999999996	0.745	1.4080000000000001	0.536	0.746	0.035	0.374	0.846	0.5429999999999999	0.8759999999999999	1.063	0.354	0.631	0.11599999999999999	0.782	0.6409999999999999	0.68	0.787	1.153	0.45799999999999996	0.18	0.516	0.621	1.126	0.991	1.229	0.5920000000000001	0.311	0.414	0.648	1.249	1.018	2.161	0.78
4.50528	0.489	0.371	0.8079999999999999	0.574	0.44	1.3	0.37200000000000005	0.773	0.08900000000000001	0.304	0.8059999999999999	0.451	0.61	1.472	0.366	0.643	0.033	0.271	0.8109999999999999	0.607	0.807	1.093	0.35100000000000003	0.695	0.08	0.88	0.539	0.544	0.684	1.15	0.35600000000000004	0.11199999999999999	0.48	0.519	1.124	0.988	1.193	0.6559999999999999	0.309	0.379	0.6459999999999999	1.247	1.082	2.191	0.777
4.67207	0.665	0.34700000000000003	0.919	0.484	0.516	1.31	0.48100000000000004	0.65	0.098	0.179	0.85	0.462	0.45399999999999996	1.483	0.41	0.688	0.142	0.447	0.8540000000000001	0.618	0.9179999999999999	1.138	0.294	0.64	0.122	0.79	0.5489999999999999	0.6890000000000001	0.6970000000000001	1.23	0.499	0.187	0.523	0.695	1.235	0.9990000000000001	1.304	0.667	0.318	0.38799999999999996	0.655	1.2570000000000001	1.095	2.3040000000000003	0.787
4.83871	0.598	0.48	0.8190000000000001	0.484	0.45	1.2770000000000001	0.281	0.784	0.198	0.313	0.65	0.562	0.654	1.6159999999999999	0.377	0.7879999999999999	0.142	0.447	0.8540000000000001	0.618	0.784	1.205	0.428	0.7070000000000001	0.18899999999999997	0.7559999999999999	0.516	0.6890000000000001	0.797	1.297	0.5660000000000001	0.187	0.623	0.629	1.301	0.9990000000000001	1.337	0.767	0.318	0.38799999999999996	0.655	1.157	0.929	2.37	0.887
5.00539	0.669	0.485	0.924	0.423	0.555	1.315	0.486	0.6890000000000001	0.203	0.41700000000000004	0.655	0.467	0.626	1.7209999999999999	0.382	0.894	0.08	0.385	0.825	0.556	0.69	1.2109999999999999	0.43200000000000005	0.512	0.127	0.7609999999999999	0.45399999999999996	0.695	0.87	1.3030000000000002	0.605	0.125	0.527	0.601	1.207	0.838	1.3430000000000002	0.772	0.389	0.426	0.66	1.462	0.9690000000000001	2.31	0.991
5.1721	0.7140000000000001	0.397	0.938	0.502	0.467	1.327	0.431	0.7020000000000001	0.215	0.396	0.868	0.514	0.5720000000000001	1.669	0.29600000000000004	0.774	0.159	0.46399999999999997	0.971	0.703	0.903	1.2590000000000001	0.41100000000000003	0.76	0.105	0.706	0.5329999999999999	0.742	0.92	1.32	0.618	0.136	0.606	0.713	1.321	1.018	1.325	0.919	0.33299999999999996	0.40399999999999997	0.738	1.308	1.153	2.4930000000000003	0.97
5.33879	0.688	0.504	0.9129999999999999	0.51	0.575	1.401	0.505	0.7759999999999999	0.29	0.402	0.909	0.489	0.748	1.643	0.40399999999999997	0.716	0.19899999999999998	0.47100000000000003	0.9790000000000001	0.644	0.9109999999999999	1.2670000000000001	0.619	0.835	0.145	0.7809999999999999	0.64	0.7509999999999999	0.8959999999999999	1.33	0.693	0.14300000000000002	0.613	0.621	1.33	0.9259999999999999	1.367	0.894	0.34	0.344	0.645	1.383	1.131	2.536	1.078
5.50543	0.621	0.47	0.846	0.51	0.441	1.401	0.505	0.7090000000000001	0.32299999999999995	0.402	0.8759999999999999	0.589	0.6809999999999999	1.6769999999999998	0.43700000000000006	0.716	0.19899999999999998	0.47100000000000003	0.945	0.644	0.8109999999999999	1.334	0.385	0.568	0.11199999999999999	0.7809999999999999	0.574	0.7509999999999999	0.7959999999999999	1.297	0.726	0.14300000000000002	0.613	0.621	1.263	0.9259999999999999	1.567	0.9940000000000001	0.40700000000000003	0.41100000000000003	0.746	1.483	0.9640000000000001	2.536	1.078
5.67203	0.705	0.48700000000000004	0.894	0.5920000000000001	0.557	1.317	0.588	0.925	0.306	0.386	0.757	0.57	0.562	1.624	0.552	0.596	0.249	0.45399999999999996	0.961	0.626	0.9259999999999999	1.4140000000000001	0.302	0.748	0.129	0.797	0.556	0.797	0.773	1.3730000000000002	0.7070000000000001	0.19399999999999998	0.596	0.703	1.41	0.84	1.413	1.0090000000000001	0.324	0.395	0.662	1.3980000000000001	0.9390000000000001	2.58	1.261
5.83875	0.607	0.523	0.83	0.594	0.526	1.486	0.49	0.9279999999999999	0.375	0.289	0.8270000000000001	0.473	0.664	1.66	0.42100000000000004	0.799	0.185	0.39	0.8640000000000001	0.628	0.895	1.35	0.371	0.818	0.198	0.6659999999999999	0.5589999999999999	0.8	0.81	1.31	0.81	0.22899999999999998	0.532	0.639	1.3459999999999999	1.01	1.516	1.111	0.39299999999999996	0.43	0.631	1.3	1.043	2.617	1.196
6.00546	0.7120000000000001	0.494	0.935	0.5329999999999999	0.46399999999999997	1.525	0.529	0.9329999999999999	0.38	0.39299999999999996	0.765	0.512	0.57	1.733	0.527	0.6709999999999999	0.256	0.595	1.036	0.633	0.8340000000000001	1.3559999999999999	0.509	0.857	0.136	0.804	0.46399999999999997	0.8059999999999999	0.8170000000000001	1.484	0.815	0.23399999999999999	0.637	0.611	1.419	1.115	1.422	1.117	0.431	0.301	0.669	1.472	0.95	2.623	1.268
6.17208	0.679	0.528	0.902	0.5329999999999999	0.565	1.4909999999999999	0.395	1.1	0.38	0.42700000000000005	0.8320000000000001	0.612	0.67	1.666	0.527	0.805	0.29	0.595	1.136	0.633	1.034	1.3559999999999999	0.509	0.857	0.136	0.804	0.63	0.8390000000000001	0.716	1.317	0.9159999999999999	0.23399999999999999	0.637	0.711	1.452	0.848	1.455	1.284	0.39799999999999996	0.401	0.669	1.3719999999999999	0.95	2.69	1.301
