	rpsG1-1	proV_rpsG1-1	proV_mreB-1	proV_spoT-1	proV_argG-1	proV_rpsG1_mreB-1	proV_rpsG1_spoT-1	proV_rpsG1_argG-1	rpsG1-2	proV_rpsG1-2	proV_mreB-2	proV_spoT-2	proV_argG-2	proV_rpsG1_mreB-2	proV_rpsG1_spoT-2	proV_rpsG1_argG-2	rpsG1-3	proV_rpsG1-3	proV_mreB-3	proV_spoT-3	proV_argG-3	proV_rpsG1_mreB-3	proV_rpsG1_spoT-3	proV_rpsG1_argG-3	MG1655-1	proV-1	PUTR3-1_1	proV_ygaC-1	proV_edd/zwf-1	proV_ygaC_edd/zwf-1	PUTR8-10_1	MG1655-2	proV-2	PUTR3-1_2	proV_ygaC-2	proV_edd/zwf-2	proV_ygaC_edd/zwf-2	PUTR8-10_2	MG1655-3	proV-3	PUTR3-1_3	proV_ygaC-3	proV_edd/zwf-3	proV_ygaC_edd/zwf-3	PUTR8-10_3
8.00561	0.8290000000000001	0.6779999999999999	1.016	0.415	0.58	1.6740000000000002	0.579	1.014	0.762	0.5770000000000001	0.847	0.5589999999999999	0.718	2.013	0.541	1.052	0.773	0.645	0.951	0.615	0.815	1.635	0.625	1.137	0.42	0.887	0.546	0.8859999999999999	0.794	1.393	1.5630000000000002	0.385	0.72	0.726	1.2990000000000002	0.7959999999999999	1.501	1.8969999999999998	0.516	0.485	0.753	1.454	1.125	2.9	2.017
8.17229	0.941	0.79	0.93	0.494	0.56	1.8530000000000002	0.691	1.094	0.909	0.589	0.86	0.473	0.664	2.227	0.5539999999999999	0.966	0.785	0.79	1.064	0.561	0.728	1.7169999999999999	0.638	1.218	0.39799999999999996	0.799	0.5589999999999999	0.9	0.877	1.577	1.577	0.32899999999999996	0.799	0.606	1.3459999999999999	0.943	1.516	1.879	0.593	0.597	0.765	1.4	1.11	2.917	2.13
8.33893	0.953	0.902	1.077	0.54	0.772	1.8319999999999999	0.703	1.1079999999999999	0.888	0.7340000000000001	1.0070000000000001	0.52	0.878	2.275	0.6679999999999999	1.147	0.7979999999999999	0.8690000000000001	1.043	0.708	0.9079999999999999	1.732	0.617	1.266	0.34299999999999997	0.778	0.5710000000000001	0.948	0.7929999999999999	1.4269999999999998	1.692	0.408	0.8109999999999999	0.618	1.327	0.9570000000000001	1.7309999999999999	1.893	0.638	0.609	0.6759999999999999	1.38	1.16	2.833	2.2769999999999997
8.50559	0.981	0.863	0.867	0.5660000000000001	0.632	1.8259999999999998	0.6970000000000001	1.198	0.98	0.762	0.865	0.5760000000000001	0.8340000000000001	2.129	0.7240000000000001	0.968	0.8240000000000001	0.83	1.103	0.6	0.899	1.7169999999999999	0.61	1.186	0.473	0.872	0.532	0.968	0.774	1.3730000000000002	1.679	0.47100000000000003	0.706	0.578	1.4809999999999999	0.98	1.5830000000000002	2.1790000000000003	0.569	0.6709999999999999	0.705	1.472	1.071	2.947	2.301
8.67233	0.995	0.877	0.9440000000000001	0.645	0.711	1.9709999999999999	0.6779999999999999	1.2429999999999999	0.9590000000000001	0.777	0.9440000000000001	0.5539999999999999	0.68	2.206	0.57	1.011	0.8370000000000001	0.843	0.917	0.513	0.9440000000000001	1.5930000000000002	0.59	1.295	0.45399999999999996	0.919	0.612	0.978	0.848	1.3459999999999999	1.722	0.386	0.687	0.5579999999999999	1.2919999999999998	0.892	1.493	2.055	0.484	0.619	0.7859999999999999	1.4509999999999998	0.877	3.12	2.378
8.83894	1.0659999999999998	0.981	0.95	0.684	0.65	1.9769999999999999	0.782	1.2819999999999998	1.063	0.7809999999999999	1.016	0.626	0.685	2.378	0.608	0.951	0.8420000000000001	1.048	1.021	0.75	1.0490000000000002	1.8980000000000001	0.562	1.268	0.45899999999999996	0.8240000000000001	0.6829999999999999	0.9840000000000001	0.8220000000000001	1.253	1.9609999999999999	0.391	0.857	0.762	1.464	1.063	1.399	2.227	0.588	0.657	0.691	1.3559999999999999	1.083	2.96	2.3169999999999997
9.00564	1.187	0.9359999999999999	0.9690000000000001	0.5379999999999999	0.604	1.964	0.737	1.368	1.05	0.836	0.9359999999999999	0.546	0.7709999999999999	2.2969999999999997	0.6609999999999999	1.136	0.929	1.002	1.0090000000000001	0.5710000000000001	0.9359999999999999	1.75	0.649	1.253	0.547	0.912	0.604	0.937	0.905	1.3359999999999999	1.946	0.545	0.779	0.7490000000000001	1.383	1.05	1.584	2.145	0.5770000000000001	0.612	0.778	1.344	0.701	3.043	2.569
9.17221	1.159	1.074	0.9420000000000001	0.5429999999999999	0.742	2.102	0.6759999999999999	1.44	1.055	0.8740000000000001	1.008	0.419	0.81	2.303	0.6659999999999999	1.141	0.9009999999999999	1.04	1.014	0.61	0.875	1.9880000000000002	0.687	1.2919999999999998	0.485	0.85	0.609	0.976	0.945	1.31	1.919	0.55	0.85	0.754	1.389	0.9890000000000001	1.49	2.251	0.48200000000000004	0.55	0.684	1.415	1.04	3.15	2.575
9.33903	1.095	0.943	0.845	0.645	0.545	2.104	0.8109999999999999	1.376	1.1909999999999998	0.943	0.9440000000000001	0.521	0.713	2.405	0.603	1.1440000000000001	1.003	1.0090000000000001	1.083	0.612	0.878	1.7919999999999998	0.69	1.262	0.48700000000000004	0.753	0.711	0.978	0.7490000000000001	1.446	2.22	0.486	0.853	0.591	1.358	1.091	1.46	2.354	0.7170000000000001	0.652	0.6859999999999999	1.252	1.176	2.755	2.677
9.50566	1.061	0.976	0.845	0.546	0.612	2.204	0.91	1.5419999999999998	1.158	1.042	0.9109999999999999	0.455	0.779	2.571	0.802	1.177	1.036	1.109	1.016	0.579	0.878	2.0580000000000003	0.557	1.561	0.5539999999999999	0.919	0.512	0.978	0.815	1.413	2.32	0.45299999999999996	0.8859999999999999	0.757	1.192	0.992	1.493	2.3209999999999997	0.7170000000000001	0.652	0.7190000000000001	1.4180000000000001	1.0759999999999998	3.12	2.677
9.67233	1.286	1.135	0.9359999999999999	0.638	0.737	2.262	0.804	1.4669999999999999	1.183	0.9690000000000001	0.9359999999999999	0.546	0.7709999999999999	2.595	0.6940000000000001	1.136	1.128	1.102	1.175	0.638	0.87	2.048	0.7490000000000001	1.585	0.58	1.045	0.6709999999999999	0.97	0.8390000000000001	1.3359999999999999	2.41	0.479	0.845	0.6829999999999999	1.383	0.983	1.484	2.444	0.71	0.7120000000000001	0.679	1.41	1.033	2.844	2.802
9.83894	1.291	1.173	0.975	0.5760000000000001	0.7090000000000001	2.201	0.8079999999999999	1.7719999999999998	1.255	1.173	0.941	0.551	0.8759999999999999	2.568	0.7659999999999999	1.175	1.033	1.107	0.981	0.743	0.875	2.088	0.754	1.591	0.6509999999999999	0.917	0.7090000000000001	1.042	0.9109999999999999	1.442	2.549	0.583	0.85	0.7879999999999999	1.555	0.9890000000000001	1.49	2.7489999999999997	0.648	0.65	0.684	1.4480000000000002	1.073	3.15	3.073
10.00564	1.284	1.1320000000000001	1.0	0.535	0.635	2.3930000000000002	0.9670000000000001	1.465	1.247	1.1320000000000001	0.9	0.61	0.768	2.725	0.691	1.365	1.092	1.331	1.1059999999999999	0.635	0.9329999999999999	2.145	0.746	1.5490000000000002	0.544	0.81	0.6679999999999999	0.934	0.835	1.432	2.573	0.444	0.8759999999999999	0.68	1.38	1.147	1.4809999999999999	2.806	0.708	0.643	0.809	1.507	1.062	3.239	3.097
10.17237	1.3430000000000002	1.224	0.958	0.428	0.727	2.484	0.794	1.589	1.172	1.058	0.893	0.502	0.7929999999999999	2.716	0.8490000000000001	1.2570000000000001	1.183	1.224	1.0979999999999999	0.6940000000000001	0.826	2.235	0.772	1.5730000000000002	0.637	0.836	0.594	0.958	0.925	1.389	2.5639999999999996	0.569	0.8690000000000001	0.64	1.4380000000000002	1.138	1.671	2.8960000000000004	0.701	0.636	0.769	1.3330000000000002	1.052	3.13	3.287
10.339	1.4909999999999999	1.273	1.008	0.6759999999999999	0.742	2.533	0.775	1.7719999999999998	1.3869999999999998	1.272	1.041	0.618	0.909	3.033	0.899	1.274	1.3319999999999999	1.339	1.08	0.7090000000000001	1.041	2.287	0.853	1.69	0.6509999999999999	1.016	0.7090000000000001	1.042	0.945	1.3430000000000002	2.582	0.583	0.95	0.887	1.555	0.9890000000000001	1.556	3.015	0.748	0.65	0.883	1.415	1.139	3.15	3.272
10.50576	1.57	1.219	1.052	0.457	0.6890000000000001	2.7769999999999997	0.955	1.749	1.3330000000000002	1.252	1.02	0.49700000000000005	0.7879999999999999	2.8760000000000003	0.777	1.5490000000000002	1.278	1.4180000000000001	1.16	0.622	1.0190000000000001	2.262	0.833	1.699	0.665	0.93	0.6890000000000001	1.0190000000000001	0.885	1.515	2.7230000000000003	0.565	0.831	0.7340000000000001	1.3330000000000002	0.9670000000000001	1.367	3.088	0.7959999999999999	0.698	0.764	1.328	1.111	3.222	3.48
10.67242	1.5490000000000002	1.331	0.9329999999999999	0.6679999999999999	0.8340000000000001	2.6910000000000003	0.8009999999999999	1.8630000000000002	1.446	1.265	0.8009999999999999	0.51	0.868	3.2230000000000003	0.857	1.232	1.39	1.3980000000000001	1.073	0.7020000000000001	0.966	2.377	0.845	1.781	0.743	0.909	0.6679999999999999	0.9670000000000001	1.034	1.432	2.839	0.5760000000000001	0.9420000000000001	0.747	1.4469999999999998	1.08	1.581	3.138	0.807	0.7090000000000001	0.809	1.4069999999999998	1.0290000000000001	3.2060000000000004	3.495
10.83905	1.585	1.367	1.003	0.5710000000000001	0.7040000000000001	2.8930000000000002	0.804	2.065	1.4480000000000002	1.2670000000000001	0.9359999999999999	0.513	0.904	3.193	0.794	1.368	1.327	1.433	1.175	0.9359999999999999	0.9359999999999999	2.38	0.782	1.883	0.746	1.011	0.6709999999999999	1.036	0.905	1.402	3.14	0.545	1.044	0.782	1.5490000000000002	1.083	1.484	3.4389999999999996	0.843	0.8440000000000001	0.812	1.443	1.1320000000000001	3.342	3.7969999999999997
11.00576	1.585	1.4	1.003	0.8370000000000001	0.8029999999999999	2.992	0.87	1.8659999999999999	1.482	1.367	1.002	0.513	0.904	3.292	0.86	1.268	1.426	1.5	1.0090000000000001	0.7040000000000001	1.135	2.48	0.981	1.883	0.779	1.045	0.77	1.069	1.004	1.3359999999999999	3.14	0.6779999999999999	0.945	0.948	1.284	1.05	1.683	3.5389999999999997	0.809	0.745	0.812	1.443	1.0659999999999998	3.641	3.7969999999999997
11.1725	1.682	1.4980000000000002	1.002	0.7020000000000001	0.934	3.0260000000000002	0.9329999999999999	2.099	1.681	1.3969999999999998	1.067	0.645	0.97	3.463	0.893	1.5030000000000001	1.625	1.531	1.139	0.669	0.968	2.7510000000000003	0.879	2.12	0.774	0.941	0.7340000000000001	1.071	1.044	1.5759999999999998	3.2119999999999997	0.606	1.074	0.88	1.517	1.083	1.5859999999999999	3.679	0.87	0.773	0.94	1.474	1.075	3.45	3.9339999999999997
11.33909	1.808	1.59	1.227	0.495	0.826	3.0180000000000002	0.892	1.9909999999999999	1.6059999999999999	1.29	1.126	0.5710000000000001	0.8290000000000001	3.42	0.785	1.66	1.55	1.5230000000000001	1.0979999999999999	0.595	0.894	2.741	0.805	1.845	0.701	0.9670000000000001	0.826	0.996	0.9670000000000001	1.5659999999999998	3.3689999999999998	0.466	0.867	0.972	1.409	1.008	1.511	3.8689999999999998	0.863	0.733	0.833	1.4669999999999999	1.064	3.373	3.991
11.50585	1.8969999999999998	1.6130000000000002	1.016	0.584	0.8490000000000001	3.339	0.982	2.013	1.695	1.579	1.0490000000000002	0.659	0.951	3.64	0.907	1.5819999999999999	1.6059999999999999	1.646	1.187	0.75	0.983	2.8939999999999997	0.794	2.0980000000000003	0.691	0.924	0.882	1.084	0.9540000000000001	1.452	3.389	0.59	0.8909999999999999	0.961	1.5630000000000002	1.097	1.565	3.9210000000000003	0.755	0.757	0.8240000000000001	1.423	1.083	3.525	4.277
11.67247	1.787	1.536	1.041	0.674	0.773	3.398	0.838	2.238	1.72	1.5019999999999998	1.0390000000000001	0.551	0.843	3.802	0.899	1.676	1.631	1.77	1.31	0.674	1.073	3.0239999999999996	0.917	2.26	0.779	0.98	0.8390000000000001	0.977	0.9840000000000001	1.45	3.785	0.711	1.013	1.018	1.49	1.188	1.5919999999999999	4.152	0.9420000000000001	0.6779999999999999	1.045	1.48	1.181	3.656	4.506
11.83914	1.864	1.6469999999999998	1.052	0.584	0.7829999999999999	3.4760000000000004	0.914	2.25	1.7309999999999999	1.6119999999999999	1.083	0.662	0.9540000000000001	3.915	0.8440000000000001	1.588	1.5419999999999998	1.6469999999999998	1.32	0.684	1.018	3.0380000000000003	0.894	2.239	0.789	0.99	0.8490000000000001	1.189	1.064	1.3969999999999998	3.832	0.72	1.023	1.0290000000000001	1.535	1.1320000000000001	1.604	4.2989999999999995	0.851	0.888	0.955	1.557	1.195	3.67	4.619
12.00581	2.02	1.703	1.2409999999999999	0.674	0.8390000000000001	3.6639999999999997	1.004	2.371	1.786	1.669	1.239	0.551	1.042	4.169	0.9990000000000001	1.609	1.764	1.8359999999999999	1.3430000000000002	0.674	1.107	3.2239999999999998	0.917	2.227	0.679	1.046	1.005	1.11	1.05	1.45	4.085	0.578	1.013	1.185	1.5230000000000001	1.121	1.5919999999999999	4.452	0.8420000000000001	0.845	0.845	1.546	1.015	3.69	4.706
12.1725	1.964	1.8130000000000002	1.219	0.684	0.983	3.8089999999999997	1.014	2.45	1.831	1.6119999999999999	1.25	0.562	0.987	4.015	1.01	2.021	1.942	1.9469999999999998	1.254	0.618	1.018	3.1710000000000003	0.9940000000000001	2.439	0.6890000000000001	0.99	0.8490000000000001	1.222	1.064	1.4969999999999999	4.132	0.787	1.089	1.129	1.535	1.1320000000000001	1.6369999999999998	4.699	0.851	0.7879999999999999	0.855	1.6569999999999998	1.0290000000000001	4.103	4.919
12.33914	1.97	1.8519999999999999	1.325	0.6890000000000001	0.855	3.815	1.0190000000000001	2.489	1.9369999999999998	1.7180000000000002	1.3880000000000001	0.501	0.9259999999999999	4.489	0.9159999999999999	1.7269999999999999	1.88	1.886	1.426	0.556	1.09	3.444	0.9990000000000001	2.479	0.8270000000000001	1.095	1.121	1.195	1.004	1.403	4.306	0.5920000000000001	1.094	1.301	1.507	1.104	1.743	4.873	0.956	0.9590000000000001	1.026	1.595	1.3030000000000002	4.177	5.126
12.50586	2.112	2.028	1.3319999999999999	0.599	0.831	4.021	1.03	2.4290000000000003	1.9780000000000002	1.794	1.431	0.5760000000000001	1.034	4.4910000000000005	0.8909999999999999	1.666	1.8219999999999998	1.9609999999999999	1.3019999999999998	0.6	0.965	3.5460000000000003	0.976	2.45	0.805	1.072	1.097	1.268	1.041	1.639	4.573	0.5710000000000001	1.072	1.11	1.88	1.18	1.6159999999999999	4.84	0.935	0.871	1.104	1.5719999999999998	1.171	4.2780000000000005	5.461
12.67248	2.336	2.052	1.358	0.6890000000000001	0.888	4.215	1.053	2.656	2.137	1.9180000000000001	1.455	0.667	1.0590000000000002	4.5889999999999995	1.016	1.827	2.0469999999999997	1.986	1.459	0.69	1.2229999999999999	3.645	0.9990000000000001	2.6460000000000004	0.894	1.095	1.021	1.328	1.004	1.57	4.706	0.892	1.128	1.2009999999999998	1.7069999999999999	1.138	1.643	5.307	0.956	0.9590000000000001	1.16	1.695	1.203	4.477	5.626
12.83924	2.331	2.113	1.419	0.517	0.983	4.5089999999999995	1.047	2.6830000000000003	2.231	2.012	1.55	0.595	1.087	4.815	1.01	2.154	1.942	2.0469999999999997	1.52	0.784	1.1840000000000002	3.7710000000000004	1.127	2.739	0.8220000000000001	1.056	1.115	1.389	1.097	1.6969999999999998	4.998	0.687	1.122	1.295	1.835	1.1320000000000001	1.7369999999999999	5.566	0.9840000000000001	0.888	1.155	1.757	1.295	4.57	5.718999999999999
13.00591	2.331	2.113	1.452	0.684	0.9490000000000001	4.709	1.214	2.783	2.0980000000000003	1.946	1.45	0.562	1.054	5.115	1.01	2.021	2.175	2.18	1.6869999999999998	0.6509999999999999	1.284	3.8369999999999997	1.094	2.839	0.922	1.156	1.215	1.489	1.1640000000000001	1.6969999999999998	5.1979999999999995	0.787	1.089	1.395	1.735	1.232	1.804	5.666	0.9840000000000001	0.988	1.155	1.6569999999999998	1.195	4.637	6.019
13.17259	2.4530000000000003	2.136	1.4069999999999998	0.607	0.972	4.73	1.204	2.971	2.219	2.002	1.672	0.584	1.1420000000000001	5.7	1.099	2.042	2.1630000000000003	2.169	1.643	0.741	1.306	4.023	1.183	2.826	0.713	0.98	1.138	1.3769999999999998	1.084	1.749	5.416	0.711	1.112	1.3840000000000001	1.8230000000000002	1.121	1.825	5.882999999999999	0.875	0.878	1.2109999999999999	1.8459999999999999	1.115	4.7219999999999995	6.37
13.33917	2.506	2.2880000000000003	1.526	0.594	1.026	5.046	1.1909999999999998	2.955	2.371	2.188	1.724	0.5710000000000001	1.161	5.482	1.085	2.226	2.282	2.355	1.7630000000000001	0.728	1.2590000000000001	4.271	1.104	2.909	0.9670000000000001	1.067	1.425	1.495	1.234	1.8319999999999999	5.697	0.7659999999999999	1.1	1.4709999999999999	1.9080000000000001	1.207	1.91	6.063	0.963	0.966	1.2990000000000002	1.8319999999999999	1.264	4.603	6.485
13.50591	2.6639999999999997	2.38	1.7519999999999998	0.684	0.983	5.242000000000001	1.147	3.216	2.398	2.246	1.75	0.662	1.253	5.547999999999999	1.143	2.154	2.3080000000000003	2.314	1.787	0.684	1.218	4.371	1.0270000000000001	3.073	0.9890000000000001	1.156	1.415	1.422	1.1640000000000001	1.797	5.765	0.72	1.189	1.595	1.901	1.3319999999999999	1.804	6.3660000000000005	1.051	0.888	1.321	1.89	1.129	5.037	6.718999999999999
13.67256	2.648	2.464	1.736	0.633	1.065	5.2620000000000005	1.163	3.102	2.449	2.262	1.9669999999999999	0.612	1.104	6.171	1.127	2.273	2.392	2.531	1.8030000000000002	0.7	1.301	4.526	1.11	3.293	0.937	1.105	1.365	1.4069999999999998	1.1840000000000002	1.784	6.289	1.001	1.004	1.645	1.953	1.416	1.8219999999999998	6.523	0.965	0.902	1.237	1.806	1.4169999999999998	5.26	7.042000000000001
13.83932	2.739	2.555	1.761	0.6920000000000001	1.057	5.619	1.255	3.2260000000000004	2.6069999999999998	2.221	1.858	0.57	1.095	6.36	1.1520000000000001	2.064	2.484	2.4219999999999997	1.8619999999999999	0.6920000000000001	1.2930000000000001	4.882	1.335	3.1830000000000003	0.996	1.1640000000000001	1.357	1.4980000000000002	1.207	1.607	6.443	0.794	1.13	1.704	2.144	1.2409999999999999	1.946	7.077999999999999	0.958	0.895	1.329	1.8980000000000001	1.239	5.181	7.497000000000001
14.00595	2.807	2.623	1.8630000000000002	0.723	1.089	5.827999999999999	1.186	3.432	2.543	2.354	1.926	0.536	1.23	6.607	1.186	2.302	2.519	2.523	1.995	0.79	1.2590000000000001	4.827	1.234	3.425	0.9259999999999999	1.194	1.389	1.568	1.147	1.815	6.894	0.722	1.227	1.7369999999999999	2.08	1.341	1.984	7.3629999999999995	1.187	0.991	1.2930000000000001	1.931	1.382	5.797000000000001	8.147
14.17266	2.9810000000000003	2.764	1.9369999999999998	0.733	0.965	6.197	1.229	3.603	2.716	2.4290000000000003	2.1	0.612	1.204	6.8389999999999995	1.227	2.373	2.793	2.597	2.003	0.667	1.334	5.194	1.31	3.427	0.8370000000000001	1.105	1.565	1.507	1.1840000000000002	1.8840000000000001	7.09	0.8009999999999999	1.204	1.8459999999999999	2.153	1.249	2.056	7.825	1.065	0.9690000000000001	1.37	2.006	1.317	5.961	8.277000000000001
14.33923	3.011	3.0269999999999997	2.0340000000000003	0.659	1.092	6.4	1.456	3.6689999999999996	2.6460000000000004	2.39	2.029	0.639	1.199	7.147	1.189	2.472	2.7230000000000003	2.627	2.198	0.893	1.429	5.433	1.4369999999999998	3.7289999999999996	1.028	1.23	1.5919999999999999	1.7380000000000002	1.351	1.953	7.433	0.825	1.263	1.974	2.15	1.2770000000000001	1.953	8.137	1.022	0.9259999999999999	1.462	2.101	1.3519999999999999	6.035	8.62
14.50599	3.102	2.918	2.024	0.818	1.117	6.79	1.381	3.793	2.8710000000000004	2.582	2.354	0.49700000000000005	1.19	7.335	1.248	2.496	2.9139999999999997	2.752	2.19	0.885	1.421	5.422000000000001	1.3619999999999999	3.852	1.054	1.189	1.851	1.662	1.2409999999999999	1.909	7.821000000000001	0.9179999999999999	1.222	2.033	2.342	1.268	2.178	8.558	0.915	1.0859999999999999	1.455	1.992	1.375	6.29	9.008
14.6726	3.082	3.0639999999999996	2.27	0.7	0.998	6.831	1.3630000000000002	4.07	2.8489999999999998	2.7289999999999996	2.3	0.612	1.304	7.506	1.4280000000000002	2.54	2.793	2.8310000000000004	2.3040000000000003	0.7	1.234	5.794	1.3430000000000002	3.927	0.937	1.271	1.8319999999999999	1.807	1.217	2.084	8.191	0.8009999999999999	1.238	2.246	2.353	1.349	2.156	9.027000000000001	1.065	1.002	1.4369999999999998	2.207	1.317	6.461	9.578
14.83938	3.2239999999999998	3.173	2.213	0.607	1.1059999999999999	7.176	1.371	4.247	3.093	2.938	2.343	0.687	1.212	8.254	1.3359999999999999	2.6839999999999997	2.9360000000000004	2.94	2.479	0.708	1.409	6.341	1.4180000000000001	4.105	1.145	1.413	1.974	1.95	1.294	2.095	8.605	0.8420000000000001	1.212	2.355	2.563	1.357	2.266	9.241	1.173	1.01	1.6780000000000002	2.282	1.227	6.474	9.926
15.00597	3.385	3.2680000000000002	2.307	0.635	1.068	7.269	1.466	4.274	3.153	2.832	2.537	0.615	1.273	8.277999999999999	1.364	2.977	3.03	3.0010000000000003	2.6069999999999998	0.87	1.304	6.232	1.3459999999999999	4.231	1.006	1.274	1.935	1.844	1.287	2.221	9.03	0.904	1.34	2.449	2.423	1.318	2.259	9.832	1.101	1.071	1.673	2.31	1.32	7.066	10.517000000000001
15.1727	3.637	3.386	2.426	0.7509999999999999	1.084	7.792999999999999	1.4809999999999999	4.395	3.205	2.984	2.822	0.631	1.291	8.806000000000001	1.381	2.7969999999999997	3.148	3.22	2.6239999999999997	0.718	1.354	6.659	1.429	4.555	1.054	1.39	2.1519999999999997	2.03	1.2409999999999999	2.042	9.56	0.818	1.255	2.5340000000000003	2.676	1.268	2.479	10.43	1.015	0.919	1.8559999999999999	2.46	1.275	7.025	11.214
15.3394	3.737	3.553	2.593	0.6509999999999999	1.117	8.027000000000001	1.548	4.5280000000000005	3.306	3.05	2.923	0.531	1.391	8.772	1.381	2.964	3.3160000000000003	3.253	2.6910000000000003	0.6509999999999999	1.32	6.859	1.5290000000000001	4.588	1.021	1.3230000000000002	2.253	2.03	1.2409999999999999	2.21	9.927	0.851	1.255	2.735	2.676	1.469	2.479	10.965	1.015	1.0859999999999999	1.956	2.327	1.375	7.56	11.716
15.50612	3.997	3.679	2.719	0.672	1.105	8.16	1.569	4.925	3.4989999999999997	3.342	3.048	0.72	1.4140000000000001	9.142999999999999	1.405	3.158	3.475	3.345	2.8489999999999998	0.706	1.3430000000000002	7.127999999999999	1.585	4.819	1.041	1.3430000000000002	2.41	2.189	1.2670000000000001	2.272	10.603	0.937	1.175	2.8930000000000002	2.7689999999999997	1.391	2.572	11.509	1.1340000000000001	1.0390000000000001	1.9780000000000002	2.517	1.4709999999999999	7.83	12.425999999999998
15.67274	4.064	3.98	2.819	0.7390000000000001	1.138	9.031	1.5019999999999998	4.958	3.6	3.543	3.1489999999999996	0.72	1.4140000000000001	9.344	1.472	3.158	3.2739999999999996	3.378	3.016	0.8059999999999999	1.376	7.597	1.484	5.02	1.041	1.2429999999999999	2.51	2.29	1.4680000000000002	2.372	11.206	0.87	1.242	3.161	2.8689999999999998	1.492	2.6719999999999997	11.978	1.101	0.938	2.1790000000000003	2.5839999999999996	1.3030000000000002	8.601	12.962
15.83942	4.178	4.0280000000000005	2.9339999999999997	0.723	1.189	8.771	1.5530000000000002	5.372000000000001	3.714	3.424	3.23	0.7040000000000001	1.3969999999999998	9.919	1.4869999999999999	3.305	3.8569999999999998	3.727	3.0980000000000003	0.7240000000000001	1.359	7.837999999999999	1.535	5.365	1.0590000000000002	1.294	2.559	2.237	1.515	2.451	11.81	0.956	1.327	3.41	2.85	1.475	2.786	12.748	1.187	0.991	2.095	2.7	1.249	8.405	14.067
16.00605	4.373	4.2219999999999995	2.927	0.6509999999999999	1.1840000000000002	9.599	1.4809999999999999	5.331	3.7739999999999996	3.719	3.424	0.531	1.324	10.377	1.482	3.2319999999999998	3.8169999999999997	3.821	3.193	0.919	1.354	7.728	1.63	5.557	1.155	1.3230000000000002	2.8539999999999996	2.431	1.4409999999999998	2.7110000000000003	12.568	0.9520000000000001	1.423	3.637	3.177	1.369	2.679	13.439	1.015	0.986	2.057	2.694	1.442	8.664	14.491
16.17278	4.66	4.309	3.215	0.8079999999999999	1.173	9.881	1.6380000000000001	5.817	3.9939999999999998	3.807	3.545	0.687	1.5130000000000001	11.026	1.5030000000000001	3.385	3.904	3.909	3.3139999999999996	0.708	1.443	8.478	1.719	5.642	1.044	1.5130000000000001	2.9419999999999997	2.5180000000000002	1.4280000000000002	2.596	13.347999999999999	0.909	1.412	3.6910000000000003	3.1639999999999997	1.524	2.767	14.217	1.173	1.01	2.4459999999999997	2.6830000000000003	1.327	8.777999999999999	15.537
16.33944	5.075	4.59	3.128	0.6509999999999999	1.284	10.1	1.6480000000000001	5.8660000000000005	4.275	3.986	3.9589999999999996	0.698	1.4909999999999999	10.879000000000001	1.615	3.4989999999999997	4.218	3.955	3.326	0.785	1.421	8.698	1.663	5.992000000000001	1.054	1.39	3.088	2.6310000000000002	1.4409999999999998	2.6439999999999997	14.307	0.9179999999999999	1.3219999999999998	3.938	3.278	1.436	2.78	15.244000000000002	1.216	1.12	2.525	2.795	1.3419999999999999	9.7	16.764
16.50614	4.864	4.8469999999999995	3.418	0.71	1.176	10.620999999999999	1.7069999999999999	6.188	4.298	4.2780000000000005	4.0489999999999995	0.623	1.6159999999999999	11.765999999999998	1.6059999999999999	3.722	4.242	4.313	3.685	0.878	1.546	8.984	1.755	6.1129999999999995	1.014	1.482	3.346	2.6210000000000004	1.598	2.9	15.024000000000001	0.8440000000000001	1.348	4.0280000000000005	3.468	1.46	3.07	15.86	1.075	0.9790000000000001	2.549	2.886	1.264	9.652000000000001	17.346
16.67278	5.215	5.165	3.536	0.623	1.29	10.979000000000001	1.6540000000000001	6.475	4.617	4.294	4.167	0.536	1.43	12.829	1.621	3.707	4.526	4.329	3.734	0.69	1.46	9.142000000000001	1.7690000000000001	6.335	1.16	1.395	3.3960000000000004	2.772	1.415	2.752	15.857000000000001	0.856	1.327	4.313	3.452	1.4409999999999998	3.154	16.762	1.187	1.024	2.764	2.968	1.148	10.177999999999999	18.180999999999997
16.83949	5.25	5.099	3.804	0.682	1.25	11.026	1.714	6.75	4.7860000000000005	4.5280000000000005	4.435	0.564	1.526	12.783	1.819	4.111000000000001	4.593999999999999	4.396	4.034	0.85	1.4880000000000002	9.627	1.7630000000000001	6.947	1.151	1.421	3.427	2.805	1.482	2.99	16.726	0.9470000000000001	1.185	4.85	3.72	1.5030000000000001	3.222	17.935	1.043	1.216	2.76	3.199	1.284	10.530999999999999	19.052
17.00616	5.527	5.309	3.78	0.664	1.298	12.064	1.695	7.122999999999999	4.862	4.638	4.578	0.7120000000000001	1.405	13.380999999999998	1.798	4.085	5.039	4.373	4.246	0.731	1.535	10.562999999999999	1.844	7.352	1.234	1.5030000000000001	3.6060000000000003	2.8489999999999998	1.4580000000000002	2.964	18.186	0.93	1.335	4.825	4.064	1.383	3.1639999999999997	19.125	1.194	1.1320000000000001	3.175	3.3110000000000004	1.2930000000000001	10.762	20.678
