	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
1.67148	0.48	0.55	0.29100000000000004	0.679	0.433	0.595	0.823	0.948	0.915	0.424	0.198	1.9409999999999998	0.66	0.38799999999999996	0.769	1.207	1.3719999999999999	1.3780000000000001	0.426	0.718	0.361	0.55	0.606	0.713	0.5760000000000001	0.56	0.696	0.799	0.619	0.519	0.63	1.0170000000000001	1.325	0.632	0.5670000000000001	0.616	0.648	0.902	0.813	1.14	0.738	0.802	0.39399999999999996	0.496	0.7979999999999999
1.83816	0.698	0.7070000000000001	0.282	0.6990000000000001	0.446	0.7020000000000001	0.88	1.022	0.927	0.622	0.21899999999999997	2.5540000000000003	0.569	0.266	0.72	1.276	1.396	1.564	0.413	0.879	0.457	0.539	0.778	0.743	0.56	0.564	0.747	0.9590000000000001	0.665	0.6	0.629	0.971	1.42	0.574	0.613	0.6940000000000001	0.868	0.961	1.103	1.1440000000000001	0.6609999999999999	0.84	0.54	0.758	0.777
2.00498	0.561	0.541	0.20199999999999999	0.7909999999999999	0.48200000000000004	0.623	0.887	1.114	0.763	0.542	0.311	3.45	0.5760000000000001	0.473	0.727	1.287	1.463	1.744	0.44799999999999995	0.885	0.348	0.546	0.6990000000000001	0.75	0.568	0.6579999999999999	0.6679999999999999	0.966	0.614	0.5489999999999999	0.636	0.924	1.599	0.667	0.648	0.557	0.848	0.91	1.113	1.41	0.611	0.9329999999999999	0.49	0.536	0.986
2.17154	0.722	0.7020000000000001	0.221	0.924	0.47700000000000004	0.6409999999999999	0.85	1.046	0.902	0.735	0.33	3.877	0.509	0.46399999999999997	0.807	1.49	1.489	2.314	0.523	1.0170000000000001	0.45	0.679	0.778	0.857	0.6779999999999999	0.593	0.773	0.898	0.775	0.45299999999999996	0.6559999999999999	1.155	1.68	0.687	0.723	0.633	0.9890000000000001	1.0170000000000001	1.199	1.432	0.72	0.927	0.511	0.73	1.1520000000000001
2.33822	0.6679999999999999	0.82	0.31	1.014	0.51	0.616	0.9390000000000001	1.0490000000000002	0.963	0.795	0.419	5.03	0.599	0.409	0.782	1.208	1.5219999999999998	2.49	0.44	1.25	0.48100000000000004	0.682	0.7809999999999999	0.831	0.5379999999999999	0.7120000000000001	0.7190000000000001	1.073	0.807	0.5720000000000001	0.688	1.189	1.9709999999999999	0.662	0.669	0.637	0.9640000000000001	1.1640000000000001	1.29	1.5219999999999998	0.723	0.9309999999999999	0.486	0.647	0.9259999999999999
2.50492	0.627	0.779	0.298	1.1440000000000001	0.465	0.775	0.9259999999999999	1.094	0.89	0.897	0.37799999999999995	5.528	0.643	0.54	0.9390000000000001	1.273	1.6480000000000001	2.818	0.5429999999999999	1.496	0.614	0.669	0.968	0.932	0.58	0.669	0.792	1.003	0.7659999999999999	0.731	0.818	1.168	1.955	0.7340000000000001	0.657	0.7390000000000001	0.89	1.179	0.9840000000000001	1.3630000000000002	0.7659999999999999	0.945	0.644	0.518	1.083
2.67155	0.621	0.945	0.349	1.425	0.544	0.7120000000000001	0.976	1.117	1.025	1.062	0.4	6.6370000000000005	0.665	0.562	0.8740000000000001	1.2919999999999998	1.754	3.554	0.594	1.8619999999999999	0.78	0.6629999999999999	0.932	0.8959999999999999	0.5720000000000001	0.6609999999999999	0.757	0.9690000000000001	0.789	0.638	0.8109999999999999	1.215	2.177	0.727	0.737	0.6459999999999999	1.025	1.172	1.261	1.757	0.701	0.9940000000000001	0.55	0.511	1.247
2.83825	0.716	1.012	0.387	1.492	0.555	0.721	0.9	1.126	1.0659999999999998	1.187	0.41	7.455	0.847	0.457	0.972	1.307	1.767	4.056	0.603	1.929	0.617	0.759	1.0290000000000001	0.9359999999999999	0.526	0.701	0.795	1.006	0.625	0.705	0.764	1.2309999999999999	2.131	0.6509999999999999	0.7170000000000001	0.828	0.9520000000000001	1.1540000000000001	1.39	1.74	0.769	0.9490000000000001	0.475	0.722	1.23
3.00477	0.6679999999999999	1.365	0.54	1.645	0.596	0.903	1.112	1.135	1.078	1.5419999999999998	0.649	8.561	0.799	0.5529999999999999	1.041	1.294	1.867	4.988	0.698	2.226	0.711	0.825	1.212	1.032	0.682	0.7979999999999999	0.863	1.159	0.893	0.8009999999999999	0.774	1.103	2.373	0.69	0.813	0.7509999999999999	1.165	1.1640000000000001	1.405	1.78	0.723	0.9309999999999999	0.5720000000000001	0.647	1.242
3.17155	0.905	1.43	0.604	1.8519999999999999	0.74	0.7659999999999999	1.087	1.171	1.05	1.775	0.626	9.814	0.92	0.531	1.215	1.4869999999999999	1.95	5.843	0.792	2.461	0.8640000000000001	0.746	1.273	1.094	0.597	0.772	0.84	1.138	0.843	0.807	0.98	1.325	2.7460000000000004	0.753	0.705	0.787	1.135	1.3980000000000001	1.4280000000000002	1.5530000000000002	0.754	0.9329999999999999	0.5760000000000001	0.708	1.33
3.33822	0.905	1.774	0.69	2.024	0.74	1.024	1.145	1.2570000000000001	1.193	2.004	0.655	10.388	0.92	0.531	1.358	1.4869999999999999	2.036	7.0760000000000005	1.05	2.719	0.892	0.9179999999999999	1.187	1.18	0.6829999999999999	0.83	0.754	1.08	0.872	0.721	0.922	1.21	2.431	0.753	0.877	0.815	1.135	1.254	1.6	1.725	0.6970000000000001	0.991	0.662	0.622	1.301
3.50484	0.917	2.045	0.76	2.353	0.8420000000000001	0.9790000000000001	1.101	1.2690000000000001	1.381	2.2769999999999997	0.897	11.615	1.22	0.6579999999999999	1.287	1.565	2.14	7.497999999999999	1.119	2.9339999999999997	1.104	0.845	1.402	1.1079999999999999	0.613	0.8440000000000001	0.9390000000000001	1.15	0.97	0.7340000000000001	0.85	1.173	2.6189999999999998	0.91	0.746	0.885	1.238	1.355	1.39	1.683	0.7979999999999999	1.121	0.59	0.866	1.2590000000000001
3.67156	0.9420000000000001	2.242	0.8140000000000001	2.521	1.01	1.034	1.155	1.4380000000000002	1.3769999999999998	2.56	0.98	12.154000000000002	1.274	0.655	1.37	1.589	2.136	9.014	1.2309999999999999	3.2739999999999996	1.159	0.9279999999999999	1.3980000000000001	1.276	0.609	0.755	0.878	1.175	0.8809999999999999	0.731	0.847	1.3119999999999998	2.758	0.763	0.8	0.882	1.205	1.4080000000000001	1.357	1.851	0.88	1.088	0.644	0.7190000000000001	1.083
3.83827	0.846	2.6919999999999997	1.12	2.772	1.035	1.168	1.4340000000000002	1.227	1.574	3.215	1.1440000000000001	13.856	1.237	0.818	1.508	1.39	2.249	10.597999999999999	1.508	3.554	1.291	1.176	1.621	1.355	1.063	0.805	0.898	1.194	0.899	0.836	0.925	1.285	3.242	0.7829999999999999	0.733	0.8440000000000001	1.318	1.516	1.472	1.7009999999999998	0.961	1.111	0.6940000000000001	0.741	1.508
4.00498	1.08	3.182	1.238	2.83	1.088	1.228	1.607	1.375	1.541	3.4989999999999997	1.375	14.952	1.611	0.7340000000000001	1.821	1.636	2.385	12.386	1.712	3.841	1.4969999999999999	1.093	1.735	1.355	0.687	0.862	0.872	1.255	0.846	0.9540000000000001	0.9259999999999999	1.215	2.9219999999999997	0.813	0.823	0.79	1.2830000000000001	1.344	1.892	1.815	0.8440000000000001	1.08	0.579	0.626	1.247
4.17164	1.032	3.565	1.534	3.0410000000000004	1.187	1.324	1.359	1.47	1.5819999999999999	3.9989999999999997	1.5290000000000001	16.235	1.736	0.888	1.66	1.651	2.485	12.95	1.837	4.4830000000000005	1.764	1.189	1.8319999999999999	1.337	0.785	0.8440000000000001	0.882	1.236	0.884	0.82	0.9359999999999999	1.317	2.762	0.852	0.7170000000000001	0.885	1.1520000000000001	1.355	1.734	1.8259999999999998	0.856	1.035	0.647	0.636	1.1440000000000001
4.33828	1.114	3.8810000000000002	1.59	3.3289999999999997	1.421	1.264	1.5030000000000001	1.581	1.7009999999999998	4.721	1.671	17.008	1.879	0.914	1.7209999999999999	1.865	2.5789999999999997	13.519	2.294	4.8580000000000005	2.0469999999999997	1.444	1.9769999999999999	1.7109999999999999	0.7879999999999999	0.903	0.9940000000000001	1.261	0.9079999999999999	0.846	0.935	1.128	3.341	0.88	0.857	0.767	1.36	1.642	1.4	1.77	0.915	1.123	0.6759999999999999	0.723	1.347
