	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
20.00607	13.616	76.676	40.671	36.201	46.398	20.433	20.941	22.607	17.842	76.258	42.652	44.326	47.601000000000006	21.163	23.096999999999998	22.378	19.912	73.11	44.588	37.407	48.617	19.651	22.881999999999998	22.307	1.507	18.259	8.487	2.512	3.242	4.588	3.673	1.931	18.226	9.67	2.195	2.697	6.803	4.569	4.232	15.885	7.44	2.419	1.56	3.4789999999999996	9.007
20.17264	13.793	77.1	41.821000000000005	36.349000000000004	47.133	20.278	20.986	22.195999999999998	17.687	76.202	42.467	44.857	48.106	21.151	22.891	22.434	19.762	72.712	45.543	37.898	49.376000000000005	20.119	23.101	22.213	1.5319999999999998	17.962	8.63	2.845	3.5189999999999997	4.726	3.8680000000000003	1.649	19.095	10.185	2.2430000000000003	2.803	6.665	4.423	4.35	16.095	7.186	2.272	1.525	3.6460000000000004	8.669
20.33937	14.123	77.29899999999999	42.45399999999999	36.779	47.857	20.499000000000002	21.009	22.218000000000004	17.738	75.97399999999999	43.471000000000004	44.867	48.25899999999999	20.631999999999998	23.173000000000002	22.719	19.702	72.882	45.722	38.129	49.614	19.799	22.955	22.037	1.6580000000000001	18.154	8.729	2.77	3.5869999999999997	4.823	3.7939999999999996	1.665	18.463	10.031	2.424	2.6430000000000002	6.994	4.521	4.395	15.859000000000002	7.515	2.37	1.537	3.83	8.885
20.50591	14.338	77.188	42.908	37.278	47.946999999999996	20.327	21.06	22.244	17.905	76.002	44.233999999999995	45.083	48.528	20.261	23.413	21.725	19.973	73.054	46.341	38.483000000000004	49.886	20.226	22.858	22.055999999999997	1.5230000000000001	18.521	8.899	2.758	3.9130000000000003	5.172000000000001	4.002	1.66	18.545	10.279000000000002	2.384	2.7710000000000004	7.382000000000001	4.641	4.33	16.007	7.112	2.52	1.577	3.779	8.99
20.67272	14.332	77.80199999999999	43.608999999999995	37.235	48.23	20.441	20.835	22.415	18.133	76.76	44.538999999999994	45.618	48.95	20.858	23.191	22.188000000000002	20.148	72.476	46.873999999999995	38.384	50.023	20.084	22.805	22.372	1.454	18.892	8.662	2.8569999999999998	3.928	5.103	4.217	1.68	18.66	10.13	2.397	3.0410000000000004	7.462000000000001	4.914	4.437	16.175	6.962000000000001	2.423	1.4780000000000002	4.165	9.325
20.83951	14.659	77.801	44.181999999999995	37.705	49.023	20.613000000000003	21.524	22.618000000000002	18.281	76.335	45.713	46.343	49.907	20.719	22.836	22.301	19.734	72.672	48.363	38.855	50.549	19.599	22.901	22.096999999999998	1.589	18.439	8.578	2.898	4.029	5.182	4.095	1.6569999999999998	18.463	9.796	2.352	2.971	7.615	5.051	4.702	16.028	7.193	2.5	1.694	4.018	9.163
21.00611	14.698	77.688	44.772	37.815	48.952	20.42	21.159000000000002	21.969	17.945	75.993	46.187	47.18600000000001	49.838	20.469	23.153000000000002	21.874000000000002	19.965999999999998	72.189	49.549	39.022	50.994	20.317999999999998	22.421999999999997	22.045	1.4909999999999999	18.702	8.706	2.859	3.932	5.482	4.311	1.584	18.698	9.693999999999999	2.428	3.045	7.199	4.867	4.7989999999999995	16.264	7.691	2.46	1.683	4.09	9.658999999999999
21.17274	15.175999999999998	77.669	45.215	38.544000000000004	49.394	20.242	21.265	22.160999999999998	18.08	76.259	46.715	47.6	49.938	20.433	22.746	21.837	19.616	72.28399999999999	49.621	39.353	51.407	20.055	22.784000000000002	21.895	2.057	20.033	8.302999999999999	2.9410000000000003	4.185	5.877000000000001	4.478	1.665	18.035999999999998	10.942	2.5669999999999997	3.07	8.133	5.233	4.765	16.258	7.941	2.569	1.5930000000000002	4.172	9.652999999999999
21.33939	15.182	78.03	46.251999999999995	38.754	49.57899999999999	20.221	21.415	22.482	17.745	75.794	47.952	47.157	50.493	20.554000000000002	23.01	22.131	19.567	71.819	50.403	39.62	51.62	19.977	23.048000000000002	21.732	1.406	19.813	9.076	2.859	4.445	5.938	4.51	1.584	18.1	9.979	2.513	2.988	7.683	5.122999999999999	4.571000000000001	16.179000000000002	7.52	2.573	1.683	4.09	10.086
21.50612	15.418	77.887	46.356	38.906	50.262	20.605999999999998	20.976999999999997	22.127	17.933	76.02199999999999	48.287	48.035	51.086999999999996	20.741	23.031999999999996	22.415	19.616	71.702	50.512	40.256	51.81399999999999	20.19	23.239	22.206999999999997	1.659	20.115	8.592	2.908	4.496	5.678999999999999	4.877	1.53	18.4	10.21	2.6189999999999998	3.352	8.572000000000001	5.492000000000001	5.06	16.305	7.693	2.5980000000000003	1.6480000000000001	4.373	9.777999999999999
21.67281	15.505	77.554	47.419	39.218	50.476000000000006	20.186	21.272	22.506999999999998	17.742	76.06	48.924	48.73	51.042	20.778000000000002	23.359	21.976999999999997	19.886	71.51	52.119	40.512	52.566	19.998	22.767	22.075	1.6230000000000002	20.296	8.759	3.153	4.343999999999999	6.271	4.785	1.784	18.636	10.265999999999998	2.465	3.428	8.943999999999999	5.627999999999999	5.088	16.596	7.377000000000001	2.705	1.6669999999999998	4.595	10.205
21.83945	15.46	77.59100000000001	48.32899999999999	39.325	51.104	20.572	20.916	22.179000000000002	17.985	76.26899999999999	49.43600000000001	49.214	51.441	21.021	23.176	22.053	19.645	71.205	52.832	40.82	52.422	19.526	22.611	22.005	1.7169999999999999	20.311	8.94	3.0180000000000002	4.665	6.537000000000001	5.25	1.6230000000000002	18.309	10.02	2.7289999999999996	3.464	8.812999999999999	5.694	5.185	16.495	8.529	2.827	1.589	4.575	10.73
22.00616	15.582	77.419	48.951	39.735	51.449	20.387	20.875999999999998	22.395	18.087	75.555	50.516000000000005	49.897	51.809	21.066	23.17	22.195999999999998	20.152	71.173	53.887	41.488	52.903	19.654	23.116999999999997	21.881	1.827	20.215	8.741	3.096	4.945	6.821000000000001	5.019	1.682	18.41	9.908999999999999	2.835	3.6289999999999996	8.849	5.978	5.562	15.993	7.704	2.7089999999999996	1.841	4.43	10.107999999999999
22.17279	15.662	77.143	49.738	40.266999999999996	51.805	20.294	20.954	22.302	18.023	76.165	51.388999999999996	50.74	52.281000000000006	20.686999999999998	23.504	21.756999999999998	19.8	70.812	54.73	41.534	53.29	19.647000000000002	22.48	22.131	1.795	20.121	9.165	3.178	5.227	7.3020000000000005	5.386	1.5630000000000002	19.002	10.446	2.66	3.4819999999999998	8.815	5.973	5.07	15.958	8.013	2.734	1.837	4.94	10.588
22.33944	15.962	77.189	50.861999999999995	40.861999999999995	52.08	20.316	20.664	22.182	17.846	75.669	52.516000000000005	51.325	52.379	20.566999999999997	23.191999999999997	21.965999999999998	19.686	70.998	55.717	41.958	53.872	19.839000000000002	22.794	21.9	1.996	20.233	8.57	3.2310000000000003	5.312	6.905	5.846	1.771	18.025	10.17	2.827	3.68	9.371	6.12	5.596	16.434	7.65	2.763	1.892	4.914	10.6
22.50616	15.709000000000001	76.999	51.86600000000001	40.902	52.306999999999995	19.83	20.691	22.41	17.873	75.021	53.431999999999995	51.611999999999995	52.724	20.623	22.929000000000002	21.871	19.539	70.352	56.888999999999996	42.255	53.674	19.582	22.875999999999998	21.811	1.893	20.202	9.18	3.102	5.239	7.316	5.914	1.607	17.938	10.834000000000001	2.985	3.551	9.29	6.7589999999999995	5.43	16.407	7.943	2.889	1.7619999999999998	4.954	10.834000000000001
22.67288	15.985	76.655	52.537	41.136	52.608999999999995	20.109	21.256999999999998	22.776	17.667	75.479	54.19	52.341	53.167	20.874000000000002	23.183000000000003	21.956999999999997	19.592	70.465	57.82	42.518	54.231	19.46	22.872	21.835	1.906	19.882	9.538	3.199	5.593999999999999	7.187	6.013	1.537	18.561	9.85	2.9960000000000004	3.991	9.908999999999999	6.2010000000000005	5.676	16.284000000000002	7.473	2.873	1.86	5.3389999999999995	11.023
22.83953	15.717	76.941	53.409	41.629	53.111000000000004	19.987000000000002	20.593000000000004	21.653000000000002	17.775	75.278	55.178000000000004	52.757	53.553000000000004	20.467	23.465999999999998	22.271	19.846	69.976	58.523	42.897	54.501000000000005	19.739	22.925	21.314	1.7469999999999999	20.592	9.381	3.295	5.864	7.516	6.341	1.867	18.726	10.495	3.035	4.003	9.927	6.959	5.55	16.619	7.803	2.972	1.9569999999999999	5.2379999999999995	11.385
23.00619	16.222	76.47800000000001	54.125	41.941	53.205	20.131	20.741	22.085	17.521	75.219	56.18600000000001	53.333	53.667	20.642	23.081	22.098000000000003	19.63	69.709	59.306999999999995	43.641999999999996	54.957	19.623	22.879	21.322	1.6540000000000001	19.939	9.183	3.452	5.912999999999999	8.002	6.912999999999999	1.671	18.729	10.561	3.1630000000000003	3.7910000000000004	10.088	6.5	5.877999999999999	16.874000000000002	7.952999999999999	2.937	1.86	5.523	10.681
23.1729	16.28	76.023	55.027	42.351000000000006	53.299	19.750999999999998	20.930999999999997	21.933000000000003	17.798	74.64699999999999	57.284	54.175	54.312	20.489	23.005	21.698	19.298	69.258	60.745	44.193000000000005	55.001999999999995	19.158	22.805999999999997	21.71	1.673	19.698	9.11	3.478	6.191	7.7010000000000005	6.527	1.5390000000000001	18.319000000000003	10.798	3.045	4.1	9.658999999999999	7.002000000000001	5.882999999999999	16.812	7.647	2.841	1.883	5.337999999999999	10.715
23.33954	16.324	76.039	55.961000000000006	42.922	53.806000000000004	19.887	20.811999999999998	21.984	17.735	74.579	58.50899999999999	54.566	54.442	20.225	23.294	21.391	19.412	69.471	61.342	44.13399999999999	55.474	19.293	22.776999999999997	21.191999999999997	1.875	20.699	9.575	3.503	5.962000000000001	8.366	6.76	1.919	18.399	10.808	3.07	4.156000000000001	9.874	7.437	6.182	16.945999999999998	8.315	3.1	2.082	5.055	11.272
23.50633	16.333	75.979	56.739	42.93600000000001	54.213	20.102	20.858	21.828000000000003	17.867	74.548	58.888999999999996	54.828	54.873999999999995	20.413	23.201	22.28	19.805999999999997	69.064	62.643	44.838	55.703	19.477999999999998	22.509	20.921999999999997	1.9	19.424	9.031	3.553	6.446000000000001	8.193999999999999	7.392	2.123	18.442999999999998	10.525	3.321	4.323	10.255999999999998	7.5520000000000005	6.2170000000000005	16.729	8.003	3.2119999999999997	1.933	5.657	11.565999999999999
23.67286	16.482	75.274	57.81	43.68899999999999	54.193000000000005	19.829	21.049	21.93	17.625	74.45	60.281000000000006	56.475	55.107	20.199	23.372	21.713	20.004	69.16	63.148	45.22	56.71	19.29	22.648000000000003	21.259	1.77	20.709	9.771	3.733	6.6610000000000005	8.761000000000001	7.872000000000001	2.119	18.143	11.012	3.5589999999999997	4.478	10.347999999999999	7.601	6.707000000000001	16.77	8.632	3.083	1.972	5.445	11.31
23.83955	16.463	75.419	58.369	43.968999999999994	54.55	19.664	20.94	21.534000000000002	17.833	74.335	61.038999999999994	56.342	55.437	20.177	23.433000000000003	21.599	19.634	68.76	63.70399999999999	45.442	56.43600000000001	19.441	22.451	20.717	1.8730000000000002	20.082	9.555	3.6639999999999997	6.735	9.005	7.857	2.016	17.862000000000002	11.398	3.346	4.437	10.674000000000001	7.5	6.343999999999999	16.864	8.097999999999999	3.242	1.96	6.006	11.292
24.00634	16.223	75.13	59.50899999999999	44.409	55.2	19.542	21.221999999999998	21.526999999999997	17.712	74.018	61.864	57.022	55.481	20.343	23.171	21.281	19.544	68.555	64.732	46.256	56.48	18.858	21.986	20.798000000000002	1.943	20.537	9.339	3.6460000000000004	7.064	8.876	8.073	1.946	17.884	11.097999999999999	3.472	4.737	10.952	7.774	6.4479999999999995	17.029	8.056000000000001	3.284	1.972	5.473	11.109000000000002
24.1729	16.118	74.988	60.354	44.832	55.413000000000004	19.664	20.767	21.505	17.747	73.501	62.449	57.666000000000004	55.667	20.320999999999998	23.232	21.484	19.375	68.501	65.488	46.478	56.58	18.952	22.365	20.89	2.103	20.369	9.065	3.8939999999999997	7.224	9.005	8.03	2.016	18.236	11.34	3.7489999999999997	4.869	11.077	7.672999999999999	6.747000000000001	16.433	7.954	3.242	2.161	6.006	11.177
24.3396	16.197	74.473	60.998999999999995	45.391999999999996	55.393	19.491	20.828000000000003	21.42	17.98	73.91	63.559	58.108000000000004	55.786	20.063	23.3	21.299	19.614	68.09899999999999	66.111	47.213	57.1	19.352999999999998	22.689	21.096	2.166	20.144000000000002	9.595	3.7510000000000003	7.5760000000000005	9.333	8.271	2.03	18.439	11.011	3.6630000000000003	4.987	11.388	8.606	6.651	17.266	8.602	3.306	1.9909999999999999	6.2170000000000005	12.262
24.50635	16.428	74.243	61.806000000000004	45.508	55.652	19.289	20.886	21.708000000000002	17.836	73.824	64.452	58.684	56.506	20.38	23.241999999999997	21.328000000000003	19.758	67.782	66.831	47.357	57.33	18.748	22.343000000000004	20.693	1.993	20.403	9.71	3.8369999999999997	7.893	9.275	9.136000000000001	2.2319999999999998	17.863	11.097000000000001	3.8080000000000003	5.189	11.734000000000002	8.577	6.795	16.833	8.515	3.392	1.9909999999999999	6.0729999999999995	12.089
24.67294	16.658	74.149	62.701	46.342	55.966	19.555	21.244	21.715999999999998	17.875	73.271	65.555	59.086999999999996	56.555	19.956	23.232	21.788	19.775	68.001	67.763	48.396	57.723	18.781	22.589000000000002	20.906	2.1180000000000003	21.195	10.074	3.986	8.107000000000001	9.668	9.356	2.164	18.246	11.321	3.928	5.111000000000001	11.302	8.45	6.936	16.809	8.738	3.3160000000000003	2.113	6.29	11.74
24.83965	16.182000000000002	74.22	63.596000000000004	46.778999999999996	56.625	19.055999999999997	21.038	21.595	17.783	72.708	66.021	59.864	57.21	20.296	23.119	21.363000000000003	19.399	67.46300000000001	68.51899999999999	48.661	57.942	18.743	22.154	21.134	2.033	20.124000000000002	9.937000000000001	3.983	8.255	9.877	9.392999999999999	2.3169999999999997	18.414	11.043	3.9539999999999997	5.255	11.232000000000001	8.948	7.441	17.523	8.14	3.4619999999999997	2.0540000000000003	6.468	12.187999999999999
25.00634	16.192	73.413	63.835	47.26	56.549	19.035	20.840999999999998	21.746	18.078	72.855	66.548	60.335	57.135	19.840999999999998	23.237	21.103	19.461	67.033	68.554	49.113	58.042	18.549	22.39	20.302	2.222	20.187	9.344	4.145	8.299	9.746	9.724	2.272	18.565	11.373	4.1739999999999995	5.474	11.589	8.673	7.422999999999999	16.837	8.384	3.622	2.157	6.482	11.937999999999999
25.17309	15.955	73.453	64.454	47.738	56.937	19.317	20.978	21.421	17.724	73.067	66.964	60.868	57.495	19.747	22.796	21.180999999999997	19.511	67.362	69.49	49.821999999999996	58.923	18.744	22.353	20.15	2.305	20.785999999999998	10.176	4.343	8.814	10.001	10.209	2.18	18.615	11.800999999999998	4.199	5.325	11.466	9.158999999999999	7.474	17.061	8.985	3.676	2.0669999999999997	6.709	11.932
25.33974	16.273	73.279	65.09	48.085	57.082	18.768	21.065	20.93	17.84	72.721	67.773	61.301	57.582	19.92	23.171	20.718000000000004	19.8	66.69800000000001	69.779	50.196999999999996	58.605	18.427	22.526	20.207	2.218	20.584	10.032	4.314	8.843	10.001	9.632	2.267	18.471	11.857999999999999	4.112	5.585	10.802	9.361	7.619	17.003	8.899	3.6180000000000003	2.125	6.564	12.105
25.50639	16.077	73.124	65.887	48.878	57.473	18.919	21.015	20.936999999999998	18.281	72.82600000000001	68.39699999999999	61.52	58.118	19.349	23.237	21.103	19.605999999999998	66.773	70.23	50.875	58.88	18.549	22.101	20.302	2.396	20.36	10.297	4.492	8.992	10.469000000000001	10.244000000000002	2.128	18.535999999999998	11.517000000000001	4.289	6.023	11.386	9.106	7.797999999999999	17.097	8.731	3.68	2.128	6.656000000000001	12.632
25.67301	16.249000000000002	73.346	66.27199999999999	49.201	57.531000000000006	18.896	20.881	21.002	17.655	72.762	69.279	61.9	58.025	19.500999999999998	23.141	20.781999999999996	19.709	66.789	70.65	51.345	59.363	18.35	22.289	20.313	2.406	20.779	9.823	4.526	9.035	9.967	10.177	2.3209999999999997	18.516	11.685	4.324	6.149	11.532	9.732999999999999	8.027999999999999	16.987000000000002	8.982999999999999	3.633	2.251	7.308	12.254000000000001
25.83963	16.176	72.785	66.817	49.57	57.881	18.5	20.914	20.894000000000002	17.66	72.516	69.126	61.958	58.177	19.479	23.052	20.746	19.449	66.462	71.277	52.001000000000005	59.402	18.621	22.233	20.23	2.318	20.463	10.308	4.413	9.349	10.277000000000001	10.341	2.283	18.117	11.124	4.442	6.176	11.949000000000002	9.782	7.752999999999999	16.909000000000002	8.943999999999999	3.718	2.2230000000000003	7.157	12.789000000000001
26.00638	16.2	72.73100000000001	67.273	50.441	57.975	18.648	20.899	20.611	18.019000000000002	72.12	70.632	62.638000000000005	58.262	19.197	22.901999999999997	20.954	19.644000000000002	66.23	71.71300000000001	52.5	59.6	18.304000000000002	22.221999999999998	20.069000000000003	2.346	20.71	10.724	4.4910000000000005	9.527999999999999	10.607000000000001	11.224	2.295	18.242	11.603	4.927	6.349	11.687999999999999	9.794	7.892	17.029	9.075	3.8339999999999996	2.101	6.787999999999999	13.074000000000002
26.17302	16.065	72.503	67.742	50.516000000000005	58.506	18.627	20.818	20.502	18.112000000000002	72.413	70.404	62.61600000000001	58.795	19.000999999999998	22.993000000000002	20.665	19.965999999999998	66.206	71.891	53.00899999999999	59.988	18.284000000000002	22.4	20.480999999999998	2.42	20.194000000000003	10.013	4.711	9.397	10.33	10.28	2.1919999999999997	18.828	11.527999999999999	5.031000000000001	6.307	12.16	9.662	7.815	16.66	8.826	3.82	2.292	6.773	12.765
26.3397	16.294	71.87899999999999	68.102	51.382	58.803000000000004	18.655	20.964000000000002	20.415	17.794	72.60300000000001	70.737	63.553000000000004	59.176	19.465	22.824	20.528000000000002	19.477999999999998	65.9	72.282	53.471000000000004	60.253	18.195	22.491	20.424	2.524	20.892	10.7	4.756	9.939	11.075999999999999	11.114	2.445	19.09	12.073	4.843999999999999	6.353	12.129000000000001	9.943999999999999	8.362	17.297	9.08	3.9539999999999997	2.221	7.228	13.050999999999998
26.50645	16.351	72.013	68.579	51.797	58.66	18.747	20.802	20.682	17.863	72.422	71.249	63.183	59.318000000000005	19.385	22.929000000000002	20.292	19.582	66.059	72.708	53.68600000000001	60.769	17.908	22.680999999999997	20.348	2.5639999999999996	20.993000000000002	10.487	4.791	9.984	10.69	11.368	2.407	19.159000000000002	11.864	4.966	6.8870000000000005	11.899000000000001	10.168	8.304	16.78	8.985	4.082	2.314	7.36	12.847999999999999
26.67308	15.975	71.619	68.914	52.368	58.919	18.423	20.964000000000002	20.357	17.794	71.733	71.462	63.118	59.292	18.942999999999998	23.23	20.789	19.507	65.726	72.775	54.196000000000005	60.891000000000005	18.108	22.607	20.25	2.553	20.66	10.005	5.104	10.315999999999999	10.467	11.23	2.387	19.177	11.957	5.308	6.875	12.187000000000001	9.972999999999999	8.276	16.775	8.935	3.9539999999999997	2.366	7.518	12.53
26.83983	16.012	71.813	69.281	52.801	59.54	18.552	21.069000000000003	20.487	18.014	71.757	71.572	63.713	59.677	19.16	22.962	20.38	20.079	65.832	73.32	54.803999999999995	60.983999999999995	17.917	22.482	20.732	2.638	20.445999999999998	10.238999999999999	5.272	10.491	10.847999999999999	11.437999999999999	2.594	18.991	11.411	5.419	6.96	11.879000000000001	10.442	8.285	17.339000000000002	9.23	4.126	2.419	7.084	13.032
27.00649	16.209	71.85300000000001	69.873	53.541000000000004	59.872	18.516	21.061	20.625	17.89	71.796	72.25	63.841	59.981	19.008	22.953000000000003	20.197	19.461	65.727	73.766	55.398999999999994	60.968	17.997	22.474	20.202	2.575	20.758000000000003	10.495	5.122999999999999	10.602	10.843	11.839	2.676	18.722	12.595999999999998	5.734	7.246	11.727	10.784	8.743	16.578	9.107999999999999	4.412	2.4730000000000003	7.513999999999999	12.909
27.17318	16.2	71.166	69.795	54.151	59.685	18.329	20.811999999999998	20.234	17.787	71.80199999999999	72.43	63.826	60.146	18.704	22.901999999999997	20.2	19.672	65.273	73.453	55.515	61.455	17.956	22.773000000000003	20.590999999999998	2.636	20.391	10.637	5.187	10.716	10.462	11.456	2.469	18.648	11.98	5.882999999999999	6.957999999999999	12.354000000000001	10.374	8.936	16.71	9.017000000000001	4.355	2.478	7.3389999999999995	12.812999999999999
27.33979	15.869000000000002	70.985	70.107	54.122	59.826	18.285999999999998	20.825	20.017	17.945999999999998	71.736	72.538	64.024	60.347	18.487000000000002	23.088	19.921	19.714000000000002	65.18	73.706	55.949	61.424	17.942999999999998	22.496	20.749000000000002	2.5980000000000003	20.347	10.539000000000001	5.497000000000001	11.257	10.77	11.909	2.69	19.589000000000002	11.795	5.9910000000000005	6.92	12.718	10.623	8.517000000000001	16.58	9.295	4.375	2.5269999999999997	7.821000000000001	13.815
27.50648	15.863	70.881	70.089	54.542	60.18600000000001	18.482	20.875999999999998	19.836	17.938	71.02199999999999	72.867	63.92	60.678000000000004	18.451	23.136999999999997	19.738	19.387	65.134	73.919	56.369	61.928999999999995	18.197	22.98	20.944000000000003	2.883	20.194000000000003	10.679	5.522	10.73	11.025	12.25	2.5980000000000003	18.973	12.194	5.987	7.437	13.232000000000001	10.472999999999999	9.061	16.805	9.087	4.631	2.552	7.99	13.287
27.67307	16.084	71.311	70.346	55.34	60.265	18.503	20.58	19.799	18.048	71.33800000000001	72.86399999999999	64.17399999999999	60.784	18.327	23.366	19.939	19.383	65.012	73.888	56.732	61.977	18.101	23.092	21.430999999999997	2.897	19.87	10.434000000000001	5.5920000000000005	10.745	11.042	11.398	2.73	19.518	12.212	6.347	8.001	12.296	10.895	8.994	17.0	9.104	4.732	2.391	7.773	14.06
27.83985	16.024	70.78699999999999	70.60300000000001	55.788000000000004	60.703	18.903	20.976	20.112000000000002	17.807000000000002	71.072	72.917	64.436	60.965	18.726	23.236	20.009	19.37	65.128	74.28699999999999	57.121	62.273999999999994	18.154	23.253	21.218000000000004	2.787	20.41	10.784	6.007000000000001	10.546	10.927999999999999	12.76	2.702	19.219	11.777000000000001	6.499	7.688	12.784	10.607000000000001	9.338	16.675	9.277999999999999	4.912	2.544	7.574	13.708
28.00651	16.332	70.898	70.80199999999999	55.948	60.666000000000004	18.634	20.912	19.959	17.945999999999998	70.866	73.436	64.111	61.824	18.313	23.378	19.689	19.54	64.804	74.169	57.513999999999996	62.351000000000006	18.378	23.191	21.039	2.772	20.521	11.206	5.7	10.967	11.030999999999999	12.052999999999999	2.69	19.328	12.113	6.57	7.644	12.949000000000002	11.145	9.242	16.522000000000002	9.556000000000001	4.955	2.5269999999999997	7.5889999999999995	13.148
28.17315	16.011	70.723	70.741	56.424	61.04600000000001	18.975	20.845	19.895	17.965999999999998	70.92	73.343	64.46	61.483000000000004	18.423	23.421999999999997	19.557000000000002	19.267	64.745	74.135	57.728	62.706	18.43	23.439	21.289	2.952	20.394000000000002	10.773	6.085	10.622	11.032	12.458	2.7489999999999997	19.753	11.332	6.722	7.621	13.290999999999999	11.493	8.977	16.488	9.817	5.018	2.594	8.316	14.448
28.33987	16.301	70.375	70.857	56.974	61.191	18.889	20.787	19.837	17.995	70.775	73.632	64.46	61.83	18.452	23.421999999999997	19.47	19.527	64.919	74.337	57.96	62.503	18.43	23.121	21.201999999999998	2.8360000000000003	19.729	11.034	6.375	10.767000000000001	10.946	12.285	2.7489999999999997	19.58	11.997	7.0120000000000005	8.286	12.654000000000002	10.798	9.122	17.125	9.209	5.105	2.536	7.477	13.869000000000002
28.50659	15.953	70.578	71.08800000000001	57.06100000000001	61.422	19.236	20.787	20.125999999999998	17.995	70.833	73.545	64.48899999999999	62.033	18.51	23.826999999999998	19.702	19.412	64.456	74.569	58.306999999999995	62.966	18.517	23.236	21.346999999999998	3.01	21.349	11.265999999999998	6.547999999999999	11.345999999999998	11.032	12.4	2.865	19.377	12.287	7.446000000000001	8.286	13.349	11.059000000000001	9.296	16.805999999999997	9.47	4.816	2.623	8.027000000000001	13.203
28.67327	15.929	70.378	71.096	57.617	61.301	19.249000000000002	21.038	19.82	18.129	70.668	73.906	64.574	62.254	18.319000000000003	23.682	19.618	19.668	64.572	74.436	58.633	63.59	18.586	23.406	21.686999999999998	2.968	19.69	11.262	6.649	11.37	11.174000000000001	12.025	2.717	20.121	12.317	8.013	8.451	13.274000000000001	11.29	9.391	16.789	9.207	5.3839999999999995	2.8089999999999997	8.543	13.905
28.83994	16.128	69.89699999999999	71.429	57.91	61.746	19.278	20.895	20.109	18.014	70.421	73.89399999999999	64.555	62.522	18.289	23.717	19.771	19.557000000000002	64.613	74.51100000000001	59.071999999999996	63.626000000000005	18.875	23.44	21.98	3.102	20.272000000000002	10.587	6.9270000000000005	11.187999999999999	11.167	12.106	3.0	20.442999999999998	12.079	7.829	8.47	13.389000000000001	11.312000000000001	9.736	16.469	8.882	5.4910000000000005	2.738	8.535	13.583
29.00651	16.018	69.69800000000001	71.454	58.205	61.787	19.561	20.621	20.278	18.407	70.157	73.911	64.477	62.483000000000004	18.285	23.575	20.174	19.507	64.473	74.703	59.394	63.619	19.132	23.881999999999998	22.426	3.188	20.055	11.357999999999999	6.987	11.525	11.645999999999999	12.899000000000001	2.8710000000000004	20.311	11.857999999999999	8.145	8.639	13.472000000000001	11.383	9.679	16.553	8.982999999999999	5.457000000000001	2.772	8.292	13.673
29.17332	15.987	70.204	71.29899999999999	58.545	62.287	19.597	20.921999999999997	20.255	17.897000000000002	70.32	74.08	64.661	62.718	18.609	23.855999999999998	19.734	19.843	64.369	74.842	59.562	64.025	19.195	23.755	22.412	3.258	20.299	11.262	7.2	11.66	11.609000000000002	12.605	3.0069999999999997	20.846	12.433	8.187000000000001	8.247	13.245	11.638	9.797	16.702	9.41	5.646	2.838	8.891	13.992
29.34001	16.268	69.896	71.53699999999999	58.888000000000005	62.446000000000005	19.727999999999998	21.02	20.328	18.199	70.066	74.113	64.442	63.199	18.625	24.093000000000004	19.999000000000002	19.474	64.352	74.41199999999999	59.73	64.16	19.414	23.965	22.393	3.202	20.629	11.49	7.6370000000000005	11.454	11.923	13.09	2.945	20.422	12.107999999999999	8.594	8.652999999999999	13.29	11.69	9.843	17.095	9.318999999999999	5.819	2.9	8.308	14.243
29.50658	16.258	69.94800000000001	71.563	58.963	62.961000000000006	20.125999999999998	20.956999999999997	20.581999999999997	18.135	70.265	73.908	64.52199999999999	63.248000000000005	18.849	24.381	20.026	19.759	64.607	74.72800000000001	59.863	64.122	19.609	23.99	22.823	3.2439999999999998	20.304000000000002	11.42	7.535	11.440999999999999	11.738	13.022	3.2230000000000003	20.706	12.125	8.985	8.407	13.775	11.707	9.719	16.507	9.509	5.921	2.9989999999999997	8.585	14.321
29.67336	16.035999999999998	69.49	71.595	59.38	62.996	20.133	20.875999999999998	20.589000000000002	17.996	70.414	74.315	64.442	63.17	19.000999999999998	24.267	19.738	19.792	64.149	74.73	59.961000000000006	64.884	19.674	24.313000000000002	22.885	3.405	20.339000000000002	11.460999999999999	7.811	11.425	12.184000000000001	13.235	3.235	20.798000000000002	12.571	9.347000000000001	8.856	13.319	11.487	9.872	16.226	9.84	6.051	2.958	8.83	14.04
