	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
0.01121	0.044000000000000004	0.092	0.114	0.166	0.0	0.166	0.092	0.275	0.19899999999999998	0.147	0.243	0.242	0.039	0.158	0.11699999999999999	0.11699999999999999	0.013000000000000001	0.039	0.091	0.065	0.013999999999999999	0.22399999999999998	0.14300000000000002	0.17300000000000001
0.17136	0.0	0.0	0.0	0.026000000000000002	0.08900000000000001	0.0	0.0	0.027000000000000003	0.0	0.057	0.0	0.0	0.0	0.064	0.0	0.0	0.07200000000000001	0.0	0.053	0.0	0.0	0.057999999999999996	0.0	0.28600000000000003
0.33812	0.006	0.071	0.057999999999999996	0.0	0.162	0.09699999999999999	0.146	0.0	0.053	0.0	0.035	0.063	0.053	0.22399999999999998	0.01	0.11	0.052000000000000005	0.013999999999999999	0.0	0.066	0.011000000000000001	0.0	0.107	0.0
0.5048	0.024	0.086	0.102	0.10099999999999999	0.203	0.235	0.14400000000000002	0.039	0.071	0.11	0.171	0.19399999999999998	0.128	0.0	0.157	0.23600000000000002	0.054000000000000006	0.091	0.047	0.068	0.066	0.078	0.157	0.051
0.67149	0.17800000000000002	0.21	0.146	0.095	0.163	0.18600000000000003	0.14300000000000002	0.024	0.062	0.115	0.309	0.24600000000000002	0.095	0.152	0.225	0.228	0.0	0.14300000000000002	0.095	0.20600000000000002	0.095	0.10300000000000001	0.071	0.021
0.83816	0.175	0.157	0.129	0.245	0.336	0.207	0.207	0.09	0.133	0.10800000000000001	0.247	0.39899999999999997	0.273	0.121	0.309	0.205	0.038	0.076	0.08	0.391	0.142	0.311	0.215	0.257
1.00479	0.149	0.08900000000000001	0.187	0.306	0.39399999999999996	0.21600000000000003	0.254	0.239	0.23	0.172	0.312	0.24100000000000002	0.389	0.149	0.32299999999999995	0.166	0.16899999999999998	0.11	0.002	0.374	0.261	0.18100000000000002	0.261	0.099
1.17145	0.23800000000000002	0.19399999999999998	0.312	0.461	0.519	0.18	0.391	0.086	0.217	0.21899999999999997	0.414	0.424	0.461	0.375	0.29100000000000004	0.217	0.307	0.182	0.1	0.47600000000000003	0.39	0.337	0.342	0.226
1.33821	0.21899999999999997	0.192	0.191	0.564	0.647	0.285	0.449	0.157	0.34700000000000003	0.214	0.38	0.41600000000000004	0.564	0.245	0.4	0.105	0.22699999999999998	0.20199999999999999	0.091	0.638	0.44	0.27399999999999997	0.316	0.163
1.50496	0.114	0.299	0.15	0.609	0.69	0.27699999999999997	0.42100000000000004	0.142	0.16699999999999998	0.261	0.344	0.37799999999999995	0.5539999999999999	0.251	0.395	0.185	0.28300000000000003	0.275	0.023	0.6579999999999999	0.488	0.348	0.28600000000000003	0.20800000000000002
1.67152	0.266	0.35600000000000004	0.141	0.66	0.738	0.386	0.483	0.19	0.32899999999999996	0.23	0.34	0.513	0.66	0.207	0.424	0.242	0.318	0.297	0.155	0.7120000000000001	0.625	0.483	0.40299999999999997	0.259
1.83821	0.17300000000000001	0.364	0.278	0.632	0.735	0.27699999999999997	0.495	0.21899999999999997	0.276	0.204	0.37	0.457	0.632	0.31	0.488	0.222	0.331	0.353	0.153	0.688	0.685	0.512	0.47	0.259
