	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
2.5052	0.085	0.10800000000000001	0.191	0.1	0.23800000000000002	0.171	0.264	0.207	0.251	2.0140000000000002	0.1	0.213	0.304	0.33399999999999996	0.317	0.165	0.397	0.132	0.19	0.395	0.41600000000000004	0.35100000000000003	0.33399999999999996	0.228	0.32799999999999996	0.218	0.23800000000000002	0.284	0.16399999999999998	0.1
2.6719	0.087	0.142	0.154	0.096	0.264	0.01	0.259	0.177	0.21899999999999997	1.9869999999999999	0.192	0.18100000000000002	0.3	0.365	0.345	0.162	0.435	0.228	0.162	0.40700000000000003	0.45299999999999996	0.386	0.4	0.262	0.365	0.35	0.237	0.316	0.195	0.193
2.83869	0.129	0.06	0.069	0.136	0.21	0.08	0.205	0.0	0.22899999999999998	1.9669999999999999	0.10800000000000001	0.16	0.247	0.282	0.418	0.203	0.41700000000000004	0.08199999999999999	0.079	0.42200000000000004	0.5589999999999999	0.39799999999999996	0.38	0.273	0.377	0.26899999999999996	0.247	0.29600000000000004	0.174	0.047
3.00536	0.228	0.065	0.136	0.109	0.27699999999999997	0.179	0.272	0.193	0.29600000000000004	1.942	0.019	0.196	0.314	0.318	0.36	0.177	0.517	0.15	0.179	0.335	0.409	0.27899999999999997	0.292	0.185	0.38299999999999995	0.33799999999999997	0.284	0.239	0.21	0.115
3.17191	0.146	0.045	0.175	0.11800000000000001	0.255	0.125	0.281	0.016	0.212	1.86	0.154	0.081	0.261	0.32899999999999996	0.276	0.124	0.436	0.067	0.096	0.287	0.42100000000000004	0.322	0.303	0.196	0.42700000000000005	0.28800000000000003	0.263	0.25	0.377	0.156
3.33861	0.068	0.0	0.0	0.069	0.268	0.13699999999999998	0.2	0.095	0.165	1.8769999999999998	0.13699999999999998	0.19	0.369	0.25	0.353	0.107	0.361	0.115	0.113	0.27699999999999997	0.408	0.245	0.414	0.369	0.258	0.213	0.466	0.266	0.23600000000000002	0.046
3.50539	0.145	0.10800000000000001	0.105	0.175	0.27899999999999997	0.14800000000000002	0.336	0.14	0.33399999999999996	1.892	0.087	0.23399999999999999	0.28600000000000003	0.326	0.365	0.055999999999999994	0.47100000000000003	0.034	0.127	0.389	0.423	0.322	0.366	0.289	0.368	0.22899999999999998	0.385	0.248	0.218	0.059000000000000004
3.67203	0.184	0.21100000000000002	0.111	0.055999999999999994	0.28600000000000003	0.154	0.34299999999999997	0.054000000000000006	0.248	1.9	0.0	0.147	0.262	0.239	0.40299999999999997	0.158	0.512	0.042	0.073	0.306	0.5579999999999999	0.268	0.46799999999999997	0.298	0.44	0.302	0.33	0.256	0.226	0.098
3.83882	0.17800000000000002	0.111	0.099	0.076	0.337	0.142	0.26899999999999996	0.17300000000000001	0.302	1.9269999999999998	0.179	0.265	0.314	0.35700000000000004	0.488	0.242	0.447	0.13	0.098	0.307	0.397	0.295	0.4	0.32299999999999995	0.405	0.268	0.41600000000000004	0.281	0.25	0.121
4.00535	0.193	0.125	0.024	0.0	0.261	0.035	0.35	0.031	0.35	1.909	0.10099999999999999	0.155	0.26899999999999996	0.278	0.474	0.133	0.428	0.113	0.17600000000000002	0.317	0.536	0.34	0.446	0.243	0.449	0.217	0.306	0.359	0.171	0.106
4.17211	0.204	0.231	0.18899999999999997	0.009000000000000001	0.27	0.075	0.233	0.136	0.45399999999999996	2.0469999999999997	0.174	0.228	0.40399999999999997	0.289	0.515	0.237	0.441	0.124	0.187	0.363	0.391	0.38299999999999995	0.489	0.255	0.462	0.324	0.317	0.401	0.244	0.085
4.33884	0.212	0.20800000000000002	0.22699999999999998	0.079	0.27699999999999997	0.05	0.33399999999999996	0.081	0.273	1.93	0.11900000000000001	0.141	0.222	0.20199999999999999	0.428	0.087	0.35600000000000004	0.132	0.258	0.247	0.4	0.392	0.371	0.326	0.314	0.271	0.639	0.18899999999999997	0.095	0.124
4.50544	0.134	0.225	0.24	0.028999999999999998	0.22699999999999998	0.0	0.19	0.066	0.32	1.979	0.102	0.157	0.299	0.312	0.442	0.102	0.344	0.18	0.276	0.332	0.387	0.284	0.42	0.28	0.33299999999999996	0.29	0.245	0.395	0.205	0.20199999999999999
4.67216	0.192	0.156	0.331	0.08800000000000001	0.223	0.059000000000000004	0.374	0.092	0.315	1.973	0.28600000000000003	0.24600000000000002	0.389	0.275	0.406	0.16	0.46299999999999997	0.26899999999999996	0.27	0.325	0.601	0.40399999999999997	0.414	0.27399999999999997	0.389	0.284	0.366	0.484	0.294	0.22899999999999998
4.8388	0.28600000000000003	0.251	0.331	0.025	0.28600000000000003	0.09	0.248	0.092	0.28300000000000003	2.099	0.28600000000000003	0.24600000000000002	0.326	0.37	0.5	0.16	0.526	0.26899999999999996	0.33299999999999996	0.262	0.41200000000000003	0.278	0.38299999999999995	0.337	0.42100000000000004	0.284	0.335	0.326	0.263	0.22899999999999998
5.00554	0.303	0.268	0.40700000000000003	0.10099999999999999	0.204	0.10300000000000001	0.35600000000000004	0.077	0.235	2.085	0.301	0.07200000000000001	0.308	0.322	0.42100000000000004	0.08	0.451	0.254	0.35	0.28300000000000003	0.588	0.327	0.526	0.354	0.408	0.39799999999999996	0.35	0.43799999999999994	0.184	0.15
5.17224	0.146	0.268	0.439	0.038	0.331	0.10300000000000001	0.35600000000000004	0.172	0.33	2.18	0.33299999999999996	0.198	0.40299999999999997	0.228	0.42100000000000004	0.26899999999999996	0.38799999999999996	0.381	0.445	0.34700000000000003	0.525	0.327	0.4	0.354	0.44	0.303	0.76	0.595	0.121	0.307
5.33886	0.154	0.467	0.635	0.045	0.243	0.267	0.3	0.212	0.306	2.221	0.40299999999999997	0.301	0.252	0.235	0.428	0.276	0.493	0.389	0.5489999999999999	0.2	0.629	0.305	0.504	0.3	0.26	0.47100000000000003	0.295	0.541	0.223	0.34700000000000003
5.50559	0.17600000000000002	0.45799999999999996	0.5579999999999999	0.063	0.355	0.127	0.318	0.20199999999999999	0.263	2.245	0.55	0.195	0.33399999999999996	0.256	0.479	0.201	0.424	0.475	0.667	0.387	0.5589999999999999	0.36	0.46399999999999997	0.418	0.474	0.434	0.41	0.563	0.213	0.526
5.67228	0.257	0.507	0.736	0.02	0.249	0.179	0.18	0.22	0.21899999999999997	2.388	0.632	0.214	0.259	0.306	0.467	0.315	0.408	0.461	0.621	0.27399999999999997	0.512	0.313	0.418	0.466	0.42700000000000005	0.48100000000000004	0.397	0.517	0.2	0.607
5.8389	0.168	0.48100000000000004	0.741	0.055999999999999994	0.222	0.183	0.374	0.289	0.319	2.331	0.764	0.187	0.327	0.311	0.377	0.384	0.414	0.466	0.753	0.376	0.455	0.35100000000000003	0.455	0.377	0.37	0.5820000000000001	0.308	0.555	0.11	0.518
6.00551	0.248	0.531	0.945	0.133	0.36200000000000004	0.196	0.324	0.337	0.271	2.349	0.621	0.23399999999999999	0.46799999999999997	0.359	0.455	0.39799999999999996	0.528	0.705	0.866	0.429	0.474	0.337	0.47200000000000003	0.489	0.452	0.5379999999999999	0.292	0.635	0.252	0.534
6.17228	0.223	0.662	0.955	0.018000000000000002	0.247	0.114	0.273	0.375	0.406	2.479	0.945	0.27399999999999997	0.35200000000000004	0.335	0.528	0.502	0.46799999999999997	0.647	0.8390000000000001	0.365	0.446	0.405	0.509	0.369	0.361	0.509	0.363	0.6409999999999999	0.134	0.636
6.33891	0.171	0.8	0.965	0.154	0.256	0.28	0.281	0.449	0.353	2.5869999999999997	0.956	0.316	0.361	0.251	0.474	0.5760000000000001	0.48100000000000004	0.659	1.0090000000000001	0.316	0.42700000000000005	0.449	0.363	0.602	0.46799999999999997	0.68	0.31	0.81	0.239	0.742
6.50557	0.239	0.87	1.159	0.127	0.261	0.19	0.28600000000000003	0.423	0.326	2.53	1.025	0.195	0.366	0.414	0.447	0.581	0.519	0.7909999999999999	1.11	0.45	0.528	0.518	0.46399999999999997	0.5760000000000001	0.44299999999999995	0.813	0.316	0.816	0.149	0.8109999999999999
6.67225	0.17600000000000002	0.9009999999999999	1.159	0.158	0.355	0.19	0.318	0.518	0.326	2.6239999999999997	1.056	0.22699999999999998	0.366	0.414	0.542	0.612	0.48700000000000004	0.7909999999999999	1.11	0.387	0.5589999999999999	0.32799999999999996	0.369	0.512	0.44299999999999995	0.687	0.221	0.816	0.244	0.8109999999999999
6.83908	0.27399999999999997	0.968	1.351	0.066	0.326	0.22399999999999998	0.28800000000000003	0.521	0.361	2.6910000000000003	1.1540000000000001	0.292	0.368	0.322	0.48200000000000004	0.615	0.49	0.889	1.208	0.45399999999999996	0.626	0.426	0.435	0.61	0.38299999999999995	0.722	0.223	0.914	0.152	0.972
7.0057	0.28800000000000003	1.11	1.364	0.14	0.27399999999999997	0.235	0.39399999999999996	0.725	0.278	2.801	1.263	0.305	0.38	0.366	0.494	0.7859999999999999	0.507	1.062	1.35	0.44	0.483	0.28300000000000003	0.5760000000000001	0.688	0.36700000000000005	0.802	0.299	0.865	0.26	0.986
7.17243	0.259	1.208	1.556	0.079	0.276	0.142	0.23800000000000002	0.728	0.376	2.741	1.36	0.34	0.287	0.369	0.496	0.725	0.51	0.97	1.4480000000000002	0.444	0.486	0.349	0.389	0.7859999999999999	0.465	0.8370000000000001	0.33399999999999996	0.963	0.168	1.115
7.33899	0.299	1.217	1.564	0.15	0.251	0.212	0.308	0.737	0.35200000000000004	2.909	1.369	0.221	0.389	0.377	0.409	0.8909999999999999	0.52	1.2009999999999998	1.5530000000000002	0.48700000000000004	0.495	0.358	0.461	0.795	0.379	0.91	0.341	0.972	0.17600000000000002	1.124
7.50574	0.242	1.347	1.6680000000000001	0.161	0.263	0.22399999999999998	0.28800000000000003	0.9009999999999999	0.424	3.07	1.629	0.292	0.336	0.353	0.48200000000000004	0.9309999999999999	0.522	1.2690000000000001	1.619	0.42200000000000004	0.46799999999999997	0.45799999999999996	0.467	0.895	0.35100000000000003	0.975	0.381	1.041	0.152	1.193
7.67247	0.276	1.5119999999999998	1.8880000000000001	0.156	0.19399999999999998	0.25	0.251	0.9359999999999999	0.36	3.3	1.8530000000000002	0.324	0.301	0.44799999999999995	0.575	0.9309999999999999	0.53	1.21	1.7209999999999999	0.561	0.568	0.494	0.406	0.9309999999999999	0.42100000000000004	1.016	0.413	1.171	0.152	1.3230000000000002
7.8392	0.201	1.7209999999999999	2.068	0.179	0.281	0.209	0.401	1.115	0.381	3.318	1.9369999999999998	0.345	0.45	0.469	0.501	0.9520000000000001	0.516	1.578	1.994	0.578	0.49200000000000005	0.387	0.49	0.887	0.408	1.002	0.529	1.159	0.23600000000000002	1.374
8.00574	0.17800000000000002	1.795	1.949	0.249	0.287	0.248	0.218	1.155	0.294	3.423	2.04	0.353	0.36200000000000004	0.446	0.5720000000000001	1.119	0.5579999999999999	1.619	2.099	0.557	0.565	0.395	0.499	1.023	0.386	1.139	0.22	1.2309999999999999	0.18100000000000002	1.51
8.17242	0.18100000000000002	1.893	2.237	0.156	0.19399999999999998	0.218	0.315	1.19	0.264	3.522	2.17	0.419	0.365	0.385	0.41600000000000004	1.121	0.466	1.7169999999999999	2.292	0.593	0.505	0.494	0.47	1.121	0.389	1.111	0.254	1.361	0.08800000000000001	1.5130000000000001
8.33914	0.198	1.913	2.508	0.17	0.271	0.327	0.424	1.208	0.21600000000000003	3.6689999999999996	2.347	0.435	0.41100000000000003	0.46399999999999997	0.494	1.2329999999999999	0.5489999999999999	1.9269999999999998	2.344	0.52	0.619	0.48	0.32899999999999996	1.203	0.503	1.2590000000000001	0.33299999999999996	1.379	0.19899999999999998	1.626
8.5058	0.146	2.207	2.679	0.18600000000000003	0.256	0.406	0.344	1.2819999999999998	0.35700000000000004	3.8989999999999996	2.611	0.41600000000000004	0.36200000000000004	0.541	0.414	1.246	0.526	2.19	2.701	0.557	0.375	0.45899999999999996	0.467	1.2770000000000001	0.41700000000000004	1.329	0.252	1.5490000000000002	0.18100000000000002	1.795
8.67251	0.192	2.287	2.7880000000000003	0.19699999999999998	0.267	0.22699999999999998	0.324	1.361	0.275	4.011	2.7539999999999996	0.556	0.27899999999999997	0.45899999999999996	0.489	1.227	0.447	2.174	2.846	0.512	0.6759999999999999	0.506	0.418	1.2919999999999998	0.433	1.347	0.16899999999999998	1.564	0.099	1.906
8.83924	0.18600000000000003	2.541	3.259	0.314	0.414	0.342	0.281	1.3880000000000001	0.298	4.2330000000000005	2.9410000000000003	0.485	0.395	0.578	0.512	1.379	0.413	2.331	2.9410000000000003	0.546	0.45	0.501	0.41200000000000003	1.3519999999999999	0.335	1.3459999999999999	0.35200000000000004	1.5919999999999999	0.122	2.092
9.00586	0.249	2.9539999999999997	3.3539999999999996	0.282	0.22399999999999998	0.342	0.249	1.42	0.23399999999999999	4.265	3.3539999999999996	0.485	0.23600000000000002	0.578	0.384	1.474	0.5720000000000001	2.7760000000000002	3.418	0.609	0.45	0.596	0.508	1.256	0.43	1.474	0.28800000000000003	1.655	0.18600000000000003	2.028
