	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
1.6717	0.447	0.18100000000000002	0.715	0.473	0.589	0.7659999999999999	0.73	0.9390000000000001	1.044	0.917	1.0070000000000001	0.69	1.057	0.797	0.845	1.207	1.204	0.965	0.857	0.493	0.897	0.68	0.765	0.941	0.595	0.833	0.504	0.5920000000000001	0.887	0.425	0.6409999999999999	0.809	0.649	0.8740000000000001	0.654	0.6409999999999999	0.8759999999999999	0.685	0.753
1.83832	0.267	0.226	0.706	0.408	0.6920000000000001	0.841	0.581	0.986	1.341	1.0190000000000001	0.998	0.6809999999999999	1.1320000000000001	0.7879999999999999	0.836	1.364	1.249	0.951	0.902	0.623	1.0	0.978	0.755	1.014	0.583	0.878	0.578	0.6659999999999999	0.904	0.526	0.8270000000000001	0.912	0.7240000000000001	0.892	0.645	0.715	0.978	0.535	0.743
2.0051	0.22399999999999998	0.292	0.706	0.324	0.609	0.7290000000000001	0.526	1.015	1.071	0.9670000000000001	1.028	0.7659999999999999	1.021	0.929	0.838	1.37	1.119	1.026	1.02	0.654	0.9179999999999999	0.841	0.7859999999999999	0.9390000000000001	0.708	0.831	0.6659999999999999	0.5579999999999999	0.9129999999999999	0.617	0.8590000000000001	0.8290000000000001	0.669	0.9790000000000001	0.759	0.747	1.0090000000000001	0.5379999999999999	0.691
2.1717	0.28300000000000003	0.159	0.67	0.483	0.767	0.7490000000000001	0.628	0.81	0.993	1.0090000000000001	0.961	0.589	1.067	0.752	0.8270000000000001	1.187	1.1540000000000001	1.133	0.976	0.474	0.963	0.8009999999999999	0.718	1.087	0.655	0.895	0.624	0.516	0.865	0.5720000000000001	0.8170000000000001	0.903	0.715	0.883	0.691	0.65	0.941	0.61	0.7340000000000001
2.33834	0.183	0.17	0.706	0.38	0.608	0.6729999999999999	0.637	0.902	1.089	0.991	0.998	0.737	1.048	0.7040000000000001	0.892	1.4480000000000002	1.193	1.203	0.986	0.539	0.972	0.755	0.727	1.0979999999999999	0.611	0.655	0.634	0.526	0.8759999999999999	0.498	0.743	0.856	0.7240000000000001	0.892	0.645	0.715	0.95	0.508	0.743
2.50511	0.34600000000000003	0.364	0.7390000000000001	0.35700000000000004	0.752	0.8190000000000001	0.6409999999999999	0.879	0.9740000000000001	0.993	0.946	0.6579999999999999	1.192	0.7659999999999999	0.784	1.17	1.219	1.082	0.987	0.599	0.836	0.8140000000000001	0.703	1.153	0.635	0.7090000000000001	0.5529999999999999	0.584	0.875	0.5539999999999999	0.8009999999999999	0.888	0.672	0.9520000000000001	0.6759999999999999	0.718	0.87	0.5670000000000001	0.774
2.67177	0.396	0.325	0.8009999999999999	0.475	0.62	0.684	0.593	0.8290000000000001	0.9640000000000001	1.088	1.178	0.6920000000000001	1.088	0.7709999999999999	0.988	1.266	1.264	1.054	1.0	0.552	0.956	0.767	0.74	1.0290000000000001	0.6829999999999999	0.809	0.647	0.595	0.835	0.54	0.812	0.924	0.708	0.905	0.713	0.728	0.907	0.52	0.812
2.83843	0.33299999999999996	0.28600000000000003	0.639	0.45399999999999996	0.627	0.718	0.628	0.8079999999999999	0.982	1.07	0.961	0.614	0.955	0.805	0.8	1.138	0.973	1.11	0.9009999999999999	0.44799999999999995	0.9079999999999999	0.635	0.72	1.214	0.591	0.797	0.685	0.5489999999999999	0.963	0.49700000000000005	0.71	0.903	0.772	0.941	0.777	0.71	0.831	0.584	0.682
3.00513	0.324	0.0	0.698	0.344	0.7120000000000001	0.637	0.657	0.922	0.976	0.9570000000000001	0.9059999999999999	0.617	1.012	0.8079999999999999	0.857	1.276	1.136	0.9279999999999999	0.9540000000000001	0.42100000000000004	0.8240000000000001	0.6920000000000001	0.7490000000000001	0.956	0.555	0.764	0.6559999999999999	0.604	0.902	0.55	0.765	0.8759999999999999	0.7170000000000001	0.8859999999999999	0.8059999999999999	0.597	0.9159999999999999	0.557	0.737
3.1718	0.187	0.258	0.6809999999999999	0.38299999999999995	0.611	0.76	0.584	0.8490000000000001	0.953	0.938	1.057	0.6	1.051	0.7909999999999999	0.755	1.34	1.197	0.872	0.99	0.542	0.863	0.674	0.9259999999999999	1.074	0.6990000000000001	0.826	0.665	0.669	0.88	0.614	0.83	1.0270000000000001	0.6990000000000001	0.951	0.648	0.746	0.953	0.6779999999999999	0.746
