	MG1655-1	BUT1-2_1	BUT3-6_1	BUT7-7_1	BUT9-7_1	marC-1	rob-1	yobF-1	MG1655-2	BUT1-2_2	BUT3-6_2	BUT7-7_2	BUT9-7_2	marC-2	rob-2	yobF-2	MG1655-3	BUT1-2_3	BUT3-6_3	BUT7-7_3	BUT9-7_3	marC-3	rob-3	yobF-3	cspC-1	marC_rob-1	marC_yobF-1	rob_yobF-1	marC_rob_yobF-1	marC_rob_mppA-1	marC_rob_mppA_yobF-1	ypjA_mprA_nadR_yhjK-1	cspC-2	marC_rob-2	marC_yobF-2	rob_yobF-2	marC_rob_yobF-2	marC_rob_mppA-2	marC_rob_mppA_yobF-2	ypjA_mprA_nadR_yhjK-2	cspC-3	marC_rob-3	marC_yobF-3	rob_yobF-3	marC_rob_yobF-3	marC_rob_mppA-3	marC_rob_mppA_yobF-3	ypjA_mprA_nadR_yhjK-3
2.33822	0.053	0.083	0.12	0.149	0.267	0.152	0.22699999999999998	0.337	0.456	0.423	0.331	0.391	0.5479999999999999	0.534	0.508	0.433	0.396	0.39899999999999997	0.302	0.382	0.457	0.436	0.602	0.5529999999999999	0.33899999999999997	0.426	0.41200000000000003	0.41600000000000004	0.523	0.49200000000000005	0.498	0.46299999999999997	0.361	0.439	0.526	0.349	0.297	0.526	0.452	0.20199999999999999	0.203	0.35600000000000004	0.11599999999999999	0.147	0.545	0.446	0.304	1.376
2.50489	0.355	0.218	0.171	0.11599999999999999	0.207	0.174	0.331	0.303	0.45	0.389	0.327	0.442	0.405	0.586	0.5579999999999999	0.397	0.44799999999999995	0.42100000000000004	0.408	0.488	0.535	0.484	0.597	0.491	0.369	0.371	0.325	0.41200000000000003	0.46399999999999997	0.516	0.522	0.322	0.255	0.46799999999999997	0.41200000000000003	0.45399999999999996	0.32	0.52	0.53	0.33399999999999996	0.196	0.38299999999999995	0.16699999999999998	0.171	0.568	0.498	0.245	1.1520000000000001
2.67153	0.19699999999999998	0.11699999999999999	0.153	0.182	0.273	0.213	0.149	0.342	0.434	0.428	0.309	0.424	0.44299999999999995	0.54	0.597	0.43700000000000006	0.402	0.40399999999999997	0.391	0.47	0.518	0.469	0.607	0.53	0.374	0.35	0.501	0.395	0.529	0.526	0.642	0.469	0.28600000000000003	0.502	0.56	0.382	0.303	0.504	0.513	0.235	0.29100000000000004	0.363	0.15	0.098	0.46799999999999997	0.369	0.282	1.1340000000000001
2.83821	0.059000000000000004	0.172	0.07	0.182	0.19	0.075	0.23199999999999998	0.342	0.434	0.428	0.254	0.397	0.44299999999999995	0.5670000000000001	0.541	0.43700000000000006	0.402	0.542	0.363	0.47	0.601	0.469	0.6629999999999999	0.475	0.34600000000000003	0.35	0.418	0.395	0.529	0.581	0.5589999999999999	0.303	0.203	0.419	0.532	0.603	0.303	0.504	0.541	0.235	0.20800000000000002	0.363	0.067	0.153	0.523	0.48	0.31	1.548
3.00491	0.098	0.157	0.138	0.14	0.038	0.11699999999999999	0.27399999999999997	0.35600000000000004	0.42	0.359	0.239	0.409	0.456	0.524	0.583	0.45299999999999996	0.331	0.363	0.293	0.456	0.5870000000000001	0.456	0.565	0.517	0.245	0.41600000000000004	0.45899999999999996	0.40700000000000003	0.515	0.5660000000000001	0.489	0.26	0.21100000000000002	0.483	0.545	0.423	0.316	0.518	0.527	0.19399999999999998	0.33299999999999996	0.402	0.135	0.138	0.591	0.603	0.295	0.98
3.17154	0.134	0.384	0.226	0.11599999999999999	0.124	0.174	0.248	0.385	0.395	0.444	0.354	0.415	0.461	0.5579999999999999	0.613	0.397	0.365	0.42100000000000004	0.325	0.488	0.535	0.484	0.625	0.46299999999999997	0.28600000000000003	0.426	0.436	0.41200000000000003	0.547	0.5429999999999999	0.494	0.294	0.22699999999999998	0.46799999999999997	0.633	0.48200000000000004	0.348	0.52	0.474	0.251	0.307	0.355	0.16699999999999998	0.19899999999999998	0.485	0.498	0.32799999999999996	1.235
3.3382	0.187	0.19	0.11699999999999999	0.22899999999999998	0.292	0.15	0.22399999999999998	0.36200000000000004	0.425	0.42	0.38299999999999995	0.415	0.462	0.5579999999999999	0.616	0.45799999999999996	0.392	0.396	0.299	0.462	0.5920000000000001	0.461	0.5710000000000001	0.55	0.335	0.34	0.41	0.386	0.603	0.5720000000000001	0.55	0.349	0.27399999999999997	0.518	0.606	0.429	0.295	0.579	0.588	0.14400000000000002	0.33799999999999997	0.408	0.22399999999999998	0.172	0.514	0.44299999999999995	0.301	0.904
3.50498	0.145	0.203	0.156	0.102	0.11	0.243	0.235	0.37200000000000005	0.46399999999999997	0.45799999999999996	0.34	0.42700000000000005	0.529	0.5429999999999999	0.544	0.385	0.35	0.40700000000000003	0.366	0.473	0.604	0.47200000000000003	0.61	0.478	0.295	0.326	0.504	0.39799999999999996	0.56	0.529	0.6729999999999999	0.27899999999999997	0.152	0.5329999999999999	0.6459999999999999	0.385	0.41600000000000004	0.589	0.5429999999999999	0.376	0.349	0.366	0.125	0.10099999999999999	0.526	0.483	0.285	0.9990000000000001
3.67152	0.162	0.218	0.226	0.254	0.373	0.22899999999999998	0.248	0.385	0.478	0.444	0.354	0.415	0.544	0.586	0.613	0.48	0.475	0.47600000000000003	0.408	0.46	0.535	0.484	0.597	0.46299999999999997	0.313	0.426	0.519	0.41200000000000003	0.547	0.5429999999999999	0.743	0.21100000000000002	0.22699999999999998	0.551	0.799	0.48200000000000004	0.431	0.63	0.64	0.223	0.36200000000000004	0.43799999999999994	0.16699999999999998	0.171	0.54	0.636	0.38299999999999995	1.069
3.8384	0.10800000000000001	0.249	0.147	0.17600000000000002	0.185	0.20800000000000002	0.22699999999999998	0.337	0.428	0.423	0.386	0.474	0.5479999999999999	0.478	0.674	0.515	0.423	0.48100000000000004	0.523	0.52	0.623	0.46399999999999997	0.602	0.47	0.449	0.39799999999999996	0.55	0.389	0.606	0.603	0.636	0.38	0.223	0.494	0.5539999999999999	0.431	0.46299999999999997	0.609	0.6729999999999999	0.395	0.341	0.41200000000000003	0.226	0.175	0.6829999999999999	0.612	0.442	0.99
4.00497	0.152	0.126	0.245	0.19	0.282	0.304	0.213	0.433	0.442	0.46399999999999997	0.511	0.489	0.701	0.66	0.688	0.528	0.439	0.41200000000000003	0.37200000000000005	0.617	0.5539999999999999	0.47700000000000004	0.6709999999999999	0.5660000000000001	0.35700000000000004	0.41600000000000004	0.51	0.486	0.732	0.7559999999999999	0.7340000000000001	0.23	0.243	0.457	0.7340000000000001	0.611	0.42200000000000004	0.622	0.687	0.326	0.354	0.428	0.24100000000000002	0.162	0.5589999999999999	0.627	0.402	1.087
4.17165	0.171	0.175	0.185	0.215	0.581	0.27399999999999997	0.21100000000000002	0.321	0.439	0.517	0.479	0.4	0.503	0.5429999999999999	0.602	0.5	0.322	0.465	0.45	0.419	0.6609999999999999	0.504	0.584	0.509	0.316	0.37799999999999995	0.395	0.45399999999999996	0.6709999999999999	0.6679999999999999	0.645	0.27899999999999997	0.171	0.41700000000000004	0.701	0.414	0.391	0.593	0.601	0.29600000000000004	0.242	0.392	0.209	0.157	0.5820000000000001	0.5379999999999999	0.28600000000000003	0.9440000000000001
4.3383	0.043	0.24	0.221	0.251	0.204	0.2	0.302	0.27399999999999997	0.42	0.49700000000000005	0.488	0.382	0.539	0.552	0.61	0.45299999999999996	0.331	0.473	0.431	0.511	0.5870000000000001	0.456	0.593	0.517	0.327	0.41600000000000004	0.45899999999999996	0.46299999999999997	0.68	0.5660000000000001	0.737	0.28800000000000003	0.21100000000000002	0.483	0.6	0.368	0.45399999999999996	0.6559999999999999	0.665	0.304	0.36	0.34700000000000003	0.19	0.166	0.591	0.547	0.433	1.3119999999999998
4.505	0.177	0.18100000000000002	0.218	0.331	0.366	0.225	0.272	0.354	0.5	0.41200000000000003	0.485	0.379	0.536	0.5760000000000001	0.58	0.45	0.38299999999999995	0.47	0.456	0.45299999999999996	0.6940000000000001	0.509	0.59	0.515	0.35100000000000003	0.467	0.5660000000000001	0.48700000000000004	0.677	0.7290000000000001	0.7070000000000001	0.257	0.345	0.563	0.542	0.503	0.534	0.6809999999999999	0.772	0.302	0.33	0.48100000000000004	0.297	0.163	0.616	0.6	0.45799999999999996	1.5290000000000001
4.67167	0.18100000000000002	0.35	0.138	0.168	0.259	0.2	0.21899999999999997	0.35600000000000004	0.447	0.49700000000000005	0.488	0.46399999999999997	0.539	0.552	0.528	0.425	0.414	0.528	0.542	0.456	0.614	0.456	0.565	0.517	0.355	0.41600000000000004	0.542	0.49	0.708	0.732	0.654	0.28800000000000003	0.21100000000000002	0.511	0.627	0.5329999999999999	0.39899999999999997	0.6559999999999999	0.748	0.222	0.33299999999999996	0.34700000000000003	0.19	0.138	0.591	0.7959999999999999	0.37799999999999995	1.036
4.83849	0.223	0.172	0.264	0.07400000000000001	0.413	0.217	0.209	0.318	0.354	0.486	0.47600000000000003	0.397	0.665	0.5670000000000001	0.5720000000000001	0.44299999999999995	0.374	0.655	0.502	0.41700000000000004	0.741	0.501	0.5539999999999999	0.452	0.257	0.319	0.53	0.395	0.7509999999999999	0.72	0.725	0.441	0.27699999999999997	0.414	0.588	0.494	0.38799999999999996	0.728	0.764	0.266	0.48700000000000004	0.5539999999999999	0.20600000000000002	0.154	0.607	0.59	0.366	1.024
5.00494	0.187	0.163	0.282	0.174	0.265	0.233	0.307	0.27899999999999997	0.37	0.503	0.41100000000000003	0.38799999999999996	0.545	0.6409999999999999	0.5329999999999999	0.513	0.42	0.451	0.52	0.517	0.62	0.544	0.599	0.467	0.335	0.423	0.327	0.413	0.7140000000000001	0.738	0.8809999999999999	0.349	0.136	0.518	0.606	0.594	0.46	0.7440000000000001	0.753	0.19899999999999998	0.42100000000000004	0.408	0.141	0.254	0.597	0.636	0.439	1.069
5.17177	0.145	0.203	0.21100000000000002	0.185	0.469	0.16	0.207	0.42700000000000005	0.436	0.45799999999999996	0.505	0.42700000000000005	0.639	0.5710000000000001	0.682	0.523	0.46	0.545	0.532	0.528	0.7140000000000001	0.527	0.6659999999999999	0.478	0.295	0.49200000000000005	0.504	0.508	0.698	0.777	0.9209999999999999	0.527	0.207	0.5329999999999999	0.701	0.385	0.47200000000000003	0.7829999999999999	0.7090000000000001	0.23800000000000002	0.266	0.42100000000000004	0.29100000000000004	0.184	0.636	0.731	0.479	0.9159999999999999
