	MG1655-1	sspA-1	rph-1	MG1655-2	sspA-2	rph-2	MG1655-3	sspA-3	rph-3
0.0101	0.48200000000000004	0.33799999999999997	0.158	0.111	0.254	0.11199999999999999	0.107	0.084	0.365
0.17173	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33844	0.006	0.1	0.387	0.09	0.16	0.124	0.01	0.067	0.087
0.5051	0.08900000000000001	0.19	0.706	0.141	0.254	0.18100000000000002	0.154	0.09300000000000001	0.078
0.67178	0.036000000000000004	0.266	0.536	0.149	0.157	0.254	0.20199999999999999	0.16399999999999998	0.142
0.8384	0.0	0.312	0.637	0.245	0.294	0.297	0.135	0.175	0.17800000000000002
1.00521	0.079	0.512	0.575	0.258	0.255	0.313	0.284	0.22	0.21899999999999997
1.1718	0.024	0.431	0.6459999999999999	0.261	0.325	0.41100000000000003	0.305	0.377	0.13
1.33847	0.205	0.526	0.769	0.441	0.451	0.626	0.384	0.408	0.4
1.50519	0.19399999999999998	0.536	0.833	0.387	0.5529999999999999	0.542	0.294	0.355	0.314
1.67186	0.361	0.595	0.8690000000000001	0.44299999999999995	0.521	0.601	0.465	0.41200000000000003	0.369
1.8386	0.41	0.69	0.847	0.502	0.585	0.6940000000000001	0.332	0.473	0.335
2.00531	0.389	0.691	0.929	0.47	0.618	0.6940000000000001	0.451	0.473	0.457
2.17187	0.318	0.708	0.8640000000000001	0.5489999999999999	0.542	0.742	0.434	0.42700000000000005	0.41100000000000003
2.33851	0.541	0.675	1.0659999999999998	0.514	0.665	0.833	0.396	0.611	0.406
2.5052	0.496	0.713	0.941	0.643	0.6409999999999999	0.871	0.7070000000000001	0.5539999999999999	0.534
2.6719	0.41600000000000004	0.8420000000000001	1.122	0.5820000000000001	0.7390000000000001	0.937	0.5489999999999999	0.682	0.5670000000000001
2.83869	0.555	0.948	1.141	0.6559999999999999	0.845	1.105	0.746	0.599	0.609
3.00536	0.532	1.0170000000000001	1.026	0.755	0.757	1.1420000000000001	0.72	0.605	0.615
3.17191	0.7340000000000001	1.123	1.3259999999999998	0.7979999999999999	0.988	1.217	0.917	0.804	0.626
3.33861	0.6	1.078	1.4809999999999999	0.721	0.912	1.36	0.7759999999999999	0.759	0.642
3.50539	0.713	1.25	1.474	0.8290000000000001	0.99	1.4380000000000002	0.882	0.773	0.7190000000000001
3.67203	0.882	1.385	1.331	0.9	1.094	1.3840000000000001	1.141	0.845	0.727
