	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	relA-1	purT-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	relA-2	purT-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
0.00497	0.184	0.61	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.0	0.0	0.18899999999999997	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17157	0.063	0.457	0.214	0.35700000000000004	0.048	0.299	0.243	0.442	0.136	0.21600000000000003	0.045	0.245	0.0	0.21600000000000003	0.301	0.302	0.34	0.278	0.188	0.158	0.18600000000000003	0.244	0.32899999999999996	0.19	0.183	0.256	0.303	0.13	0.187	0.3	0.331	0.162	0.18899999999999997	0.358	0.188	0.273	0.32899999999999996	0.36200000000000004	0.132	0.102	0.331	0.272	0.245	0.358	0.276
0.33833	0.052000000000000005	0.3	0.19699999999999998	0.45399999999999996	0.145	0.395	0.39799999999999996	0.368	0.154	0.142	0.114	0.172	0.013000000000000001	0.371	0.37	0.402	0.084	0.209	0.115	0.17	0.16899999999999998	0.285	0.42700000000000005	0.262	0.213	0.221	0.374	0.113	0.285	0.28300000000000003	0.429	0.11900000000000001	0.34600000000000003	0.513	0.287	0.45899999999999996	0.341	0.46299999999999997	0.317	0.4	0.429	0.455	0.429	0.486	0.377
0.50493	0.17600000000000002	0.374	0.28	0.508	0.0	0.48	0.509	0.423	0.105	0.19399999999999998	0.165	0.251	0.063	0.42100000000000004	0.336	0.364	0.174	0.107	0.19399999999999998	0.165	0.251	0.308	0.423	0.392	0.10300000000000001	0.16	0.364	0.251	0.365	0.365	0.39299999999999996	0.16399999999999998	0.221	0.42200000000000004	0.39299999999999996	0.535	0.48	0.42100000000000004	0.278	0.27899999999999997	0.42200000000000004	0.336	0.479	0.479	0.449
0.67171	0.022000000000000002	0.36	0.263	0.491	0.154	0.462	0.46299999999999997	0.5479999999999999	0.294	0.20600000000000002	0.092	0.321	0.047	0.52	0.348	0.5489999999999999	0.318	0.18100000000000002	0.37799999999999995	0.23399999999999999	0.32	0.434	0.49200000000000005	0.321	0.132	0.325	0.635	0.263	0.434	0.605	0.521	0.23600000000000002	0.264	0.434	0.578	0.6920000000000001	0.49200000000000005	0.579	0.37799999999999995	0.349	0.49200000000000005	0.434	0.49200000000000005	0.634	0.521
0.83822	0.335	0.23600000000000002	0.414	0.47200000000000003	0.134	0.583	0.386	0.47	0.267	0.218	0.162	0.22	0.11800000000000001	0.42	0.41700000000000004	0.508	0.128	0.233	0.306	0.275	0.302	0.5329999999999999	0.445	0.314	0.0	0.168	0.51	0.218	0.33299999999999996	0.501	0.449	0.113	0.281	0.531	0.48	0.508	0.474	0.5429999999999999	0.33899999999999997	0.249	0.535	0.474	0.449	0.534	0.486
1.00493	0.083	0.19699999999999998	0.389	0.504	0.10800000000000001	0.46799999999999997	0.39	0.616	0.305	0.198	0.14300000000000002	0.375	0.07200000000000001	0.489	0.397	0.637	0.14	0.08800000000000001	0.374	0.255	0.193	0.341	0.5379999999999999	0.395	0.32899999999999996	0.19699999999999998	0.584	0.37	0.5429999999999999	0.534	0.462	0.22	0.384	0.5379999999999999	0.38	0.6659999999999999	0.624	0.625	0.386	0.289	0.518	0.5379999999999999	0.518	0.66	0.511
1.17175	0.071	0.068	0.228	0.429	0.14800000000000002	0.594	0.574	0.541	0.265	0.21100000000000002	0.242	0.359	0.057	0.6459999999999999	0.409	0.565	0.22699999999999998	0.10400000000000001	0.387	0.21	0.46399999999999997	0.382	0.55	0.324	0.273	0.27699999999999997	0.512	0.38299999999999995	0.47	0.574	0.5329999999999999	0.37799999999999995	0.456	0.551	0.48	0.593	0.636	0.5539999999999999	0.48700000000000004	0.41700000000000004	0.474	0.46399999999999997	0.532	0.615	0.527
1.33827	0.132	0.0	0.231	0.546	0.294	0.6859999999999999	0.518	0.659	0.294	0.151	0.23800000000000002	0.239	0.109	0.44	0.40700000000000003	0.414	0.0	0.28600000000000003	0.153	0.20800000000000002	0.29100000000000004	0.38	0.49200000000000005	0.423	0.045	0.287	0.674	0.35100000000000003	0.524	0.604	0.498	0.221	0.41700000000000004	0.693	0.5	0.614	0.578	0.5660000000000001	0.361	0.354	0.612	0.435	0.584	0.5529999999999999	0.539
1.50495	0.331	0.318	0.21100000000000002	0.469	0.24600000000000002	0.523	0.498	0.496	0.263	0.129	0.302	0.27399999999999997	0.172	0.474	0.47100000000000003	0.59	0.321	0.0	0.245	0.272	0.385	0.47200000000000003	0.528	0.48200000000000004	0.136	0.305	0.564	0.473	0.5589999999999999	0.669	0.589	0.195	0.27699999999999997	0.557	0.44799999999999995	0.647	0.643	0.625	0.478	0.38799999999999996	0.589	0.413	0.532	0.7020000000000001	0.511
