	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
1.67171	0.366	0.79	0.239	0.823	0.085	0.379	0.413	0.606	0.9129999999999999	0.374	0.021	0.5710000000000001	0.268	0.535	0.251	0.48200000000000004	0.34	0.348	0.358	0.423	0.177	0.634	0.563	0.602	0.451	0.35700000000000004	0.574	0.45799999999999996	0.39399999999999996	0.523	0.583	0.13699999999999998	0.22699999999999998	0.354	0.534	0.207	0.177	0.33799999999999997	0.22	0.1	0.341	0.374	0.455	0.349	0.109	0.158	0.287	0.203
1.83849	0.201	0.7829999999999999	0.252	0.774	0.149	0.441	0.47600000000000003	0.667	0.91	0.34	0.11199999999999999	0.649	0.311	0.47	0.295	0.34600000000000003	0.418	0.47100000000000003	0.431	0.568	0.159	0.593	0.711	0.667	0.456	0.33	0.728	0.402	0.384	0.597	0.7170000000000001	0.237	0.38299999999999995	0.401	0.507	0.293	0.253	0.41200000000000003	0.26899999999999996	0.11699999999999999	0.305	0.449	0.48200000000000004	0.312	0.146	0.161	0.22699999999999998	0.163
2.00519	0.405	0.932	0.317	0.8270000000000001	0.157	0.341	0.40299999999999997	0.46	0.903	0.435	0.36	0.644	0.24600000000000002	0.507	0.284	0.499	0.361	0.40399999999999997	0.474	0.657	0.218	0.655	0.67	0.65	0.5379999999999999	0.43200000000000005	0.7190000000000001	0.529	0.37200000000000005	0.8009999999999999	0.687	0.201	0.376	0.419	0.45	0.27	0.193	0.483	0.261	0.264	0.39799999999999996	0.46799999999999997	0.479	0.324	0.073	0.24	0.297	0.305
2.17194	0.23	0.917	0.192	0.737	0.191	0.374	0.302	0.5720000000000001	0.863	0.446	0.087	0.632	0.496	0.65	0.24100000000000002	0.379	0.402	0.414	0.45899999999999996	0.532	0.19699999999999998	0.716	0.652	0.551	0.42200000000000004	0.36700000000000005	0.705	0.489	0.382	0.76	0.731	0.24	0.336	0.431	0.546	0.316	0.28600000000000003	0.36200000000000004	0.247	0.221	0.355	0.42700000000000005	0.48200000000000004	0.348	0.12	0.09699999999999999	0.309	0.366
2.33854	0.35600000000000004	0.774	0.28600000000000003	0.762	0.203	0.41200000000000003	0.368	0.583	0.91	0.33	0.11699999999999999	0.679	0.298	0.584	0.33799999999999997	0.426	0.37	0.376	0.557	0.626	0.23600000000000002	0.73	0.5329999999999999	0.511	0.474	0.36200000000000004	0.59	0.375	0.345	0.672	0.841	0.071	0.276	0.396	0.541	0.289	0.28	0.327	0.266	0.023	0.371	0.446	0.5479999999999999	0.272	0.22899999999999998	0.255	0.3	0.21899999999999997
2.5053	0.242	0.6609999999999999	0.307	0.755	0.11699999999999999	0.326	0.389	0.41700000000000004	0.8490000000000001	0.324	0.21600000000000003	0.5920000000000001	0.373	0.444	0.331	0.39299999999999996	0.363	0.37	0.39	0.5660000000000001	0.12300000000000001	0.644	0.688	0.586	0.466	0.436	0.584	0.369	0.419	0.585	0.34700000000000003	0.11800000000000001	0.26899999999999996	0.255	0.42700000000000005	0.201	0.353	0.401	0.26	0.017	0.311	0.36	0.512	0.264	0.141	0.247	0.34700000000000003	0.374
2.67192	0.445	0.863	0.48	0.722	0.073	0.22699999999999998	0.371	0.317	0.893	0.284	0.188	0.637	0.44	0.563	0.37200000000000005	0.35600000000000004	0.381	0.32899999999999996	0.45799999999999996	0.657	0.266	0.6809999999999999	0.7809999999999999	0.623	0.461	0.374	0.599	0.493	0.379	0.708	0.9059999999999999	0.24100000000000002	0.34	0.35100000000000003	0.579	0.331	0.29	0.49700000000000005	0.249	0.191	0.405	0.402	0.52	0.39899999999999997	0.192	0.107	0.255	0.251
2.83861	0.373	0.762	0.294	0.711	0.153	0.36	0.532	0.502	0.93	0.29	0.34600000000000003	0.621	0.337	0.5920000000000001	0.43200000000000005	0.447	0.366	0.46799999999999997	0.493	0.713	0.29100000000000004	0.736	0.596	0.57	0.505	0.441	0.607	0.423	0.599	0.878	0.993	0.222	0.377	0.493	0.5660000000000001	0.26899999999999996	0.273	0.479	0.312	0.25	0.46299999999999997	0.465	0.583	0.37200000000000005	0.214	0.311	0.289	0.225
3.00532	0.34600000000000003	0.762	0.402	0.764	0.207	0.27899999999999997	0.37	0.502	0.93	0.344	0.4	0.675	0.337	0.5920000000000001	0.35100000000000003	0.42	0.447	0.36	0.41200000000000003	0.659	0.156	0.79	0.596	0.489	0.505	0.441	0.688	0.503	0.35700000000000004	0.716	0.7509999999999999	0.249	0.32299999999999995	0.439	0.619	0.32299999999999995	0.273	0.344	0.231	0.16899999999999998	0.35600000000000004	0.384	0.583	0.37200000000000005	0.187	0.257	0.20800000000000002	0.306
3.17201	0.41700000000000004	0.779	0.366	0.9420000000000001	0.11800000000000001	0.433	0.415	0.36	0.8390000000000001	0.281	0.226	0.746	0.409	0.583	0.423	0.679	0.517	0.37799999999999995	0.429	0.623	0.31	0.7809999999999999	0.56	0.642	0.521	0.457	0.6779999999999999	0.466	0.509	0.599	0.5710000000000001	0.159	0.39299999999999996	0.40299999999999997	0.555	0.33899999999999997	0.263	0.38799999999999996	0.221	0.187	0.45399999999999996	0.536	0.40700000000000003	0.467	0.20199999999999999	0.21899999999999997	0.27899999999999997	0.162
