	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
0.00497	0.92	0.426	0.11900000000000001	0.184	0.054000000000000006	0.11	0.0	0.0	0.39399999999999996	0.682	0.154	0.466	0.13	0.073	0.192	0.0	0.27699999999999997	0.095	0.252	0.9520000000000001	0.057999999999999996	0.063	0.09300000000000001	0.08199999999999999	0.575	0.292	0.134	0.17300000000000001	0.122	0.217	0.077	0.27899999999999997	0.225	0.171	0.071	0.8029999999999999	0.305	0.0	0.14800000000000002	0.304	0.053	0.14400000000000002	0.0	0.066	0.226
0.17157	0.5479999999999999	0.155	0.09	0.0	0.0	0.085	0.024	0.076	0.16	0.244	0.0	0.209	0.0	0.0	0.0	0.027999999999999997	0.0	0.0	0.0	0.662	0.034	0.0	0.0	0.083	0.267	0.017	0.039	0.0	0.0	0.0	0.0	0.061	0.0	0.021	0.0	0.20800000000000002	0.0	0.10800000000000001	0.332	0.149	0.0	0.067	0.127	0.0	0.0
0.33833	0.132	0.099	0.121	0.153	0.109	0.0	0.115	0.08800000000000001	0.09	0.175	0.087	0.11599999999999999	0.03	0.179	0.002	0.128	0.036000000000000004	0.091	0.075	0.369	0.0	0.008	0.19899999999999998	0.0	0.024	0.0	0.0	0.032	0.033	0.062	0.023	0.012	0.055999999999999994	0.174	0.08900000000000001	0.13	0.002	0.126	0.0	0.0	0.035	0.0	0.012	0.0	0.001
0.50493	0.006	0.0	0.055999999999999994	0.266	0.152	0.21100000000000002	0.191	0.13699999999999998	0.057	0.013000000000000001	0.187	0.08199999999999999	0.044000000000000004	0.19	0.14800000000000002	0.4	0.168	0.091	0.032	0.132	0.159	0.081	0.336	0.055	0.157	0.046	0.075	0.154	0.026000000000000002	0.276	0.14	0.0	0.019	0.0	0.059000000000000004	0.069	0.07200000000000001	0.055	0.196	0.11900000000000001	0.054000000000000006	0.073	0.061	0.039	0.065
0.67171	0.121	0.037000000000000005	0.0	0.233	0.17800000000000002	0.22399999999999998	0.27899999999999997	0.063	0.159	0.141	0.166	0.057	0.095	0.182	0.249	0.36700000000000005	0.168	0.12300000000000001	0.102	0.0	0.251	0.24100000000000002	0.456	0.44	0.161	0.07400000000000001	0.107	0.261	0.185	0.27699999999999997	0.07400000000000001	0.046	0.175	0.17600000000000002	0.08800000000000001	0.026000000000000002	0.14300000000000002	0.21899999999999997	0.16399999999999998	0.038	0.055999999999999994	0.184	0.228	0.16399999999999998	0.139
0.83822	0.027000000000000003	0.132	0.21899999999999997	0.315	0.078	0.27	0.294	0.209	0.045	0.055	0.231	0.038	0.10099999999999999	0.20600000000000002	0.3	0.257	0.10800000000000001	0.052000000000000005	0.179	0.109	0.109	0.324	0.39299999999999996	0.27399999999999997	0.135	0.079	0.27699999999999997	0.293	0.298	0.29600000000000004	0.083	0.094	0.09699999999999999	0.22699999999999998	0.365	0.0	0.237	0.166	0.245	0.071	0.17300000000000001	0.08900000000000001	0.18899999999999997	0.131	0.165
1.00493	0.0	0.053	0.11800000000000001	0.23800000000000002	0.16699999999999998	0.284	0.387	0.22	0.067	0.023	0.35	0.073	0.188	0.14300000000000002	0.22699999999999998	0.27399999999999997	0.22899999999999998	0.213	0.142	0.336	0.258	0.363	0.505	0.371	0.161	0.156	0.35700000000000004	0.316	0.214	0.297	0.196	0.127	0.14400000000000002	0.326	0.065	0.222	0.3	0.45299999999999996	0.265	0.18600000000000003	0.21	0.235	0.201	0.16399999999999998	0.184
1.17175	0.025	0.106	0.204	0.376	0.254	0.324	0.316	0.22899999999999998	0.057999999999999996	0.069	0.359	0.051	0.111	0.24	0.341	0.617	0.292	0.182	0.293	0.235	0.271	0.344	0.451	0.303	0.212	0.28600000000000003	0.162	0.391	0.316	0.376	0.225	0.158	0.217	0.287	0.25	0.061	0.36	0.35700000000000004	0.2	0.163	0.218	0.325	0.319	0.249	0.256
1.33827	0.135	0.191	0.293	0.298	0.207	0.284	0.41100000000000003	0.24	0.163	0.11900000000000001	0.34299999999999997	0.142	0.11800000000000001	0.341	0.266	0.307	0.141	0.098	0.092	0.302	0.14800000000000002	0.301	0.509	0.402	0.212	0.28300000000000003	0.243	0.415	0.258	0.35	0.14800000000000002	0.192	0.239	0.223	0.33	0.177	0.342	0.34700000000000003	0.303	0.11599999999999999	0.145	0.337	0.387	0.28300000000000003	0.276
1.50495	0.17	0.08800000000000001	0.233	0.264	0.258	0.47700000000000004	0.409	0.541	0.237	0.0	0.368	0.0	0.14	0.23199999999999998	0.332	0.695	0.141	0.158	0.203	0.204	0.341	0.341	0.545	0.43	0.12300000000000001	0.26	0.248	0.281	0.262	0.44299999999999995	0.228	0.175	0.297	0.27899999999999997	0.17	0.08	0.341	0.35100000000000003	0.36	0.248	0.114	0.335	0.275	0.293	0.196
