	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
0.00513	0.07400000000000001	0.0	0.0	0.0	0.0	0.156	0.14300000000000002	0.125	0.08900000000000001	0.0	0.0	0.187	0.187	0.281	0.11800000000000001	0.156	0.23600000000000002	0.031	0.032	0.156	0.062	0.156	0.096	0.25	0.062	0.062	0.09300000000000001	0.0	-0.106	0.156	0.188	0.156	0.0	0.031	0.0	0.249	0.11800000000000001	0.281	0.0	0.0	0.0	0.0	0.09300000000000001	0.156	0.187
0.17164	0.07400000000000001	0.187	0.249	0.063	0.09300000000000001	0.0	0.08	0.0	0.12	0.031	0.0	0.0	0.0	0.0	0.055	0.0	0.267	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	-0.355	0.0	0.0	0.0	0.094	0.0	0.062	0.0	-0.256	0.0	0.063	0.031	0.09300000000000001	0.249	0.0	0.0	0.0
0.33828	0.228	0.37200000000000005	0.36200000000000004	0.336	0.295	0.26899999999999996	0.066	0.289	0.124	0.04	0.125	0.285	0.33399999999999996	0.33799999999999997	0.024	0.306	0.155	0.047	0.205	0.44	0.282	0.313	0.075	0.28600000000000003	0.015	0.17300000000000001	0.162	0.11199999999999999	-0.069	0.2	0.2	0.11199999999999999	0.016	0.20199999999999999	0.253	0.341	0.0	0.192	0.192	0.13	0.285	0.166	0.225	0.26899999999999996	0.053
0.50511	0.321	0.465	0.444	0.424	0.43700000000000006	0.478	0.146	0.297	0.287	0.303	0.18899999999999997	0.544	0.546	0.522	0.055999999999999994	0.45799999999999996	0.19899999999999998	0.222	0.254	0.475	0.348	0.504	0.149	0.609	0.03	0.19	0.201	0.226	0.0	0.308	0.244	0.195	0.127	0.249	0.289	0.624	0.134	0.22699999999999998	0.134	0.136	0.29100000000000004	0.303	0.32799999999999996	0.289	0.23399999999999999
0.67177	0.083	0.385	0.426	0.34299999999999997	0.355	0.397	0.0	0.21899999999999997	0.14400000000000002	0.256	0.205	0.56	0.433	0.632	0.07200000000000001	0.377	0.09	0.24100000000000002	0.336	0.555	0.45899999999999996	0.488	0.006999999999999999	0.531	0.048	0.20800000000000002	0.217	0.18100000000000002	0.048	0.325	0.42	0.11800000000000001	0.081	0.267	0.273	0.544	0.055	0.243	0.11800000000000001	0.121	0.275	0.22399999999999998	0.344	0.308	0.253
0.83846	0.129	0.304	0.305	0.322	0.358	0.532	0.036000000000000004	0.114	0.19699999999999998	0.314	0.191	0.583	0.41100000000000003	0.6459999999999999	0.121	0.45299999999999996	0.18100000000000002	0.273	0.433	0.5429999999999999	0.447	0.603	0.0	0.682	0.046	0.14300000000000002	0.20800000000000002	0.24600000000000002	0.134	0.418	0.353	0.215	0.24	0.521	0.485	0.56	0.142	0.29600000000000004	0.203	0.142	0.264	0.314	0.528	0.342	0.29
1.00514	0.102	0.342	0.33799999999999997	0.358	0.358	0.43799999999999994	0.165	0.188	0.174	0.35700000000000004	0.23	0.528	0.574	0.6509999999999999	0.0	0.39299999999999996	0.129	0.287	0.384	0.583	0.519	0.643	0.107	0.628	0.091	0.157	0.314	0.293	0.17600000000000002	0.431	0.397	0.198	0.09300000000000001	0.278	0.39799999999999996	0.598	0.248	0.337	0.244	0.151	0.401	0.22899999999999998	0.474	0.486	0.307
1.17183	0.10800000000000001	0.444	0.308	0.39399999999999996	0.39	0.505	0.134	0.391	0.11800000000000001	0.401	0.27	0.57	0.578	0.7859999999999999	0.10300000000000001	0.623	0.109	0.17300000000000001	0.431	0.46299999999999997	0.36700000000000005	0.684	0.054000000000000006	0.639	0.13699999999999998	0.138	0.35600000000000004	0.276	0.218	0.47600000000000003	0.442	0.11599999999999999	0.139	0.324	0.439	0.605	0.19399999999999998	0.314	0.285	0.128	0.282	0.272	0.518	0.405	0.259
1.33844	0.077	0.316	0.337	0.32899999999999996	0.354	0.43799999999999994	0.033	0.23399999999999999	0.154	0.278	0.20800000000000002	0.607	0.44799999999999995	0.657	0.17	0.5589999999999999	0.115	0.311	0.375	0.563	0.37	0.59	0.091	0.6759999999999999	0.048	0.146	0.32899999999999996	0.317	0.222	0.354	0.449	0.09300000000000001	0.083	0.461	0.37799999999999995	0.542	0.231	0.317	0.225	0.16399999999999998	0.318	0.34299999999999997	0.523	0.479	0.302
1.50519	0.115	0.322	0.27399999999999997	0.268	0.452	0.5379999999999999	0.099	0.27699999999999997	0.0	0.225	0.151	0.617	0.5489999999999999	0.696	0.113	0.564	0.095	0.325	0.35700000000000004	0.507	0.44299999999999995	0.7609999999999999	0.07	0.7190000000000001	0.126	0.225	0.27399999999999997	0.235	0.2	0.46399999999999997	0.495	0.205	0.161	0.41	0.452	0.614	0.21	0.359	0.201	0.20600000000000002	0.359	0.29	0.469	0.528	0.384
1.67185	0.0	0.337	0.385	0.315	0.465	0.617	0.11199999999999999	0.294	0.114	0.242	0.19899999999999998	0.634	0.401	0.7759999999999999	0.096	0.579	0.015	0.27899999999999997	0.344	0.621	0.45899999999999996	0.68	0.153	0.574	0.047	0.146	0.29100000000000004	0.287	0.185	0.515	0.41600000000000004	0.159	0.18	0.429	0.33899999999999997	0.532	0.22699999999999998	0.375	0.18600000000000003	0.19	0.27899999999999997	0.177	0.42100000000000004	0.515	0.209
1.8385	0.124	0.265	0.376	0.306	0.48700000000000004	0.608	0.2	0.32299999999999995	0.142	0.174	0.193	0.662	0.523	0.639	0.12300000000000001	0.54	0.11	0.311	0.408	0.584	0.552	0.708	0.084	0.7	0.175	0.242	0.287	0.384	0.14800000000000002	0.546	0.6409999999999999	0.158	0.113	0.395	0.301	0.6559999999999999	0.223	0.436	0.344	0.251	0.469	0.239	0.5479999999999999	0.48200000000000004	0.242
2.00515	0.069	0.308	0.385	0.349	0.39799999999999996	0.488	0.111	0.335	0.12	0.251	0.139	0.674	0.598	0.747	0.231	0.517	0.057	0.324	0.32299999999999995	0.6920000000000001	0.49700000000000005	0.7190000000000001	0.096	0.679	0.188	0.18899999999999997	0.331	0.332	0.127	0.5579999999999999	0.45799999999999996	0.26899999999999996	0.126	0.473	0.377	0.634	0.365	0.317	0.22399999999999998	0.23	0.38299999999999995	0.251	0.527	0.56	0.223
