	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
0.00511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.022000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.231	0.0	0.05	0.0	0.0	0.0	0.0	0.0	-0.084	0.049	0.0	0.0	0.0	0.08	0.0	0.0	0.015
0.17167	0.174	0.141	0.14	0.012	0.139	0.04	0.46799999999999997	0.33299999999999996	0.17800000000000002	0.142	0.10800000000000001	0.0	0.0	0.076	0.242	0.212	0.045	0.042	0.01	0.085	0.111	0.046	0.20800000000000002	0.24600000000000002	0.109	0.076	0.11	0.016	-0.217	0.21100000000000002	0.0	0.142	0.078	0.08	0.083	0.079	0.065	0.033	0.10800000000000001	0.174	0.045	0.0	0.055	0.013000000000000001	0.0
0.33846	0.435	0.336	0.466	0.24	0.465	0.33299999999999996	0.46799999999999997	0.6920000000000001	0.439	0.272	0.402	0.131	0.294	0.304	0.33899999999999997	0.505	0.306	0.14	0.239	0.11699999999999999	0.306	0.17600000000000002	0.436	0.637	0.239	0.272	0.306	0.114	-0.217	0.146	0.0	0.371	0.535	0.341	0.14800000000000002	0.046	0.0	0.0	0.401	0.33799999999999997	0.24100000000000002	0.22899999999999998	0.218	0.14400000000000002	0.065
0.50509	0.65	0.257	0.8440000000000001	0.489	0.746	0.48200000000000004	0.585	0.9059999999999999	0.591	0.389	0.65	0.41200000000000003	0.64	0.48700000000000004	0.556	0.887	0.424	0.322	0.617	0.401	0.523	0.457	0.522	0.9540000000000001	0.45399999999999996	0.552	0.522	0.527	0.0	0.363	0.02	0.5870000000000001	0.85	0.591	0.39899999999999997	0.19699999999999998	0.18600000000000003	0.151	0.551	0.488	0.489	0.447	0.536	0.22899999999999998	0.25
0.67174	0.669	0.5379999999999999	0.7659999999999999	0.573	0.831	0.568	0.768	0.894	0.642	0.507	0.735	0.529	0.79	0.5720000000000001	0.6729999999999999	1.035	0.606	0.44	0.7020000000000001	0.484	0.737	0.574	0.508	1.036	0.441	0.5720000000000001	0.639	0.513	0.214	0.479	0.13699999999999998	0.6709999999999999	0.836	0.74	0.547	0.47700000000000004	0.301	0.235	0.7659999999999999	0.605	0.6709999999999999	0.628	0.716	0.34600000000000003	0.17
0.83839	0.7440000000000001	0.547	0.938	0.647	0.937	0.674	0.777	1.0979999999999999	0.6509999999999999	0.483	0.94	0.701	0.701	0.679	0.584	1.045	0.517	0.612	0.9390000000000001	0.723	0.91	0.583	0.746	1.112	0.6459999999999999	0.6459999999999999	0.8440000000000001	0.7509999999999999	0.387	0.5539999999999999	0.146	1.0390000000000001	0.976	0.782	0.982	0.65	0.409	0.34299999999999997	0.971	0.614	0.779	0.736	0.76	0.42	0.474
1.00524	0.721	0.623	0.9159999999999999	0.755	0.915	0.784	0.82	1.24	0.823	0.6890000000000001	0.852	0.711	0.907	0.754	0.561	1.182	0.528	0.688	0.884	0.696	1.0170000000000001	0.6579999999999999	0.625	1.151	0.6890000000000001	0.754	0.8859999999999999	0.693	0.363	0.726	0.221	0.755	1.0170000000000001	0.856	0.956	0.659	0.579	0.48200000000000004	0.884	0.69	0.7879999999999999	0.8079999999999999	0.732	0.528	0.514
1.17174	0.7609999999999999	0.532	1.02	0.762	0.857	0.888	0.631	1.409	0.83	0.696	1.022	0.7829999999999999	0.7829999999999999	0.7929999999999999	0.633	1.2229999999999999	0.599	0.629	0.9229999999999999	0.9	0.9259999999999999	0.665	0.73	1.1909999999999998	0.728	0.728	0.893	0.799	0.37	0.635	0.228	0.8270000000000001	1.057	0.863	0.9640000000000001	0.633	0.5870000000000001	0.522	0.955	0.892	0.762	0.816	0.903	0.535	0.5539999999999999
1.33856	0.763	0.6970000000000001	0.86	0.732	0.9570000000000001	0.89	0.731	1.411	0.963	0.698	0.9590000000000001	0.883	1.014	0.9590000000000001	0.7979999999999999	1.3880000000000001	0.634	0.7290000000000001	0.991	0.87	0.9940000000000001	0.831	0.797	1.2590000000000001	0.698	0.731	0.993	0.899	0.405	0.573	0.23	0.8290000000000001	0.929	0.768	1.129	0.6679999999999999	0.59	0.687	1.056	0.7959999999999999	0.797	0.884	0.841	0.505	0.622
1.50517	0.7440000000000001	0.743	0.971	0.8759999999999999	1.003	0.968	0.581	1.294	0.88	0.81	0.972	0.93	1.028	0.973	0.78	1.2409999999999999	0.713	0.71	1.103	0.919	1.041	0.877	0.909	1.406	0.7440000000000001	0.777	1.04	0.914	0.42	0.652	0.473	0.8759999999999999	1.074	0.88	1.08	0.7809999999999999	0.605	0.7020000000000001	0.971	0.843	0.8109999999999999	0.899	0.76	0.518	0.5720000000000001
