	MG1655-1	rzpD-1	sspA-1	MG1655-2	rzpD-2	sspA-2	MG1655-3	rzpD-3	sspA-3
9.00586	0.8220000000000001	1.206	1.8430000000000002	0.7859999999999999	0.813	1.178	0.753	0.64	1.368
9.17257	0.8220000000000001	1.206	1.7480000000000002	0.8490000000000001	0.718	1.178	0.721	0.513	1.4
9.33924	0.797	1.268	1.7269999999999999	0.924	0.855	1.123	0.7979999999999999	0.589	1.286
9.50593	0.893	1.216	1.849	0.7909999999999999	0.883	1.28	0.758	0.614	1.469
9.67268	0.797	1.077	1.8230000000000002	0.924	0.887	1.155	0.7979999999999999	0.589	1.476
9.83924	0.875	1.192	1.8659999999999999	0.841	0.867	1.264	0.745	0.632	1.392
10.00598	0.818	1.297	1.936	0.9420000000000001	0.81	1.27	0.909	0.637	1.3969999999999998
10.17264	0.8009999999999999	1.082	2.016	0.895	0.794	1.222	0.9279999999999999	0.5920000000000001	1.3840000000000001
10.33932	0.946	1.246	2.154	0.968	0.934	1.364	0.8690000000000001	0.631	1.39
10.50601	0.875	1.224	1.93	0.9359999999999999	0.867	1.232	0.8079999999999999	0.632	1.5830000000000002
10.67262	0.917	1.429	2.13	0.9129999999999999	0.972	1.433	0.816	0.7040000000000001	1.591
10.83937	1.02	1.344	2.231	1.014	0.978	1.376	0.917	0.7090000000000001	1.5959999999999999
11.00603	0.9990000000000001	1.518	2.177	1.055	0.892	1.29	0.861	0.654	1.5730000000000002
11.1728	0.946	1.4369999999999998	2.154	1.032	0.997	1.395	0.9329999999999999	0.6629999999999999	1.676
11.33948	1.045	1.3780000000000001	2.3480000000000003	1.035	0.937	1.463	0.935	0.7290000000000001	1.7109999999999999
11.50606	1.01	1.5330000000000001	2.441	1.159	1.0290000000000001	1.395	0.9640000000000001	0.631	1.676
11.67288	1.0979999999999999	1.618	2.435	1.121	0.991	1.453	0.927	0.657	1.575
11.83942	1.094	1.518	2.464	1.1179999999999999	0.892	1.4809999999999999	0.9570000000000001	0.75	1.7
12.00624	1.109	1.569	2.444	1.13	1.032	1.494	1.031	0.7609999999999999	1.807
12.17286	1.141	1.633	2.635	1.162	1.032	1.59	0.9670000000000001	0.7290000000000001	1.807
12.33957	1.056	1.5519999999999998	2.645	1.075	1.042	1.504	0.975	0.738	1.6880000000000002
12.50624	1.034	1.714	2.562	1.153	1.023	1.548	0.927	0.721	1.767
12.67291	1.1159999999999999	1.5030000000000001	2.613	1.141	0.978	1.535	1.1079999999999999	0.6459999999999999	1.851
12.8396	1.226	1.714	2.8489999999999998	1.121	1.087	1.58	0.927	0.625	1.8619999999999999
13.00626	1.141	1.665	2.827	1.162	1.032	1.59	0.935	0.665	1.871
13.17305	1.2229999999999999	1.754	2.6830000000000003	1.2409999999999999	1.112	1.479	1.044	0.775	1.725
13.33966	1.162	1.695	2.9419999999999997	1.34	1.115	1.578	1.143	0.65	1.8869999999999998
13.5063	1.236	1.665	2.7310000000000003	1.3219999999999998	1.224	1.558	1.127	0.825	1.902
13.67306	1.307	1.835	2.865	1.328	1.198	1.565	1.036	0.767	1.876
13.83976	1.222	1.8359999999999999	2.9410000000000003	1.31	1.083	1.736	1.052	0.75	1.9869999999999999
14.00636	1.226	1.791	3.0380000000000003	1.276	1.2109999999999999	1.77	1.079	0.682	2.079
14.17311	1.359	1.905	2.9739999999999998	1.37	1.2429999999999999	1.7080000000000002	1.0090000000000001	0.775	2.012
14.33971	1.3330000000000002	1.9980000000000002	2.983	1.445	1.125	1.6840000000000002	1.151	0.787	1.992
14.50649	1.265	1.993	2.948	1.3780000000000001	1.153	1.617	1.052	0.688	1.829
14.67316	1.2690000000000001	1.806	3.0469999999999997	1.349	1.253	1.6840000000000002	1.055	0.755	1.896
14.83978	1.3719999999999999	1.88	3.1180000000000003	1.291	1.2590000000000001	1.6269999999999998	1.252	0.792	1.901
15.00655	1.376	1.9169999999999998	3.185	1.454	1.166	1.791	1.255	0.8590000000000001	1.936
15.17317	1.462	2.044	3.205	1.4080000000000001	1.3459999999999999	2.003	1.015	0.812	2.049
15.3398	1.402	2.049	2.984	1.507	1.253	1.751	1.113	0.7190000000000001	1.9240000000000002
15.50649	1.479	1.895	3.1919999999999997	1.46	1.173	1.733	1.068	0.8009999999999999	2.0380000000000003
15.67321	1.579	2.028	3.2910000000000004	1.399	1.176	1.801	1.071	0.804	2.041
15.83987	1.466	2.017	3.3360000000000003	1.315	1.253	1.751	1.177	0.815	1.956
16.00666	1.4769999999999999	2.064	3.0260000000000002	1.484	1.359	1.665	1.121	0.728	2.125
16.17334	1.462	2.044	3.301	1.376	1.185	1.651	1.079	0.812	2.113
16.33998	1.413	2.16	3.25	1.3880000000000001	1.262	1.825	1.025	0.792	2.061
16.50674	1.52	2.176	3.3560000000000003	1.429	1.368	1.835	1.129	0.8	2.133
16.67328	1.4509999999999998	2.124	3.323	1.399	1.24	1.801	1.071	0.772	2.201
16.83991	1.527	2.282	3.62	1.5959999999999999	1.278	2.0669999999999997	1.199	0.902	2.1390000000000002
17.00663	1.3980000000000001	2.044	3.4930000000000003	1.504	1.281	1.8430000000000002	1.079	0.78	2.209
17.17341	1.402	2.049	3.785	1.475	1.285	1.751	1.0170000000000001	0.815	2.116
17.34003	1.409	2.155	3.6310000000000002	1.4809999999999999	1.355	1.9180000000000001	1.119	0.821	2.314
17.50682	1.44	2.109	3.505	1.486	1.262	1.7269999999999999	0.9990000000000001	0.763	2.128
17.67336	1.3769999999999998	2.155	3.7910000000000004	1.4809999999999999	1.291	1.9180000000000001	1.087	0.789	2.25
17.84009	1.52	2.336	3.741	1.429	1.4	1.964	1.097	0.8959999999999999	2.23
18.00665	1.462	2.108	3.909	1.472	1.249	2.035	1.111	0.8759999999999999	2.3369999999999997
18.17341	1.5419999999999998	2.367	3.858	1.5119999999999998	1.291	1.8559999999999999	1.21	0.85	2.472
18.34015	1.52	2.3680000000000003	4.03	1.589	1.304	1.964	1.129	0.8	2.262
18.50681	1.527	2.186	3.94	1.499	1.4069999999999998	2.035	1.0390000000000001	0.838	2.364
18.67345	1.431	2.186	4.005	1.5959999999999999	1.311	2.035	1.135	0.838	2.332
18.84016	1.4880000000000002	2.176	4.126	1.686	1.368	2.22	1.194	0.929	2.5180000000000002
19.00684	1.6059999999999999	2.207	4.147	1.4469999999999998	1.195	2.081	1.113	0.85	2.665
19.17349	1.531	2.287	4.329	1.406	1.41	2.231	1.105	0.905	2.463
19.34024	1.5390000000000001	2.458	4.689	1.605	1.32	2.077	1.239	0.847	2.565
19.5069	1.6030000000000002	2.458	4.4	1.412	1.385	2.238	1.207	0.815	2.63
19.67366	1.6059999999999999	2.367	4.629	1.64	1.3880000000000001	2.081	1.113	0.8170000000000001	2.665
19.84021	1.518	2.12	4.829	1.614	1.3940000000000001	2.345	1.151	0.823	2.6710000000000003
20.00694	1.5419999999999998	2.463	4.918	1.544	1.42	2.145	1.242	0.85	2.7289999999999996
20.17376	1.506	2.169	4.8180000000000005	1.541	1.32	2.334	1.143	0.718	2.758
20.34035	1.55	2.41	5.086	1.518	1.298	2.184	1.119	0.823	2.928
20.50704	1.565	2.495	4.908	1.53	1.4069999999999998	2.456	1.162	0.835	2.8760000000000003
20.67375	1.625	2.425	5.0969999999999995	1.6230000000000002	1.436	2.452	1.127	0.8320000000000001	2.84
20.84038	1.5759999999999998	2.4459999999999997	5.145	1.5390000000000001	1.3530000000000002	2.563	1.234	0.779	3.0780000000000003
21.0071	1.544	2.511	5.2410000000000005	1.571	1.4169999999999998	2.595	1.073	0.8759999999999999	3.142
21.17374	1.54	2.602	5.43	1.472	1.51	2.463	1.135	0.873	3.332
21.34034	1.49	2.623	5.607	1.645	1.3630000000000002	2.6710000000000003	1.146	0.755	3.1839999999999997
21.50713	1.714	2.415	5.733	1.521	1.3980000000000001	2.734	1.121	0.858	3.252
21.67369	1.5759999999999998	2.543	6.013999999999999	1.732	1.449	2.853	1.266	0.8759999999999999	3.3680000000000003
21.84052	1.64	2.4459999999999997	6.013999999999999	1.571	1.256	2.885	1.138	0.8759999999999999	3.3360000000000003
22.00715	1.6740000000000002	2.59	6.275	1.696	1.4469999999999998	2.983	1.194	0.966	3.4930000000000003
22.17386	1.659	2.569	6.227	1.6840000000000002	1.4340000000000002	2.968	1.248	0.7929999999999999	3.48
22.34053	1.651	2.4619999999999997	6.412000000000001	1.5490000000000002	1.4269999999999998	3.057	1.0490000000000002	0.884	3.4419999999999997
22.50717	1.672	2.7039999999999997	6.4	1.6680000000000001	1.3530000000000002	3.2710000000000004	1.331	0.843	3.432
22.67381	1.651	2.8160000000000003	6.541	1.6769999999999998	1.4269999999999998	3.1860000000000004	1.081	0.852	3.764
22.8406	1.577	2.88	6.566	1.6640000000000001	1.479	3.08	1.162	0.8690000000000001	3.7510000000000003
23.00718	1.695	2.9610000000000003	6.9079999999999995	1.6869999999999998	1.3719999999999999	3.488	1.25	0.861	3.7739999999999996
23.17398	1.6909999999999998	2.9560000000000004	7.29	1.6840000000000002	1.272	3.29	1.248	0.7929999999999999	3.835
23.34065	1.7919999999999998	2.864	6.65	1.6869999999999998	1.469	3.391	1.25	0.7959999999999999	3.7739999999999996
23.50724	1.744	2.714	7.084	1.739	1.4240000000000002	3.279	1.143	0.978	3.8569999999999998
23.67394	1.767	2.843	7.303	1.79	1.347	3.592	1.1909999999999998	0.899	3.877
23.84068	1.702	2.875	6.949	1.757	1.347	3.463	1.1909999999999998	0.802	3.9739999999999998
24.00731	1.775	2.983	7.247000000000001	1.764	1.45	3.5669999999999997	1.261	0.904	3.98
24.17416	1.756	2.859	7.516	1.6840000000000002	1.53	3.451	1.248	0.89	4.383
24.34071	1.702	2.972	7.432	1.661	1.379	3.495	1.062	0.77	4.232
24.50753	1.695	3.0580000000000003	7.391	1.6869999999999998	1.695	3.552	1.347	0.893	3.935
24.67415	1.864	2.94	8.206	1.757	1.54	3.8819999999999997	1.3530000000000002	0.866	4.07
