	MG1655-1	IBUA8-3_1	ilvH-1	ilvN-1	pykF_ilvH-1	pykF_ilvN-1	pykF-1	MG1655-2	IBUA8-3_2	ilvH-2	ilvN-2	pykF_ilvH-2	pykF_ilvN-2	pykF-2	MG1655-3	IBUA8-3_3	ilvH-3	ilvN-3	pykF_ilvH-3	pykF_ilvN-3	pykF-3
0.00489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21899999999999997	0.0	0.0	0.0	0.0	0.0	0.0
0.17156	0.496	0.56	0.552	0.493	0.345	0.406	0.382	0.505	0.8059999999999999	0.361	0.49200000000000005	0.54	0.32899999999999996	0.518	0.484	0.722	0.40299999999999997	0.7290000000000001	0.521	0.456	0.534
0.33819	0.455	0.509	0.40399999999999997	0.47200000000000003	0.484	0.479	0.456	0.493	0.754	0.62	0.5429999999999999	0.561	0.498	0.43	0.294	0.672	0.5589999999999999	0.727	0.6809999999999999	0.643	0.531
0.50492	0.534	0.7040000000000001	0.545	0.517	0.564	0.593	0.273	0.542	0.851	0.488	0.617	0.665	0.547	0.6729999999999999	0.461	0.7020000000000001	0.595	1.153	0.813	0.68	0.695
0.67163	0.5479999999999999	0.583	0.433	0.603	0.619	0.614	0.262	0.589	0.927	0.474	0.5710000000000001	0.685	0.635	0.563	0.309	0.679	0.581	0.973	0.7979999999999999	0.6659999999999999	0.68
0.83825	0.605	0.519	0.405	0.639	0.653	0.55	0.29600000000000004	0.645	0.8959999999999999	0.517	0.609	0.8240000000000001	0.6679999999999999	0.664	0.109	0.55	0.557	0.821	0.7759999999999999	0.74	0.691
1.00489	0.68	0.688	0.5539999999999999	0.657	0.573	0.733	0.21600000000000003	0.556	0.9009999999999999	0.565	0.626	0.807	0.72	0.682	0.18100000000000002	0.7190000000000001	0.638	0.9009999999999999	0.8240000000000001	0.69	0.6729999999999999
1.17165	0.61	0.6559999999999999	0.507	0.642	0.59	0.652	0.233	0.682	0.934	0.62	0.6459999999999999	0.8270000000000001	0.836	0.7659999999999999	0.575	0.753	0.626	0.99	0.879	0.711	0.794
1.33836	0.62	0.634	0.579	0.6809999999999999	0.662	0.7559999999999999	0.304	0.659	1.011	0.594	0.718	0.9329999999999999	0.8420000000000001	0.804	0.322	0.5660000000000001	0.6659999999999999	0.9309999999999999	0.9520000000000001	0.619	0.802
1.50497	0.616	0.602	0.499	0.667	0.713	0.741	0.223	0.687	0.88	0.616	0.737	0.8540000000000001	0.8590000000000001	0.79	0.42	0.6	0.588	0.9209999999999999	0.9079999999999999	0.672	0.857
1.67157	0.6679999999999999	0.5920000000000001	0.611	0.7120000000000001	0.625	0.752	0.267	0.54	0.903	0.631	0.585	0.868	0.903	0.802	0.541	0.557	0.602	1.035	0.9229999999999999	0.752	0.773
1.83825	0.7	0.684	0.523	0.69	0.6709999999999999	0.6659999999999999	0.34600000000000003	0.6729999999999999	0.765	0.44	0.728	0.91	0.85	0.8140000000000001	0.272	0.484	0.644	0.943	0.897	0.728	0.747
2.005	0.682	0.51	0.555	0.721	0.601	0.695	0.276	0.62	0.821	0.5429999999999999	0.6940000000000001	1.043	0.879	0.8440000000000001	0.45799999999999996	0.442	0.514	1.08	1.033	0.763	0.95
2.17169	0.6679999999999999	0.526	0.545	0.7120000000000001	0.7240000000000001	0.785	0.465	0.639	0.87	0.631	0.684	1.033	0.903	0.9009999999999999	0.442	0.45799999999999996	0.6679999999999999	1.035	1.022	0.6859999999999999	0.872
2.33831	0.564	0.52	0.608	0.61	0.721	0.7490000000000001	0.33	0.701	0.897	0.528	0.6809999999999999	0.9640000000000001	0.9	0.799	0.436	0.353	0.5660000000000001	0.966	0.919	0.6829999999999999	0.836
2.50495	0.659	0.455	0.627	0.6940000000000001	0.706	0.767	0.34700000000000003	0.563	0.6990000000000001	0.649	0.701	0.9840000000000001	0.9840000000000001	0.9159999999999999	0.40299999999999997	0.45299999999999996	0.5870000000000001	0.955	0.909	0.67	0.792
2.67167	0.7190000000000001	0.41	0.40399999999999997	0.604	0.583	0.677	0.35700000000000004	0.625	0.787	0.62	0.675	1.023	0.993	0.925	0.624	0.441	0.5920000000000001	0.958	0.978	0.6759999999999999	0.762
2.83837	0.7340000000000001	0.493	0.545	0.7120000000000001	0.7240000000000001	0.851	0.33299999999999996	0.705	0.903	0.466	0.7829999999999999	0.934	0.9690000000000001	0.9009999999999999	0.442	0.524	0.602	1.035	0.9229999999999999	0.752	0.872
3.00503	0.715	0.40399999999999997	0.532	0.667	0.713	0.774	0.45399999999999996	0.588	0.7809999999999999	0.616	0.638	0.953	0.958	0.922	0.45299999999999996	0.402	0.555	0.9540000000000001	0.9740000000000001	0.639	0.857
3.17165	0.6779999999999999	0.537	0.618	0.784	0.7959999999999999	0.857	0.43799999999999994	0.715	0.815	0.539	0.6579999999999999	1.073	1.074	0.907	0.486	0.436	0.609	0.977	0.9309999999999999	0.693	0.748
3.33845	0.7190000000000001	0.568	0.513	0.747	0.662	0.7559999999999999	0.469	0.56	0.847	0.495	0.85	0.9990000000000001	0.94	0.903	0.586	0.402	0.534	0.833	0.9520000000000001	0.652	0.835
3.50508	0.748	0.503	0.532	0.7	0.713	0.84	0.45399999999999996	0.588	0.946	0.616	0.836	1.052	0.991	0.922	0.7170000000000001	0.435	0.555	1.053	0.9740000000000001	0.738	0.9229999999999999
3.67175	0.758	0.752	0.561	0.727	0.838	0.8	0.48	0.7290000000000001	1.129	0.583	0.8	1.083	0.9840000000000001	1.048	0.568	0.7170000000000001	0.6859999999999999	1.055	1.041	0.703	1.09
3.83847	0.634	0.6509999999999999	0.589	0.69	0.7040000000000001	0.8640000000000001	0.313	0.6729999999999999	1.028	0.506	0.8270000000000001	0.943	0.9490000000000001	1.077	0.40399999999999997	0.649	0.677	0.943	0.996	0.662	0.945
4.00511	0.738	0.69	0.5920000000000001	0.693	0.872	0.768	0.415	0.677	1.133	0.5429999999999999	0.665	1.045	0.985	1.08	0.44299999999999995	0.754	0.581	1.046	0.9670000000000001	0.731	0.9490000000000001
