	MG1655-1	COUM4-2_1	MG1655-2	COUM4-2_2	MG1655-3	COUM4-2_3	nadR_rpoA-1	nadR_rpoA-2	nadR_rpoA-3
37.6776	3.355	53.086999999999996	3.33	58.762	2.96	51.193999999999996	20.98	20.144000000000002	26.808000000000003
37.84421	3.287	53.222	3.397	58.493	2.96	51.262	21.35	20.38	26.405
38.01105	3.32	53.496	3.4610000000000003	58.845	2.823	51.17	21.348000000000003	20.614	26.663
38.1776	3.325	53.915	3.5	58.327	2.928	51.79	21.456999999999997	20.522	26.84
38.34433	3.446	53.497	3.486	58.606	3.015	51.81	22.068	21.101	26.643
38.51112	3.345	53.56399999999999	3.452	59.143	2.948	51.911	21.834	20.665	27.146
38.67776	3.341	54.085	3.582	58.453	3.01	51.996	21.656999999999996	20.891	27.908
38.84441	3.4339999999999997	53.678999999999995	3.576	58.498999999999995	3.1719999999999997	52.393	21.71	21.345	27.397
39.01112	3.5	54.153	3.573	58.952	2.9339999999999997	51.696000000000005	22.109	20.74	27.083000000000002
39.17786	3.4330000000000003	54.019	3.4389999999999996	59.086000000000006	2.9010000000000002	52.668	22.041999999999998	21.243000000000002	27.217
39.34454	3.4330000000000003	54.254	3.573	59.79	2.9339999999999997	52.199	22.243000000000002	21.444000000000003	27.184
39.51126	3.4330000000000003	54.354	3.573	59.287	3.035	52.299	22.31	21.343000000000004	26.714000000000002
39.67791	3.608	54.591	3.512	59.675	3.074	52.271	22.29	21.526	27.057
39.84465	3.4330000000000003	54.488	3.707	59.656000000000006	3.0010000000000003	52.065	22.511	21.377	26.982
40.01129	3.6039999999999996	54.475	3.5410000000000004	59.521	3.003	52.155	22.248	21.718000000000004	27.315
40.17793	3.562	54.543	3.7319999999999998	59.283	3.261	52.324	22.765	21.465999999999998	27.63
40.34459	3.5839999999999996	54.623999999999995	3.6210000000000004	59.813	3.083	52.839	23.112	21.711	27.379
40.51142	3.6430000000000002	54.722	3.716	59.728	3.145	52.398	22.865	21.763	27.438000000000002
40.6781	3.688	55.143	3.66	59.799	3.122	52.855	22.785999999999998	22.121	27.891
40.84471	3.697	55.411	3.6689999999999996	59.838	3.198	52.585	23.307	22.541	27.71
41.01149	3.656	55.275	3.8310000000000004	59.886	3.158	52.681000000000004	23.06	22.326999999999998	27.971999999999998
41.17809	3.6010000000000004	55.394	3.707	59.99100000000001	3.303	52.702	23.014	22.55	27.820999999999998
41.34487	3.748	55.309	3.9219999999999997	60.451	3.25	53.488	23.243000000000002	22.51	28.019000000000002
41.51155	3.7569999999999997	55.51	3.898	60.49	3.427	52.949	23.395	22.326999999999998	28.072
41.67822	3.798	55.511	3.803	60.474	3.4989999999999997	52.853	22.703000000000003	22.24	27.811
41.84486	3.898	55.611999999999995	4.004	60.575	3.332	53.49	23.81	22.877	28.548000000000002
42.01152	3.889	55.946999999999996	3.8939999999999997	60.67	3.49	53.257	23.389	23.16	28.059
42.17822	3.903	55.83	4.0089999999999995	60.82899999999999	3.5380000000000003	53.607	23.115	22.55	28.592
42.34498	3.872	55.981	3.875	60.157	3.304	53.326	22.951	23.525	28.319000000000003
42.51165	3.798	56.013999999999996	4.004	61.178000000000004	3.3989999999999996	53.323	24.111	22.976999999999997	28.984
42.6783	3.93	56.282	4.067	61.056000000000004	3.4960000000000004	53.461999999999996	23.535	23.206	27.998
42.84511	4.084	56.232	4.053	61.163999999999994	3.4810000000000003	53.446999999999996	23.808000000000003	23.045	28.57
43.01167	4.093	56.299	4.062	61.303999999999995	3.457	54.081	23.961	23.498	28.557
43.17847	4.013	56.349	4.148	61.145	3.477	53.698	24.3	23.337	28.325
43.34513	3.952	56.5	3.99	61.656000000000006	3.72	53.978	23.680999999999997	23.351999999999997	28.919
43.51176	3.965	56.416000000000004	3.97	61.38	3.701	54.193999999999996	24.311999999999998	23.48	28.682
43.67851	4.1530000000000005	56.6	4.157	61.522	3.5860000000000003	54.346000000000004	23.983	23.519000000000002	28.819000000000003
43.84528	4.157	56.718	4.196000000000001	61.34	3.5239999999999996	53.994	24.394000000000002	24.266	29.365
44.01191	4.117	56.533	4.22	61.498999999999995	3.7489999999999997	54.148999999999994	24.644000000000002	23.647	28.737
44.17862	4.184	56.583999999999996	4.291	62.129	3.6189999999999998	54.058	25.021	23.919	29.125999999999998
44.34527	4.019	57.403999999999996	4.09	62.091	3.6860000000000004	53.676	25.021	24.323	29.254
44.51191	4.124	57.086000000000006	4.263	61.776	3.725	54.56399999999999	24.964000000000002	24.165	29.230999999999998
