	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
1.67175	0.45799999999999996	0.258	0.682	0.8190000000000001	0.5660000000000001	0.603	0.914	1.011	0.8590000000000001	0.604	0.778	0.785	0.525	0.655	0.904	0.991	0.792	0.747	1.008	0.9390000000000001	0.816	0.9590000000000001	1.43	1.607	1.09	1.034	0.9520000000000001	0.961	1.083	1.1059999999999999	1.055	1.206	0.708	1.156	1.1520000000000001	1.083
1.83832	0.55	0.28800000000000003	0.628	0.82	0.51	0.547	0.9990000000000001	1.126	0.982	0.556	0.8370000000000001	0.7290000000000001	0.526	0.49200000000000005	0.907	1.051	0.97	0.723	1.0390000000000001	0.8859999999999999	0.7879999999999999	0.99	1.38	1.5019999999999998	0.958	1.095	1.1520000000000001	0.992	1.033	1.11	1.001	1.067	0.882	1.045	1.1540000000000001	1.114
2.00501	0.547	0.426	0.71	0.7609999999999999	0.5920000000000001	0.544	1.081	1.123	0.893	0.58	0.8059999999999999	0.8109999999999999	0.466	0.6859999999999999	0.9329999999999999	1.02	0.7959999999999999	0.7759999999999999	1.008	0.9390000000000001	0.6729999999999999	0.8740000000000001	1.3769999999999998	1.385	1.124	1.0070000000000001	0.951	1.0170000000000001	0.973	1.05	0.9129999999999999	1.064	0.737	1.014	1.094	1.026
2.17166	0.925	0.322	0.7190000000000001	0.6559999999999999	0.601	0.5529999999999999	0.892	1.047	0.792	0.7609999999999999	0.815	0.7070000000000001	0.531	0.555	0.857	1.03	0.835	0.73	1.045	0.9490000000000001	0.7659999999999999	0.883	1.359	1.4809999999999999	1.05	1.101	0.96	0.9420000000000001	0.956	1.06	1.092	1.073	0.718	1.052	1.075	1.035
2.33848	0.466	0.27899999999999997	0.705	0.6679999999999999	0.642	0.451	0.905	1.033	0.93	0.47100000000000003	0.858	0.833	0.515	0.603	0.958	0.99	0.8859999999999999	0.86	1.004	0.935	0.664	0.785	1.4069999999999998	1.4469999999999998	0.875	0.976	1.032	0.9	1.005	1.0190000000000001	1.078	1.06	0.593	1.0659999999999998	1.033	1.0490000000000002
2.50513	0.619	0.203	0.6859999999999999	0.762	0.5660000000000001	0.545	0.857	1.099	0.97	0.652	0.868	0.757	0.41100000000000003	0.44299999999999995	0.825	0.943	0.868	0.7	0.9279999999999999	0.86	0.645	0.795	1.3319999999999999	1.429	0.943	1.042	0.871	0.8809999999999999	0.93	1.085	0.917	0.9840000000000001	0.631	0.99	1.07	1.002
2.67174	0.718	0.361	0.674	0.608	0.5539999999999999	0.59	0.987	1.0859999999999999	0.8690000000000001	0.5529999999999999	0.77	0.688	0.484	0.45799999999999996	0.898	0.93	0.9390000000000001	0.7440000000000001	1.001	0.9890000000000001	0.662	0.924	1.347	1.528	0.9279999999999999	0.973	0.9440000000000001	0.9540000000000001	1.001	1.101	1.046	1.028	0.76	1.063	1.03	1.046
2.83842	0.484	0.266	0.607	0.625	0.629	0.465	0.8340000000000001	1.048	0.9490000000000001	0.546	0.732	0.706	0.445	0.535	0.888	0.95	0.904	0.8490000000000001	0.991	0.838	0.736	0.8009999999999999	1.339	1.465	1.121	0.992	0.963	0.9159999999999999	0.937	1.035	0.98	1.075	0.779	1.025	1.048	1.065
3.00511	0.516	0.322	0.748	0.6509999999999999	0.598	0.5479999999999999	0.889	1.075	0.898	0.607	0.731	0.647	0.47100000000000003	0.51	0.86	0.951	0.9359999999999999	0.821	0.877	0.951	0.79	0.8290000000000001	1.285	1.4980000000000002	1.069	1.1059999999999999	0.905	1.001	0.968	1.121	0.95	1.16	0.752	1.053	1.075	1.121
3.17181	0.48100000000000004	0.23	0.628	0.617	0.593	0.57	0.883	0.955	0.919	0.657	0.725	0.698	0.465	0.474	0.825	0.887	0.929	0.644	0.927	0.8590000000000001	0.7559999999999999	0.738	1.2209999999999999	1.49	1.005	1.014	0.956	0.995	1.075	1.114	1.0859999999999999	1.097	0.66	1.047	1.1540000000000001	1.0859999999999999
