	MG1655-1	proV-1	HMDA7-1_1	proV_rpsG1-1	proV_sspA-1	proV_sspA_nusA-1	rpsG1-1	MG1655-2	proV-2	HMDA7-1_2	proV_rpsG1-2	proV_sspA-2	proV_sspA_nusA-2	rpsG1-2	MG1655-3	proV-3	HMDA7-1_3	proV_rpsG1-3	proV_sspA-3	proV_sspA_nusA-3	rpsG1-3
0.00489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17156	0.632	0.377	0.231	0.33899999999999997	0.46	0.5720000000000001	0.151	0.802	0.731	0.196	0.33899999999999997	0.28	0.019	0.557	0.6559999999999999	0.6579999999999999	0.171	0.41700000000000004	0.795	0.289	0.659
0.33819	0.624	0.655	0.505	0.253	0.861	0.857	0.191	0.8240000000000001	0.779	0.382	0.28800000000000003	0.551	0.45399999999999996	0.563	1.0490000000000002	0.9790000000000001	0.6709999999999999	0.387	0.857	0.523	0.765
0.50492	0.6920000000000001	0.5	0.55	0.19899999999999998	0.843	0.927	0.239	1.026	0.92	0.518	0.23199999999999998	0.73	0.6659999999999999	0.6779999999999999	0.883	0.882	0.7190000000000001	0.504	1.37	0.77	0.977
0.67163	0.6779999999999999	0.5529999999999999	0.505	0.285	0.8320000000000001	0.914	0.064	0.914	0.809	0.505	0.154	0.718	0.621	0.7	0.9329999999999999	1.0	0.773	0.42700000000000005	1.411	0.792	0.703
0.83825	0.556	0.49200000000000005	0.442	0.28800000000000003	0.965	0.955	0.163	0.889	0.879	0.447	0.191	0.9179999999999999	0.755	0.536	0.88	0.943	0.7090000000000001	0.45899999999999996	1.7169999999999999	0.7929999999999999	0.7040000000000001
1.00489	0.637	0.509	0.361	0.27399999999999997	1.148	1.036	0.051	0.971	0.732	0.561	0.17600000000000002	0.903	0.773	0.6859999999999999	0.762	1.024	0.727	0.446	1.389	0.8109999999999999	0.723
1.17165	0.494	0.429	0.445	0.226	1.1320000000000001	0.925	0.1	0.892	0.685	0.483	0.19399999999999998	1.052	0.857	0.539	0.883	0.9470000000000001	0.547	0.363	1.921	0.828	0.8059999999999999
1.33836	0.46799999999999997	0.501	0.35200000000000004	0.19899999999999998	1.072	1.327	0.073	0.899	0.691	0.556	0.2	0.96	0.8959999999999999	0.841	0.825	0.9540000000000001	0.652	0.435	1.901	0.8340000000000001	0.713
1.50497	0.488	0.42100000000000004	0.568	0.25	1.156	1.4469999999999998	0.18899999999999997	0.919	0.512	0.41100000000000003	0.18600000000000003	0.945	0.782	0.561	0.8140000000000001	0.8759999999999999	0.669	0.35200000000000004	2.072	0.818	0.565
1.67157	0.436	0.466	0.414	0.42700000000000005	1.101	1.4609999999999999	0.035	0.8340000000000001	0.524	0.491	0.0	0.99	0.7929999999999999	0.5720000000000001	0.8290000000000001	0.89	0.5479999999999999	0.395	1.768	0.763	0.741
1.83825	0.5770000000000001	0.444	0.39399999999999996	0.142	0.982	1.47	0.213	0.81	0.601	0.5660000000000001	0.275	0.9359999999999999	0.8059999999999999	0.618	0.737	0.932	0.462	0.377	1.8219999999999998	0.8420000000000001	0.754
2.005	0.34700000000000003	0.475	0.324	0.271	1.11	1.274	0.01	0.8440000000000001	0.599	0.402	0.207	0.966	0.9009999999999999	0.547	0.873	0.9670000000000001	0.589	0.304	1.919	0.738	0.6829999999999999
2.17169	0.7	0.433	0.414	0.162	1.167	1.395	0.10099999999999999	0.768	0.59	0.425	0.231	0.89	0.7929999999999999	0.638	0.763	0.89	0.48200000000000004	0.395	2.197	0.763	0.741
2.33831	0.433	0.43	0.312	0.159	0.9990000000000001	1.2930000000000001	0.131	0.764	0.5870000000000001	0.389	0.162	1.02	0.89	0.7340000000000001	0.759	0.8540000000000001	0.644	0.49200000000000005	1.959	0.8590000000000001	0.573
2.50495	0.42	0.547	0.429	0.27699999999999997	1.083	1.413	0.115	0.785	0.539	0.34299999999999997	0.213	1.038	0.742	0.685	0.7490000000000001	0.809	0.46299999999999997	0.376	2.197	0.777	0.755
2.67167	0.426	0.424	0.27399999999999997	0.35200000000000004	0.993	1.286	0.125	0.758	0.614	0.382	0.28800000000000003	1.014	0.7190000000000001	0.629	0.752	0.88	0.473	0.28800000000000003	2.177	0.82	0.633
2.83837	0.205	0.631	0.282	0.262	1.2	1.296	0.2	0.8340000000000001	0.623	0.392	0.198	1.023	0.6609999999999999	0.77	0.9279999999999999	0.9890000000000001	0.5479999999999999	0.461	1.9	0.73	0.774
3.00503	0.818	0.42100000000000004	0.304	0.151	1.09	1.249	0.222	0.82	0.611	0.213	0.18600000000000003	1.011	0.815	0.528	0.8140000000000001	0.8759999999999999	0.43799999999999994	0.451	2.171	0.7190000000000001	0.763
3.17165	0.344	0.373	0.321	0.268	1.173	1.4680000000000002	0.139	0.8079999999999999	0.596	0.43200000000000005	0.171	0.963	0.799	0.6759999999999999	0.737	0.9640000000000001	0.48700000000000004	0.467	2.177	0.867	0.581
3.33845	0.46799999999999997	0.402	0.28600000000000003	0.19899999999999998	1.0390000000000001	1.327	0.205	0.7340000000000001	0.6579999999999999	0.358	0.068	0.927	0.632	0.742	0.693	0.9209999999999999	0.52	0.369	2.033	0.735	0.647
3.50508	0.521	0.52	0.304	0.25	1.057	1.249	0.387	0.754	0.578	0.37799999999999995	0.318	1.011	0.65	0.726	0.847	0.975	0.43799999999999994	0.385	1.742	0.818	0.73
3.67175	0.7509999999999999	0.382	0.396	0.27699999999999997	1.182	1.38	0.247	0.785	0.638	0.508	0.213	1.005	0.742	0.7509999999999999	0.782	0.9740000000000001	0.562	0.574	2.296	0.777	0.6890000000000001
3.83847	0.511	0.51	0.39399999999999996	0.24100000000000002	1.081	1.173	0.081	0.909	0.601	0.302	0.209	0.9359999999999999	0.773	0.618	0.8029999999999999	0.932	0.462	0.47600000000000003	2.019	0.8420000000000001	0.82
4.00511	0.58	0.447	0.298	0.244	1.183	1.374	0.183	0.88	0.505	0.37200000000000005	0.41	1.07	0.7759999999999999	0.654	0.708	0.8690000000000001	0.465	0.478	2.224	0.713	0.7240000000000001
4.17182	0.502	0.565	0.48	0.42700000000000005	1.2	1.3619999999999999	0.299	0.768	0.722	0.425	0.231	0.99	0.727	0.638	0.73	0.857	0.5479999999999999	0.461	2.593	0.763	0.774
4.33838	0.44299999999999995	0.373	0.42	0.135	1.008	1.3030000000000002	0.20600000000000002	0.775	0.629	0.531	0.402	0.963	0.7	0.6759999999999999	0.77	0.7979999999999999	0.48700000000000004	0.467	1.88	0.735	0.78
4.50516	0.58	0.447	0.562	0.31	1.249	1.374	0.018000000000000002	0.8140000000000001	0.604	0.405	0.311	1.103	0.7759999999999999	0.654	0.741	1.034	0.531	0.478	2.2569999999999997	0.845	0.823
4.67185	0.502	0.36700000000000005	0.58	0.262	1.002	1.296	0.2	0.768	0.524	0.425	0.231	0.99	0.6609999999999999	0.6709999999999999	0.664	0.857	0.647	0.494	1.867	0.631	0.84
4.83853	0.447	0.475	0.489	0.271	1.077	1.3730000000000002	0.142	0.8109999999999999	0.599	0.534	0.24	1.0979999999999999	0.67	0.679	0.774	0.868	0.6890000000000001	0.47	2.1830000000000003	0.7709999999999999	0.75
5.00508	0.49200000000000005	0.457	0.703	0.253	1.092	1.3519999999999999	0.29	0.758	0.581	0.613	0.156	1.014	0.785	0.728	0.7190000000000001	0.7809999999999999	0.77	0.486	2.342	0.655	0.6659999999999999
5.17185	0.436	0.565	0.514	0.262	1.101	1.197	0.134	0.8340000000000001	0.491	0.59	0.297	0.99	0.826	0.737	0.763	0.9890000000000001	0.845	0.395	1.9	0.664	0.774
5.33851	0.542	0.439	0.718	0.235	1.107	1.369	0.33799999999999997	0.907	0.629	0.828	0.303	1.095	0.799	0.6759999999999999	0.8370000000000001	0.7979999999999999	0.752	0.599	1.78	0.669	0.747
5.50515	0.57	0.49700000000000005	0.742	0.192	1.13	1.298	0.228	0.735	0.521	0.889	0.195	1.02	0.691	0.6	0.767	0.992	0.9740000000000001	0.488	2.064	0.7909999999999999	0.703
5.67178	0.544	0.503	0.748	0.298	1.004	1.338	0.168	0.8079999999999999	0.726	0.963	0.433	1.026	0.6970000000000001	0.7709999999999999	0.775	0.833	0.88	0.494	2.242	0.863	0.61
