	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
0.00501	0.201	0.205	0.228	0.20199999999999999	0.126	0.175	0.078	0.0	0.024	0.126	0.253	0.228	0.127	0.14800000000000002	0.024	0.0	0.022000000000000002	0.099	0.252	0.252	0.249	0.07200000000000001	0.17600000000000002	0.4	0.198	0.205	0.15	0.171	0.14800000000000002	0.17300000000000001	0.14800000000000002	0.0	0.1	0.174	0.11699999999999999	0.16899999999999998	0.12	0.069	0.253
0.17164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.026000000000000002	0.0	0.0	0.0	0.076	0.0	0.0	0.08199999999999999
0.33834	0.191	0.183	0.11	0.059000000000000004	0.34	0.14300000000000002	0.106	0.616	0.27	0.263	0.262	0.059000000000000004	0.289	0.11800000000000001	0.037000000000000005	0.389	0.272	0.115	0.08900000000000001	0.086	0.297	0.018000000000000002	0.037000000000000005	0.405	0.146	0.0	0.268	0.022000000000000002	0.042	0.07	0.068	0.524	0.064	0.013000000000000001	0.055	0.0	0.228	0.10099999999999999	0.0
0.50492	0.254	0.262	0.29600000000000004	0.272	0.401	0.261	0.314	0.598	0.415	0.349	0.34600000000000003	0.244	0.47700000000000004	0.185	0.15	0.47600000000000003	0.29100000000000004	0.28300000000000003	0.254	0.223	0.521	0.036000000000000004	0.149	0.33799999999999997	0.14	0.095	0.332	0.121	0.08199999999999999	0.113	0.135	0.619	0.33399999999999996	0.024	0.139	0.156	0.307	0.256	0.14800000000000002
0.67179	0.315	0.47	0.35200000000000004	0.381	0.45799999999999996	0.35200000000000004	0.366	0.654	0.401	0.485	0.376	0.377	0.483	0.354	0.366	0.5329999999999999	0.358	0.47600000000000003	0.445	0.28	0.642	0.18	0.313	0.473	0.207	0.214	0.446	0.271	0.172	0.18	0.278	0.6579999999999999	0.632	0.136	0.16699999999999998	0.284	0.435	0.436	0.21600000000000003
0.83826	0.326	0.529	0.33399999999999996	0.337	0.441	0.524	0.503	0.742	0.415	0.494	0.41	0.385	0.5720000000000001	0.369	0.37799999999999995	0.46399999999999997	0.34700000000000003	0.516	0.40399999999999997	0.315	0.7390000000000001	0.327	0.376	0.42700000000000005	0.223	0.309	0.45799999999999996	0.369	0.317	0.195	0.292	0.593	0.6729999999999999	0.252	0.217	0.332	0.40299999999999997	0.51	0.311
1.0051	0.289	0.54	0.426	0.43	0.402	0.544	0.541	0.596	0.353	0.562	0.396	0.397	0.506	0.46799999999999997	0.42100000000000004	0.53	0.341	0.535	0.39299999999999996	0.382	0.708	0.45399999999999996	0.47200000000000003	0.466	0.243	0.41	0.42200000000000004	0.447	0.363	0.215	0.445	0.638	0.746	0.26899999999999996	0.22	0.41200000000000003	0.483	0.5379999999999999	0.413
1.17167	0.265	0.593	0.48100000000000004	0.405	0.376	0.602	0.647	0.5429999999999999	0.41	0.563	0.45	0.371	0.48100000000000004	0.5	0.47700000000000004	0.505	0.39899999999999997	0.5660000000000001	0.47600000000000003	0.35700000000000004	0.687	0.514	0.474	0.418	0.275	0.389	0.479	0.455	0.341	0.21899999999999997	0.423	0.536	0.75	0.325	0.204	0.395	0.465	0.44	0.33899999999999997
1.33837	0.298	0.597	0.486	0.43700000000000006	0.354	0.585	0.625	0.601	0.419	0.5429999999999999	0.374	0.376	0.45899999999999996	0.51	0.511	0.51	0.382	0.655	0.376	0.444	0.644	0.498	0.535	0.40299999999999997	0.366	0.45399999999999996	0.513	0.494	0.45799999999999996	0.256	0.48700000000000004	0.598	0.787	0.359	0.273	0.409	0.39799999999999996	0.508	0.45799999999999996
1.50512	0.33399999999999996	0.685	0.413	0.47200000000000003	0.389	0.596	0.606	0.555	0.375	0.659	0.381	0.38299999999999995	0.467	0.602	0.494	0.518	0.366	0.6659999999999999	0.385	0.452	0.6829999999999999	0.59	0.545	0.62	0.324	0.493	0.469	0.48	0.496	0.294	0.47100000000000003	0.527	0.7440000000000001	0.396	0.23399999999999999	0.504	0.35700000000000004	0.494	0.36200000000000004
1.67165	0.276	0.653	0.516	0.413	0.33	0.7	0.627	0.603	0.39799999999999996	0.682	0.43	0.405	0.435	0.653	0.49	0.486	0.36200000000000004	0.6890000000000001	0.435	0.42100000000000004	0.5710000000000001	0.426	0.595	0.41200000000000003	0.32	0.436	0.43799999999999994	0.478	0.384	0.317	0.494	0.55	0.767	0.365	0.287	0.44799999999999995	0.436	0.43799999999999994	0.44
1.83844	0.32299999999999995	0.6459999999999999	0.563	0.46	0.32299999999999995	0.6679999999999999	0.647	0.515	0.392	0.675	0.369	0.506	0.455	0.5660000000000001	0.511	0.479	0.32899999999999996	0.6559999999999999	0.428	0.495	0.593	0.447	0.589	0.308	0.369	0.457	0.431	0.528	0.48700000000000004	0.258	0.516	0.517	0.789	0.386	0.28300000000000003	0.41700000000000004	0.486	0.461	0.40700000000000003
2.0051	0.33899999999999997	0.687	0.44299999999999995	0.47600000000000003	0.365	0.659	0.607	0.61	0.436	0.636	0.38299999999999995	0.385	0.47	0.557	0.5539999999999999	0.521	0.375	0.62	0.47200000000000003	0.456	0.611	0.439	0.632	0.455	0.38799999999999996	0.42200000000000004	0.556	0.494	0.451	0.33	0.48	0.534	0.78	0.402	0.33299999999999996	0.384	0.67	0.428	0.45399999999999996
2.17169	0.278	0.7070000000000001	0.517	0.5770000000000001	0.385	0.79	0.6809999999999999	0.5479999999999999	0.457	0.657	0.43	0.405	0.49	0.579	0.575	0.541	0.396	0.695	0.519	0.42200000000000004	0.633	0.515	0.653	0.731	0.41	0.525	0.5770000000000001	0.516	0.608	0.35200000000000004	0.556	0.5820000000000001	0.7190000000000001	0.505	0.302	0.489	0.693	0.45	0.47600000000000003
2.33837	0.337	0.737	0.494	0.527	0.361	0.66	0.629	0.606	0.435	0.6890000000000001	0.461	0.436	0.439	0.585	0.526	0.573	0.402	0.7559999999999999	0.525	0.37200000000000005	0.612	0.495	0.6859999999999999	0.535	0.389	0.478	0.528	0.47	0.56	0.303	0.508	0.5329999999999999	0.725	0.483	0.257	0.498	0.648	0.45899999999999996	0.565
2.50508	0.264	0.6659999999999999	0.504	0.48200000000000004	0.262	0.6659999999999999	0.667	0.562	0.389	0.67	0.389	0.337	0.368	0.537	0.561	0.501	0.382	0.6809999999999999	0.478	0.408	0.537	0.446	0.5579999999999999	0.601	0.395	0.511	0.48200000000000004	0.474	0.45799999999999996	0.31	0.46	0.541	0.6779999999999999	0.491	0.259	0.392	0.596	0.435	0.461
2.67184	0.366	0.713	0.469	0.502	0.282	0.715	0.687	0.555	0.382	0.691	0.355	0.35700000000000004	0.38799999999999996	0.586	0.528	0.521	0.376	0.73	0.499	0.429	0.5589999999999999	0.46799999999999997	0.579	0.633	0.36200000000000004	0.478	0.503	0.49700000000000005	0.479	0.332	0.563	0.562	0.6990000000000001	0.512	0.31	0.47	0.647	0.513	0.5379999999999999
2.83842	0.276	0.7859999999999999	0.542	0.493	0.301	0.624	0.624	0.573	0.455	0.655	0.428	0.40299999999999997	0.324	0.5760000000000001	0.491	0.539	0.39399999999999996	0.693	0.49	0.392	0.495	0.431	0.597	0.537	0.40700000000000003	0.469	0.493	0.514	0.606	0.349	0.5529999999999999	0.498	0.635	0.503	0.272	0.486	0.636	0.42100000000000004	0.528
3.0051	0.289	0.8	0.583	0.48	0.26	0.718	0.584	0.5329999999999999	0.441	0.6679999999999999	0.387	0.41700000000000004	0.366	0.535	0.505	0.526	0.35200000000000004	0.706	0.503	0.406	0.45299999999999996	0.36200000000000004	0.556	0.462	0.257	0.37200000000000005	0.507	0.47200000000000003	0.428	0.308	0.485	0.484	0.621	0.57	0.284	0.444	0.594	0.405	0.649
3.17186	0.285	0.687	0.579	0.47600000000000003	0.31	0.6859999999999999	0.607	0.529	0.436	0.664	0.38299999999999995	0.41200000000000003	0.38799999999999996	0.557	0.5539999999999999	0.5479999999999999	0.34700000000000003	0.701	0.5529999999999999	0.456	0.47600000000000003	0.439	0.578	0.509	0.38799999999999996	0.449	0.502	0.494	0.505	0.33	0.39799999999999996	0.452	0.616	0.429	0.278	0.466	0.616	0.428	0.59
3.33843	0.249	0.815	0.5429999999999999	0.467	0.275	0.648	0.626	0.494	0.426	0.628	0.456	0.431	0.353	0.519	0.517	0.513	0.337	0.718	0.516	0.42	0.41	0.45399999999999996	0.596	0.45299999999999996	0.295	0.41	0.465	0.45399999999999996	0.494	0.292	0.415	0.442	0.579	0.39299999999999996	0.29100000000000004	0.344	0.494	0.36	0.496
3.50517	0.24600000000000002	0.757	0.486	0.46399999999999997	0.299	0.593	0.65	0.545	0.424	0.652	0.37200000000000005	0.456	0.35	0.545	0.461	0.51	0.335	0.7440000000000001	0.48700000000000004	0.47200000000000003	0.46399999999999997	0.48100000000000004	0.539	0.49200000000000005	0.40299999999999997	0.41	0.491	0.45399999999999996	0.493	0.318	0.386	0.441	0.605	0.47200000000000003	0.23800000000000002	0.426	0.521	0.33399999999999996	0.5770000000000001
