	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
1.67174	0.9570000000000001	0.187	0.243	0.262	0.261	0.287	0.447	0.435	0.131	0.18100000000000002	0.28800000000000003	0.615	0.34	0.433	0.151	0.41	0.168	0.174	0.057	0.172	0.18899999999999997	0.311	0.456	0.529	0.068	0.311	0.285	0.39899999999999997	0.222	0.384	0.38299999999999995	0.168	0.337	0.35100000000000003	0.272	0.295	0.862	0.47200000000000003	0.316	0.379	0.32	0.479	0.276	0.295	0.517
1.83836	0.99	0.242	0.18100000000000002	0.45799999999999996	0.256	0.253	0.531	0.5770000000000001	0.18100000000000002	0.14400000000000002	0.322	0.698	0.309	0.349	0.162	0.385	0.46399999999999997	0.121	0.174	0.22899999999999998	0.359	0.34700000000000003	0.349	0.478	0.122	0.287	0.263	0.4	0.221	0.327	0.38799999999999996	0.287	0.24	0.38299999999999995	0.385	0.294	0.841	0.41700000000000004	0.23	0.273	0.431	0.424	0.191	0.46	0.488
2.005	1.082	0.272	0.20600000000000002	0.573	0.36700000000000005	0.33399999999999996	0.6459999999999999	0.389	0.23800000000000002	0.11199999999999999	0.247	0.8690000000000001	0.308	0.409	0.20600000000000002	0.336	0.259	0.128	0.127	0.316	0.336	0.44299999999999995	0.387	0.515	0.013000000000000001	0.239	0.385	0.461	0.251	0.384	0.452	0.326	0.28800000000000003	0.249	0.33399999999999996	0.268	0.852	0.423	0.203	0.2	0.377	0.456	0.22	0.40299999999999997	0.49
2.17177	1.044	0.287	0.134	0.785	0.493	0.29	0.521	0.449	0.09699999999999999	0.19399999999999998	0.266	0.998	0.35	0.34	0.14300000000000002	0.353	0.282	0.23	0.201	0.41700000000000004	0.268	0.322	0.406	0.618	0.212	0.397	0.292	0.618	0.294	0.371	0.527	0.43	0.312	0.35	0.35	0.255	0.787	0.552	1.851	0.41600000000000004	0.42100000000000004	0.613	0.263	0.445	0.449
2.33832	0.9570000000000001	0.28	0.18	0.8909999999999999	0.511	0.307	0.599	0.551	0.136	0.175	0.237	1.273	0.369	0.36200000000000004	0.258	0.434	0.28800000000000003	0.17	0.171	0.637	0.376	0.519	0.376	0.672	0.16899999999999998	0.33799999999999997	0.43200000000000005	0.5	0.28600000000000003	0.392	0.41200000000000003	0.457	0.233	0.40299999999999997	0.5429999999999999	0.389	1.068	0.575	0.40700000000000003	0.359	0.442	0.58	0.368	0.465	0.442
2.50502	0.7	0.418	0.23399999999999999	1.0859999999999999	0.593	0.361	0.596	0.629	0.215	0.17	0.289	1.411	0.423	0.331	0.19699999999999998	0.45799999999999996	0.311	0.11	0.139	0.662	0.457	0.48700000000000004	0.457	0.64	0.163	0.419	0.4	0.46799999999999997	0.28300000000000003	0.389	0.408	0.312	0.341	0.371	0.314	0.301	1.008	0.544	0.46	0.355	0.439	0.5479999999999999	0.252	0.462	0.467
2.67166	1.024	0.39299999999999996	0.25	1.225	0.633	0.294	0.456	0.65	0.23199999999999998	0.113	0.355	1.493	0.349	0.358	0.22	0.449	0.32299999999999995	0.157	0.068	0.826	0.33899999999999997	0.575	0.355	0.652	0.002	0.35	0.38	0.409	0.315	0.39299999999999996	0.39399999999999996	0.43200000000000005	0.29600000000000004	0.278	0.618	0.276	0.986	0.5660000000000001	0.297	0.306	0.49700000000000005	0.489	0.285	0.387	0.5539999999999999
2.83836	1.053	0.33299999999999996	0.38299999999999995	1.4469999999999998	0.711	0.39799999999999996	0.537	0.534	0.22	0.154	0.245	1.8840000000000001	0.455	0.384	0.114	0.364	0.192	0.128	0.23800000000000002	0.937	0.449	0.41100000000000003	0.469	0.513	0.27399999999999997	0.266	0.439	0.40700000000000003	0.22699999999999998	0.41700000000000004	0.563	0.35100000000000003	0.33399999999999996	0.39	0.308	0.3	0.8490000000000001	0.593	0.657	0.253	0.381	0.48700000000000004	0.309	0.409	0.578
3.00504	0.76	0.506	0.23600000000000002	1.653	0.7929999999999999	0.392	0.599	0.946	0.33399999999999996	0.175	0.293	2.063	0.51	0.447	0.258	0.349	0.457	0.198	0.171	1.003	0.6579999999999999	0.491	0.489	0.672	0.31	0.33799999999999997	0.43200000000000005	0.556	0.314	0.307	0.496	0.373	0.34600000000000003	0.45899999999999996	0.5710000000000001	0.304	1.012	0.632	0.294	0.415	0.527	0.636	0.34	0.5489999999999999	0.527
3.17182	1.081	0.48700000000000004	0.244	2.029	0.8859999999999999	0.371	0.524	0.8809999999999999	0.18100000000000002	0.247	0.389	2.299	0.462	0.428	0.271	0.38799999999999996	0.302	0.265	0.23800000000000002	1.324	0.752	0.531	0.444	0.6829999999999999	0.10300000000000001	0.377	0.613	0.5660000000000001	0.32299999999999995	0.401	0.564	0.384	0.36	0.498	0.637	0.314	0.996	0.642	0.6409999999999999	0.342	0.451	0.59	0.349	0.53	0.48
3.33851	1.018	0.449	0.20199999999999999	2.247	1.185	0.386	0.57	0.638	0.272	0.222	0.18600000000000003	2.517	0.5920000000000001	0.391	0.326	0.409	0.359	0.11599999999999999	0.11900000000000001	1.4569999999999999	0.66	0.725	0.523	0.706	0.139	0.314	0.523	0.529	0.483	0.503	0.529	0.46399999999999997	0.21899999999999997	0.35	0.516	0.38799999999999996	1.0190000000000001	0.606	0.23600000000000002	0.365	0.5539999999999999	0.7509999999999999	0.36700000000000005	0.49	0.639
