	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
4.00523	0.271	0.075	0.275	0.272	0.204	0.97	0.35100000000000003	0.258	3.53	0.106	0.381	0.24	0.11599999999999999	0.004	0.5820000000000001	0.111	0.45799999999999996	0.06	0.125	0.08900000000000001	0.22	0.36	0.285	0.33899999999999997	1.681	0.426	0.297	0.39899999999999997	0.205	0.483	0.742	0.006	0.41200000000000003
4.17205	0.212	0.147	0.237	0.369	0.327	0.909	0.395	0.303	3.565	0.098	0.344	0.257	0.105	0.10300000000000001	0.522	0.16	0.21600000000000003	0.13699999999999998	0.171	0.133	0.318	0.24600000000000002	0.11599999999999999	0.395	1.682	0.45299999999999996	0.319	0.502	0.306	0.505	0.76	0.106	0.431
4.33858	0.265	0.07	0.18899999999999997	0.295	0.2	1.045	0.536	0.253	3.7089999999999996	0.235	0.24100000000000002	0.18100000000000002	0.11199999999999999	0.08	0.603	0.024	0.342	0.18899999999999997	0.147	0.084	0.324	0.3	0.009000000000000001	0.41200000000000003	1.673	0.391	0.345	0.366	0.2	0.5579999999999999	0.6559999999999999	0.0	0.406
4.50532	0.262	0.067	0.214	0.266	0.305	1.123	0.425	0.196	3.542	0.152	0.374	0.314	0.16399999999999998	0.212	0.6	0.047	0.446	0.213	0.198	0.027000000000000003	0.294	0.297	0.114	0.435	1.885	0.414	0.341	0.389	0.22399999999999998	0.501	0.7340000000000001	0.079	0.45799999999999996
4.67205	0.235	0.067	0.214	0.266	0.19699999999999998	1.042	0.425	0.27699999999999997	3.7039999999999997	0.098	0.293	0.341	0.191	0.077	0.6	0.129	0.311	0.213	0.063	0.10800000000000001	0.159	0.27	0.195	0.408	1.75	0.306	0.423	0.281	0.14300000000000002	0.636	0.7609999999999999	0.133	0.485
4.83862	0.254	0.13699999999999998	0.282	0.27899999999999997	0.237	0.897	0.467	0.212	3.707	0.195	0.335	0.193	0.12300000000000001	0.174	0.6459999999999999	0.147	0.2	0.28600000000000003	0.16	0.015	0.309	0.28800000000000003	0.132	0.43200000000000005	1.828	0.43799999999999994	0.441	0.3	0.295	0.601	0.669	0.068	0.474
5.00545	0.228	0.062	0.29	0.261	0.22	1.036	0.501	0.272	3.721	0.092	0.23399999999999999	0.228	0.105	0.207	0.486	0.095	0.222	0.098	0.057999999999999996	0.157	0.316	0.264	0.162	0.426	1.8769999999999998	0.379	0.335	0.38299999999999995	0.218	0.5760000000000001	0.648	0.127	0.452
5.17202	0.34299999999999997	0.067	0.268	0.239	0.19699999999999998	1.0959999999999999	0.506	0.25	3.785	0.179	0.293	0.233	0.16399999999999998	0.077	0.6	0.02	0.311	0.024	0.198	0.0	0.375	0.297	0.168	0.354	1.885	0.414	0.368	0.389	0.22399999999999998	0.555	0.68	0.052000000000000005	0.40399999999999997
5.3387	0.29	0.09	0.397	0.258	0.163	0.987	0.474	0.301	3.7760000000000002	0.257	0.261	0.11900000000000001	0.022000000000000002	0.154	0.601	0.13	0.34700000000000003	0.16	0.141	0.049	0.262	0.37799999999999995	0.141	0.391	2.003	0.42200000000000004	0.37	0.39	0.249	0.529	0.757	0.184	0.51
5.50536	0.327	0.071	0.32299999999999995	0.265	0.16899999999999998	0.996	0.562	0.22699999999999998	3.7910000000000004	0.10300000000000001	0.268	0.126	0.055999999999999994	0.18899999999999997	0.556	0.166	0.359	0.14300000000000002	0.095	0.057	0.242	0.306	0.204	0.539	1.96	0.353	0.379	0.42700000000000005	0.231	0.5920000000000001	0.711	0.084	0.491
