	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
3.17179	0.506	0.16699999999999998	0.17300000000000001	0.217	0.258	0.21899999999999997	0.217	0.474	0.278	0.128	0.09300000000000001	0.252	0.33399999999999996	0.249	0.392	0.444	0.373	0.151	0.132	0.327	0.165	0.252	0.25	0.418
3.3385	0.524	0.128	0.105	0.235	0.19	0.23399999999999999	0.40299999999999997	0.319	0.24100000000000002	0.145	0.195	0.212	0.322	0.23600000000000002	0.32299999999999995	0.34700000000000003	0.34	0.14	0.149	0.259	0.152	0.182	0.153	0.377
3.50518	0.499	0.16	0.222	0.324	0.25	0.209	0.321	0.40700000000000003	0.301	0.063	0.113	0.215	0.24	0.183	0.327	0.35	0.345	0.14400000000000002	0.152	0.263	0.184	0.327	0.242	0.38
3.67189	0.43200000000000005	0.121	0.183	0.171	0.183	0.2	0.34	0.285	0.233	0.081	0.075	0.29	0.287	0.315	0.373	0.34	0.38799999999999996	0.077	0.142	0.253	0.08900000000000001	0.261	0.26	0.371
3.83841	0.379	0.18100000000000002	0.243	0.203	0.271	0.228	0.284	0.254	0.182	0.168	0.19	0.17800000000000002	0.344	0.145	0.34700000000000003	0.45399999999999996	0.261	0.10800000000000001	0.115	0.198	0.11699999999999999	0.259	0.29	0.456
4.00515	0.475	0.16399999999999998	0.168	0.271	0.281	0.35100000000000003	0.35	0.32	0.251	0.092	0.115	0.245	0.24	0.182	0.35700000000000004	0.379	0.218	0.033	0.126	0.209	0.098	0.268	0.187	0.465
4.17187	0.34	0.057	0.147	0.16399999999999998	0.204	0.218	0.359	1.126	0.228	0.073	0.12300000000000001	0.168	0.249	0.135	0.42200000000000004	0.359	0.331	0.154	0.162	0.188	0.165	0.27899999999999997	0.11	0.446
4.33862	0.48200000000000004	0.114	0.23199999999999998	0.136	0.231	0.271	0.385	0.41100000000000003	0.258	0.184	0.207	0.223	0.275	0.16	0.42100000000000004	0.385	0.37	0.126	0.18899999999999997	0.272	0.133	0.217	0.222	0.47200000000000003
4.50524	0.425	0.057	0.09	0.10800000000000001	0.11800000000000001	0.161	0.359	0.331	0.14300000000000002	0.10099999999999999	0.095	0.168	0.306	0.16399999999999998	0.42200000000000004	0.473	0.331	0.098	0.105	0.10300000000000001	0.079	0.25	0.11	0.39
4.67184	0.386	0.10300000000000001	0.16399999999999998	0.267	0.135	0.262	0.34700000000000003	0.317	0.247	0.08900000000000001	0.225	0.213	0.237	0.20800000000000002	0.496	0.461	0.213	0.03	0.179	0.29	0.12300000000000001	0.20800000000000002	0.297	0.405
4.83861	0.532	0.16399999999999998	0.139	0.18600000000000003	0.139	0.265	0.265	0.348	0.19399999999999998	0.092	0.115	0.188	0.24	0.09699999999999999	0.442	0.46399999999999997	0.275	0.09	0.126	0.18	0.183	0.268	0.215	0.494
5.00515	0.32899999999999996	0.132	0.08	0.069	0.19399999999999998	0.209	0.435	0.20800000000000002	0.16	0.063	0.0	0.187	0.24	0.126	0.327	0.435	0.23199999999999998	0.002	0.067	0.149	0.07	0.185	0.27	0.38
5.1719	0.375	0.064	0.126	0.115	0.21	0.31	0.337	0.308	0.09300000000000001	0.079	0.10099999999999999	0.175	0.256	0.17	0.429	0.48	0.369	0.105	0.11199999999999999	0.11	0.114	0.256	0.20199999999999999	0.311
5.33858	0.39	0.221	0.168	0.18600000000000003	0.195	0.265	0.379	0.263	0.19399999999999998	0.121	0.22899999999999998	0.188	0.268	0.21100000000000002	0.442	0.40700000000000003	0.275	0.09	0.126	0.18	0.127	0.268	0.215	0.38
5.50518	0.425	0.142	0.204	0.25	0.11800000000000001	0.161	0.359	0.331	0.14300000000000002	0.158	0.095	0.111	0.249	0.135	0.479	0.38799999999999996	0.161	0.012	0.077	0.10300000000000001	0.10800000000000001	0.27899999999999997	0.195	0.361
5.67188	0.301	0.075	0.107	0.04	0.05	0.319	0.29	0.317	0.162	0.08900000000000001	0.14	0.1	0.095	0.094	0.439	0.34700000000000003	0.299	0.087	0.179	0.177	0.095	0.20800000000000002	0.268	0.405
5.83865	0.4	0.032	0.121	0.111	0.29100000000000004	0.18899999999999997	0.445	0.272	0.092	0.102	0.153	0.055999999999999994	0.193	0.078	0.424	0.389	0.289	0.129	0.136	0.134	0.051	0.191	0.225	0.418
6.00526	0.336	0.196	0.057	0.132	0.226	0.265	0.408	0.43200000000000005	0.14300000000000002	0.122	0.145	0.133	0.354	0.21	0.444	0.408	0.318	0.15	0.156	0.21100000000000002	0.212	0.209	0.16	0.35200000000000004
6.17203	0.336	0.196	0.171	0.218	0.16899999999999998	0.179	0.322	0.375	0.114	0.065	0.002	0.161	0.26899999999999996	0.125	0.387	0.43700000000000006	0.17600000000000002	0.065	0.07	0.154	0.069	0.209	0.16	0.494
6.3387	0.479	0.053	0.142	0.161	0.226	0.265	0.408	0.34700000000000003	0.114	0.036000000000000004	0.059000000000000004	0.161	0.212	0.125	0.444	0.408	0.233	0.122	0.127	0.154	0.155	0.209	0.217	0.32299999999999995
6.50529	0.315	0.061	0.17800000000000002	0.168	0.261	0.214	0.528	0.29600000000000004	0.065	0.07200000000000001	0.237	0.14	0.275	0.046	0.366	0.44299999999999995	0.157	0.043	0.134	0.161	0.161	0.243	0.252	0.444
6.67195	0.369	0.257	0.20199999999999999	0.107	0.027999999999999997	0.122	0.322	0.316	0.092	0.066	0.08900000000000001	0.106	0.155	0.039	0.418	0.32299999999999995	0.21899999999999997	0.01	0.10099999999999999	0.157	0.04	0.235	0.19	0.38
6.83868	0.429	0.146	0.12	0.111	0.174	0.125	0.44	0.23399999999999999	0.096	0.155	0.121	0.109	0.215	0.127	0.42100000000000004	0.441	0.053	0.1	0.075	0.16	0.10099999999999999	0.18100000000000002	0.251	0.38299999999999995
7.00534	0.29	0.179	0.151	0.057	0.319	0.23800000000000002	0.212	0.26	0.21600000000000003	0.099	0.152	0.19699999999999998	0.244	0.155	0.423	0.441	0.268	0.131	0.106	0.134	0.18600000000000003	0.179	0.195	0.469
7.17211	0.45399999999999996	0.086	0.23	0.165	0.114	0.23600000000000002	0.43700000000000006	0.28800000000000003	0.23399999999999999	0.18	0.11800000000000001	0.163	0.212	0.124	0.418	0.35200000000000004	0.276	0.153	0.10099999999999999	0.242	0.09699999999999999	0.149	0.247	0.266
7.33879	0.447	0.078	0.19399999999999998	0.129	0.134	0.14	0.428	0.248	0.115	0.114	0.109	0.212	0.26	0.14300000000000002	0.524	0.428	0.33399999999999996	0.08900000000000001	0.121	0.177	0.17300000000000001	0.253	0.182	0.456
7.50547	0.44	0.18600000000000003	0.13	0.179	0.098	0.077	0.278	0.32799999999999996	0.078	0.079	0.10300000000000001	0.005	0.168	0.08	0.40299999999999997	0.365	0.29600000000000004	0.024	0.0	0.17	0.081	0.19	0.204	0.39299999999999996
7.6721	0.36200000000000004	0.107	0.109	0.1	0.22	0.16899999999999998	0.285	0.391	0.2	0.028999999999999998	0.138	0.126	0.26	0.14300000000000002	0.524	0.371	0.248	0.11699999999999999	0.207	0.12	0.11599999999999999	0.253	0.29600000000000004	0.485
7.83882	0.35100000000000003	0.068	0.26899999999999996	0.147	0.17800000000000002	0.12300000000000001	0.326	0.373	0.222	0.129	0.153	0.22699999999999998	0.301	0.212	0.48200000000000004	0.47100000000000003	0.28300000000000003	0.134	0.136	0.165	0.129	0.23399999999999999	0.312	0.41200000000000003
8.0054	0.304	0.193	0.13699999999999998	0.1	0.191	0.083	0.428	0.248	0.0	0.114	0.195	0.09699999999999999	0.174	0.0	0.41	0.371	0.163	0.11699999999999999	0.17800000000000002	0.092	0.11599999999999999	0.16699999999999998	0.153	0.456
8.17209	0.48	0.08199999999999999	0.141	0.047	0.19399999999999998	0.172	0.374	0.309	0.033	0.08900000000000001	0.19899999999999998	0.10099999999999999	0.32	0.06	0.413	0.375	0.16699999999999998	0.092	0.18100000000000002	0.095	0.205	0.17	0.185	0.317
8.33879	0.33	0.10400000000000001	0.162	0.125	0.157	0.105	0.479	0.326	0.142	0.109	0.21899999999999997	0.207	0.253	0.10800000000000001	0.462	0.451	0.168	0.113	0.11599999999999999	0.057999999999999996	0.196	0.187	0.205	0.336
8.50547	0.39	0.107	0.252	0.1	0.134	0.14	0.342	0.33399999999999996	0.086	0.114	0.138	0.212	0.231	0.14300000000000002	0.495	0.428	0.163	0.031	0.092	0.12	0.259	0.195	0.182	0.456
8.6723	0.36200000000000004	0.16399999999999998	0.051	0.043	0.105	0.055	0.456	0.33399999999999996	0.086	0.172	0.138	0.212	0.26	0.057	0.524	0.457	0.077	0.08900000000000001	0.092	0.20600000000000002	0.11599999999999999	0.11	0.21	0.456
8.83889	0.354	0.043	0.188	0.09300000000000001	0.07200000000000001	0.195	0.424	0.304	0.134	0.22399999999999998	0.076	0.17800000000000002	0.285	0.11199999999999999	0.49	0.45299999999999996	0.257	0.054000000000000006	0.14400000000000002	0.171	0.142	0.223	0.23399999999999999	0.425
9.00557	0.42200000000000004	0.11	0.085	0.047	0.14	0.122	0.408	0.375	0.057	0.065	0.23	0.076	0.212	0.039	0.53	0.38	0.261	0.036000000000000004	0.07	0.126	0.155	0.209	0.217	0.35200000000000004
9.17211	0.34700000000000003	0.121	0.153	0.14300000000000002	0.179	0.132	0.41700000000000004	0.27	0.126	0.16	0.155	0.14300000000000002	0.364	0.106	0.45399999999999996	0.503	0.247	0.132	0.13699999999999998	0.136	0.136	0.217	0.17	0.361
9.3389	0.294	0.096	0.157	0.033	0.07	0.025	0.309	0.363	0.042	0.109	0.131	0.14800000000000002	0.341	0.084	0.45899999999999996	0.36700000000000005	0.157	0.193	0.114	0.19699999999999998	0.114	0.14	0.23199999999999998	0.396
9.50556	0.433	0.15	0.21	0.086	0.179	0.217	0.474	0.299	0.126	0.075	0.098	0.0	0.221	0.106	0.483	0.418	0.19	0.047	0.13699999999999998	0.16399999999999998	0.079	0.217	0.255	0.418
9.67233	0.429	0.032	0.092	0.168	0.261	0.214	0.47100000000000003	0.29600000000000004	0.065	0.129	0.152	0.083	0.304	0.188	0.451	0.386	0.243	0.07200000000000001	0.163	0.076	0.161	0.32899999999999996	0.22399999999999998	0.444
9.83895	0.415	0.132	0.163	0.068	0.10300000000000001	0.11199999999999999	0.256	0.222	0.08	0.142	0.165	0.18100000000000002	0.28800000000000003	0.115	0.379	0.513	0.205	0.086	0.09	0.061	0.145	0.16899999999999998	0.237	0.456
10.00556	0.326	0.214	0.102	0.09300000000000001	0.18600000000000003	0.109	0.33799999999999997	0.447	0.048	0.138	0.105	0.17800000000000002	0.19899999999999998	0.11199999999999999	0.49	0.424	0.172	0.054000000000000006	0.14400000000000002	0.0	0.085	0.166	0.177	0.425
10.17225	0.42200000000000004	0.139	0.084	0.161	0.11	0.147	0.23399999999999999	0.285	0.059000000000000004	0.063	0.172	0.07400000000000001	0.294	0.15	0.5	0.406	0.1	0.064	0.183	0.096	0.18	0.175	0.187	0.349
10.33889	0.287	0.175	0.177	0.111	0.11699999999999999	0.068	0.44	0.23399999999999999	0.01	0.098	0.09300000000000001	0.081	0.215	0.127	0.42100000000000004	0.526	0.11	0.1	0.10400000000000001	0.07400000000000001	0.10099999999999999	0.18100000000000002	0.336	0.441
10.5056	0.272	0.217	0.02	0.068	0.10300000000000001	0.055	0.313	0.364	0.223	0.142	0.10800000000000001	0.067	0.231	0.115	0.408	0.342	0.262	0.086	0.09	0.08900000000000001	0.145	0.16899999999999998	0.237	0.371
