	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
15.67264	0.369	0.22899999999999998	0.315	0.165	0.33799999999999997	0.225	0.5720000000000001	0.38799999999999996	0.098	0.23199999999999998	0.256	0.1	0.461	0.486	0.672	0.631	0.336	0.23800000000000002	0.153	0.096	0.40299999999999997	0.478	0.616	0.428
15.8392	0.47700000000000004	0.193	0.221	0.272	0.215	0.301	0.36200000000000004	0.32	0.17800000000000002	0.252	0.276	0.034	0.423	0.44799999999999995	0.606	0.565	0.336	0.17300000000000001	0.11599999999999999	0.08800000000000001	0.364	0.41	0.637	0.562
16.00598	0.491	0.20800000000000002	0.20600000000000002	0.201	0.373	0.4	0.634	0.389	0.19399999999999998	0.35100000000000003	0.29	0.191	0.522	0.461	0.6779999999999999	0.722	0.35600000000000004	0.13	0.273	0.217	0.435	0.537	0.794	0.575
16.17257	0.469	0.18600000000000003	0.387	0.35	0.384	0.305	0.535	0.47100000000000003	0.193	0.165	0.303	0.205	0.45299999999999996	0.451	0.603	0.565	0.21	0.196	0.2	0.113	0.45299999999999996	0.447	0.8029999999999999	0.45
16.33931	0.41100000000000003	0.242	0.217	0.321	0.35700000000000004	0.309	0.48100000000000004	0.561	0.21899999999999997	0.22399999999999998	0.247	0.235	0.42700000000000005	0.511	0.6609999999999999	0.624	0.428	0.168	0.14400000000000002	0.171	0.484	0.537	0.69	0.425
16.50595	0.511	0.342	0.20199999999999999	0.27899999999999997	0.37	0.46399999999999997	0.551	0.45899999999999996	0.092	0.237	0.34600000000000003	0.249	0.526	0.581	0.675	0.637	0.36200000000000004	0.096	0.158	0.157	0.49700000000000005	0.435	0.875	0.43700000000000006
16.67274	0.529	0.24600000000000002	0.191	0.239	0.474	0.284	0.598	0.45	0.223	0.313	0.336	0.29600000000000004	0.488	0.514	0.835	0.684	0.262	0.228	0.14800000000000002	0.175	0.516	0.511	0.922	0.542
16.83934	0.54	0.228	0.20199999999999999	0.25	0.428	0.321	0.551	0.402	0.177	0.266	0.34600000000000003	0.249	0.526	0.609	0.846	0.6940000000000001	0.21899999999999997	0.153	0.243	0.271	0.583	0.606	0.875	0.58
17.00598	0.5720000000000001	0.23199999999999998	0.263	0.254	0.518	0.442	0.6709999999999999	0.524	0.20800000000000002	0.385	0.237	0.254	0.6459999999999999	0.644	0.708	0.8420000000000001	0.414	0.129	0.134	0.304	0.56	0.585	0.8220000000000001	0.5579999999999999
17.17279	0.564	0.33799999999999997	0.285	0.303	0.425	0.379	0.579	0.461	0.2	0.293	0.259	0.218	0.639	0.723	0.701	0.664	0.34700000000000003	0.15	0.127	0.154	0.49700000000000005	0.579	0.929	0.608
17.33947	0.49	0.349	0.21	0.34299999999999997	0.55	0.36	0.617	0.441	0.154	0.303	0.26899999999999996	0.228	0.649	0.733	0.74	0.674	0.447	0.218	0.13699999999999998	0.136	0.677	0.617	0.94	0.618
17.50603	0.551	0.29600000000000004	0.24100000000000002	0.461	0.6659999999999999	0.38799999999999996	0.532	0.639	0.18899999999999997	0.276	0.299	0.287	0.6779999999999999	0.762	0.742	0.818	0.319	0.192	0.196	0.16699999999999998	0.8490000000000001	0.7290000000000001	1.028	0.647
17.67271	0.504	0.192	0.253	0.385	0.45	0.376	0.40399999999999997	0.685	0.282	0.233	0.312	0.243	0.664	0.8340000000000001	0.6970000000000001	0.69	0.257	0.147	0.23800000000000002	0.23600000000000002	0.9209999999999999	0.69	1.011	0.7190000000000001
17.83941	0.43700000000000006	0.239	0.24100000000000002	0.34700000000000003	0.466	0.331	0.503	0.5539999999999999	0.332	0.36200000000000004	0.35600000000000004	0.17300000000000001	0.7929999999999999	0.8759999999999999	0.6559999999999999	0.8759999999999999	0.377	0.192	0.168	0.253	0.935	0.701	1.228	0.59
18.00619	0.504	0.221	0.281	0.414	0.593	0.632	0.49	0.515	0.225	0.40299999999999997	0.39799999999999996	0.243	0.75	0.8909999999999999	0.9540000000000001	0.861	0.314	0.147	0.152	0.20800000000000002	0.978	0.861	1.182	0.605
18.17273	0.525	0.32799999999999996	0.359	0.521	0.785	0.366	0.595	0.561	0.47600000000000003	0.253	0.247	0.349	0.8270000000000001	1.024	0.9179999999999999	0.71	0.457	0.168	0.14400000000000002	0.171	1.112	0.879	1.26	0.653
18.33944	0.575	0.349	0.35200000000000004	0.428	0.521	0.38799999999999996	0.588	0.698	0.126	0.24600000000000002	0.326	0.228	0.7340000000000001	1.075	0.74	0.8740000000000001	0.33299999999999996	0.132	0.166	0.25	1.162	0.93	1.196	0.618
18.50608	0.46799999999999997	0.185	0.445	0.49200000000000005	0.6709999999999999	0.455	0.597	0.622	0.302	0.311	0.306	0.265	0.8	1.169	0.7759999999999999	0.825	0.389	0.31	0.231	0.22899999999999998	1.3130000000000002	0.912	1.26	0.684
18.67278	0.518	0.235	0.18100000000000002	0.514	0.6920000000000001	0.531	0.7020000000000001	0.612	0.154	0.38799999999999996	0.49700000000000005	0.342	0.848	1.1320000000000001	0.882	0.7879999999999999	0.33299999999999996	0.161	0.166	0.222	1.504	1.016	1.453	0.703
18.83949	0.5710000000000001	0.374	0.17800000000000002	0.48100000000000004	0.775	0.531	0.73	0.784	0.29100000000000004	0.188	0.239	0.397	0.904	1.273	0.7090000000000001	0.815	0.40299999999999997	0.129	0.107	0.191	1.587	1.016	1.42	0.845
19.00629	0.55	0.324	0.327	0.46	0.867	0.594	0.8220000000000001	0.619	0.213	0.365	0.245	0.319	0.9670000000000001	1.365	0.772	0.9359999999999999	0.413	0.136	0.19899999999999998	0.226	1.7930000000000001	1.1079999999999999	1.456	0.795
19.17273	0.65	0.253	0.37	0.674	0.853	0.635	0.7490000000000001	0.631	0.228	0.23600000000000002	0.316	0.503	1.1520000000000001	1.521	0.872	1.035	0.34700000000000003	0.207	0.298	0.21100000000000002	2.12	1.206	1.556	0.893
19.33954	0.593	0.22399999999999998	0.455	0.645	0.853	0.607	0.522	0.688	0.2	0.321	0.344	0.418	1.18	1.6059999999999999	0.9	1.035	0.34700000000000003	0.23600000000000002	0.24100000000000002	0.297	2.291	1.206	1.6130000000000002	0.978
19.50616	0.5720000000000001	0.317	0.292	0.71	0.888	0.642	0.7559999999999999	0.723	0.23600000000000002	0.3	0.237	0.425	1.159	1.6130000000000002	0.879	1.1840000000000002	0.499	0.157	0.163	0.247	2.555	1.2690000000000001	1.82	0.8140000000000001
19.6729	0.564	0.253	0.455	0.674	0.966	0.521	0.6920000000000001	0.7170000000000001	0.2	0.37799999999999995	0.344	0.503	1.351	1.777	0.7859999999999999	0.9490000000000001	0.40399999999999997	0.207	0.24100000000000002	0.325	2.89	1.348	1.7269999999999999	0.893
19.83956	0.529	0.36	0.391	0.7809999999999999	1.187	0.654	0.7979999999999999	0.9059999999999999	0.223	0.39799999999999996	0.42200000000000004	0.381	1.3719999999999999	1.969	0.978	1.255	0.433	0.14300000000000002	0.319	0.34600000000000003	3.2260000000000004	1.4809999999999999	1.891	0.799
20.00633	0.486	0.34600000000000003	0.263	0.795	1.23	0.67	0.8420000000000001	0.8370000000000001	0.293	0.3	0.266	0.539	1.3869999999999998	2.155	0.907	1.327	0.414	0.157	0.134	0.389	3.5239999999999996	1.469	1.962	0.871
20.17292	0.615	0.36	0.363	0.895	1.33	0.74	0.769	0.8490000000000001	0.251	0.39799999999999996	0.365	0.723	1.571	2.169	1.0070000000000001	1.255	0.29	0.257	0.17600000000000002	0.40299999999999997	3.9960000000000004	1.652	1.9769999999999999	0.998
20.33968	0.575	0.235	0.295	0.856	1.433	0.645	0.759	0.897	0.41100000000000003	0.331	0.41100000000000003	0.456	1.818	2.329	1.053	1.33	0.361	0.24600000000000002	0.166	0.42100000000000004	4.383	1.7280000000000002	2.137	0.8740000000000001
20.50624	0.525	0.442	0.359	0.9490000000000001	1.6969999999999998	0.9079999999999999	0.794	0.9890000000000001	0.305	0.395	0.418	0.72	2.053	2.5069999999999997	1.1740000000000002	1.337	0.428	0.253	0.23	0.485	4.933	1.82	2.059	1.052
20.67292	0.6679999999999999	0.413	0.302	1.034	1.868	0.9079999999999999	0.794	0.903	0.248	0.33799999999999997	0.33299999999999996	0.634	2.053	2.6210000000000004	1.089	1.479	0.371	0.225	0.258	0.428	5.475	1.9340000000000002	2.344	1.081
20.83957	0.636	0.239	0.469	0.975	1.837	0.845	0.903	0.925	0.332	0.276	0.556	0.659	2.278	2.7039999999999997	1.085	1.5319999999999998	0.377	0.192	0.196	0.5379999999999999	5.99	2.129	2.428	1.075
21.00627	0.662	0.293	0.43700000000000006	1.087	2.207	0.953	0.898	1.061	0.445	0.35700000000000004	0.237	0.769	2.475	2.815	1.138	1.528	0.525	0.217	0.27699999999999997	0.47700000000000004	6.478	2.066	2.569	1.0979999999999999
21.17307	0.799	0.315	0.401	1.169	2.3169999999999997	1.028	0.8590000000000001	1.105	0.327	0.43200000000000005	0.428	0.789	2.698	3.096	1.102	1.692	0.42200000000000004	0.324	0.239	0.613	7.257999999999999	2.342	2.767	1.145
21.33961	0.674	0.33299999999999996	0.39	1.215	2.5639999999999996	1.018	0.8490000000000001	1.153	0.344	0.336	0.361	0.8640000000000001	2.945	3.315	1.235	1.739	0.493	0.22699999999999998	0.172	0.602	7.932	2.447	2.698	1.3359999999999999
21.50636	0.605	0.293	0.294	1.49	2.667	1.0659999999999998	1.011	1.229	0.304	0.326	0.494	0.882	3.22	3.332	1.253	1.986	0.45	0.217	0.247	0.591	8.634	2.609	2.7439999999999998	1.297
21.67308	0.63	0.289	0.348	1.484	3.175	1.236	1.095	1.229	0.355	0.29600000000000004	0.377	0.9940000000000001	3.3289999999999997	3.555	1.192	1.8969999999999998	0.406	0.185	0.217	0.645	9.162	2.721	3.08	1.4669999999999999
21.83972	0.7440000000000001	0.204	0.319	1.484	3.4610000000000003	1.3219999999999998	1.1520000000000001	1.3719999999999999	0.584	0.439	0.377	0.9079999999999999	3.701	4.013	1.249	1.982	0.49200000000000005	0.213	0.217	0.731	9.905	2.806	2.937	1.4669999999999999
22.00629	0.608	0.268	0.384	1.775	3.694	1.33	0.9890000000000001	1.3530000000000002	0.41700000000000004	0.447	0.385	1.058	4.048	3.989	1.37	2.161	0.377	0.249	0.168	0.852	10.902000000000001	3.071	3.313	1.618
22.17305	0.79	0.364	0.48	1.786	4.249	1.483	0.799	1.42	0.45799999999999996	0.34299999999999997	0.395	1.0979999999999999	4.4030000000000005	4.058	1.295	2.229	0.505	0.289	0.17800000000000002	0.72	11.462	3.425	3.325	1.5419999999999998
22.33975	0.823	0.539	0.512	2.048	4.482	1.515	1.002	1.681	0.462	0.547	0.456	1.158	4.779	4.662	1.328	2.5180000000000002	0.48200000000000004	0.20600000000000002	0.267	0.867	12.382	3.457	3.358	1.7169999999999999
22.50639	0.684	0.34299999999999997	0.43	2.112	5.007	1.517	1.119	1.5090000000000001	0.41100000000000003	0.405	0.48700000000000004	1.19	5.16	4.613	1.36	2.4659999999999997	0.5539999999999999	0.23800000000000002	0.24100000000000002	0.899	13.75	3.661	3.5380000000000003	1.749
22.67303	0.708	0.48200000000000004	0.341	2.505	5.3389999999999995	1.601	1.203	1.766	0.519	0.547	0.484	1.358	5.751	4.891	1.585	2.747	0.653	0.17800000000000002	0.21	0.981	14.610999999999999	3.886	3.701	1.9169999999999998
22.83968	0.765	0.424	0.37	2.758	5.903	1.7169999999999999	1.1179999999999999	1.883	0.516	0.519	0.514	1.444	5.8870000000000005	5.115	1.442	2.7460000000000004	0.643	0.264	0.268	1.0090000000000001	15.932	4.199	3.668	1.975
23.00643	0.6509999999999999	0.568	0.512	2.7910000000000004	6.311	1.7730000000000001	1.06	1.909	0.462	0.547	0.39899999999999997	1.558	6.351	5.205	1.585	2.861	0.51	0.20600000000000002	0.267	1.124	16.698	4.4	3.787	2.146
23.17309	0.88	0.368	0.255	3.048	6.997000000000001	1.944	1.203	1.9380000000000002	0.462	0.34600000000000003	0.37	1.558	6.808	5.577000000000001	1.413	3.033	0.653	0.264	0.21	1.21	18.156	4.6	4.13	2.175
23.33972	0.905	0.364	0.48	3.33	7.707000000000001	2.055	1.1420000000000001	2.02	0.629	0.457	0.452	1.6119999999999999	7.404	5.687	1.6380000000000001	3.115	0.563	0.11699999999999999	0.207	1.235	19.92	4.654	4.125	2.485
23.50651	0.775	0.349	0.35200000000000004	3.735	7.819	2.156	1.244	2.351	0.46799999999999997	0.474	0.49700000000000005	1.768	7.861000000000001	6.12	1.595	3.4960000000000004	0.532	0.218	0.251	1.3330000000000002	21.287	5.064	4.189	2.471
23.67316	0.843	0.446	0.562	4.062	8.547	2.28	1.226	2.333	0.508	0.42700000000000005	0.45	2.0069999999999997	8.36	6.162000000000001	1.6059999999999999	3.537	0.547	0.314	0.262	1.3730000000000002	22.793000000000003	5.417999999999999	4.287	2.738
23.83993	0.846	0.591	0.452	4.287	9.08	2.426	1.145	2.594	0.595	0.66	0.39799999999999996	2.18	8.981	6.587000000000001	1.58	3.623	0.598	0.204	0.23800000000000002	1.6030000000000002	24.675	5.617000000000001	4.428999999999999	2.883
24.0065	0.9059999999999999	0.395	0.455	4.776	9.684	2.6010000000000004	1.319	2.597	0.57	0.40700000000000003	0.515	2.44	9.527000000000001	6.478	1.669	3.855	0.603	0.406	0.24100000000000002	1.636	26.278000000000002	5.877999999999999	4.746	2.9160000000000004
24.17316	0.902	0.42	0.509	5.142	10.845999999999998	2.7680000000000002	1.544	2.708	0.68	0.66	0.512	2.551	10.006	6.843999999999999	1.837	4.022	0.855	0.289	0.209	1.8030000000000002	27.552	6.0729999999999995	4.856	3.425
24.33985	0.88	0.654	0.402	5.598	11.267999999999999	2.661	1.4380000000000002	2.772	0.5710000000000001	0.469	0.491	2.67	10.573	7.0729999999999995	1.9	4.368	0.569	0.268	0.18899999999999997	1.922	28.864	6.303999999999999	4.83	3.4019999999999997
24.50649	0.909	0.541	0.601	5.996	11.808	2.945	1.381	3.085	0.8270000000000001	0.5539999999999999	0.634	3.182	10.914000000000001	7.1579999999999995	1.758	4.567	0.74	0.268	0.303	2.093	30.087	6.502999999999999	5.058	3.5439999999999996
24.67319	0.961	0.451	0.541	6.4639999999999995	12.722000000000001	3.083	1.435	3.3369999999999997	0.6779999999999999	0.43799999999999994	0.688	3.26	11.206	7.287000000000001	1.952	4.7	0.61	0.35	0.187	2.144	31.991	6.891	5.2170000000000005	3.7939999999999996
24.83984	1.014	0.588	0.47700000000000004	7.085	13.481	3.221	1.425	3.445	0.679	0.57	0.507	3.4619999999999997	11.84	7.56	1.805	4.849	0.69	0.257	0.17600000000000002	2.314	33.29	7.129	5.257000000000001	3.8789999999999996
25.00663	0.99	0.45	0.594	7.787999999999999	14.050999999999998	3.284	1.5419999999999998	3.6489999999999996	0.6579999999999999	0.772	0.624	3.841	12.290999999999999	7.8870000000000005	1.9240000000000002	5.229	0.7340000000000001	0.34600000000000003	0.292	2.6060000000000003	33.809	7.34	5.468999999999999	4.2
25.17324	0.9540000000000001	0.35700000000000004	0.41600000000000004	8.033999999999999	15.21	3.533	1.507	3.8989999999999996	0.7070000000000001	0.451	0.474	4.176	12.908	7.9639999999999995	2.088	5.278	0.753	0.424	0.257	2.77	35.188	7.645	5.602	4.335
25.33992	0.972	0.43200000000000005	0.491	9.017999999999999	16.332	3.522	1.439	4.002	0.809	0.583	0.55	4.42	13.232999999999999	8.092	2.105	5.522	0.909	0.271	0.247	3.043	36.641999999999996	7.86	5.789	4.6080000000000005
25.50665	1.021	0.282	0.37	9.521	17.232	3.8	1.66	4.166	0.8009999999999999	0.434	0.457	4.954	13.792	8.111	2.041	5.856	0.643	0.321	0.268	3.406	38.018	8.107999999999999	6.007999999999999	4.686
25.67336	1.097	0.5579999999999999	0.42	10.388	18.017	3.787	1.683	4.269	0.73	0.45899999999999996	0.652	5.103	13.911	8.31	2.002	6.061	0.867	0.2	0.207	3.588	37.963	8.452	5.926	5.0680000000000005
25.83986	1.046	0.7070000000000001	0.314	11.234000000000002	19.622	4.218999999999999	1.6059999999999999	4.587	0.877	0.524	0.688	5.6160000000000005	14.527999999999999	8.679	2.3209999999999997	6.1770000000000005	0.838	0.179	0.358	4.046	39.486999999999995	8.425	6.325	5.3839999999999995
26.00667	1.028	0.518	0.722	11.772	20.861	4.227	1.645	4.823	0.914	0.507	0.444	6.275	14.895	8.738999999999999	2.16	6.41	1.097	0.247	0.22699999999999998	4.195	40.14	8.884	6.245	5.59
26.17328	1.137	0.429	0.52	12.958	21.647	4.309	1.7830000000000001	4.961	0.91	0.503	0.61	6.809	15.37	8.905	2.242	6.7170000000000005	1.0070000000000001	0.3	0.252	4.6160000000000005	41.348	9.049	6.41	6.209
26.34	1.209	0.33	0.619	13.749	23.609	4.495	1.882	5.289	0.9540000000000001	0.602	0.511	7.254	15.878	9.01	2.2569999999999997	6.821000000000001	1.055	0.34299999999999997	0.35100000000000003	4.946000000000001	41.735	9.295	6.513999999999999	6.057
26.50666	1.216	0.451	0.541	14.954	24.732	4.588	1.861	5.325	1.047	0.43799999999999994	0.546	7.803	16.203	9.076	2.349	7.057	0.9229999999999999	0.264	0.358	5.523	42.269	9.475	6.864	6.406000000000001
26.67332	1.163	0.54	0.63	16.239	25.593000000000004	4.933	1.95	5.7829999999999995	1.222	0.499	0.521	8.318999999999999	16.38	9.081	2.524	7.317	1.041	0.353	0.361	6.209	43.673	9.594	6.897	6.581
26.84007	1.175	0.608	0.47	17.055	26.898000000000003	4.803	1.818	5.71	1.205	0.679	0.616	9.329	16.883	9.579	2.5069999999999997	7.445	1.056	0.335	0.258	6.5920000000000005	44.05	10.035	7.053	7.1339999999999995
27.00669	1.317	0.522	0.669	18.305	27.693	5.03	1.96	6.165	1.234	0.821	0.616	10.011000000000001	16.968	9.352	2.62	7.729	1.056	0.364	0.34299999999999997	7.303	44.988	9.949	7.224	7.305
27.17346	1.2790000000000001	0.569	0.6579999999999999	19.537	29.218000000000004	4.994	1.9780000000000002	6.271	1.339	0.81	0.662	10.663	17.4	9.519	2.639	7.81	1.252	0.353	0.36	7.725	45.506	10.344000000000001	7.362	7.697
27.3401	1.5230000000000001	0.473	0.591	20.509	30.469	5.209	1.9669999999999999	6.856	1.2990000000000002	0.6859999999999999	0.794	11.357999999999999	17.778	9.76	2.6	7.909	1.237	0.428	0.264	8.535	45.211999999999996	10.67	7.433	7.9110000000000005
27.50671	1.472	0.733	0.537	21.462	31.268	5.303	2.028	6.98	1.364	0.631	0.512	13.004000000000001	17.925	9.891	2.719	8.294	1.2819999999999998	0.289	0.295	9.009	46.635	10.887	7.619	8.381
27.67348	1.569	0.519	0.495	22.701999999999998	32.088	5.31	2.241	7.382999999999999	1.571	0.505	0.556	13.244000000000002	18.354	10.113999999999999	2.872	8.492	1.335	0.41700000000000004	0.33899999999999997	9.77	46.652	10.797	7.843999999999999	8.607000000000001
27.84016	1.489	0.61	0.616	23.39	33.05	5.285	2.333	7.441	1.6030000000000002	0.57	0.677	14.286	18.680999999999997	10.338	2.8489999999999998	8.49	1.39	0.33899999999999997	0.34700000000000003	10.39	46.746	11.135	7.843	8.663
28.00682	1.778	0.555	0.53	24.72	33.384	5.523	2.391	7.996	1.6119999999999999	0.738	0.59	15.097999999999999	18.879	10.023	2.826	9.052999999999999	1.557	0.282	0.317	11.418	47.549	11.133	8.065	9.197000000000001
28.17342	1.6469999999999998	0.68	0.512	25.288	34.269	5.735	2.174	8.01	1.795	0.72	0.601	16.058	19.156	10.523	2.923	8.812000000000001	1.486	0.23600000000000002	0.384	12.062000000000001	47.61600000000001	11.49	8.193999999999999	9.383
28.34007	1.6780000000000002	0.424	0.741	26.614	35.009	5.9110000000000005	2.2030000000000003	8.446	1.6569999999999998	0.605	0.6	16.939	19.213	10.651	3.04	9.138	1.6130000000000002	0.349	0.268	12.709000000000001	47.521	11.275	8.405	9.594
28.50672	1.983	0.643	0.73	26.83	36.005	5.761	2.449	8.698	1.8780000000000001	0.622	0.56	18.000999999999998	19.792	10.42	3.145	9.163	1.6380000000000001	0.424	0.257	13.853	47.643	11.759	8.488	9.905
28.6735	1.88	0.539	0.512	27.858	36.409	5.774	2.346	9.112	1.891	0.718	0.6559999999999999	19.423	19.871	10.55	3.071	9.35	1.739	0.46399999999999997	0.267	14.501	48.082	11.86	8.503	10.092
28.84022	2.075	0.504	0.62	28.458000000000002	37.305	6.029	2.568	9.227	1.859	0.7390000000000001	0.591	20.87	20.172	10.754000000000001	3.295	9.408999999999999	1.77	0.485	0.28800000000000003	15.427	48.591	11.978	8.734	10.639000000000001
29.00683	2.0	0.5770000000000001	0.78	28.877	38.177	6.0889999999999995	2.555	10.076	1.893	0.6729999999999999	0.6970000000000001	22.006999999999998	20.575	10.539000000000001	3.2769999999999997	9.738999999999999	1.587	0.24600000000000002	0.308	16.299	48.596000000000004	12.019	8.722000000000001	10.765999999999998
29.17348	2.199	0.517	0.5770000000000001	29.487	38.485	6.32	2.667	10.083	2.037	0.6970000000000001	0.607	22.405	20.884	10.947000000000001	3.304	9.776	1.966	0.414	0.418	17.86	48.66	12.399000000000001	8.958	11.117
29.34031	2.126	0.588	0.79	30.104	38.753	6.216	2.6519999999999997	10.262	2.1630000000000003	0.741	0.764	23.741999999999997	20.881999999999998	11.125	3.46	9.982999999999999	1.859	0.39899999999999997	0.34700000000000003	18.772000000000002	48.43600000000001	12.405999999999999	8.937000000000001	10.982000000000001
29.50689	2.133	0.564	0.5660000000000001	30.906999999999996	40.141999999999996	6.313	2.714	10.765	2.229	0.915	0.652	24.616999999999997	21.178	11.06	3.4389999999999996	10.315999999999999	1.9909999999999999	0.517	0.264	19.867	48.583999999999996	12.341	9.155	11.315999999999999
29.67358	2.367	0.7709999999999999	0.659	31.075	40.272	6.401	2.948	11.276	2.261	0.58	0.774	25.535999999999998	21.504	11.227	3.472	10.199	2.046	0.496	0.243	20.878	48.647	12.565	9.295	11.797
29.84025	2.153	0.562	0.68	31.521	39.521	6.606	2.8810000000000002	11.609000000000002	2.298	0.604	0.74	26.291999999999998	21.651999999999997	11.386	3.655	10.302999999999999	2.095	0.374	0.21100000000000002	21.848000000000003	48.58	12.552	9.343	12.38
30.00692	2.379	0.6990000000000001	0.73	32.176	40.852	6.526	2.905	11.797	2.443	0.794	0.789	27.185	22.101	11.89	3.655	10.263	2.1959999999999997	0.652	0.344	23.271	49.107	12.914000000000001	9.588	12.145
30.17365	2.456	0.546	0.805	32.227	41.111000000000004	6.547999999999999	2.924	12.623	2.636	0.6970000000000001	0.6920000000000001	28.029	22.281999999999996	11.86	3.932	10.546	2.222	0.414	0.361	24.197	49.088	13.113	9.642999999999999	12.573
30.34021	2.5540000000000003	0.759	0.79	32.556999999999995	41.52	6.73	3.023	12.600999999999999	2.448	0.855	0.6779999999999999	28.105999999999998	22.451	11.780999999999999	3.9160000000000004	10.81	2.202	0.342	0.319	25.276	49.349	12.834000000000001	9.793	12.493
30.50695	2.5660000000000003	0.628	0.83	33.13	41.613	6.772	3.034	13.217	2.603	0.665	0.8029999999999999	29.160999999999998	22.816999999999997	11.855	3.928	10.798	2.36	0.267	0.32899999999999996	25.844	49.018	12.936	9.866	12.652999999999999
30.67359	2.88	0.688	0.805	33.314	42.128	7.053999999999999	3.264	13.463	2.687	0.67	0.693	29.636999999999997	23.131999999999998	11.759	4.099	10.902999999999999	2.323	0.385	0.33399999999999996	26.98	49.01	13.068	9.914	13.325999999999999
30.84025	2.905	0.71	0.7979999999999999	33.833	42.4	6.682	3.23	14.01	2.713	0.862	0.799	30.75	23.266	11.792	4.095	10.907	2.526	0.521	0.268	27.662	49.376000000000005	13.216	9.975	13.304
31.00693	2.909	0.745	0.691	33.969	42.356	6.712000000000001	3.207	14.204	2.915	0.87	0.836	30.691999999999997	23.816	12.044	4.156000000000001	11.33	2.4090000000000003	0.385	0.33399999999999996	29.031999999999996	49.523	13.154000000000002	10.085	13.924000000000001
31.17375	2.7460000000000004	0.7290000000000001	0.7609999999999999	34.297	42.637	6.943	3.332	14.844000000000001	2.7769999999999997	0.743	0.737	31.173000000000002	23.748	11.977	4.391	11.321	2.687	0.456	0.207	29.345	48.851000000000006	13.257	10.02	14.194
31.3403	2.843	0.825	0.687	34.898	42.673	7.184	3.571	15.46	2.79	0.8390000000000001	0.747	32.084	24.369	12.193	4.3180000000000005	11.252	2.6460000000000004	0.382	0.474	30.055999999999997	49.602	13.644	10.263	14.325
31.50693	2.9130000000000003	0.691	0.78	35.149	42.909	7.002000000000001	3.467	16.005	2.862	0.873	0.754	32.211999999999996	24.736	12.335	4.445	11.478	2.613	0.474	0.308	31.037	49.108999999999995	13.615	10.375	14.757
31.67367	3.055	0.637	0.669	35.073	42.881	7.141	3.497	16.389	3.003	0.82	0.758	32.797	24.593000000000004	12.380999999999998	4.473	11.582	2.548	0.364	0.455	31.793000000000003	49.301	13.661	10.450999999999999	14.543
31.84032	2.957	0.825	0.8859999999999999	35.439	43.185	7.099	3.429	17.11	3.075	0.725	0.804	32.766999999999996	25.223000000000003	12.705	4.488	11.707	2.8160000000000003	0.552	0.36	32.304	49.261	13.644	10.605	14.581
32.007	2.908	0.721	0.754	35.498000000000005	43.663999999999994	7.19	3.665	17.93	2.8819999999999997	0.907	0.815	33.54	25.38	12.591	4.496	11.509	2.875	0.534	0.28600000000000003	32.793	49.592	13.757	10.634	14.977
32.17367	3.1069999999999998	0.636	0.64	35.696999999999996	43.692	7.1610000000000005	3.779	18.47	3.0239999999999996	0.992	0.645	33.427	25.635	12.762	4.581	11.793	2.847	0.364	0.258	33.106	50.18899999999999	13.956	10.805	15.432
32.34044	3.237	0.682	0.8	36.317	43.74	7.545	3.853	18.819000000000003	3.068	0.868	0.7759999999999999	34.219	26.121	12.857999999999999	4.71	11.833	2.944	0.41	0.33299999999999996	34.239000000000004	49.637	13.767999999999999	10.703	14.987
32.50704	2.997	0.9259999999999999	0.7040000000000001	36.510999999999996	44.242	7.672999999999999	3.926	19.366	3.282	0.857	0.624	34.415	25.925	13.011	4.868	12.1	2.843	0.34299999999999997	0.436	34.633	49.852	14.064	10.856	15.11
32.67369	3.286	0.5579999999999999	0.505	36.571	44.257	7.398	4.043	20.132	3.147	0.885	0.8220000000000001	34.613	26.107	12.944	4.902	12.06	3.056	0.456	0.435	35.145	49.562	14.052999999999999	10.929	15.642999999999999
32.84035	3.39	0.667	1.013	36.812	44.74100000000001	7.584	4.007	21.005	3.1069999999999998	0.9390000000000001	0.7909999999999999	35.228	26.655	13.318	5.062	12.235999999999999	3.008	0.509	0.34700000000000003	35.446	49.441	14.54	11.106	15.899000000000001
33.00703	3.3339999999999996	0.807	0.669	37.004	44.488	7.474	4.291	21.766	3.2230000000000003	0.878	0.929	34.904	26.801	13.017999999999999	5.149	12.134	3.102	0.335	0.34299999999999997	36.146	49.705	14.468	11.231	15.517000000000001
33.17377	3.228	0.7340000000000001	0.6829999999999999	37.21	44.309	7.504	4.129	22.273000000000003	3.198	0.95	0.774	35.43	27.235	13.204	5.041	12.405999999999999	2.9530000000000003	0.46299999999999997	0.302	36.384	49.687	14.341	11.248	16.207
33.34037	3.2489999999999997	0.892	1.124	37.629	45.085	7.559	4.376	23.414	3.252	1.162	0.815	35.558	27.483	13.444	5.32	12.304	3.102	0.506	0.34299999999999997	37.198	49.278999999999996	14.922	11.344000000000001	16.37
