	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
13.6726	1.213	17.508	13.684000000000001	9.085	11.022	1.666	0.7020000000000001	1.871	1.2890000000000001	0.871	12.774000000000001	9.344	4.694	1.869	0.5529999999999999	1.745	1.014	19.101	12.712	9.459	5.334	1.929	0.76	1.847	2.293	1.7919999999999998	0.7390000000000001	5.647	1.3730000000000002	0.973	1.82	1.038	2.247	1.5959999999999999	1.365	2.8169999999999997	0.574	2.492	0.8029999999999999	2.421	2.697	2.349	0.374	3.2310000000000003	12.253	15.725	1.296	3.511
13.83918	1.3659999999999999	18.298	13.994000000000002	9.544	11.049000000000001	1.735	0.713	1.854	1.271	0.882	13.198	9.887	4.53	1.8519999999999999	0.6509999999999999	1.757	1.111	19.63	13.25	9.829	5.138999999999999	2.14	1.056	2.0	2.502	1.94	0.721	5.737	1.3519999999999999	1.155	2.001	0.846	2.312	1.574	1.431	2.967	0.414	2.417	0.7859999999999999	2.487	2.793	2.414	0.271	3.153	12.989	16.004	1.278	3.347
14.00578	1.1840000000000002	19.109	14.027000000000001	9.943	11.565	1.781	0.7020000000000001	1.986	1.2890000000000001	0.871	14.345999999999998	9.945	4.98	2.041	0.5820000000000001	1.6880000000000002	1.214	20.188	13.455	10.231	5.334	2.158	0.76	1.876	2.55	1.964	0.7390000000000001	5.847	1.545	1.23	2.02	1.01	2.3609999999999998	1.768	1.594	2.989	0.431	2.521	0.746	2.5069999999999997	2.7260000000000004	2.435	0.28800000000000003	3.3169999999999997	13.710999999999999	16.868	1.3530000000000002	3.6830000000000003
14.17259	1.192	19.548	15.187000000000001	10.538	11.9	1.903	0.7390000000000001	1.9369999999999998	1.239	0.7929999999999999	14.249	10.681	5.297000000000001	1.9909999999999999	0.534	1.811	1.022	20.250999999999998	14.072000000000001	10.88	5.5920000000000005	2.165	0.8809999999999999	2.026	2.784	2.022	0.6890000000000001	6.39	1.662	1.067	2.083	0.9279999999999999	2.48	1.656	1.5130000000000001	3.135	0.639	2.471	0.6970000000000001	2.6260000000000003	2.875	2.668	0.268	3.6060000000000003	14.068	17.34	1.475	3.7430000000000003
14.33914	1.421	20.432000000000002	15.187000000000001	10.880999999999998	12.328	1.932	0.682	1.8519999999999999	1.296	0.9079999999999999	15.105	10.967	5.211	2.049	0.534	1.811	1.079	20.936	14.5	11.48	6.047999999999999	2.394	0.91	1.94	2.87	2.108	0.775	6.761	1.605	1.067	2.426	0.985	2.508	1.912	1.57	3.335	0.49700000000000005	2.7560000000000002	0.64	2.74	2.932	2.782	0.325	3.635	14.724	18.31	1.589	4.0
14.50593	1.249	20.918000000000003	15.444	11.08	12.671	2.017	0.711	2.194	1.3530000000000002	0.7929999999999999	16.19	11.509	5.81	2.134	0.7909999999999999	2.096	1.079	22.076999999999998	15.413	12.193	6.047999999999999	2.4219999999999997	1.224	2.169	2.9560000000000004	2.279	0.6890000000000001	6.846	1.919	1.209	2.426	1.071	2.6510000000000002	1.9409999999999998	1.598	3.335	0.639	2.728	0.8109999999999999	2.655	3.1889999999999996	3.0389999999999997	0.325	3.892	14.981	18.881	1.5030000000000001	4.0
14.67249	1.39	21.353	16.04	11.954	13.148	2.072	0.851	2.077	1.495	1.02	15.702	12.099	5.874	2.3040000000000003	0.5870000000000001	2.008	1.22	22.660999999999998	15.411	12.614	6.571000000000001	2.536	0.8240000000000001	2.282	3.072	2.515	0.9740000000000001	7.3420000000000005	1.9809999999999999	1.351	2.656	1.217	2.7680000000000002	2.119	1.7730000000000001	3.8819999999999997	0.522	2.698	0.8370000000000001	2.9989999999999997	3.19	2.8989999999999996	0.35100000000000003	4.181	15.753	19.368	1.673	4.062
14.83925	1.3519999999999999	21.973000000000003	16.134	12.515	13.475999999999999	2.0909999999999997	0.728	2.3819999999999997	1.54	0.867	15.794	12.372	6.08	2.1790000000000003	0.638	1.999	1.2670000000000001	23.615	15.503	13.027000000000001	6.545	2.5810000000000004	0.8109999999999999	2.156	3.17	2.377	0.705	7.7139999999999995	2.075	1.226	2.697	1.085	2.8369999999999997	2.011	1.756	3.862	0.628	2.83	0.6859999999999999	3.0410000000000004	3.262	3.281	0.22899999999999998	4.105	15.897	19.939	1.6340000000000001	4.156000000000001
15.00589	1.44	22.523000000000003	16.311	13.205	13.795	2.094	0.816	2.214	1.515	0.785	16.057000000000002	13.062000000000001	6.284	2.525	0.6970000000000001	2.173	1.27	24.706999999999997	16.108	13.831	7.063	2.641	0.7290000000000001	2.33	3.43	2.638	0.851	7.888999999999999	2.1069999999999998	1.4569999999999999	2.957	1.089	3.04	2.329	1.902	4.008	0.488	3.0039999999999996	0.7170000000000001	3.13	3.3510000000000004	3.2560000000000002	0.317	4.394	16.845	20.059	1.751	4.274
15.17259	1.44	23.406999999999996	16.824	13.091	14.28	2.38	0.7020000000000001	2.642	1.629	0.8420000000000001	16.399	13.918	6.369	2.354	0.555	2.088	1.327	25.021	16.394000000000002	14.773	6.949	2.727	1.071	2.416	3.602	2.695	0.965	8.46	2.279	1.5430000000000001	3.1860000000000004	1.117	3.3819999999999997	2.5	1.845	4.436	0.574	3.09	0.774	3.2439999999999998	3.6069999999999998	3.37	0.34600000000000003	4.708	17.444000000000003	20.886999999999997	1.837	4.16
