	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	ptrA-1	mdtK_ptrA-1	ompR-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	ptrA-2	mdtK_ptrA-2	ompR-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	ptrA-3	mdtK_ptrA-3	ompR-3	ompR_proQ-3	ompR_ptrA-1	ompR_proQ_mdtK-1	ompR_proQ_ptrA-1	bioAB-1	bioAB_ptrA-1	proQ-1	bioAB_ptrA_mdtK-1	bioAB_ptrA_ompR-1	ompR_ptrA-2	ompR_proQ_mdtK-2	ompR_proQ_ptrA-2	bioAB-2	bioAB_ptrA-2	proQ-2	bioAB_ptrA_mdtK-2	bioAB_ptrA_ompR-2	ompR_ptrA-3	ompR_proQ_mdtK-3	ompR_proQ_ptrA-3	bioAB-3	bioAB_ptrA-3	proQ-3	bioAB_ptrA_mdtK-3	bioAB_ptrA_ompR-3
0.00496	0.05	0.0	0.161	0.0	0.027000000000000003	0.114	0.0	0.0	0.115	0.036000000000000004	0.0	0.0	0.001	0.032	0.395	0.05	1.538	0.0	0.006999999999999999	0.009000000000000001	0.354	0.278	0.163	0.303	0.036000000000000004	0.055	0.062	0.034	0.168	0.062	0.0	0.223	0.0	0.0	0.2	0.114	0.115	0.006	0.134	0.003	0.0	0.0	0.0	0.006999999999999999	0.0	0.0	0.0	0.017
0.17157	0.07	0.706	0.154	0.184	0.0	0.0	0.091	0.023	0.0	0.0	0.1	0.019	0.0	0.0	0.055	0.0	0.838	0.046	0.0	0.0	0.0	0.0	0.107	0.0	0.057	0.156	0.081	0.0	0.0	0.0	0.021	0.0	0.073	0.10099999999999999	0.13699999999999998	0.106	0.0	0.109	0.045	0.0	0.134	0.075	0.021	0.0	0.07400000000000001	0.075	0.07400000000000001	0.038
0.33825	0.0	0.7809999999999999	0.0	0.177	0.132	0.133	0.41600000000000004	0.225	0.09300000000000001	0.084	0.212	0.076	0.1	0.09300000000000001	0.024	0.355	0.29600000000000004	0.045	0.12300000000000001	0.028999999999999998	0.14400000000000002	0.344	0.0	0.222	0.0	0.0	0.0	0.151	0.136	0.08900000000000001	0.064	0.187	0.026000000000000002	0.057999999999999996	0.0	0.0	0.096	0.0	0.0	0.126	0.01	0.035	0.033	0.17800000000000002	0.034	0.20199999999999999	0.036000000000000004	0.0
0.50485	0.276	0.977	0.273	0.461	0.35700000000000004	0.17	0.47	0.276	0.314	0.295	0.28300000000000003	0.17600000000000002	0.23800000000000002	0.19899999999999998	0.184	0.138	0.552	0.198	0.29	0.239	0.05	0.318	0.066	0.5720000000000001	0.009000000000000001	0.159	0.154	0.235	0.147	0.306	0.17600000000000002	0.278	0.018000000000000002	0.193	0.068	0.268	0.263	0.262	0.32899999999999996	0.154	0.001	0.174	0.171	0.261	0.172	0.262	0.177	0.001
0.67158	0.44	1.284	0.322	0.35	0.41200000000000003	0.4	0.573	0.35	0.223	0.45	0.409	0.302	0.061	0.21600000000000003	0.0	0.613	0.609	0.20800000000000002	0.258	0.309	0.115	0.258	0.127	0.418	0.013000000000000001	0.233	0.193	0.26	0.379	0.381	0.145	0.451	0.061	0.299	0.218	0.198	0.231	0.327	0.294	0.204	0.040999999999999995	0.19899999999999998	0.278	0.284	0.168	0.345	0.174	0.054000000000000006
0.83831	0.292	1.545	0.542	0.405	0.53	0.344	0.684	0.47200000000000003	0.273	0.467	0.253	0.34700000000000003	0.23	0.395	0.12300000000000001	0.6940000000000001	0.29100000000000004	0.136	0.366	0.324	0.165	0.281	0.11699999999999999	0.593	0.126	0.223	0.322	0.282	0.324	0.486	0.16699999999999998	0.395	0.249	0.32	0.289	0.214	0.254	0.301	0.257	0.13	0.09300000000000001	0.193	0.18600000000000003	0.306	0.218	0.228	0.28300000000000003	0.191
1.00504	0.19	1.31	0.26899999999999996	0.48	0.43700000000000006	0.364	0.523	0.214	0.257	0.47600000000000003	0.461	0.355	0.248	0.539	0.204	0.706	0.6729999999999999	0.4	0.467	0.5329999999999999	0.263	0.266	0.125	0.561	0.145	0.405	0.214	0.38299999999999995	0.345	0.585	0.297	0.271	0.20199999999999999	0.47600000000000003	0.209	0.25	0.354	0.409	0.413	0.188	0.16399999999999998	0.23600000000000002	0.228	0.377	0.204	0.243	0.32799999999999996	0.35
1.17154	0.34299999999999997	1.452	0.32899999999999996	0.45399999999999996	0.456	0.379	0.542	0.26	0.262	0.461	0.23199999999999998	0.428	0.397	0.33299999999999996	0.205	1.004	0.223	0.28600000000000003	0.48700000000000004	0.371	0.38299999999999995	0.42700000000000005	0.165	0.5710000000000001	0.066	0.225	0.248	0.46	0.365	0.65	0.345	0.335	0.162	0.39799999999999996	0.237	0.442	0.341	0.34700000000000003	0.32899999999999996	0.16399999999999998	0.203	0.19	0.29600000000000004	0.539	0.304	0.442	0.41	0.226
1.33826	0.48100000000000004	1.369	0.556	0.504	0.43200000000000005	0.61	0.6	0.285	0.27899999999999997	0.35700000000000004	0.337	0.474	0.371	0.327	0.239	0.84	0.386	0.21100000000000002	0.23600000000000002	0.537	0.205	0.29600000000000004	0.19399999999999998	0.355	0.087	0.332	0.203	0.389	0.447	0.5479999999999999	0.33399999999999996	0.23600000000000002	0.23800000000000002	0.41600000000000004	0.311	0.39799999999999996	0.509	0.39899999999999997	0.466	0.18899999999999997	0.085	0.268	0.46399999999999997	0.43799999999999994	0.322	0.462	0.429	0.245
1.50492	0.336	1.338	0.29	0.573	0.37	0.409	0.629	0.20800000000000002	0.344	0.418	0.39799999999999996	0.536	0.33799999999999997	0.342	0.187	0.9420000000000001	0.486	0.301	0.483	0.418	0.348	0.513	0.124	0.48700000000000004	0.066	0.214	0.354	0.546	0.518	0.7040000000000001	0.31	0.304	0.27	0.331	0.281	0.37	0.456	0.47	0.441	0.205	0.259	0.395	0.22899999999999998	0.474	0.32799999999999996	0.47	0.436	0.312
