	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
0.00967	0.14300000000000002	0.125	0.037000000000000005	0.039	0.0	0.0	0.008	0.0	0.038	0.272	0.32799999999999996	0.096	0.0	0.0	0.182	0.152	0.10400000000000001	0.36	0.451	0.243	0.098	0.0	0.125	0.08900000000000001	0.217	0.38799999999999996	0.532	0.531	0.33	0.301	0.27	0.272	0.040999999999999995	0.446	0.445	0.445	0.285	0.27699999999999997	0.21	0.155	0.115	0.444	0.415	0.474	0.387	0.126	0.24100000000000002	0.24
0.17144	0.102	0.0	0.0	0.0	0.195	0.22399999999999998	0.0	0.195	0.0	0.0	0.0	0.0	0.018000000000000002	0.107	0.0	0.171	0.09	0.0	0.065	0.0	0.0	0.076	0.0	0.02	0.06	0.0	0.0	0.0	0.028999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.092	0.026000000000000002	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33808	0.272	0.401	0.057999999999999996	0.374	0.317	0.345	0.262	0.287	0.079	0.312	0.106	0.401	0.151	0.359	0.213	0.22699999999999998	0.14800000000000002	0.355	0.13	0.23	0.113	0.295	0.13699999999999998	0.092	0.077	0.177	0.184	0.42	-0.040999999999999995	0.08199999999999999	0.035	0.159	0.023	0.409	0.33799999999999997	0.098	0.0	0.0	0.0	0.12	0.012	0.321	0.23399999999999999	0.248	0.091	0.068	0.059000000000000004	0.043
0.50497	0.262	0.48100000000000004	0.054000000000000006	0.693	0.35	0.525	0.22899999999999998	0.16899999999999998	0.184	0.389	0.15	0.569	0.134	0.34600000000000003	0.249	0.161	0.141	0.386	0.102	0.312	0.252	0.306	0.094	0.161	0.0	0.441	0.42700000000000005	0.5489999999999999	0.0	0.1	0.096	0.28600000000000003	0.07	0.585	0.5	0.401	0.128	0.168	0.20600000000000002	0.20800000000000002	0.11900000000000001	0.557	0.469	0.43799999999999994	0.11900000000000001	0.133	0.204	0.23199999999999998
0.67151	0.14400000000000002	0.518	0.157	0.794	0.281	0.5760000000000001	0.423	0.336	0.248	0.57	0.3	0.637	0.159	0.467	0.272	0.10800000000000001	0.142	0.608	0.057999999999999996	0.647	0.34700000000000003	0.45	0.21600000000000003	0.124	0.05	0.513	0.389	0.7829999999999999	0.145	0.161	0.23199999999999998	0.33899999999999997	0.071	0.596	0.649	0.45399999999999996	0.24600000000000002	0.141	0.341	0.40299999999999997	0.064	0.602	0.574	0.555	0.34299999999999997	0.213	0.397	0.44
0.83817	0.09699999999999999	0.516	0.109	0.795	0.327	0.562	0.376	0.29	0.12300000000000001	0.494	0.204	0.545	0.2	0.371	0.26	0.105	0.17600000000000002	0.541	0.0	0.787	0.243	0.34	0.21100000000000002	0.133	0.078	0.625	0.547	0.794	0.247	0.326	0.266	0.379	0.085	0.7070000000000001	0.723	0.645	0.32799999999999996	0.247	0.344	0.40700000000000003	0.09	0.635	0.607	0.5670000000000001	0.28600000000000003	0.31	0.581	0.373
1.00481	0.111	0.457	0.1	0.8	0.321	0.496	0.428	0.28300000000000003	0.12300000000000001	0.449	0.264	0.79	0.059000000000000004	0.462	0.34600000000000003	0.046	0.084	0.532	0.037000000000000005	0.593	0.32	0.41200000000000003	0.18100000000000002	0.113	0.102	0.615	0.618	0.777	0.259	0.251	0.305	0.511	0.068	0.605	0.738	0.626	0.35600000000000004	0.32299999999999995	0.41200000000000003	0.505	0.0	0.763	0.645	0.6409999999999999	0.505	0.35	0.406	0.342
1.17145	0.084	0.564	0.157	0.972	0.23	0.5589999999999999	0.365	0.252	0.043	0.484	0.306	0.655	0.12	0.44299999999999995	0.41200000000000003	0.091	0.14400000000000002	0.578	0.057999999999999996	0.727	0.297	0.381	0.193	0.11	0.155	0.691	0.647	0.9	0.445	0.257	0.42100000000000004	0.48	0.073	0.741	0.865	0.779	0.365	0.45399999999999996	0.435	0.406	0.10400000000000001	0.634	0.698	0.705	0.43700000000000006	0.316	0.42700000000000005	0.504
1.33823	0.039	0.508	0.243	0.858	0.379	0.555	0.42	0.33899999999999997	0.16899999999999998	0.441	0.37	0.691	0.073	0.446	0.38	0.157	0.147	0.5720000000000001	0.129	0.78	0.28600000000000003	0.426	0.258	0.0	0.152	0.747	0.722	0.8859999999999999	0.524	0.244	0.34	0.526	0.152	0.7340000000000001	0.853	0.826	0.552	0.505	0.446	0.385	0.076	0.705	0.8320000000000001	0.691	0.41600000000000004	0.36	0.498	0.414
1.50499	0.196	0.475	0.17300000000000001	0.887	0.28	0.58	0.537	0.17800000000000002	0.10300000000000001	0.474	0.428	0.627	0.136	0.381	0.436	0.0	0.063	0.608	0.16	0.63	0.19699999999999998	0.304	0.223	0.031	0.067	0.721	0.693	0.95	0.31	0.278	0.34	0.682	0.092	0.7390000000000001	0.794	0.8590000000000001	0.39299999999999996	0.447	0.384	0.354	0.10400000000000001	0.705	0.677	0.632	0.385	0.42200000000000004	0.498	0.441
