	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
1.67185	0.8290000000000001	0.405	0.247	0.349	0.662	0.888	0.40399999999999997	0.92	0.675	0.511	0.40299999999999997	0.574	0.703	1.085	0.5429999999999999	0.83	0.924	0.534	0.41200000000000003	0.5429999999999999	0.828	0.924	0.285	0.74	0.5720000000000001	0.696	0.506	0.504	0.342	0.608	0.409	0.579	0.508	0.6	0.7959999999999999	0.505	0.51	0.377	0.568	0.37799999999999995	0.435	0.7290000000000001	0.47100000000000003	0.581	0.5770000000000001	0.34700000000000003	0.602	0.502
1.8386	0.765	0.43700000000000006	0.312	0.511	0.727	1.082	0.40399999999999997	1.081	0.7390000000000001	0.511	0.435	0.607	0.703	0.956	0.608	0.96	0.762	0.501	0.315	0.5429999999999999	0.7959999999999999	0.924	0.414	0.838	0.604	0.632	0.506	0.698	0.40700000000000003	0.705	0.474	0.579	0.508	0.6970000000000001	0.7959999999999999	0.473	0.607	0.474	0.6	0.44299999999999995	0.40299999999999997	0.826	0.665	0.6779999999999999	0.513	0.34700000000000003	0.505	0.5670000000000001
2.00528	0.735	0.504	0.314	0.546	0.7290000000000001	0.987	0.439	0.986	0.677	0.41600000000000004	0.535	0.8029999999999999	0.64	1.055	0.546	0.865	0.8290000000000001	0.6	0.414	0.513	0.701	0.927	0.384	0.743	0.574	0.634	0.6709999999999999	0.603	0.539	0.7070000000000001	0.379	0.5820000000000001	0.478	0.667	0.831	0.508	0.609	0.38	0.764	0.478	0.43700000000000006	0.731	0.603	0.584	0.612	0.317	0.7020000000000001	0.473
2.17191	0.8320000000000001	0.439	0.444	0.61	0.664	0.89	0.504	1.083	0.774	0.449	0.43700000000000006	0.706	0.737	0.99	0.675	0.93	0.765	0.6	0.317	0.643	0.701	1.024	0.287	0.6459999999999999	0.606	0.7959999999999999	0.606	0.7	0.409	0.7070000000000001	0.573	0.6459999999999999	0.511	0.764	0.7340000000000001	0.669	0.6409999999999999	0.509	0.667	0.64	0.502	0.828	0.603	0.6809999999999999	0.58	0.414	0.605	0.667
2.33857	0.772	0.444	0.254	0.551	0.7979999999999999	0.992	0.41100000000000003	1.12	0.78	0.518	0.442	0.743	0.742	1.157	0.615	0.935	0.769	0.637	0.451	0.615	0.8029999999999999	1.028	0.389	0.7490000000000001	0.48100000000000004	0.735	0.515	0.6729999999999999	0.544	0.745	0.513	0.555	0.677	0.769	0.8029999999999999	0.7070000000000001	0.614	0.48200000000000004	0.705	0.871	0.506	0.768	0.705	0.7829999999999999	0.617	0.419	0.48100000000000004	0.7070000000000001
2.50518	0.862	0.502	0.344	0.64	0.727	0.985	0.34	1.178	0.772	0.446	0.40299999999999997	0.607	0.703	0.956	0.5429999999999999	1.024	0.86	0.695	0.34700000000000003	0.511	0.634	0.892	0.285	0.643	0.507	0.7929999999999999	0.5710000000000001	0.504	0.504	0.608	0.474	0.6759999999999999	0.508	0.762	0.828	0.667	0.7040000000000001	0.409	0.665	0.669	0.5	0.9229999999999999	0.698	0.6779999999999999	0.674	0.444	0.602	0.599
2.67195	0.6629999999999999	0.433	0.21	0.441	0.755	0.981	0.303	1.077	0.7340000000000001	0.441	0.33399999999999996	0.731	0.698	1.048	0.5379999999999999	0.858	0.726	0.594	0.34299999999999997	0.7	0.7909999999999999	0.887	0.377	0.8320000000000001	0.6	0.789	0.598	0.693	0.531	0.635	0.5660000000000001	0.38	0.6659999999999999	0.757	0.8240000000000001	0.7909999999999999	0.6990000000000001	0.501	0.66	0.665	0.593	0.9179999999999999	0.66	0.672	0.604	0.408	0.6940000000000001	0.495
2.83864	0.725	0.495	0.337	0.6	0.623	0.8490000000000001	0.33299999999999996	1.075	0.764	0.504	0.397	0.6970000000000001	0.696	0.9490000000000001	0.6	1.0170000000000001	0.82	0.6890000000000001	0.308	0.6	0.789	0.885	0.375	0.732	0.469	0.8190000000000001	0.66	0.6579999999999999	0.593	0.632	0.596	0.539	0.502	0.884	0.821	0.7559999999999999	0.7290000000000001	0.498	0.6579999999999999	0.63	0.397	0.851	0.561	0.67	0.47200000000000003	0.341	0.691	0.782
3.00525	0.765	0.43700000000000006	0.312	0.608	0.662	0.888	0.243	0.92	0.675	0.5429999999999999	0.5	0.736	0.605	0.956	0.608	1.024	0.86	0.631	0.34700000000000003	0.608	0.7959999999999999	0.892	0.317	0.708	0.507	0.826	0.6679999999999999	0.601	0.439	0.705	0.409	0.547	0.573	0.794	1.022	0.667	0.7040000000000001	0.506	0.665	0.637	0.532	0.9229999999999999	0.698	0.71	0.674	0.41200000000000003	0.6990000000000001	0.502
3.17217	0.5660000000000001	0.53	0.34	0.441	0.755	0.981	0.4	1.012	0.669	0.5379999999999999	0.431	0.731	0.73	0.9840000000000001	0.57	0.858	0.855	0.594	0.34299999999999997	0.603	0.6940000000000001	0.92	0.312	0.735	0.568	0.821	0.759	0.758	0.499	0.797	0.501	0.638	0.504	0.789	0.8240000000000001	0.6940000000000001	0.634	0.598	0.6920000000000001	0.665	0.496	0.853	0.693	0.769	0.604	0.44	0.662	0.851
