	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
0.00496	0.0	0.16699999999999998	1.9240000000000002	0.09699999999999999	0.28	0.23800000000000002	0.066	0.068	0.002	0.159	0.012	0.098	0.262	0.26899999999999996	0.265	0.0	0.295	0.033	0.196	0.12	0.133	0.205	0.039	0.0	0.166	0.061	0.066	0.0	0.0	0.0	0.0	0.035	0.0	0.065	0.094	0.0	0.0	0.17600000000000002	0.0	0.012	0.0	0.0
0.17157	0.087	0.10300000000000001	0.9309999999999999	0.0	0.098	0.06	0.0	0.152	0.0	0.02	0.0	0.16899999999999998	0.14	0.23399999999999999	0.152	0.165	0.133	0.0	0.026000000000000002	0.0	0.012	0.139	0.013000000000000001	0.069	0.0	0.16399999999999998	0.0	0.129	0.209	0.106	0.17600000000000002	0.0	0.102	0.0	0.0	0.185	0.166	0.0	0.105	0.066	0.285	0.187
0.33825	0.163	0.035	0.9420000000000001	0.152	0.0	0.0	1.5730000000000002	0.337	0.111	0.121	0.015	0.017	0.099	0.0	0.087	0.017	0.162	0.044000000000000004	0.043	0.099	0.0	0.098	0.06	0.037000000000000005	0.251	0.18	0.126	0.2	0.055999999999999994	0.12300000000000001	0.17	0.016	0.062	0.183	0.154	0.312	0.184	0.015	0.205	0.0	0.474	0.14800000000000002
0.50485	0.2	0.10800000000000001	0.8420000000000001	0.302	0.061	0.0	1.484	0.258	0.128	0.038	1.79	0.0	0.0	0.131	0.086	0.158	0.048	0.01	0.18	0.171	0.156	0.0	0.011000000000000001	0.203	0.327	0.032	0.17	0.301	0.12300000000000001	0.061	0.132	0.008	0.21899999999999997	0.257	0.22399999999999998	0.276	0.214	0.086	0.228	0.14	0.49200000000000005	0.225
0.67158	0.285	0.174	0.75	0.305	0.06	0.015	1.4980000000000002	0.0	0.102	0.115	1.861	0.033	0.146	0.057999999999999996	0.02	0.23600000000000002	0.22699999999999998	0.08	0.0	0.095	0.165	0.062	0.14800000000000002	0.302	0.418	0.155	0.34700000000000003	0.198	0.24	0.272	0.196	0.244	0.032	0.35200000000000004	0.231	0.54	0.207	0.122	0.299	0.132	0.442	0.21100000000000002
0.83831	0.34	0.084	0.7040000000000001	0.233	0.23600000000000002	0.038	1.615	0.129	0.265	0.071	1.921	0.02	0.22	0.084	0.0	0.13699999999999998	0.005	0.055	0.063	0.11800000000000001	0.10300000000000001	0.166	0.0	0.154	0.276	0.039	0.19899999999999998	0.278	0.086	0.305	0.122	0.046	0.282	0.434	0.308	0.39799999999999996	0.193	0.087	0.303	0.287	0.508	0.41100000000000003
1.00504	0.275	0.185	0.97	0.218	0.25	0.14800000000000002	1.462	0.205	0.293	0.08900000000000001	2.08	0.149	0.235	0.043	0.047	0.071	0.035	0.128	0.08	0.19	0.261	0.266	0.076	0.406	0.305	0.055	0.3	0.237	0.271	0.265	0.22899999999999998	0.204	0.38299999999999995	0.39399999999999996	0.324	0.414	0.184	0.273	0.349	0.27699999999999997	0.5579999999999999	0.34299999999999997
1.17154	0.284	0.073	1.07	0.33	0.275	0.16399999999999998	1.55	0.154	0.231	0.038	1.942	0.14800000000000002	0.292	0.187	0.051	0.418	0.11800000000000001	0.07400000000000001	0.113	0.248	0.318	0.124	0.113	0.39299999999999996	0.301	0.0	0.244	0.35100000000000003	0.156	0.212	0.157	0.17800000000000002	0.499	0.509	0.43799999999999994	0.359	0.133	0.131	0.295	0.16899999999999998	0.514	0.345
1.33826	0.147	0.08	1.13	0.358	0.26899999999999996	0.222	1.479	0.095	0.31	0.032	1.9569999999999999	0.063	0.467	0.083	0.07200000000000001	0.359	0.15	0.11699999999999999	0.016	0.16899999999999998	0.298	0.213	0.172	0.364	0.35600000000000004	0.152	0.336	0.41700000000000004	0.3	0.313	0.20199999999999999	0.161	0.5379999999999999	0.607	0.473	0.341	0.32899999999999996	0.366	0.45399999999999996	0.278	0.616	0.38799999999999996
1.50492	0.16399999999999998	0.065	1.1340000000000001	0.341	0.33799999999999997	0.32799999999999996	1.55	0.226	0.248	0.134	2.0580000000000003	0.076	0.308	0.183	0.115	0.375	0.17600000000000002	0.046	0.146	0.182	0.312	0.284	0.16	0.47100000000000003	0.38	0.252	0.40700000000000003	0.259	0.312	0.299	0.25	0.261	0.609	0.7070000000000001	0.486	0.556	0.259	0.293	0.555	0.322	0.6629999999999999	0.489
