	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
0.0051	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17300000000000001	0.0	0.0	0.0
0.17173	0.0	0.165	0.10300000000000001	0.163	0.09300000000000001	0.20199999999999999	0.22699999999999998	0.0	0.29600000000000004	0.302	0.37200000000000005	0.302	0.304	0.11199999999999999	0.21	0.215	0.486	0.294	0.32299999999999995	0.312	0.17	0.307	0.11699999999999999	0.293	0.289	0.35200000000000004	0.245	0.365	0.551	0.226	0.39	0.209	0.24	0.282	0.361	0.45	0.386	0.256	0.193	0.256	0.377	0.336	0.39	0.292	0.324
0.33845	0.004	0.33399999999999996	0.369	0.264	0.062	0.336	0.196	0.10099999999999999	0.43200000000000005	0.337	0.473	0.304	0.207	0.213	0.311	0.382	0.49	0.33	0.26	0.182	0.337	0.408	0.11900000000000001	0.395	0.523	0.222	0.34600000000000003	0.435	0.555	0.39399999999999996	0.39299999999999996	0.27899999999999997	0.31	0.41600000000000004	0.53	0.452	0.5870000000000001	0.457	0.19699999999999998	0.226	0.445	0.306	0.228	0.295	0.228
0.5051	0.028999999999999998	0.523	0.23800000000000002	0.267	0.165	0.20600000000000002	0.2	0.065	0.391	0.371	0.47200000000000003	0.17300000000000001	0.37200000000000005	0.113	0.27699999999999997	0.281	0.54	0.29	0.32	0.27899999999999997	0.305	0.539	0.248	0.38799999999999996	0.35200000000000004	0.284	0.377	0.327	0.6709999999999999	0.387	0.452	0.43200000000000005	0.266	0.479	0.489	0.58	0.5479999999999999	0.517	0.247	0.28600000000000003	0.41	0.365	0.354	0.289	0.18899999999999997
0.67173	0.019	0.382	0.33	0.326	0.225	0.297	0.358	0.155	0.25	0.396	0.431	0.19899999999999998	0.529	0.303	0.434	0.33799999999999997	0.595	0.478	0.377	0.435	0.363	0.564	0.174	0.379	0.442	0.40700000000000003	0.46799999999999997	0.284	0.66	0.444	0.509	0.257	0.38799999999999996	0.536	0.414	0.5710000000000001	0.473	0.606	0.203	0.212	0.435	0.35600000000000004	0.345	0.41100000000000003	0.213
0.83848	0.081	0.674	0.35200000000000004	0.281	0.245	0.253	0.27899999999999997	0.37799999999999995	0.41	0.419	0.455	0.32	0.486	0.228	0.326	0.462	0.365	0.40700000000000003	0.502	0.361	0.518	0.456	0.265	0.406	0.40299999999999997	0.301	0.49200000000000005	0.41200000000000003	0.792	0.504	0.47	0.354	0.22	0.561	0.508	0.597	0.5	0.535	0.368	0.23800000000000002	0.45899999999999996	0.38299999999999995	0.306	0.37200000000000005	0.33899999999999997
1.00506	0.065	0.6579999999999999	0.504	0.26899999999999996	0.266	0.24100000000000002	0.301	0.364	0.361	0.505	0.541	0.17600000000000002	0.473	0.41200000000000003	0.34600000000000003	0.382	0.61	0.392	0.48700000000000004	0.282	0.406	0.64	0.38299999999999995	0.555	0.585	0.386	0.512	0.396	0.51	0.555	0.5870000000000001	0.46799999999999997	0.401	0.44799999999999995	0.426	0.5820000000000001	0.682	0.52	0.25	0.322	0.413	0.302	0.455	0.423	0.192
1.17179	0.239	0.667	0.578	0.243	0.33899999999999997	0.34700000000000003	0.308	0.076	0.469	0.578	0.483	0.315	0.547	0.222	0.354	0.555	0.522	0.5660000000000001	0.39799999999999996	0.455	0.513	0.483	0.391	0.499	0.496	0.42700000000000005	0.586	0.406	0.818	0.465	0.46399999999999997	0.446	0.37799999999999995	0.655	0.534	0.69	0.593	0.693	0.262	0.298	0.5529999999999999	0.278	0.365	0.366	0.135
1.33845	0.16	0.72	0.436	0.33299999999999996	0.396	0.304	0.46299999999999997	0.16399999999999998	0.457	0.601	0.47200000000000003	0.40399999999999997	0.6679999999999999	0.212	0.34299999999999997	0.379	0.54	0.7509999999999999	0.485	0.444	0.502	0.374	0.446	0.684	0.55	0.317	0.607	0.327	0.77	0.65	0.584	0.366	0.46299999999999997	0.479	0.39	0.777	0.647	0.418	0.313	0.418	0.41	0.299	0.386	0.289	0.12300000000000001
1.50515	0.38	0.7759999999999999	0.585	0.28300000000000003	0.478	0.354	0.38	0.11800000000000001	0.479	0.7509999999999999	0.556	0.289	0.588	0.32899999999999996	0.526	0.3	0.5660000000000001	0.773	0.5379999999999999	0.46299999999999997	0.48700000000000004	0.6559999999999999	0.301	0.475	0.505	0.502	0.429	0.349	0.7959999999999999	0.408	0.40700000000000003	0.39	0.52	0.564	0.41200000000000003	0.633	0.602	0.505	0.37200000000000005	0.439	0.561	0.221	0.374	0.474	0.14400000000000002
