name	slope	intercept	baseline	phase1_start	phase1_end	phase1_slope	phase1_intercept	phase1_baseline	phase1_exclude	phase1_SNR	phase2_start	phase2_end	phase2_slope	phase2_intercept	phase2_baseline	phase2_exclude	phase2_SNR	phase3_start	phase3_end	phase3_slope	phase3_intercept	phase3_baseline	phase3_exclude	phase3_SNR	phase4_start	phase4_end	phase4_slope	phase4_intercept	phase4_baseline	phase4_exclude	phase4_SNR
A1	0.35623166379	34.2043562797	-0.0108466846587	17.75	33.5	0.35623166379	34.2043562797	-0.0108466846587	False	450.023686498
A2	0.328694109751	37.5603361026	-0.0574071302645	19.5	37.75	0.328694109751	37.5603361026	-0.0574071302645	False	73.3031642433	45.25	48.25	0.806611614497	50.0776593466	1.91607686871	True	2.65146460921
A3			
A4			
A5			
A6			
A7			
A8			
A9			
A10			
A11			
A12			
B1	0.404476099709	32.2882650189	0.0188806733872	18.5	32.5	0.404476099709	32.2882650189	0.0188806733872	False	452.564487137	38.5	41.25	0.123589535395	36.3239877966	1.07161297622	True	4.11678663427	45.5	48.25	0.708579875024	49.2168977586	3.42125676861	True	2.82743017977
B2	0.279582157862	36.9090437903	-0.0207676249558	18.75	37.25	0.279582157862	36.9090437903	-0.0207676249558	False	46.1245807955
B3	0.232581334961	21.040614349	-0.186657775951	10.5	23.5	0.232581334961	21.040614349	-0.186657775951	False	33.0052121583
B4	0.136751503788	20.1089011078	-0.443413954929	9.75	27.75	0.136751503788	20.1089011078	-0.443413954929	False	37.9040660828
B5	0.324017123903	21.4111168233	-0.0987463295873	7.75	22.75	0.324017123903	21.4111168233	-0.0987463295873	False	38.5609656913
B6	0.0824557412106	16.8448453928	-1.43599159482	19.0	34.25	0.0824557412106	16.8448453928	-1.43599159482	False	65.3679893678
B7	0.375307557666	25.3338441724	-0.11773245085	17.5	26.0	0.375307557666	25.3338441724	-0.11773245085	False	33.6801859337
B8	0.257043111724	23.6016847549	-0.168519807275	11.25	27.0	0.257043111724	23.6016847549	-0.168519807275	False	32.7409524931
B9	0.160675118111	15.4494907086	-0.404643020809	6.25	22.5	0.160675118111	15.4494907086	-0.404643020809	False	39.5665940203	32.75	48.25	0.0766893322938	35.3724797931	3.27389226218	False	4.10889986477
B10	0.1930822331	19.2824377848	-0.458499295671	13.75	23.5	0.1930822331	19.2824377848	-0.458499295671	False	46.635651486
B11	0.30912857726	25.2749079481	-0.102495711393	13.0	27.25	0.30912857726	25.2749079481	-0.102495711393	False	35.3701609036
B12			
C1	0.317521493238	35.1839306854	-0.00762746180608	18.0	34.25	0.317521493238	35.1839306854	-0.00762746180608	False	244.520780806
C2	0.39633386598	34.0156108726	-0.012603083768	23.0	34.0	0.39633386598	34.0156108726	-0.012603083768	False	104.08427291	43.75	48.25	0.0464015067688	44.4661539067	1.26805874893	True	2.46889162322
C3	0.36003295383	18.2823906896	-0.0608000388299	6.75	19.0	0.36003295383	18.2823906896	-0.0608000388299	False	37.3326425149	36.0	47.5	0.306044777756	49.497985827	3.15842921714	False	1.7846941092
C4	0.177506296614	17.3248947427	-0.335163886703	8.0	21.75	0.177506296614	17.3248947427	-0.335163886703	False	27.2166246241
C5	0.282455599622	21.8615831527	-0.131195148718	8.25	23.75	0.282455599622	21.8615831527	-0.131195148718	False	36.315109362	28.5	33.0	0.00593170184567	-596.338219182	-38.156661662	False	21.4110227246
C6	0.363551869837	30.521822118	-0.0859353750885	17.5	31.5	0.363551869837	30.521822118	-0.0859353750885	False	70.4501945889
C7	0.239560347926	25.1995488259	-0.248705804361	17.0	27.5	0.239560347926	25.1995488259	-0.248705804361	False	29.1022193583
C8	0.247913779554	22.7579064698	-0.21505350357	12.25	26.25	0.247913779554	22.7579064698	-0.21505350357	False	30.0775756272
C9	0.0868582669705	11.2584448464	-1.37191388715	11.75	31.25	0.0868582669705	11.2584448464	-1.37191388715	False	54.8337618115
C10	0.223939635982	19.9011182598	-0.176523108918	7.0	23.0	0.223939635982	19.9011182598	-0.176523108918	False	25.1077044154
C11	0.384172472365	24.003593773	-0.055415171944	12.75	25.5	0.384172472365	24.003593773	-0.055415171944	False	53.6941788407
C12			
D1	0.340160739789	33.4235707775	0.000865718332094	17.5	33.0	0.340160739789	33.4235707775	0.000865718332094	False	407.201714743
D2	0.407487612815	34.1465307674	-0.029382455877	17.25	34.0	0.407487612815	34.1465307674	-0.029382455877	False	98.5413768829
D3	0.166678313293	19.4887369251	-0.252654528275	6.0	24.75	0.166678313293	19.4887369251	-0.252654528275	False	35.8168450372
D4	0.181766573723	19.8850893482	-0.32176721594	9.75	25.0	0.181766573723	19.8850893482	-0.32176721594	False	36.111256045
D5	0.122687495816	21.2848334821	-0.646967812203	14.25	32.0	0.122687495816	21.2848334821	-0.646967812203	False	44.641102823
D6	0.336502704132	29.7483985668	-0.0604015780504	13.25	31.25	0.336502704132	29.7483985668	-0.0604015780504	False	72.1068695827
D7	0.409563822059	24.5529293078	-0.0369701597948	10.25	25.25	0.409563822059	24.5529293078	-0.0369701597948	False	52.4448609066
D8	0.252203309261	26.0267387275	-0.12996602273	14.5	29.0	0.252203309261	26.0267387275	-0.12996602273	False	36.8757744385	31.0	35.25	0.157962055175	29.5208343143	1.02013574293	True	8.28323094739
D9	0.290433487217	20.2806081783	-0.127559212707	8.75	22.25	0.290433487217	20.2806081783	-0.127559212707	False	32.9911885581
D10	0.449385555656	18.8994134256	-0.0227818702089	8.25	19.5	0.449385555656	18.8994134256	-0.0227818702089	False	48.4843712014	21.75	24.75	0.396057964441	23.6931528149	1.33644748316	True	8.81866350176
