Experiment	Tray	Well	Strain	Medium_addition
odds-n-ends_042415	1	H9	GLUT7-6_3	butanol
odds-n-ends_042415	1	G6	GLUT5-4_2	butanol
odds-n-ends_042415	1	F12	M9 blank	butanol
odds-n-ends_042415	1	G12	M9 blank	butanol
odds-n-ends_042415	1	H6	GLUT5-4_3	butanol
odds-n-ends_042415	1	E3	GLUT2-9_3	butanol
odds-n-ends_042415	1	G7	GLUT5-9_3	butanol
odds-n-ends_042415	1	D3	GLUT2-9_2	butanol
odds-n-ends_042415	1	A2	GLUT1-9_1	butanol
odds-n-ends_042415	1	E1	MG1655_5	butanol
odds-n-ends_042415	1	A4	M9 blank	butanol
odds-n-ends_042415	1	A6	M9 blank	butanol
odds-n-ends_042415	1	G2	GLUT2-1_1	butanol
odds-n-ends_042415	1	D7	GLUT5-5_3	butanol
odds-n-ends_042415	1	C5	GLUT3-9_3	butanol
odds-n-ends_042415	1	D2	GLUT1-10_1	butanol
odds-n-ends_042415	1	D10	GLUT7-7_3	butanol
odds-n-ends_042415	1	G4	GLUT3-7_3	butanol
odds-n-ends_042415	1	H4	GLUT3-9_1	butanol
odds-n-ends_042415	1	E9	GLUT7-2_3	butanol
odds-n-ends_042415	1	H10	GLUT8-6_1	butanol
odds-n-ends_042415	1	E6	GLUT4-10_3	butanol
odds-n-ends_042415	1	C8	GLUT6-4_3	butanol
odds-n-ends_042415	1	G1	GLUT1-3_2	butanol
odds-n-ends_042415	1	D1	MG1655_4	butanol
odds-n-ends_042415	1	E8	GLUT6-5_2	butanol
odds-n-ends_042415	1	C2	GLUT1-9_3	butanol
odds-n-ends_042415	1	A1	MG1655_1	butanol
odds-n-ends_042415	1	B10	GLUT7-7_1	butanol
odds-n-ends_042415	1	H7	GLUT6-4_1	butanol
odds-n-ends_042415	1	F10	GLUT8-5_2	butanol
odds-n-ends_042415	1	B6	GLUT4-4_3	butanol
odds-n-ends_042415	1	B5	GLUT3-9_2	butanol
odds-n-ends_042415	1	F1	GLUT1-3_1	butanol
odds-n-ends_042415	1	A7	M9 blank	butanol
odds-n-ends_042415	1	G10	GLUT8-5_3	butanol
odds-n-ends_042415	1	E7	GLUT5-9_1	butanol
odds-n-ends_042415	1	C11	GLUT8-6_3	butanol
odds-n-ends_042415	1	C7	GLUT5-5_2	butanol
odds-n-ends_042415	1	H8	GLUT6-10_2	butanol
odds-n-ends_042415	1	A10	M9 blank	butanol
odds-n-ends_042415	1	C9	GLUT7-2_1	butanol
odds-n-ends_042415	1	H3	GLUT2-10_3	butanol
odds-n-ends_042415	1	B11	GLUT8-6_2	butanol
odds-n-ends_042415	1	D11	GLUT8-9_1	butanol
odds-n-ends_042415	1	A11	M9 blank	butanol
odds-n-ends_042415	1	G5	GLUT4-4_1	butanol
odds-n-ends_042415	1	A9	M9 blank	butanol
odds-n-ends_042415	1	E11	GLUT8-9_2	butanol
odds-n-ends_042415	1	C6	GLUT4-10_1	butanol
odds-n-ends_042415	1	E10	GLUT8-5_1	butanol
odds-n-ends_042415	1	A12	M9 blank	butanol
odds-n-ends_042415	1	D8	GLUT6-5_1	butanol
odds-n-ends_042415	1	F11	GLUT8-9_3	butanol
odds-n-ends_042415	1	B3	GLUT2-1_3	butanol
odds-n-ends_042415	1	G11	M9 blank	butanol
odds-n-ends_042415	1	C10	GLUT7-7_2	butanol
odds-n-ends_042415	1	G3	GLUT2-10_2	butanol
odds-n-ends_042415	1	F6	GLUT5-4_1	butanol
odds-n-ends_042415	1	G9	GLUT7-6_2	butanol
odds-n-ends_042415	1	C3	GLUT2-9_1	butanol
odds-n-ends_042415	1	H12	M9 blank	butanol
odds-n-ends_042415	1	C4	GLUT3-5_2	butanol
odds-n-ends_042415	1	B7	GLUT5-5_1	butanol
odds-n-ends_042415	1	D6	GLUT4-10_2	butanol
odds-n-ends_042415	1	C12	M9 blank	butanol
odds-n-ends_042415	1	F5	GLUT4-1_3	butanol
odds-n-ends_042415	1	F2	GLUT1-10_3	butanol
odds-n-ends_042415	1	F7	GLUT5-9_2	butanol
odds-n-ends_042415	1	B9	GLUT6-10_3	butanol
odds-n-ends_042415	1	E12	M9 blank	butanol
odds-n-ends_042415	1	B12	M9 blank	butanol
odds-n-ends_042415	1	B1	MG1655_2	butanol
odds-n-ends_042415	1	G8	GLUT6-10_1	butanol
odds-n-ends_042415	1	H2	GLUT2-1_2	butanol
odds-n-ends_042415	1	B8	GLUT6-4_2	butanol
odds-n-ends_042415	1	B4	GLUT3-5_1	butanol
odds-n-ends_042415	1	H5	GLUT4-4_2	butanol
odds-n-ends_042415	1	D5	GLUT4-1_1	butanol
odds-n-ends_042415	1	A8	M9 blank	butanol
odds-n-ends_042415	1	A3	M9 blank	butanol
odds-n-ends_042415	1	E5	GLUT4-1_2	butanol
odds-n-ends_042415	1	C1	MG1655_3	butanol
odds-n-ends_042415	1	D12	M9 blank	butanol
odds-n-ends_042415	1	E4	GLUT3-7_1	butanol
odds-n-ends_042415	1	F3	GLUT2-10_1	butanol
odds-n-ends_042415	1	F8	GLUT6-5_3	butanol
odds-n-ends_042415	1	D4	GLUT3-5_3	butanol
odds-n-ends_042415	1	B2	GLUT1-9_2	butanol
odds-n-ends_042415	1	A5	M9 blank	butanol
odds-n-ends_042415	1	F4	GLUT3-7_2	butanol
odds-n-ends_042415	1	D9	GLUT7-2_2	butanol
odds-n-ends_042415	1	F9	GLUT7-6_1	butanol
odds-n-ends_042415	1	E2	GLUT1-10_2	butanol
odds-n-ends_042415	1	H11	M9 blank	butanol
odds-n-ends_042415	1	H1	GLUT1-3_3	butanol
odds-n-ends_042415	2	G8	23BD6-1_2	butanol
odds-n-ends_042415	2	G9	M9 blank	butanol
odds-n-ends_042415	2	G5	ADIP6-10_2	butanol
odds-n-ends_042415	2	D3	PUTR5-1_2	butanol
odds-n-ends_042415	2	C6	HEXA8-5sm_2	butanol
odds-n-ends_042415	2	E3	don't use	butanol
odds-n-ends_042415	2	A3	M9 blank	butanol
odds-n-ends_042415	2	H9	M9 blank	butanol
odds-n-ends_042415	2	A4	M9 blank	butanol
odds-n-ends_042415	2	G3	PUTR6-7_2	butanol
odds-n-ends_042415	2	G7	M9 blank	butanol
odds-n-ends_042415	2	H3	PUTR8-3_2	butanol
odds-n-ends_042415	2	B3	PUTR4-8_3	butanol
odds-n-ends_042415	2	B2	COUM4-2_2	butanol
odds-n-ends_042415	2	E1	MG1655_5	butanol
odds-n-ends_042415	2	H4	HMDA6-10_2	butanol
odds-n-ends_042415	2	A6	M9 blank	butanol
odds-n-ends_042415	2	G2	COUM8-6_2	butanol
odds-n-ends_042415	2	G1	BUT9-10_3	butanol
odds-n-ends_042415	2	D7	PUTR6-7_3	butanol
odds-n-ends_042415	2	C5	HMDA8-10_1	butanol
odds-n-ends_042415	2	D2	COUM6-5_2	butanol
odds-n-ends_042415	2	F6	HEXA7-4sm_3	butanol
odds-n-ends_042415	2	G4	HMDA6-10_1	butanol
odds-n-ends_042415	2	D9	PUTR6-7_3	butanol
odds-n-ends_042415	2	H6	23BD8-5_3	butanol
odds-n-ends_042415	2	C4	PUTR8-6_3	butanol
odds-n-ends_042415	2	B7	12PD7-5_1	butanol
odds-n-ends_042415	2	A9	M9 blank	butanol
odds-n-ends_042415	2	D6	HEXA8-5sm_3	butanol
odds-n-ends_042415	2	C8	HEXA8-5sm_2	butanol
odds-n-ends_042415	2	F5	ADIP6-10_1	butanol
odds-n-ends_042415	2	E6	HEXA7-4sm_2	butanol
odds-n-ends_042415	2	F2	COUM7-9_2	butanol
odds-n-ends_042415	2	F7	M9 blank	butanol
odds-n-ends_042415	2	D1	MG1655_4	butanol
odds-n-ends_042415	2	E8	HEXA7-4sm_2	butanol
odds-n-ends_042415	2	B9	12PD7-5_1	butanol
odds-n-ends_042415	2	E9	PUTR8-10_3	butanol
odds-n-ends_042415	2	C2	COUM4-10_3	butanol
odds-n-ends_042415	2	A1	MG1655_1	butanol
odds-n-ends_042415	2	B1	MG1655_2	butanol
odds-n-ends_042415	2	H2	COUM8-6_3	butanol
odds-n-ends_042415	2	B8	HEXA8-5sm_1	butanol
odds-n-ends_042415	2	H7	M9 blank	butanol
odds-n-ends_042415	2	D8	HEXA8-5sm_3	butanol
odds-n-ends_042415	2	B4	PUTR8-6_2	butanol
odds-n-ends_042415	2	B6	HEXA8-5sm_1	butanol
odds-n-ends_042415	2	B5	HMDA8-9_2	butanol
odds-n-ends_042415	2	F1	BUT8-10_3	butanol
odds-n-ends_042415	2	A8	M9 blank	butanol
odds-n-ends_042415	2	A7	M9 blank	butanol
odds-n-ends_042415	2	E5	ADIP6-3_2	butanol
odds-n-ends_042415	2	E7	PUTR8-10_3	butanol
odds-n-ends_042415	2	C1	MG1655_3	butanol
odds-n-ends_042415	2	G6	23BD6-1_2	butanol
odds-n-ends_042415	2	C7	12PD7-7_3	butanol
odds-n-ends_042415	2	H8	23BD8-5_3	butanol
