evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
NA,butanol,MG1655,1,0.4747072164851513,-0.0025111626244779806,0.9947379172001649,hmda_012215
HMDA,butanol,HMDA1-8,1,0.38476101334397883,-0.09245736576565045,0.8062577431779705,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,MG1655,2,0.4793927792020138,0.0021744000923845097,1.0045564047563327,hmda_012215
HMDA,butanol,HMDA1-8,2,0.44416053300223596,-0.03305784610739332,0.9307280533304878,hmda_012215
HMDA,butanol,HMDA2-1,3,0.40849135947196963,-0.06872701963765965,0.8559841308587336,hmda_012215
HMDA,butanol,HMDA3-4,1,0.7244743105291482,0.24725593141951896,1.5181190462128407,hmda_012215
HMDA,butanol,HMDA3-6,2,0.7904150762419178,0.3131966971322885,1.656296385140563,hmda_012215
HMDA,butanol,HMDA4-6,3,0.4359064978065563,-0.04131188130307295,0.9134319147972662,hmda_012215
HMDA,butanol,HMDA5-5,1,0.5811968392916503,0.10397846018202106,1.2178844418691899,hmda_012215
HMDA,butanol,HMDA6-3,2,0.413454836116125,-0.06376354299350429,0.8663849805775059,hmda_012215
HMDA,butanol,HMDA6-10,3,0.4637901876372937,-0.013428191472335593,0.9718615374843919,hmda_012215
HMDA,butanol,HMDA7-10,1,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA8-9,2,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,MG1655,3,0.47547882627905763,-0.0017395528305716446,0.9963548075541072,hmda_012215
HMDA,butanol,HMDA1-8,3,0.36529869276162036,-0.11191968634800892,0.7654749036346353,hmda_012215
HMDA,butanol,HMDA2-8,1,0.6174878698287096,0.14026949071908035,1.2939314512169215,hmda_012215
HMDA,butanol,HMDA3-4,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA3-6,3,0.733175259499661,0.2559568803900317,1.5363516821535321,hmda_012215
HMDA,butanol,HMDA4-9,1,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA5-5,2,0.5536108774568842,0.07639249834725492,1.1600787012641556,hmda_012215
HMDA,butanol,HMDA6-3,3,0.31355320488101485,-0.16366517422861443,0.6570434388256946,hmda_012215
HMDA,butanol,HMDA7-1,1,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA7-10,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA8-9,3,0.5152818840737172,0.038063504964087946,1.0797611882323246,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,MG1655,4,0.4836810638708857,0.006462684761256443,1.0135424054147164,hmda_012215
HMDA,butanol,HMDA1-10,1,0.4713446732637377,-0.005873705845891586,0.9876917861863358,hmda_012215
HMDA,butanol,HMDA2-8,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA3-4,3,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA4-2,1,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA4-9,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA5-5,3,0.5684779531470018,0.0912595740373725,1.191232312149503,hmda_012215
HMDA,butanol,HMDA6-7,1,0.4031972961415414,-0.0740210829680879,0.8448905444375533,hmda_012215
HMDA,butanol,HMDA7-1,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA7-10,3,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA8-10,1,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
NA,butanol,MG1655,5,0.47283200971103767,-0.004386369398591605,0.9908084650746782,hmda_012215
HMDA,butanol,HMDA1-10,2,0.4793871265969125,0.00216874748728324,1.0045445598539804,hmda_012215
HMDA,butanol,HMDA2-8,3,0.48071178233701506,0.003493403227385783,1.0073203451088861,hmda_012215
HMDA,butanol,HMDA3-5,1,0.634807741092748,0.15758936198311868,1.3302248381069086,hmda_012215
HMDA,butanol,HMDA4-2,2,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA4-9,3,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA5-10,1,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA6-7,2,0.37985837634340075,-0.09736000276622853,0.7959843815154856,hmda_012215
HMDA,butanol,HMDA7-1,3,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA8-5,1,0.6887318799278629,0.2115135008182336,1.4432216152547712,hmda_012215
HMDA,butanol,HMDA8-10,2,0.5347310920784246,0.05751271296879534,1.1205165506745565,hmda_012215
NA,butanol,M9 blank,0,0.0,-0.4772183791096293,0.0,hmda_012215
HMDA,butanol,HMDA1-6,1,0.5046591993432429,0.027440820233613605,1.0575015997598654,hmda_012215
HMDA,butanol,HMDA1-10,3,0.4548741482928259,-0.022344230816803368,0.9531781846740854,hmda_012215
HMDA,butanol,HMDA2-9,1,0.0,-0.4772183791096293,0.0,hmda_012215
