name	slope	intercept	baseline	phase1_start	phase1_end	phase1_slope	phase1_intercept	phase1_baseline	phase1_exclude	phase1_SNR	phase2_start	phase2_end	phase2_slope	phase2_intercept	phase2_baseline	phase2_exclude	phase2_SNR	phase3_start	phase3_end	phase3_slope	phase3_intercept	phase3_baseline	phase3_exclude	phase3_SNR	phase4_start	phase4_end	phase4_slope	phase4_intercept	phase4_baseline	phase4_exclude	phase4_SNR
A01	0.0604937959484	69.2686104862	1.35238398969	13.17312	27.17476	0.0323692251536	30.8838092542	0.0843702965401	True	1.08948224885	41.84288	77.34668	0.0604937959484	69.2686104862	1.35238398969	False	8.64557390263
A02	0.691016249504	7.95261272453	0.152575355824	1.67192	9.67269	0.691016249504	7.95261272453	0.152575355824	False	127.878055474	13.33973	15.67341	0.223354129849	11.0699310646	4.34599793984	True	18.7634938753	19.34035	25.17454	0.179462277355	18.5969744092	7.11787375068	False	66.6320630392	38.0091	45.84346	0.034362129719	-12.2884202627	8.08321044124	True	37.1088569605
A03	0.753257401036	10.6983793459	0.262609790527	4.17201	12.3396	0.753257401036	10.6983793459	0.262609790527	False	135.275996958	89.5147	138.35316	0.0136945914271	-9.51896590495	21.5416413618	False	90.1467320278	150.85452	156.68863	0.0767528428854	146.38523843	28.9047202685	True	1.3743023529	162.02255	169.85666	0.155713728303	167.66932837	31.1476423297	True	1.81747897973
A04	0.00762386764735	-312.714542944	27.3090989183	0.17157	11.17298	0.403922473478	5.12589064154	-0.0677611179772	False	460.660837959	32.50852	40.84284	0.0277802965081	-73.0098301008	14.5705225578	True	220.089660834	72.34615	94.01511	0.056376337862	69.9975515985	45.9499177213	True	57.5961567175	100.01588	141.6868	0.00762386764735	-312.714542944	27.3090989183	False	369.212020285
A05	0.521528544997	13.9391844987	0.173913847246	8.33919	16.84011	0.521528544997	13.9391844987	0.173913847246	False	207.569639198	28.34144	32.67527	0.135617899602	24.3389612132	7.50414444144	True	27.8988038964	44.84322	53.67752	0.0161534313259	-107.648527319	1.60323826407	True	31.5607970316	133.85278	147.68759	0.00579448261625	-402.613227672	2.27010989324	True	4.75298424995
A06	0.81531771264	4.40177193051	-0.52357943157	3.50531	7.00577	0.81531771264	4.40177193051	-0.52357943157	False	188.0759742	35.00882	46.84349	0.0180995542692	-112.535315267	13.9382534148	True	20.6544217061	101.01601	116.18422	0.117727937816	117.091326591	35.5384074104	False	4.03951282617	127.18531	136.68626	0.0566057185954	122.21384006	36.1931587355	True	2.7079614942
A07	0.691177181671	4.58580431055	0.412843702129	2.33857	7.50578	0.691177181671	4.58580431055	0.412843702129	False	179.047748102	20.67389	24.50769	0.136602461855	17.331543654	16.218554112	True	4.74449543588	129.85216	142.52023	0.0965392888141	139.72960998	26.6145056012	True	3.00563652637	153.35484	167.35646	0.0184814364035	60.724871799	23.28540455	False	7.38328598031
A08	0.874542198628	6.79853187556	-0.153295004647	5.50554	8.83932	0.874542198628	6.79853187556	-0.153295004647	False	425.159016898	21.34066	24.84105	0.0731772758223	-1.04750994464	12.9590490158	True	3.80185371244	38.34248	49.17701	0.0414042640649	-4.44420569261	17.452173346	True	21.4869138514	97.34881	114.01736	0.0133068108291	-6.54532657004	28.4495927296	True	4.84175502825
B01	0.852341987605	8.64111079538	0.404396019361	5.33893	10.67286	0.852341987605	8.64111079538	0.404396019361	False	334.444863928	31.17509	44.67649	0.040270170401	-8.75398081497	13.9694697095	True	37.80007163	62.51183	70.01252	0.0303151438785	25.6470232397	24.4537646549	True	1.47856031714	86.68105	117.51763	0.0178941526429	24.0529827377	26.4431141353	False	18.6290849184
B02	0.670117545829	9.30288396688	0.175654677997	6.33893	11.00616	0.670117545829	9.30288396688	0.175654677997	False	37.6639373228	20.00724	24.67437	0.155651672746	16.1569099295	8.1700839472	False	18.7144293114	63.17853	67.17887	0.643365678573	67.6771202353	20.0401859423	True	1.74301923581	83.84739	106.18301	0.0104780477502	-113.849369755	13.8066038354	False	8.28442432163
