name	slope	intercept	baseline	phase1_start	phase1_end	phase1_slope	phase1_intercept	phase1_baseline	phase1_exclude	phase1_SNR	phase2_start	phase2_end	phase2_slope	phase2_intercept	phase2_baseline	phase2_exclude	phase2_SNR	phase3_start	phase3_end	phase3_slope	phase3_intercept	phase3_baseline	phase3_exclude	phase3_SNR	phase4_start	phase4_end	phase4_slope	phase4_intercept	phase4_baseline	phase4_exclude	phase4_SNR
B03	0.742738987705	8.04026720821	0.310933608002	2.50516	10.0061	0.742738987705	8.04026720821	0.310933608002	False	152.430453792	145.52066	164.02277	0.0291769507953	100.410596651	26.9405983134	False	9.79047307089	177.35751	189.35878	0.0104875467833	-81.7930430995	20.2203859792	True	2.62045893079
B04	0.449377455586	6.77952827806	-0.0318977408133	0.83836	12.3396	0.449377455586	6.77952827806	-0.0318977408133	False	466.181098303	34.84222	43.17638	0.0345111980732	-45.0230647407	21.2628292582	False	226.461951194	72.84615	100.51593	0.0434613868538	57.1735669655	49.0909516481	False	111.645191358	178.02429	186.52518	0.0489848545042	145.547677892	71.4587890736	True	13.8854630059
B05	0.500113396805	9.71701586962	0.136979170955	3.00528	12.3396	0.500113396805	9.71701586962	0.136979170955	False	96.8228106951	16.50687	19.17368	0.493427029262	18.1300258141	6.28060256611	True	7.95712627017	32.34179	50.51047	0.0469269379359	14.7145816121	8.15564017843	False	79.628145554	128.01877	149.6877	0.0643842216545	134.112691136	19.5352227471	False	4.22943612611
B06	0.870081491708	3.98413835995	-0.500661496259	3.33864	6.33893	0.870081491708	3.98413835995	-0.500661496259	False	183.667848979	33.34198	44.67649	0.015443736719	-155.874283752	12.0880180797	True	16.5407221449	108.84998	122.68488	0.0398209950954	92.3997478777	36.4857023127	True	7.3379941109	131.019	148.68765	0.00620202902367	-369.603055596	18.4871048093	True	18.7950388795
B07	0.612582395408	13.5418483979	0.480471685251	8.50595	16.50687	0.612582395408	13.5418483979	0.480471685251	False	414.798476251	46.34337	56.67787	0.0472210881902	29.0634515951	18.8670670138	True	7.63036015642	105.8497	119.0178	0.106752778315	121.487705217	26.7569509347	True	2.15480707623	131.68573	146.68742	0.0861313642801	147.848781879	27.8012184725	True	2.49808483857
B08	0.424562887119	26.4594310905	0.138119490214	15.50665	29.34148	0.424562887119	26.4594310905	0.138119490214	False	84.2288562316	61.1783	70.8459	0.0473034936559	42.8506318376	8.10345290192	True	12.3364851816	149.52106	165.18961	0.0192786611157	53.6203674101	13.8254212959	False	1.97322293864
C01	0.724323057427	9.93467955981	0.0654482466002	4.50552	11.67291	0.724323057427	9.93467955981	0.0654482466002	False	128.427409742	142.02023	164.85619	0.016447091217	-3.3573525965	17.2707503415	False	7.57741199774
C02			
C03	0.562285703295	8.52166817926	0.28873404358	3.00528	12.50634	0.562285703295	8.52166817926	0.28873404358	False	374.092085763	71.51277	92.01493	0.035092989069	35.4875358296	47.976746936	False	63.5438363065	94.01511	114.51731	0.0163836889094	-68.2681044099	41.5680729471	False	180.720236173	169.19005	176.1907	0.0812133722155	157.536639271	74.2419087	True	7.81802054308
C04	0.395871946529	27.5611043233	0.361894070181	13.83984	31.17509	0.395871946529	27.5611043233	0.361894070181	False	87.3925761314	36.17568	43.00968	0.163333505752	36.2404349793	5.61321791972	False	48.8378955196	137.68636	153.1882	0.00971567352422	-120.275201904	10.6875541868	True	2.98546445856
C05	0.965950540351	4.34041094	-0.271445733797	3.33864	6.33893	0.965950540351	4.34041094	-0.271445733797	False	179.130023166	96.68208	114.51731	0.00629868148433	-316.135596337	23.7574839609	True	12.7689332455	126.18524	155.35512	0.0151038900113	-8.66418286912	32.480533724	False	49.106572124	183.85822	189.35878	0.0959185402605	176.17460091	48.089576596	True	1.98159742482
C06	0.471946181279	5.49113189658	-0.433868855787	3.67216	9.50602	0.471946181279	5.49113189658	-0.433868855787	False	55.6389968668	44.17657	65.17873	0.0114042276791	-148.388809352	7.67651473663	False	40.6631381457	98.01561	120.85139	0.0287263218015	69.3955595204	20.5496498323	False	20.38402952	171.85703	179.85783	0.128800420645	173.99304171	30.0211536819	True	2.06524525466
C07	0.418644391123	13.0153532016	0.154922127025	8.83932	18.00695	0.418644391123	13.0153532016	0.154922127025	False	87.8446372126	29.50822	31.17509	3.50651948723	31.3064744039	16.6199101052	True	3.35302161611	41.84288	65.51214	0.029938876232	-1.30923805086	15.7564581451	False	53.7744940455	102.34937	116.01746	0.0300407956717	99.4414196846	26.2132637048	True	1.08869100773
C08	0.664568542529	8.18122240654	0.242357816577	2.50516	9.83939	0.664568542529	8.18122240654	0.242357816577	False	151.742374124	88.68127	104.01627	0.0208868976565	19.6737524477	17.5228239558	False	5.88852860892	143.52036	155.68842	0.0774119132251	138.694734922	27.6792880786	True	2.01760358605	168.35652	182.52477	0.0318790338994	109.084906802	27.8313203969	True	2.01890169478
D01	0.0711649330306	61.3330072101	0.770605028913	39.67604	72.34615	0.0711649330306	61.3330072101	0.770605028913	False	11.9059274315
D02	0.68451323184	9.1805733645	0.41828726147	0.00502	1.83855	1.78614509591	2.50731513133	0.140494382291	True	1.09428460947	5.17212	11.00616	0.68451323184	9.1805733645	0.41828726147	False	186.356066322	25.50777	27.34136	0.261999333136	24.1643792523	9.62156322533	True	15.9774249749
D03	0.760227214871	7.94871269606	0.572919401774	4.17201	10.0061	0.760227214871	7.94871269606	0.572919401774	False	246.439329222	22.00744	24.17433	0.599700225359	23.5519212154	15.2978365902	True	11.7042649952	39.34267	52.01062	0.0101078785444	-288.891826297	-7.13995549192	False	169.269987232	83.68072	117.35099	0.0153103539205	-32.7057598343	22.8814627198	False	65.5433680232
D04	0.419604919386	6.64939202239	0.0150073418202	0.00502	12.67303	0.419604919386	6.64939202239	0.0150073418202	False	285.992080978	32.67527	40.00934	0.0362580436588	-44.0674620149	18.8735531379	False	250.629591575	67.01231	70.51255	0.0881636667469	62.7576934672	48.5819271569	True	2.48864901306	77.51336	92.51502	0.0264507949617	2.33422517452	43.9937323697	False	71.0924712237
D05	0.499249103866	14.2475452214	0.123251133207	9.33944	17.34023	0.499249103866	14.2475452214	0.123251133207	False	190.909731746	21.67403	24.84105	0.155829860615	19.9499770286	6.75656855769	True	5.07058865889	28.00809	32.00851	0.0248262400333	-67.3250204741	-1.27106740388	True	9.81921865515	50.67717	55.17758	0.0882441616464	43.8872942782	12.9222092935	True	6.71055567534
D06	0.887457046313	4.62855227944	-0.259612864826	3.67216	7.00577	0.887457046313	4.62855227944	-0.259612864826	False	178.408577402	85.51431	100.18242	0.0607886579147	93.560292847	36.8443963955	True	2.91782453701	109.35011	125.68514	0.0316743437028	77.9455954169	36.2775422952	False	14.6783583144	130.6857	142.68689	0.0398782241849	104.45894383	38.5967972845	True	9.92799772141
D07	0.767888389576	5.22088585942	0.564349753868	2.50516	7.6725	0.767888389576	5.22088585942	0.564349753868	False	162.551529417	12.17295	14.00646	0.748594537829	13.5338702224	13.0871381647	True	3.74937020557	141.35339	163.85603	0.0268698168294	93.3116897962	25.7041461358	False	7.91926172199
D08			
E01	0.891909630894	7.73791467359	0.106998700178	0.33833	9.83939	0.891909630894	7.73791467359	0.106998700178	False	204.913220976	31.67514	45.67656	0.0453823591066	-5.7074817466	14.8151471192	False	94.971028965	83.18065	100.34921	0.0228439076433	16.5549531909	27.2405060872	False	18.2492796379	118.35114	136.51974	0.0155649128878	-45.3210043429	24.5949611886	False	20.6916532489
E02	0.667308065376	9.41113352214	0.270185987213	2.33857	11.50621	0.667308065376	9.41113352214	0.270185987213	False	180.448794661	41.34286	49.51035	0.0201287407368	-75.0128394544	6.90482750078	True	26.81934112	82.51398	97.0155	0.052969465511	74.3992529083	21.8984286079	True	5.94113917523	103.68298	136.51974	0.0120598897175	-109.605635837	12.9527177709	False	21.5090927447
E03	0.726949280478	9.4595920234	0.482011347631	6.00562	11.50621	0.726949280478	9.4595920234	0.482011347631	False	130.502217246	38.84258	48.84363	0.0323046458208	-25.6666099959	10.0322498529	False	90.8022852362	83.01397	100.18242	0.0432305528184	70.4142369158	24.615491076	True	8.64105877622	115.01743	153.02148	0.0182827467815	10.3528569582	23.344900406	False	26.8949733856
E04	0.015848176473	-80.1623636111	41.9187635721	1.67192	10.67286	0.482231148917	6.06852258904	0.251200831901	False	475.874480235	31.34177	38.34248	0.0499192171234	-17.8816322917	25.1151229969	False	258.996484429	67.84554	115.35072	0.015848176473	-80.1623636111	41.9187635721	False	356.231885402
E05	0.458346269677	11.8322485344	0.360386180888	3.67216	14.8399	0.458346269677	11.8322485344	0.360386180888	False	199.599498419	19.84049	22.67416	0.153521505698	13.8397154296	4.85934176371	True	8.90535116998	29.50822	47.51015	0.0427642682918	8.98324821047	7.46248797328	False	64.7244507745	94.68192	111.85038	0.0112650976319	-117.20403668	8.78031561933	False	7.70998881967
E06	0.873199203694	4.48107671995	-0.029447324836	3.33864	6.83902	0.873199203694	4.48107671995	-0.029447324836	False	573.188575289	32.00851	42.3429	0.00653811579644	-565.327964661	-20.7123507827	True	23.7945255386	106.34979	123.51825	0.0227311150177	39.1888095449	34.8588448147	False	14.7792563723
E07	0.578884834652	13.7599143717	0.479218032787	9.67269	17.17354	0.578884834652	13.7599143717	0.479218032787	False	177.71827442	22.34067	24.50769	1.15179629175	24.0617744077	13.4936603532	True	3.80587782243	39.34267	59.67806	0.0359373006831	4.88418357384	15.5650885048	False	53.4962985125	99.84912	125.85194	0.0985674259678	126.871784736	26.4358083227	False	1.85868186188
E08	0.843735421658	8.86837962775	0.494369559757	6.67237	10.17276	0.843735421658	8.86837962775	0.494369559757	False	137.940364877	35.84218	49.34365	0.0398774998386	-3.02688737635	13.9891977228	False	134.35220053	62.01176	65.67886	0.357401781766	65.3176399302	24.8056874418	True	5.44508509525	85.68089	117.01762	0.00951501535958	-156.225031306	17.943162393	False	47.9669000801
F01	0.00989670635605	-242.887547974	-9.75921823071	26.34119	31.8418	0.541550673222	30.9483363889	0.804253041741	False	32.5318337625	55.84443	68.51234	0.00989670635605	-242.887547974	-9.75921823071	False	39.4027674061	133.51932	160.35573	0.00740535292191	-329.714685728	-6.12241053659	False	3.46000690731
F02			
F03	0.0279066084294	1.83111222983	43.618302896	3.17197	14.17325	0.44446829744	8.54550245698	0.0466743008715	False	200.789036188	35.84218	42.6763	0.0757122551241	12.9972976756	32.4022297153	True	32.2758319085	66.17873	92.6817	0.0279066084294	1.83111222983	43.618302896	False	202.355403721	126.85187	138.35316	0.0120518127106	-154.370377755	39.4310522817	True	41.2197761715
F04	0.030226167915	-22.5175431357	-1.49123266601	26.34119	33.34198	0.405523258102	31.1883665469	0.90469040878	False	38.6418951183	40.67609	53.5108	0.030226167915	-22.5175431357	-1.49123266601	False	56.0551662181	89.68145	126.51867	0.0162092655105	-55.5157021871	4.71567556487	False	22.1475314594	136.51974	152.18806	0.0302523758417	56.0500836018	15.4174718948	True	2.59505017099
F05	0.979942186165	4.85201569575	-0.177512777246	3.50531	6.83902	0.979942186165	4.85201569575	-0.177512777246	False	189.019052833	76.34664	94.34846	0.0652468476013	78.6056932275	36.1930991217	True	12.8418117922	108.68327	122.68488	0.0166241674939	-43.1727648467	28.773736266	True	24.5417260059	138.51981	163.35602	0.00709474318528	-402.338698238	2.57991512724	False	49.2673328496
F06	0.611665639312	5.14441761004	-0.228529276811	3.33864	7.6725	0.611665639312	5.14441761004	-0.228529276811	False	93.9624983211	28.34144	33.17528	0.194222041446	32.8204624002	13.9405051724	True	4.25837771338	40.34269	55.84443	0.00821316649277	-309.879042624	-1.92917352121	False	75.7797442352	94.68192	126.01855	0.00828305484536	-225.583849177	9.57405438443	False	58.878783492
F07	0.0166145754031	-95.9766998269	7.69128871241	9.50602	18.00695	0.399484582018	12.9646218835	0.0669806653898	False	76.5796641178	40.17603	57.51129	0.0166145754031	-95.9766998269	7.69128871241	False	82.270111513	74.34634	79.34692	0.098201349653	76.2938769215	22.8504443204	True	2.61507057917	103.84958	121.18462	0.0398717721381	98.424404593	24.6731737352	False	4.84285163557
F08	0.759664339296	10.8507585291	0.40823958225	3.83868	12.67303	0.759664339296	10.8507585291	0.40823958225	False	171.349291058	23.5076	26.84131	0.208497841465	21.7084995115	10.5869888107	True	21.4916595643	34.67542	49.34365	0.0547051404447	14.4753160647	12.8745655342	False	126.282438644	64.34527	68.34576	0.134607643173	65.2414740977	22.1007290358	True	2.93959210338
