,compound,clean_strain,pretty_name,slope,std,stderr
9,adipate,ADIP3-2,,0.30992146287620076,0.004266153280960141,0.0030166259145481544
170,adipate,proV,proV::kan,0.1530910618634752,0.002828108938323275,0.0016328094568385297
99,adipate,kgtP_ybjL,ΔkgtP ybjL::kan,0.2289466403537085,0.006688896292232333,0.0038618360749018274
49,adipate,MG1655,K-12 MG1655,0.1884660008610459,0.030213075431426036,0.01744352723338029
97,adipate,kgtP_sspA,ΔkgtP sspA::kan,0.16383089989697905,0.056038327452956005,0.032353743439900544
8,adipate,ADIP1-9,ADIP1-9,0.28407075897680273,0.010552606509213634,0.006092550208746689
95,adipate,kgtP_proV_ybjL,ΔkgtP ΔproV ybjL::kan,0.2979733420995893,0.034363392956180225,0.019839714173519544
14,adipate,ADIP6-3,ADIP6-3,0.3107015011360059,0.00813659626280006,0.004697666042614918
20,butanol,BUT7-7,BUT7-7,0.625432289530136,0.011800881565098155,0.0068132421482843125
18,butanol,BUT1-2,BUT1-2,0.5659401193654331,0.0036867732222677554,0.002128559512317393
19,butanol,BUT3-6,BUT3-6,0.49159374976810605,0.021221495582595968,0.012252236187218237
21,butanol,BUT9-7,BUT9-7,0.5661800163313621,0.022574147516872138,0.013033190145592451
80,butanol,cspC,cspC::kan,0.4701999389091928,0.010746165514046311,0.0062043015522909115
105,butanol,marC_rob_yobF,ΔmarC Δrob yobF::kan,0.4540117621547042,0.01045915812261339,0.0060385977575877015
277,butanol,yobF,yobF::kan,0.42462564682203724,0.01575702134364492,0.009097320514380074
282,butanol,ypjA_mprA_nadR_yhjK,ΔypjA ΔmprA ΔnadR yhjK::kan,0.16573756515902907,0.14749770942310791,0.08515784224028455
231,butanol,rob,rob::kan,0.41953201423669806,0.012477969479077871,0.007204159037685544
232,butanol,rob_yobF,Δrob yobF::kan,0.47243694225879085,0.0216798606480562,0.012516873381148822
106,butanol,marC_yobF,ΔmarC yobF::kan,0.4310429056087603,0.0196894745189845,0.01136772341373798
50,butanol,MG1655,K-12 MG1655,0.45597633543474547,0.005764080260603457,0.0033278932900900142
104,butanol,marC_rob_mppA_yobF,ΔmarC Δrob ΔmppA yobF::kan,0.4777371510718981,0.022256365367247732,0.012849718535963143
103,butanol,marC_rob_mppA,ΔmarC Δrob mppA::kan,0.4405910772242078,0.02066898792116983,0.011933245740164525
102,butanol,marC_rob,ΔmarC rob::kan,0.442644538983683,0.015720345818689106,0.009076145890174164
101,butanol,marC,marC::kan,0.3985437650604382,0.00913643331493148,0.005274922233808755
144,coumarate,nadR_rpoA,ΔnadR rpoA*,0.5037862573901698,0.030593835369324023,0.017663359086022318
145,coumarate,nadR_yhjK,ΔnadR yhjK::kan,0.4172733177243025,0.012423889063425968,0.0071729356951510306
280,coumarate,ypjA_mprA,ΔypjA mprA::kan,0.459543784742486,0.014965313153606946,0.008640227577742018
276,coumarate,yhjK,yhjK::kan,0.400178272677244,0.023481070491353614,0.013556802369043587
279,coumarate,ypjA,ypjA::kan,0.30205424643249495,0.05653657833590301,0.03264140872129397
281,coumarate,ypjA_mprA_nadR,ΔypjA ΔmprA nadR::kan,0.5335330062284401,0.03183376790118102,0.018379234467066928
143,coumarate,nadR_mprA_yhjK,ΔnadR ΔmprA yhjK::kan,0.6049294427912987,0.039402813748792696,0.022749225124694152
141,coumarate,nadR,nadR::kan,0.41711416752817804,0.010980797977267458,0.006339766668092266
140,coumarate,mprA_yhjK,ΔmprA yhjK::kan,0.5361732174800011,0.049782999566943494,0.02874222820104185
22,coumarate,COUM2-4,COUM2-4,0.6839220709189681,0.06097736698375633,0.03520529924254632
23,coumarate,COUM4-2,COUM4-2,0.3562595145614573,0.19968971649877273,0.08152298538383744
24,coumarate,COUM7-6,COUM7-6,0.6649493540452984,0.02539518429475128,0.014661916488694809
