,strain,compound,slope
0,proV_argG-1,putrescine,0.0988733282358037
1,proV-2,putrescine,0.10221609907485482
2,proV_rpsG1_spoT-3,putrescine,0.07133773225541919
3,PUTR3-1_1,putrescine,0.3590967235539375
4,proV_spoT-1,putrescine,0.0
5,PUTR8-10_3,putrescine,0.30950070746249714
6,proV_mreB-1,putrescine,0.2728465083336885
7,PUTR3-1_3,putrescine,0.3341719177109278
8,proV_spoT-3,putrescine,0.0
9,PUTR8-10_1,putrescine,0.3292598638181694
10,PUTR3-1_2,putrescine,0.3417904389984468
11,proV_rpsG1-2,putrescine,0.2031249151030615
12,proV-1,putrescine,0.08048284170312073
13,proV_rpsG1_argG-3,putrescine,0.2530901892156482
14,proV_ygaC_edd/zwf-2,putrescine,0.2529493517168277
15,proV_ygaC-3,putrescine,0.22718510933833805
16,proV_edd/zwf-2,putrescine,0.08402724901844737
17,rpsG1-1,putrescine,0.21559852235660804
18,proV_rpsG1_spoT-2,putrescine,0.11434191830218689
19,proV_spoT-2,putrescine,0.0
20,proV_rpsG1_mreB-2,putrescine,0.26411222238745474
21,proV-3,putrescine,0.24578255975613994
22,proV_mreB-2,putrescine,0.27778154933674476
23,proV_ygaC_edd/zwf-3,putrescine,0.2905645499763098
24,MG1655-2,putrescine,0.0
25,rpsG1-2,putrescine,0.23933718907256563
26,proV_argG-2,putrescine,0.16128180011510568
27,proV_rpsG1-3,putrescine,0.16096308185289837
28,proV_edd/zwf-3,putrescine,0.08066655638986957
29,proV_ygaC-2,putrescine,0.24812257246521138
30,PUTR8-10_2,putrescine,0.31530686322461343
31,rpsG1-3,putrescine,0.23462192226547585
32,proV_rpsG1-1,putrescine,0.18297824483888578
33,proV_argG-3,putrescine,0.11053416116974345
34,proV_edd/zwf-1,putrescine,0.11511943333217346
35,proV_rpsG1_argG-1,putrescine,0.2574964877265617
36,proV_rpsG1_spoT-1,putrescine,0.09577616772912047
37,proV_rpsG1_mreB-1,putrescine,0.2654505298002713
38,proV_mreB-3,putrescine,0.2605762173396249
39,proV_rpsG1_argG-2,putrescine,0.26258522618141933
40,proV_rpsG1_mreB-3,putrescine,0.27085158140983184
41,MG1655-3,putrescine,0.07827150321575771
42,MG1655-1,putrescine,0.0
43,proV_ygaC-1,putrescine,0.25468540263589223
44,proV_ygaC_edd/zwf-1,putrescine,0.223475279899685
45,HEXA1-1_3,hexanoate,0.6955456987098837
46,bioAB-3,hexanoate,0.2600375401250656
47,proQ-2,hexanoate,0.17444421260914317
48,HEXA2-9_3,hexanoate,0.5248746173035238
49,mdtK_ompR-2,hexanoate,0.28956133854847155
50,MG1655-2,hexanoate,0.21490415082279243
51,proQ-3,hexanoate,0.2028114312266415
52,ompR-1,hexanoate,0.2354999157615357
53,HEXA6-9_3,hexanoate,0.5088768144983045
54,mdtK-3,hexanoate,0.24945705286697775
55,HEXA4-10_2,hexanoate,0.7210940650467258
