,,,,TIME [h] ->,0.0101,0.17173,0.33844,0.5051,0.67178,0.8384,1.00521,1.1718,1.33847,1.50519,1.67186,1.8386,2.00531,2.17187,2.33851,2.5052,2.6719,2.83869,3.00536,3.17191,3.33861,3.50539,3.67203,3.83882,4.00535,4.17211,4.33884,4.50544,4.67216,4.8388,5.00554,5.17224,5.33886,5.50559,5.67228,5.8389,6.00551,6.17228,6.33891,6.50557,6.67225,6.83908,7.0057,7.17243,7.33899,7.50574,7.67247,7.8392,8.00574,8.17242,8.33914,8.5058,8.67251,8.83924,9.00586,9.17257,9.33924,9.50593,9.67268,9.83924,10.00598,10.17264,10.33932,10.50601,10.67262,10.83937,11.00603,11.1728,11.33948,11.50606,11.67288,11.83942,12.00624,12.17286,12.33957,12.50624,12.67291,12.8396,13.00626,13.17305,13.33966,13.5063,13.67306,13.83976,14.00636,14.17311,14.33971,14.50649,14.67316,14.83978,15.00655,15.17317,15.3398,15.50649,15.67321,15.83987,16.00666,16.17334,16.33998,16.50674,16.67328,16.83991,17.00663,17.17341,17.34003,17.50682,17.67336,17.84009,18.00665,18.17341,18.34015,18.50681,18.67345,18.84016,19.00684,19.17349,19.34024,19.5069,19.67366,19.84021,20.00694,20.17376,20.34035,20.50704,20.67375,20.84038,21.0071,21.17374,21.34034,21.50713,21.67369,21.84052,22.00715,22.17386,22.34053,22.50717,22.67381,22.8406,23.00718,23.17398,23.34065,23.50724,23.67394,23.84068,24.00731,24.17416,24.34071,24.50753,24.67415,24.84077,25.00753,25.17413,25.34072,25.50751,25.67418,25.84087,26.00747,26.17427,26.34094,26.50753,26.67427,26.84093,27.00765,27.17439,27.34098,27.50765,27.67436,27.84103,28.00773,28.17441,28.34103,28.50778,28.6745,28.84117,29.00769,29.17449,29.34126,29.5078,29.67453,29.84123,30.00785,30.17457,30.34124,30.50788,30.67474,30.84131,31.00805,31.17463,31.34129,31.50809,31.67475,31.84147,32.0082,32.17472,32.34143,32.50803,32.67481,32.84148,33.00816,33.17496,33.34155,33.5084,33.67501,33.84167,34.00837,34.17492,34.34166,34.50834,34.67505,34.84174,35.0084,35.17505,35.34178,35.50848,35.67519,35.84188,36.00852,36.17523,36.34182,36.50854,36.67525,36.84193,37.00848,37.17525,37.34187,37.50856,37.67531,37.84203,38.00861,38.17537,38.342,38.50867,38.67549,38.84205,39.0088,39.17548,39.34205,39.50879,39.67556,39.84216,40.0088,40.17556,40.34222,40.50906,40.67561,40.84218,41.00898,41.17564,41.34231,41.50903,41.67572,41.84239,42.00904,42.17584,42.3425,42.50908,42.6757,42.8424,43.00922,43.17586,43.34258,43.50917,43.67593,43.84263,44.00922,44.17588,44.34261,44.50925,44.67601,44.84269,45.00935,45.17603,45.34273,45.5094,45.67605,45.84275,46.00952,46.17612,46.34278,46.50958,46.67618,46.84289,47.00956,47.17618,47.34296,47.50958,47.6763,47.84296,48.00968,48.17623,48.34299,48.50967,48.67641,48.84306,49.00973,49.17645,49.34316,49.50978,49.67649,49.84313,50.00991,50.17649,50.34317,50.50995,50.67654,50.84331,51.01,51.17673,51.34328,51.51001,51.6766,51.84346,52.01001,52.17672,52.34338,52.51012,52.67674,52.84344,53.01,53.17679,53.34351,53.5102,53.67678,53.84349,54.01017,54.17682,54.34352,54.51033,54.67696,54.84363,55.01027
A01,X1,,,,0.158,0.046,0,0.085,0.098,0.14,0.155,0.01,0.161,0.107,0.164,0.224,0.161,0.116,0.205,0.085,0.087,0.129,0.228,0.146,0.068,0.145,0.184,0.178,0.193,0.204,0.212,0.134,0.192,0.286,0.303,0.146,0.154,0.176,0.257,0.168,0.248,0.223,0.171,0.239,0.176,0.274,0.288,0.259,0.299,0.242,0.276,0.201,0.178,0.181,0.198,0.146,0.192,0.186,0.249,0.218,0.23,0.128,0.23,0.241,0.31,0.105,0.145,0.114,0.249,0.255,0.2,0.208,0.147,0.208,0.203,0.232,0.275,0.147,0.22,0.139,0.128,0.203,0.147,0.257,0.228,0.243,0.153,0.136,0.228,0.193,0.237,0.17,0.237,0.242,0.309,0.198,0.265,0.315,0.286,0.201,0.178,0.294,0.306,0.346,0.318,0.288,0.294,0.393,0.335,0.309,0.271,0.282,0.39,0.556,0.443,0.545,0.352,0.603,0.428,0.548,0.553,0.521,0.556,0.562,0.621,0.618,0.562,0.638,0.635,0.679,0.583,0.741,0.688,0.726,0.84,0.873,0.9,0.888,0.785,0.776,0.785,0.9,0.955,1.049,0.955,0.943,0.993,1.058,1,1.081,1.155,1.181,1.155,1.267,1.287,1.258,1.112,1.389,1.295,1.264,1.318,1.38,1.435,1.318,1.373,1.454,1.503,1.535,1.541,1.599,1.635,1.537,1.755,1.554,1.793,1.742,1.644,1.648,1.67,1.959,1.839,1.774,1.784,1.797,1.901,1.939,1.982,2.121,2.027,1.972,2.218,2.046,2.146,2.131,2.153,2.218,2.221,2.26,2.325,2.274,2.176,2.371,2.27,2.491,2.443,2.368,2.368,2.521,2.653,2.436,2.443,2.663,2.588,2.866,2.723,2.716,2.875,2.702,2.887,2.771,2.908,2.901,2.901,3.113,3.019,3.157,2.901,3.301,3.399,3.366,3.453,3.41,3.493,3.54,3.551,3.59,3.637,3.612,3.626,3.669,3.634,3.699,3.821,3.926,3.709,4.167,4.114,4.114,4.022,4.397,4.303,4.159,4.653,4.429,4.401,4.299,4.864,4.19,4.746,4.934,4.88,5.182,4.746,5.149,4.922,5.255,5.541,5.422,5.365,5.561,5.761,5.475,5.708,5.708,5.786,5.59,5.892,5.746,5.733,5.99,6.027,6.203,6.101,6.275,6.203,6.726,7.193,6.459,6.951,6.67,6.964,6.661,6.924,7.226,7.334,7.165,7.422,7.895,7.45,7.614,7.88,7.731,7.693,7.848,7.801,8.199,8.199,8.372,8.021,8.003,7.843,8.161,8.593,8.742,8.401,9.004,8.604,8.549,8.48,8.616,8.256,8.828,8.495,8.855,8.84,8.616,8.685,8.583,8.783,8.954,8.891,8.634,8.68,8.83,9.191
A02,X2,,,,0.116,0.003,0.076,0.139,0.158,0.174,0.194,0.202,0.206,0.184,0.15,0.181,0.212,0.136,0.227,0.108,0.142,0.06,0.065,0.045,0,0.108,0.211,0.111,0.125,0.231,0.208,0.225,0.156,0.251,0.268,0.268,0.467,0.458,0.507,0.481,0.531,0.662,0.8,0.87,0.901,0.968,1.11,1.208,1.217,1.347,1.512,1.721,1.795,1.893,1.913,2.207,2.287,2.541,2.954,3.113,3.311,3.725,4.073,4.438,4.51,5.221,5.948,6.028,6.423,7.514,7.432,8.02,8.439,9.2,10.114,10.587,11.086,11.724,11.486,13.173,13.341,14.225,15.487,15.424,17.314,17.847,18.723,19.125,20.252,21.513,21.298,22.089,24.27,24.479,25.99,27.453,26.918,26.68,27.521,30.089,30.471,29.535,26.945,25.369,25.217,27.409,27.741,29.032,28.378,28.933,28.539,27.807,28.126,27.542,28.609,27.633,27.537,27.486,28.024,27.932,27.95,29.653,27.864,27.882,27.767,28.561,28.975,27.727,28.811,28.528,28.914,27.907,27.88,29.242,27.852,29.3,29.324,28.963,28.267,28.206,27.043,27.937,28.295,27.351,28.811,27.774,28.895,29.121,29.399,28.447,29.895,28.618,29.508,29.654,28.131,28.011,29.189,29.054,28.87,28.676,28.743,28.12,28.156,30.198,29.264,29.507,28.165,27.648,29.122,28.876,28.983,28.659,28.857,28.449,29.656,28.721,29.11,29.865,29.835,28.691,30.147,30.925,30.631,30.185,29.296,29.346,29.344,29.663,31.099,30.514,30.732,29.375,30.971,32.319,31.607,31.218,32.33,30.439,30.958,31.193,31.583,31.55,30.567,30.643,30.987,31.54,31.54,31.97,31.876,31.453,31.928,30.999,31.681,32.093,31.146,31.84,30.855,32.642,32.513,32.945,32.317,31.809,33.335,32.186,31.579,33.811,31.192,27.908,25.958,24.594,23.431,22.344,21.369,20.978,20.774,21.531,21.043,21.059,21.669,21.166,20.677,20.937,20.304,20.255,21.215,20.703,20.337,19.947,19.926,21.197,20.293,20.43,19.79,20.155,20.098,20.806,20.732,20.23,19.713,20.089,20.34,20.649,20.234,19.769,19.545,19.983,20.323,20.121,19.941,19.811,19.492,19.964,20.168,19.678,19.897,19.766,19.063,19.584,19.397,19.716,19.561,18.995,19.903,19.995,19.747,19.093,19.652,19.76,19.805,20.22,19.599,20.139,19.889,20.743,20.573,20.424,20.122,20.036,20.496,19.252,20.275,19.413,18.881,19.41,19.531,19.297,19.592,20.111,19.602,20.248,19.403,20.153,20.051,20.094,20.125,19.569,19.705,19.458,19.307,20.036,19.762,20.256,19.822,19.92,19.831,20.396,20.251,20.134,19.728,20.215,20.201,20.209,20.636,20.078,20.209
A03,X3,,,,0.306,0.086,0.143,0.133,0.17,0.153,0.235,0.22,0.261,0.199,0.244,0.229,0.16,0.142,0.163,0.191,0.154,0.069,0.136,0.175,0,0.105,0.111,0.099,0.024,0.189,0.227,0.24,0.331,0.331,0.407,0.439,0.635,0.558,0.736,0.741,0.945,0.955,0.965,1.159,1.159,1.351,1.364,1.556,1.564,1.668,1.888,2.068,1.949,2.237,2.508,2.679,2.788,3.259,3.354,3.672,4.033,4.411,4.573,5.063,5.037,5.275,5.322,5.444,5.486,5.461,5.567,5.322,5.772,5.864,5.857,5.758,5.9,5.804,5.878,5.985,6.194,5.985,5.964,5.981,6.113,6.506,6.29,6.364,6.496,6.437,6.411,6.535,6.411,6.514,6.454,6.444,6.48,6.813,6.625,6.672,6.459,6.54,6.683,6.502,6.945,7.023,7.148,7.152,6.936,7.125,7.192,7.079,7.245,7.423,7.592,7.376,7.664,7.753,7.809,7.989,7.933,8.03,7.937,7.624,7.68,7.676,7.528,7.833,7.829,7.877,7.523,7.841,7.954,7.692,8.038,8.263,8.558,8.284,8.888,8.231,8.888,9.397,9.448,9.573,9.706,10.043,10.522,11.07,11.434,11.281,11.683,12.253,13.198,13.838,14.494,14.919,15.077,15.176,16.832,16.544,16.813,18.003,18.275,18.462,18.992,19.446,20.317,19.089,20.234,20.995,20.167,21.787,22.52,22.559,21.95,22.911,22.392,22.886,22.604,23.549,22.49,23.008,23.161,24.588,23.792,24.021,24.369,23.763,24.613,24.864,23.083,24.29,25.269,23.106,23.795,24.508,24.224,24.726,24.143,23.558,23.72,24.369,23.842,24.832,24.645,24.783,23.745,23.767,23.632,24.369,25.457,24.856,25.934,24.216,23.685,25.197,25.384,25.294,24.621,25.075,23.759,23.744,24.491,24.856,24.441,24.742,24.978,24.677,25.034,26.009,24.393,25.156,25.611,24.961,24.628,24.766,25.352,24.425,24.125,24.726,24.921,25.051,25.619,24.531,24.158,24.198,24.905,24.385,24.074,24.465,24.733,25.589,25.531,24.66,24.864,23.977,24.391,25.937,24.383,23.585,24.423,23.885,25.426,25.255,24.082,24.554,24.407,24.074,25.523,24.611,23.674,24.831,24.969,24.545,25.483,24.145,24.096,25.533,25.41,24.553,25.574,24.52,26.211,25.255,24.422,24.226,25.215,25.027,23.76,25.223,24.536,24.618,23.811,24.601,24.496,25.754,25.648,24.486,25.6,24.29,25.379,24.322,23.691,24.748,24.83,24.239,24.305,23.839,23.691,24.502,23.624,25.157,24.436,25.428,24.444,23.363,23.726,24.037,23.986,24.879,23.853,25.002,24.108,24.305,24.215,23.469,25.452,22.551,23.521,23.879,23.471,24.298,24.167,23.839,23.479
A04,X4,,,,0.2,0.008,0.014,0.04,0.083,0.101,0.158,0.176,0.13,0.1,0.116,0.103,0.035,0.048,0.133,0.1,0.096,0.136,0.109,0.118,0.069,0.175,0.056,0.076,0,0.009,0.079,0.029,0.088,0.025,0.101,0.038,0.045,0.063,0.02,0.056,0.133,0.018,0.154,0.127,0.158,0.066,0.14,0.079,0.15,0.161,0.156,0.179,0.249,0.156,0.17,0.186,0.197,0.314,0.282,0.282,0.361,0.319,0.361,0.307,0.375,0.395,0.428,0.466,0.473,0.478,0.485,0.428,0.431,0.62,0.679,0.612,0.59,0.686,0.725,0.71,0.701,0.71,0.686,0.826,0.732,0.877,0.914,0.899,0.956,0.981,1.027,1.057,1.059,1.256,1.163,1.082,1.149,1.232,1.331,1.373,1.381,1.435,1.477,1.389,1.523,1.747,1.659,1.661,1.539,1.739,1.955,1.998,2.075,2.015,2.094,2.196,2.293,2.351,2.465,2.488,2.59,2.686,2.786,2.985,3.075,3.2,3.306,3.286,3.701,3.488,3.81,4,4.206,4.273,4.454,4.615,4.839,4.858,5.108,5.227,5.463,5.742,6.15,6.147,6.731,6.876,7.384,7.351,7.779,7.758,8.48,8.762,9.061,9.212,9.613,10.296,10.125,10.736,11.291,11.499,12.149,12.176,12.871,13.087,13.329,14.197,14.072,14.557,15.215,15.203,15.462,16.013,16.997,16.921,17.691,18.398,18.819,18.891,19.486,18.867,19.695,19.695,20.364,20.393,21.057,20.934,20.826,22.589,21.625,21.647,22.201,22.21,21.117,22.061,23.302,22.525,22.532,22.872,23.617,23.973,24.201,22.643,23.349,23.463,23.275,23.965,23.706,24.931,24.371,24.168,23.795,23.454,25.247,24.306,24.98,24.769,24.306,25.028,25.101,24.939,24.533,24.42,25.037,25.501,25.867,24.996,25.913,25.776,24.152,26.134,25.329,24.956,25.67,25.899,25.404,25.151,25.281,25.916,25.581,26.537,26.606,24.948,26.459,25.273,26.554,25.361,26.361,25.841,25.861,25.794,25.119,26.073,25.786,26.999,26.747,25.892,26.667,25.054,25.65,26.219,25.658,25.773,26.269,25.284,25.738,26.667,25.871,25.665,26.464,26.79,26.147,26.816,25.586,26.695,26.231,25.285,26.118,26.577,26.649,26.575,27.074,26.577,26.078,26.753,26.904,26.381,26.262,26.826,27.777,26.889,27.412,26.185,26.81,26.104,27.139,27.552,27.085,26.091,26.581,26.647,26.655,25.895,26.771,26.52,27.218,26.928,27.322,26.95,27.525,27.322,27.757,26.4,28.044,27.066,26.084,27.164,26.701,26.915,27,26.878,26.874,25.822,26.371,27.322,27.525,26.976,26.204,25.993,26.433,25.813,26.057,26.328,26.817,26.36,26.131
A05,X5,,,,0.106,0,0.029,0.078,0.234,0.22,0.124,0.2,0.212,0.151,0.196,0.212,0.174,0.249,0.209,0.238,0.264,0.21,0.277,0.255,0.268,0.279,0.286,0.337,0.261,0.27,0.277,0.227,0.223,0.286,0.204,0.331,0.243,0.355,0.249,0.222,0.362,0.247,0.256,0.261,0.355,0.326,0.274,0.276,0.251,0.263,0.194,0.281,0.287,0.194,0.271,0.256,0.267,0.414,0.224,0.287,0.208,0.228,0.271,0.28,0.221,0.115,0.241,0.217,0.287,0.196,0.203,0.146,0.212,0.21,0.141,0.235,0.148,0.212,0.25,0.237,0.196,0.237,0.244,0.223,0.161,0.244,0.248,0.203,0.129,0.28,0.168,0.166,0.264,0.237,0.367,0.284,0.351,0.243,0.278,0.255,0.261,0.284,0.197,0.364,0.246,0.369,0.348,0.287,0.355,0.431,0.387,0.461,0.444,0.378,0.396,0.401,0.497,0.461,0.507,0.692,0.472,0.536,0.507,0.608,0.539,0.697,0.608,0.649,0.711,0.56,0.721,0.751,0.76,0.835,0.721,0.85,0.936,0.829,0.921,0.946,0.921,0.871,0.929,1.023,1.057,1.015,1.03,1.159,1.164,1.216,1.32,1.251,1.224,1.268,1.387,1.455,1.37,1.386,1.388,1.46,1.51,1.475,1.661,1.478,1.599,1.58,1.567,1.567,1.669,1.599,1.79,1.79,1.743,1.809,2.008,1.798,1.798,1.898,2.019,1.914,1.895,1.895,1.935,1.946,2.114,2.027,2.23,2.146,2.214,2.125,2.243,2.203,2.238,2.252,2.211,2.438,2.149,2.349,2.446,2.36,2.425,2.62,2.357,2.319,2.56,2.552,2.552,2.474,2.611,2.62,2.853,2.555,2.449,2.794,2.48,2.832,2.634,2.755,2.811,2.823,2.731,2.661,2.823,2.773,2.84,2.917,2.855,2.864,2.962,3.059,2.855,2.775,3.056,3.003,3.077,3.056,3.101,3.074,3.092,3.139,3.098,3.098,3.157,3.098,3.145,3.278,3.092,3.254,3.024,3.175,3.08,3.225,3.302,3.272,3.405,3.402,3.379,3.393,3.486,3.382,3.489,3.234,3.29,3.332,3.503,3.412,3.332,3.577,3.584,3.486,3.587,3.495,3.433,3.531,3.507,3.703,3.644,3.461,3.713,3.709,3.843,3.657,3.555,3.54,3.82,3.526,3.783,3.544,3.621,3.63,3.565,3.428,3.7,3.728,3.745,3.764,3.63,3.661,3.878,3.682,3.75,3.793,3.986,3.772,3.675,3.602,3.897,3.914,3.658,3.897,3.933,3.872,4.028,3.888,3.9,3.92,3.993,3.967,4.183,3.76,3.88,4.097,3.996,4.094,4.117,4.022,4.166,4.219,4.101,4.028,4.206,4.274,4.261,4.274,4.176
A06,X6,,,,0.207,0.073,0.043,0.147,0.095,0.107,0.128,0.172,0.152,0.151,0.133,0.087,0.203,0.123,0.113,0.171,0.01,0.08,0.179,0.125,0.137,0.148,0.154,0.142,0.035,0.075,0.05,0,0.059,0.09,0.103,0.103,0.267,0.127,0.179,0.183,0.196,0.114,0.28,0.19,0.19,0.224,0.235,0.142,0.212,0.224,0.25,0.209,0.248,0.218,0.327,0.406,0.227,0.342,0.342,0.438,0.358,0.474,0.422,0.526,0.435,0.456,0.487,0.59,0.533,0.474,0.385,0.487,0.713,0.551,0.578,0.672,0.777,0.585,0.784,0.674,0.792,0.77,0.777,0.98,0.823,0.872,0.973,0.958,0.918,0.942,1.021,0.987,1.085,1.09,1.188,1.203,1.141,1.193,1.356,1.237,1.309,1.331,1.373,1.477,1.452,1.546,1.619,1.718,1.723,1.7,1.723,1.861,2.036,1.877,2.022,2.027,2.252,2.086,2.263,2.287,2.453,2.581,2.584,2.686,2.648,2.774,2.879,3.179,3.209,3.188,3.478,3.571,3.744,3.621,3.832,3.993,4.247,4.427,4.55,4.733,5.097,5.182,5.365,5.716,5.978,6.221,6.178,6.533,6.992,7.134,7.468,8.041,8.146,8.295,8.698,9.09,9.596,9.881,9.983,10.454,10.875,11.161,11.534,12.2,12.476,12.793,13.09,14.059,13.812,14.318,15.286,15.383,16.04,16.875,16.637,16.795,17.41,18.422,18.435,19.273,18.837,19.972,20.511,20.215,20.911,20.595,21.232,20.955,21.351,21.924,22.445,21.873,22.884,22.727,23.482,22.704,22.194,23.927,22.273,23.439,23.017,23.471,23.107,23.902,23.876,24.372,23.95,24.428,25.264,24.185,25.207,24.639,25.167,25.426,25.354,25.532,25.947,25.5,25.961,25.8,25.394,25.897,26.287,25.776,25.46,25.564,25.215,26.442,26.345,25.435,26.125,25.264,27.149,26.24,26.298,25.394,26.5,26.354,27.027,26.002,26.134,25.939,26.67,25.972,25.824,26.449,26.865,26.735,26.625,26.591,26.306,26.349,27.298,26.2,27.087,26.981,27.137,26.565,26.74,26.755,26.781,27.059,26.153,26.667,26.795,26.388,27.091,26.56,27.033,26.87,26.65,26.765,26.676,26.676,28.04,26.702,27.666,27.668,27.119,27.731,26.597,27.374,27.039,27.289,26.949,27.276,26.929,27.623,27.954,27.359,28.176,29.237,28.618,28.176,28.883,28.513,28.111,28.79,28.59,28.034,28.403,29.512,28.814,29.089,28.965,29.465,29.333,28.501,29.502,29.76,28.621,29.98,29.432,30.453,28.916,29.83,30.377,30.822,30.551,30.266,30.66,29.572,29.891,30.481,30.06,30.692,29.914,30.266,30.831,29.53,29.311,29.713,30.527,30.565,29.68
A07,X7,,,,0.078,0.029,0,0.106,0.085,0.158,0.181,0.167,0.208,0.177,0.13,0.177,0.293,0.213,0.204,0.264,0.259,0.205,0.272,0.281,0.2,0.336,0.343,0.269,0.35,0.233,0.334,0.19,0.374,0.248,0.356,0.356,0.3,0.318,0.18,0.374,0.324,0.273,0.281,0.286,0.318,0.288,0.394,0.238,0.308,0.288,0.251,0.401,0.218,0.315,0.424,0.344,0.324,0.281,0.249,0.344,0.265,0.444,0.233,0.337,0.342,0.235,0.298,0.337,0.217,0.349,0.26,0.267,0.269,0.267,0.23,0.292,0.269,0.269,0.307,0.294,0.158,0.39,0.301,0.312,0.314,0.269,0.241,0.26,0.25,0.177,0.289,0.287,0.289,0.262,0.2,0.309,0.28,0.3,0.271,0.408,0.415,0.309,0.447,0.325,0.399,0.362,0.405,0.344,0.508,0.424,0.412,0.357,0.534,0.564,0.421,0.522,0.554,0.55,0.564,0.525,0.561,0.626,0.628,0.633,0.628,0.754,0.729,0.738,0.736,0.778,0.842,0.84,0.946,0.828,0.778,0.939,0.993,0.854,0.882,0.971,1.043,1.057,1.05,1.08,1.179,1.169,1.087,1.152,1.189,1.37,1.377,1.211,1.281,1.39,1.38,1.382,1.427,1.54,1.413,1.42,1.535,1.532,1.621,1.632,1.624,1.799,1.688,1.785,1.694,1.785,1.847,1.847,1.865,1.801,1.871,1.855,1.92,2.084,2.044,1.971,2.082,2.082,2.057,2.003,2.171,2.052,2.255,2.074,2.173,2.344,2.236,2.324,2.262,2.438,2.365,2.43,2.465,2.536,2.471,2.644,2.449,2.644,2.641,2.668,2.715,2.576,2.576,2.694,2.863,2.677,2.91,2.677,2.7,2.948,3.025,2.726,3.081,3.072,3.095,2.977,3.081,3.01,3.107,3.22,2.93,3.202,3.205,3.214,3.376,3.279,3.4,3.418,3.308,3.45,3.557,3.438,3.645,3.554,3.636,3.585,3.61,3.545,3.701,3.902,3.721,3.822,3.929,4.026,3.96,4.11,4.016,3.869,4.042,4.143,4.016,4.045,4.348,4.458,4.455,4.644,4.589,4.367,4.683,4.693,4.276,4.641,4.857,4.481,4.912,4.749,4.785,4.693,4.795,4.664,5.099,4.511,4.714,5.119,4.717,5.138,5.109,4.825,5.214,5.099,5.512,5.446,5.478,5.435,5.443,5.421,5.682,5.446,5.585,5.519,5.664,5.98,5.682,5.98,6.261,6.195,6.002,6.177,5.977,5.798,5.893,6.381,5.922,6.199,6.173,6.316,6.221,6.253,6.217,6.108,6.287,6.436,6.569,6.282,6.436,6.177,6.532,6.221,6.086,6.447,6.698,6.505,6.417,6.374,6.58,6.709,6.359,6.625,7.1,6.395,6.723
A08,X8,,,,0.201,0.061,0.098,0.24,0.223,0.145,0.159,0.194,0.192,0.199,0.163,0.13,0.19,0.145,0.109,0.207,0.177,0,0.193,0.016,0.095,0.14,0.054,0.173,0.031,0.136,0.081,0.066,0.092,0.092,0.077,0.172,0.212,0.202,0.22,0.289,0.337,0.375,0.449,0.423,0.518,0.521,0.725,0.728,0.737,0.901,0.936,1.115,1.155,1.19,1.208,1.282,1.361,1.388,1.42,1.579,1.557,1.713,1.748,1.697,1.862,1.91,2.018,2.301,2.311,2.413,2.614,2.624,2.851,3.007,3.191,3.315,3.616,3.807,4.074,4.115,4.419,4.625,5.051,5.39,5.458,5.848,6.176,6.66,7.15,7.291,7.515,8.118,8.602,8.899,9.319,9.733,10.027,10.609,10.934,11.756,12.414,12.84,13.504,13.65,14.071,14.913,15.914,15.792,16.254,17.09,18.241,18.461,19.309,19.403,19.776,20.786,21.203,21.605,21.973,22.335,24.149,23.635,24.254,24.913,25.282,25.401,26.584,26.524,24.746,23.976,23.042,24.257,25.418,25.308,25.746,26.454,26.342,26.338,26.9,27.195,26.739,27.697,26.734,27.208,29.055,28.501,28.203,28.3,28.9,28.53,27.462,29.99,28.655,30.252,30.632,29.932,30.595,29.394,29.144,31.179,30.506,30.334,29.852,30.7,33.028,29.814,30.314,30.379,29.979,30.67,29.614,30.067,31.272,31.248,31.942,30.13,31.75,31.534,31.244,32.245,32.885,31.005,31.165,31.076,32.071,34.42,30.753,30.715,31.211,32.247,32.367,31.98,32.444,32.237,32.659,32.367,32.119,32.95,33.501,34.225,31.986,31.921,32.819,32.766,31.91,34.052,33.144,33.056,32.766,33.414,34.247,34.16,34.614,32.465,34.443,33.608,33.695,33.273,33.695,35.005,33.403,32.862,33.544,33.63,34.031,34.28,35.005,33.933,33.218,33.316,35.817,33.966,33.37,34.161,33.575,35.254,33.413,35.419,32.861,33.219,32.622,33.24,33.706,33.825,32.754,33.479,33.511,33.511,32.902,32.729,34.367,34.064,33.337,32.859,33.228,33.868,34.389,33.12,33.999,33.977,34.238,33.444,32.597,33.02,30.461,30.742,28.846,30.492,28.491,29.501,29.968,28.553,27.518,28.954,28.33,27.546,28.48,27.407,27.999,27.565,28.718,27.505,27.561,26.991,26.066,27.178,26.443,28.15,27.234,25.659,25.757,25.968,26.166,25.005,26.007,26.977,25.659,25.847,25.942,27.219,25.067,25.716,25.707,25.227,25.564,25.963,24.848,24.903,25.641,24.619,25.546,24.647,25.143,24.92,24.759,23.904,25.374,24.41,23.839,24.306,24.761,24.004,23.569,23.897,23.642,25.224,22.814,24.634,23.436,24.324,23.944,23.855,24.541,24.346,24.051
B01,X9,,,,0.137,0,0.078,0.03,0.086,0.114,0.209,0.115,0.288,0.231,0.283,0.245,0.179,0.194,0.312,0.251,0.219,0.229,0.296,0.212,0.165,0.334,0.248,0.302,0.35,0.454,0.273,0.32,0.315,0.283,0.235,0.33,0.306,0.263,0.219,0.319,0.271,0.406,0.353,0.326,0.326,0.361,0.278,0.376,0.352,0.424,0.36,0.381,0.294,0.264,0.216,0.357,0.275,0.298,0.234,0.33,0.375,0.398,0.407,0.226,0.327,0.314,0.318,0.385,0.33,0.398,0.247,0.35,0.353,0.35,0.313,0.247,0.225,0.353,0.233,0.313,0.335,0.345,0.353,0.366,0.336,0.321,0.358,0.311,0.241,0.266,0.28,0.246,0.344,0.349,0.384,0.303,0.37,0.357,0.456,0.306,0.314,0.399,0.186,0.386,0.456,0.327,0.399,0.466,0.471,0.384,0.407,0.386,0.56,0.433,0.482,0.519,0.423,0.386,0.498,0.49,0.623,0.623,0.626,0.503,0.69,0.527,0.599,0.642,0.704,0.65,0.618,0.615,0.819,0.698,0.747,0.65,0.739,0.76,0.852,0.747,0.916,0.868,0.763,0.857,0.86,0.913,0.93,0.93,1.032,0.857,1.026,1.021,1.026,1.04,1.029,1.032,1.078,1.16,1.195,1.134,1.186,1.151,1.175,1.251,1.243,1.257,1.275,1.372,1.248,1.436,1.274,1.306,1.553,1.389,1.429,1.606,1.477,1.512,1.536,1.562,1.542,1.542,1.55,1.724,1.633,1.642,1.748,1.695,1.73,1.707,1.824,1.783,1.818,1.898,1.727,1.922,1.827,2.19,1.931,2.04,2.137,2.105,2.199,2.225,2.338,2.296,2.232,2.318,2.225,2.397,2.241,2.397,2.388,2.472,2.422,2.611,2.542,2.728,2.621,2.634,2.445,2.634,2.634,2.649,2.653,2.793,2.731,2.806,2.741,2.838,2.991,3.01,2.9,3.238,2.955,3.16,3.075,3.049,3.325,2.981,3.235,3.235,3.13,3.365,3.442,3.51,3.26,3.423,3.294,3.378,3.577,3.366,3.635,3.638,3.739,3.736,3.779,3.856,3.757,3.978,4.151,3.995,4.083,3.963,4.163,4.039,4.191,4.336,4.245,4.148,4.347,4.191,4.39,4.586,4.564,4.923,4.572,4.652,4.608,4.735,5.098,5.044,4.811,4.727,4.946,4.946,5.143,5.427,5.498,5.248,5.411,5.403,5.507,5.542,5.686,5.938,5.934,5.942,6.581,6.122,6.028,6.204,6.364,6.22,6.376,6.605,6.278,6.257,6.298,6.605,6.905,6.932,6.901,6.659,7.495,7.281,7.345,7.157,7.675,7.351,8.104,7.463,7.917,7.458,8.068,7.777,8.569,8.564,8.471,8.278,8.578,8.78,8.957,8.78,8.583
